time,open,high,low,close,vol,time_stamp
1613714400000,9.55,30.0,9.55,17.5,527569.39,2021-02-19 06:00:00
1613715300000,17.5,18.299,15.547,15.962,265651.296,2021-02-19 06:15:00
1613716200000,15.9,17.65,15.51,17.65,173407.086,2021-02-19 06:30:00
1613717100000,17.65,18.0,16.2,16.999,134815.619,2021-02-19 06:45:00
1613718000000,17.01,18.514,16.321,18.277,186629.804,2021-02-19 07:00:00
1613718900000,18.282,19.0,17.76,18.95,176627.974,2021-02-19 07:15:00
1613719800000,18.953,19.6,17.79,18.344,388241.405,2021-02-19 07:30:00
1613720700000,18.344,18.738,17.165,17.64,288704.169,2021-02-19 07:45:00
1613721600000,17.647,18.507,17.525,18.475,232764.063,2021-02-19 08:00:00
1613722500000,18.473,18.638,17.7,18.299,206633.117,2021-02-19 08:15:00
1613723400000,18.299,18.777,18.114,18.232,130534.954,2021-02-19 08:30:00
1613724300000,18.23,18.3,17.15,17.577,157841.768,2021-02-19 08:45:00
1613725200000,17.5,17.965,17.0,17.007,182723.022,2021-02-19 09:00:00
1613726100000,17.05,17.35,16.694,17.209,101914.828,2021-02-19 09:15:00
1613727000000,17.214,17.54,17.0,17.017,75143.498,2021-02-19 09:30:00
1613727900000,17.041,17.152,16.63,16.707,79149.555,2021-02-19 09:45:00
1613728800000,16.704,17.6,16.5,17.179,148079.793,2021-02-19 10:00:00
1613729700000,17.198,17.65,17.153,17.53,147421.267,2021-02-19 10:15:00
1613730600000,17.532,17.75,17.186,17.232,111017.415,2021-02-19 10:30:00
1613731500000,17.232,17.55,16.965,17.536,65077.769,2021-02-19 10:45:00
1613732400000,17.55,18.199,17.537,18.198,164294.558,2021-02-19 11:00:00
1613733300000,18.195,18.199,17.694,17.786,88929.542,2021-02-19 11:15:00
1613734200000,17.786,18.141,17.752,17.9,98126.524,2021-02-19 11:30:00
1613735100000,17.9,17.9,17.45,17.751,67530.842,2021-02-19 11:45:00
1613736000000,17.753,17.989,17.52,17.58,42179.614,2021-02-19 12:00:00
1613736900000,17.586,17.93,17.5,17.682,45009.331,2021-02-19 12:15:00
1613737800000,17.616,17.83,17.506,17.668,45649.307,2021-02-19 12:30:00
1613738700000,17.699,18.2,17.629,17.95,88558.344,2021-02-19 12:45:00
