time,open,high,low,close,vol,time_stamp
1616663700000,30.41,30.67,30.41,30.5999,90475.22,2021-03-25 09:15:00
1616664600000,30.5999,30.7238,30.4649,30.6646,76344.81,2021-03-25 09:30:00
1616665500000,30.6646,30.8835,30.6449,30.8288,67841.16,2021-03-25 09:45:00
1616666400000,30.8453,31.0,30.3098,30.6591,150365.79,2021-03-25 10:00:00
1616667300000,30.639,30.7708,30.5171,30.7691,66213.49,2021-03-25 10:15:00
1616668200000,30.767,30.8595,30.6057,30.6517,95679.51,2021-03-25 10:30:00
1616669100000,30.6462,30.7667,30.5469,30.7303,71987.07,2021-03-25 10:45:00
1616670000000,30.7303,30.9432,30.6611,30.7136,102032.69,2021-03-25 11:00:00
1616670900000,30.7142,30.8393,30.5123,30.5377,85042.48,2021-03-25 11:15:00
1616671800000,30.5532,30.6214,30.1548,30.1875,94893.23,2021-03-25 11:30:00
1616672700000,30.1925,30.3496,29.9,29.9116,203208.95,2021-03-25 11:45:00
1616673600000,29.9157,30.2039,28.89,29.3399,436717.82,2021-03-25 12:00:00
1616674500000,29.3399,29.701,28.3,28.8757,618924.81,2021-03-25 12:15:00
1616675400000,28.8422,29.3289,28.5,29.2899,560182.1,2021-03-25 12:30:00
1616676300000,29.2912,29.5675,29.0542,29.1901,289979.44,2021-03-25 12:45:00
1616677200000,29.1901,29.4907,28.9149,28.9821,210420.29,2021-03-25 13:00:00
1616678100000,28.9644,29.4651,28.8361,29.3185,284847.5,2021-03-25 13:15:00
1616679000000,29.3059,30.1174,29.2565,29.9438,331112.05,2021-03-25 13:30:00
1616679900000,29.9438,30.0435,29.6419,29.8218,176007.84,2021-03-25 13:45:00
1616680800000,29.8241,30.1786,29.7297,30.0834,143278.67,2021-03-25 14:00:00
1616681700000,30.0907,30.1378,29.7581,29.9096,137764.52,2021-03-25 14:15:00
1616682600000,29.9095,29.9463,29.4212,29.668,158188.37,2021-03-25 14:30:00
1616683500000,29.6715,29.7949,29.4647,29.7235,101316.82,2021-03-25 14:45:00
1616684400000,29.7317,29.8,29.2244,29.3002,187589.97,2021-03-25 15:00:00
1616685300000,29.2909,29.5823,29.1971,29.4459,191875.77,2021-03-25 15:15:00
1616686200000,29.44,29.7862,29.3981,29.5873,108892.97,2021-03-25 15:30:00
1616687100000,29.5817,29.724,29.2546,29.3649,109730.13,2021-03-25 15:45:00
1616688000000,29.3885,29.6108,28.8874,29.5767,229721.01,2021-03-25 16:00:00
1616688900000,29.6073,30.05,29.0053,29.0765,235844.91,2021-03-25 16:15:00
1616689800000,29.0765,29.7389,29.0244,29.6355,163422.95,2021-03-25 16:30:00
1616690700000,29.6151,29.8499,29.2434,29.5622,131346.94,2021-03-25 16:45:00
1616691600000,29.5566,29.9884,29.412,29.9557,123987.03,2021-03-25 17:00:00
1616692500000,29.9559,30.1,29.736,30.0591,158039.27,2021-03-25 17:15:00
1616693400000,30.0477,30.1972,29.8142,30.1905,122338.21,2021-03-25 17:30:00
1616694300000,30.1674,30.2415,30.0199,30.1165,90885.26,2021-03-25 17:45:00
1616695200000,30.1286,30.4133,30.052,30.2004,105876.56,2021-03-25 18:00:00
1616696100000,30.192,30.4451,30.1511,30.4237,61175.11,2021-03-25 18:15:00
1616697000000,30.4129,30.7922,30.3625,30.6577,130509.73,2021-03-25 18:30:00
1616697900000,30.6536,30.7177,30.3759,30.458,160006.05,2021-03-25 18:45:00
1616698800000,30.4655,30.5982,30.3941,30.41,104564.6,2021-03-25 19:00:00
1616699700000,30.4104,30.5589,30.03,30.3081,119842.82,2021-03-25 19:15:00
1616700600000,30.3146,30.4832,30.1593,30.2746,62854.16,2021-03-25 19:30:00
1616701500000,30.277,30.3559,30.1921,30.3076,39083.46,2021-03-25 19:45:00
1616702400000,30.3076,30.7586,30.298,30.7473,64908.98,2021-03-25 20:00:00
1616703300000,30.7377,30.8,30.45,30.4955,52998.67,2021-03-25 20:15:00
1616704200000,30.4955,30.6381,30.4,30.4965,42992.29,2021-03-25 20:30:00
1616705100000,30.5059,30.5744,30.2499,30.3462,56597.23,2021-03-25 20:45:00
1616706000000,30.3348,30.5605,30.318,30.3789,42292.46,2021-03-25 21:00:00
1616706900000,30.3856,30.7493,30.2724,30.6125,44458.02,2021-03-25 21:15:00
1616707800000,30.6287,30.73,30.56,30.56,36203.58,2021-03-25 21:30:00
1616708700000,30.56,30.65,30.4847,30.5791,28892.6,2021-03-25 21:45:00
1616709600000,30.5791,30.793,30.5791,30.7356,50176.99,2021-03-25 22:00:00
1616710500000,30.7286,30.7665,30.5708,30.6563,51310.51,2021-03-25 22:15:00
1616711400000,30.6578,30.6706,30.27,30.2702,62673.64,2021-03-25 22:30:00
1616712300000,30.2887,30.3251,29.6573,29.9,202679.33,2021-03-25 22:45:00
1616713200000,29.9153,30.1573,29.8855,30.0807,64963.48,2021-03-25 23:00:00
1616714100000,30.0807,30.0807,29.818,29.9502,60587.45,2021-03-25 23:15:00
1616715000000,29.9502,29.9882,29.66,29.66,92476.99,2021-03-25 23:30:00
1616715900000,29.6679,29.9491,29.6662,29.8059,62422.16,2021-03-25 23:45:00
1616716800000,29.8059,30.3778,29.7894,30.1146,99881.53,2021-03-26 00:00:00
1616717700000,30.1146,30.25,29.9729,30.2168,73033.5,2021-03-26 00:15:00
1616718600000,30.2388,30.4469,30.2269,30.2749,91748.39,2021-03-26 00:30:00
1616719500000,30.2817,30.6949,30.2605,30.5983,108413.77,2021-03-26 00:45:00
1616720400000,30.5915,30.7798,30.5254,30.7411,82473.73,2021-03-26 01:00:00
1616721300000,30.7412,30.7948,30.4584,30.5409,67168.57,2021-03-26 01:15:00
1616722200000,30.5409,30.6626,30.4917,30.5341,71174.56,2021-03-26 01:30:00
1616723100000,30.5341,30.7333,30.5277,30.724,59020.69,2021-03-26 01:45:00
1616724000000,30.724,30.8537,30.4344,30.4614,89356.42,2021-03-26 02:00:00
1616724900000,30.4638,30.4903,30.2349,30.4648,86585.55,2021-03-26 02:15:00
1616725800000,30.4576,30.4576,30.1635,30.2307,80760.89,2021-03-26 02:30:00
1616726700000,30.2314,30.4303,30.221,30.3115,116410.56,2021-03-26 02:45:00
1616727600000,30.3144,30.4908,30.2319,30.4788,75557.53,2021-03-26 03:00:00
1616728500000,30.4788,30.782,30.4509,30.7721,72595.51,2021-03-26 03:15:00
1616729400000,30.7721,30.8029,30.5649,30.7175,105252.57,2021-03-26 03:30:00
1616730300000,30.7261,30.8087,30.5715,30.5872,79612.53,2021-03-26 03:45:00
1616731200000,30.5864,30.6768,30.41,30.46,71346.4,2021-03-26 04:00:00
1616732100000,30.4665,30.5082,30.3915,30.4059,52690.19,2021-03-26 04:15:00
1616733000000,30.4054,30.5787,30.3952,30.5093,72298.18,2021-03-26 04:30:00
1616733900000,30.5187,30.6823,30.5187,30.5714,68354.85,2021-03-26 04:45:00
1616734800000,30.5715,30.7316,30.5661,30.7179,79637.02,2021-03-26 05:00:00
1616735700000,30.7179,30.7413,30.5739,30.5856,84313.54,2021-03-26 05:15:00
1616736600000,30.5859,30.6747,30.5394,30.6338,51650.72,2021-03-26 05:30:00
1616737500000,30.6279,30.7002,30.5592,30.6877,61322.6,2021-03-26 05:45:00
1616738400000,30.6876,30.6911,30.5123,30.5411,70834.38,2021-03-26 06:00:00
1616739300000,30.5412,30.5412,30.4304,30.4682,49123.6,2021-03-26 06:15:00
1616740200000,30.4753,30.6325,30.4208,30.4773,111454.65,2021-03-26 06:30:00
1616741100000,30.4787,30.5999,30.4215,30.4734,51205.45,2021-03-26 06:45:00
1616742000000,30.4702,30.5199,30.2374,30.2892,125635.71,2021-03-26 07:00:00
1616742900000,30.2892,30.3748,30.2359,30.25,91295.59,2021-03-26 07:15:00
1616743800000,30.25,30.8034,30.25,30.6347,174366.16,2021-03-26 07:30:00
1616744700000,30.6347,31.1511,30.6054,31.1511,225011.3,2021-03-26 07:45:00
1616745600000,31.1511,31.37,30.9515,30.9997,232317.42,2021-03-26 08:00:00
1616746500000,31.0049,31.3288,30.9873,31.23,105908.51,2021-03-26 08:15:00
1616747400000,31.2342,31.3456,31.1619,31.1683,93392.29,2021-03-26 08:30:00
1616748300000,31.1619,31.211,30.9189,31.0313,112082.03,2021-03-26 08:45:00
1616749200000,31.0389,31.2058,31.0221,31.1308,71571.07,2021-03-26 09:00:00
1616750100000,31.1308,31.26,31.0892,31.2273,60538.03,2021-03-26 09:15:00
1616751000000,31.2205,31.3649,31.0817,31.1747,65000.35,2021-03-26 09:30:00
1616751900000,31.1747,31.2613,31.0,31.0352,64129.97,2021-03-26 09:45:00
1616752800000,31.0331,31.0393,30.8905,30.969,63988.63,2021-03-26 10:00:00
1616753700000,30.9771,31.1833,30.9742,31.122,52677.49,2021-03-26 10:15:00
1616754600000,31.1157,31.1412,30.94,31.0691,66722.33,2021-03-26 10:30:00
1616755500000,31.058,31.1,30.9639,31.0543,59968.19,2021-03-26 10:45:00
1616756400000,31.0699,31.289,31.0338,31.1124,73615.93,2021-03-26 11:00:00
1616757300000,31.112,31.1576,30.9212,30.9619,83177.64,2021-03-26 11:15:00
1616758200000,30.9495,31.2093,30.75,31.2088,130823.35,2021-03-26 11:30:00
1616759100000,31.2026,31.8089,31.1368,31.8019,266363.44,2021-03-26 11:45:00
1616760000000,31.8089,31.9437,31.5065,31.8874,236028.71,2021-03-26 12:00:00
1616760900000,31.8874,31.9367,31.6929,31.7895,112189.83,2021-03-26 12:15:00
1616761800000,31.793,31.83,31.6278,31.639,58912.43,2021-03-26 12:30:00
1616762700000,31.6354,31.7968,31.6284,31.696,44684.04,2021-03-26 12:45:00
1616763600000,31.6995,31.8587,31.6952,31.8505,68710.31,2021-03-26 13:00:00
1616764500000,31.8509,31.8523,31.35,31.3501,127031.35,2021-03-26 13:15:00
1616765400000,31.3577,31.7158,31.3517,31.7014,74103.21,2021-03-26 13:30:00
1616766300000,31.7074,31.85,31.6119,31.8499,109205.61,2021-03-26 13:45:00
1616767200000,31.8413,32.0123,31.7389,31.8429,126507.8,2021-03-26 14:00:00
1616768100000,31.8429,31.8749,31.7,31.7298,61783.16,2021-03-26 14:15:00
1616769000000,31.7318,31.8178,31.7,31.7696,42697.08,2021-03-26 14:30:00
1616769900000,31.7696,31.8624,31.7153,31.84,59496.44,2021-03-26 14:45:00
1616770800000,31.84,31.97,31.75,31.8441,60781.37,2021-03-26 15:00:00
1616771700000,31.833,31.8469,31.6683,31.712,66414.55,2021-03-26 15:15:00
1616772600000,31.7188,31.892,31.6642,31.795,52434.22,2021-03-26 15:30:00
1616773500000,31.8,31.8,31.5747,31.7186,64907.39,2021-03-26 15:45:00
1616774400000,31.7214,31.8988,31.3995,31.8683,120786.47,2021-03-26 16:00:00
1616775300000,31.8727,32.5354,31.831,32.5098,142931.84,2021-03-26 16:15:00
1616776200000,32.5353,32.6997,32.1525,32.2945,161180.79,2021-03-26 16:30:00
1616777100000,32.3028,32.6449,32.2462,32.4938,93672.58,2021-03-26 16:45:00
1616778000000,32.4994,32.6076,32.3333,32.4357,76783.02,2021-03-26 17:00:00
1616778900000,32.4359,32.5253,32.3422,32.4871,53811.38,2021-03-26 17:15:00
1616779800000,32.4899,32.6779,32.458,32.6052,79050.28,2021-03-26 17:30:00
1616780700000,32.6205,32.9339,32.557,32.7445,123831.75,2021-03-26 17:45:00
1616781600000,32.7445,32.8131,32.5397,32.5706,69431.27,2021-03-26 18:00:00
1616782500000,32.5707,32.5813,32.3799,32.381,83229.67,2021-03-26 18:15:00
1616783400000,32.3815,32.4463,32.2569,32.3154,71714.59,2021-03-26 18:30:00
1616784300000,32.3154,32.4283,32.1165,32.3754,60724.84,2021-03-26 18:45:00
1616785200000,32.3759,32.393,32.242,32.3,27302.28,2021-03-26 19:00:00
1616786100000,32.3001,32.4593,32.1477,32.4369,53629.21,2021-03-26 19:15:00
1616787000000,32.4571,32.6155,32.3422,32.376,37408.84,2021-03-26 19:30:00
1616787900000,32.3736,32.6,32.3649,32.5811,31043.05,2021-03-26 19:45:00
1616788800000,32.5947,32.8521,32.5752,32.737,68722.35,2021-03-26 20:00:00
1616789700000,32.7482,32.8843,32.6062,32.6305,48439.0,2021-03-26 20:15:00
1616790600000,32.6283,32.8273,32.61,32.7896,46727.96,2021-03-26 20:30:00
1616791500000,32.7892,32.8768,32.6353,32.6355,31888.31,2021-03-26 20:45:00
1616792400000,32.6357,32.8408,32.6244,32.7084,35487.77,2021-03-26 21:00:00
1616793300000,32.7122,32.999,32.7,32.9378,90822.4,2021-03-26 21:15:00
1616794200000,32.9377,32.9899,32.7251,32.9379,42709.7,2021-03-26 21:30:00
1616795100000,32.9364,33.0726,32.8967,33.0519,50102.55,2021-03-26 21:45:00
1616796000000,33.0607,33.3638,32.9019,33.2892,109271.89,2021-03-26 22:00:00
1616796900000,33.2892,33.3689,32.9799,33.2203,83353.58,2021-03-26 22:15:00
1616797800000,33.2165,33.2202,32.9259,32.9615,63636.91,2021-03-26 22:30:00
