time,open,high,low,close,vol,time_stamp
1600313400000,2.7166,2.7242,2.7126,2.7241,76672.05,2020-09-17 03:30:00
1600314300000,2.724,2.724,2.7139,2.7164,66989.65,2020-09-17 03:45:00
1600315200000,2.7164,2.722,2.7112,2.7164,239469.21,2020-09-17 04:00:00
1600316100000,2.716,2.7213,2.7141,2.7181,95355.84,2020-09-17 04:15:00
1600317000000,2.7173,2.7173,2.7099,2.7124,82189.92,2020-09-17 04:30:00
1600317900000,2.7124,2.7203,2.7106,2.7183,53544.56,2020-09-17 04:45:00
1600318800000,2.7172,2.7259,2.7108,2.7247,118739.74,2020-09-17 05:00:00
1600319700000,2.7248,2.7511,2.7222,2.7376,285299.72,2020-09-17 05:15:00
1600320600000,2.7381,2.7421,2.7351,2.7421,85335.78,2020-09-17 05:30:00
1600321500000,2.7421,2.7441,2.7332,2.7384,107213.78,2020-09-17 05:45:00
1600322400000,2.7386,2.7418,2.7354,2.737,62464.25,2020-09-17 06:00:00
1600323300000,2.7356,2.7395,2.7172,2.721,225009.4,2020-09-17 06:15:00
1600324200000,2.7218,2.7306,2.7185,2.7288,99760.79,2020-09-17 06:30:00
1600325100000,2.7293,2.7324,2.7249,2.7251,87447.85,2020-09-17 06:45:00
1600326000000,2.7255,2.7331,2.725,2.7288,94717.8,2020-09-17 07:00:00
1600326900000,2.7278,2.7335,2.7219,2.731,235236.38,2020-09-17 07:15:00
1600327800000,2.7311,2.7311,2.7209,2.7239,137014.04,2020-09-17 07:30:00
1600328700000,2.724,2.7274,2.7174,2.7235,164790.41,2020-09-17 07:45:00
1600329600000,2.7235,2.7315,2.7231,2.7233,55534.71,2020-09-17 08:00:00
1600330500000,2.7233,2.7263,2.715,2.7251,127263.26,2020-09-17 08:15:00
1600331400000,2.7249,2.7251,2.7166,2.717,44577.86,2020-09-17 08:30:00
1600332300000,2.7171,2.7276,2.7171,2.7234,133974.79,2020-09-17 08:45:00
1600333200000,2.7228,2.7273,2.7163,2.7263,71003.86,2020-09-17 09:00:00
1600334100000,2.7267,2.7274,2.7177,2.7196,72271.53,2020-09-17 09:15:00
1600335000000,2.7199,2.7304,2.716,2.7277,99827.47,2020-09-17 09:30:00
1600335900000,2.727,2.7376,2.7268,2.7315,154618.9,2020-09-17 09:45:00
1600336800000,2.7315,2.7373,2.7268,2.727,89301.06,2020-09-17 10:00:00
1600337700000,2.7277,2.7295,2.7005,2.7118,355695.16,2020-09-17 10:15:00
1600338600000,2.7118,2.7149,2.7001,2.7029,161881.11,2020-09-17 10:30:00
1600339500000,2.7026,2.7251,2.701,2.7211,144440.67,2020-09-17 10:45:00
1600340400000,2.7207,2.7231,2.7138,2.7171,86626.91,2020-09-17 11:00:00
1600341300000,2.7166,2.7237,2.7128,2.7228,91140.34,2020-09-17 11:15:00
1600342200000,2.7238,2.7322,2.72,2.729,153676.72,2020-09-17 11:30:00
1600343100000,2.7287,2.7393,2.7273,2.7366,112568.27,2020-09-17 11:45:00
1600344000000,2.7358,2.7365,2.7269,2.7316,146739.15,2020-09-17 12:00:00
1600344900000,2.732,2.732,2.716,2.7169,84365.06,2020-09-17 12:15:00
1600345800000,2.7175,2.7216,2.7153,2.7211,50640.31,2020-09-17 12:30:00
1600346700000,2.7209,2.7213,2.7086,2.7134,96389.63,2020-09-17 12:45:00
1600347600000,2.7132,2.7196,2.7042,2.7076,111575.39,2020-09-17 13:00:00
1600348500000,2.7069,2.7139,2.7062,2.7104,60545.36,2020-09-17 13:15:00
1600349400000,2.7104,2.7124,2.7032,2.7053,74803.54,2020-09-17 13:30:00
1600350300000,2.7057,2.7174,2.7054,2.7163,79191.34,2020-09-17 13:45:00
1600351200000,2.717,2.7241,2.7126,2.7188,73897.51,2020-09-17 14:00:00
1600352100000,2.7183,2.7216,2.7139,2.7177,42964.04,2020-09-17 14:15:00
1600353000000,2.7172,2.7195,2.715,2.7183,47014.1,2020-09-17 14:30:00
1600353900000,2.7177,2.7229,2.694,2.7193,330189.25,2020-09-17 14:45:00
1600354800000,2.7193,2.7264,2.7169,2.7238,121249.13,2020-09-17 15:00:00
1600355700000,2.7246,2.7279,2.7222,2.7241,67995.65,2020-09-17 15:15:00
1600356600000,2.7248,2.7269,2.7188,2.7204,50565.18,2020-09-17 15:30:00
1600357500000,2.7205,2.7245,2.72,2.7233,69903.35,2020-09-17 15:45:00
1600358400000,2.7233,2.726,2.7188,2.719,73909.39,2020-09-17 16:00:00
1600359300000,2.7197,2.7197,2.7135,2.7165,56005.49,2020-09-17 16:15:00
1600360200000,2.7174,2.7206,2.7119,2.7134,22768.75,2020-09-17 16:30:00
1600361100000,2.7134,2.7205,2.7133,2.7203,35157.67,2020-09-17 16:45:00
1600362000000,2.7191,2.7223,2.7176,2.722,35662.06,2020-09-17 17:00:00
1600362900000,2.7218,2.7262,2.7215,2.7255,36785.28,2020-09-17 17:15:00
1600363800000,2.7258,2.7266,2.722,2.725,55976.33,2020-09-17 17:30:00
1600364700000,2.7254,2.7283,2.7187,2.7198,70073.25,2020-09-17 17:45:00
1600365600000,2.7206,2.7393,2.7206,2.7352,113669.04,2020-09-17 18:00:00
1600366500000,2.7352,2.7432,2.7307,2.7345,122257.46,2020-09-17 18:15:00
1600367400000,2.734,2.7397,2.7303,2.7384,72062.26,2020-09-17 18:30:00
1600368300000,2.7376,2.7411,2.7363,2.7382,40361.84,2020-09-17 18:45:00
1600369200000,2.7385,2.7457,2.7358,2.7455,71120.75,2020-09-17 19:00:00
1600370100000,2.7455,2.7459,2.7351,2.7372,57276.54,2020-09-17 19:15:00
1600371000000,2.7368,2.7441,2.7333,2.7365,67061.21,2020-09-17 19:30:00
1600371900000,2.7371,2.742,2.733,2.74,65450.12,2020-09-17 19:45:00
1600372800000,2.7412,2.7482,2.7399,2.7444,116055.3,2020-09-17 20:00:00
1600373700000,2.7446,2.7486,2.7423,2.7437,70416.89,2020-09-17 20:15:00
1600374600000,2.7443,2.747,2.744,2.7445,39952.51,2020-09-17 20:30:00
1600375500000,2.7447,2.7482,2.7406,2.7406,54143.01,2020-09-17 20:45:00
1600376400000,2.7407,2.7437,2.7407,2.7422,25232.53,2020-09-17 21:00:00
1600377300000,2.7414,2.7484,2.7407,2.7474,62678.28,2020-09-17 21:15:00
1600378200000,2.7469,2.7482,2.7441,2.7472,14573.39,2020-09-17 21:30:00
1600379100000,2.7474,2.7478,2.7375,2.7409,34125.65,2020-09-17 21:45:00
1600380000000,2.7407,2.7422,2.7305,2.7305,35888.19,2020-09-17 22:00:00
1600380900000,2.7313,2.7362,2.7308,2.7351,98389.94,2020-09-17 22:15:00
1600381800000,2.7364,2.7381,2.7288,2.7298,38609.44,2020-09-17 22:30:00
