time,open,high,low,close,vol,time_stamp
1616663700000,11.2461,11.3231,11.2461,11.3199,11228.68,2021-03-25 09:15:00
1616664600000,11.3122,11.3319,11.264,11.3082,10977.43,2021-03-25 09:30:00
1616665500000,11.3096,11.3392,11.2955,11.3334,7473.55,2021-03-25 09:45:00
1616666400000,11.33,11.3441,11.2444,11.3037,7438.06,2021-03-25 10:00:00
1616667300000,11.2952,11.3731,11.287,11.3678,12057.72,2021-03-25 10:15:00
1616668200000,11.3704,11.38,11.3327,11.3578,7486.46,2021-03-25 10:30:00
1616669100000,11.3623,11.3967,11.3275,11.3822,8939.15,2021-03-25 10:45:00
1616670000000,11.3871,11.3963,11.3334,11.357,11249.91,2021-03-25 11:00:00
1616670900000,11.3534,11.3776,11.3015,11.3144,7975.6,2021-03-25 11:15:00
1616671800000,11.3023,11.3281,11.2512,11.2615,13817.34,2021-03-25 11:30:00
1616672700000,11.2615,11.2635,11.1672,11.1702,25522.94,2021-03-25 11:45:00
1616673600000,11.1707,11.233,10.9031,10.9751,66942.28,2021-03-25 12:00:00
1616674500000,10.9722,11.0334,10.7584,10.9212,80663.83,2021-03-25 12:15:00
1616675400000,10.9128,10.9675,10.8103,10.9369,82211.59,2021-03-25 12:30:00
1616676300000,10.9414,11.0156,10.9256,10.9571,35265.62,2021-03-25 12:45:00
1616677200000,10.9572,11.0204,10.8495,10.8528,26714.61,2021-03-25 13:00:00
1616678100000,10.8475,10.9681,10.8131,10.905,18167.41,2021-03-25 13:15:00
1616679000000,10.9119,11.1034,10.908,11.0586,39529.7,2021-03-25 13:30:00
1616679900000,11.0586,11.0961,11.0237,11.042,21062.51,2021-03-25 13:45:00
1616680800000,11.0462,11.1446,11.0284,11.1252,32195.13,2021-03-25 14:00:00
1616681700000,11.1315,11.1367,11.0755,11.1059,21354.97,2021-03-25 14:15:00
1616682600000,11.0973,11.1264,11.0248,11.0574,20075.96,2021-03-25 14:30:00
1616683500000,11.0756,11.1014,10.9909,11.0357,20907.59,2021-03-25 14:45:00
1616684400000,11.0388,11.0687,10.912,10.9338,31982.6,2021-03-25 15:00:00
1616685300000,10.939,11.0134,10.9176,10.945,29210.53,2021-03-25 15:15:00
1616686200000,10.9433,11.0352,10.9395,10.9803,24737.11,2021-03-25 15:30:00
1616687100000,10.9849,11.0038,10.8558,10.9188,19829.78,2021-03-25 15:45:00
1616688000000,10.9106,10.9328,10.7546,10.9328,31447.72,2021-03-25 16:00:00
1616688900000,10.9328,11.0669,10.7851,10.8043,37480.06,2021-03-25 16:15:00
1616689800000,10.809,10.9479,10.7896,10.9234,34824.59,2021-03-25 16:30:00
1616690700000,10.9231,10.9782,10.8567,10.9202,37729.49,2021-03-25 16:45:00
1616691600000,10.9222,11.0165,10.8724,11.0136,21953.05,2021-03-25 17:00:00
1616692500000,11.0127,11.0409,10.9775,11.0196,21237.21,2021-03-25 17:15:00
1616693400000,11.0404,11.0582,10.9897,11.0471,13652.3,2021-03-25 17:30:00
1616694300000,11.0443,11.0636,11.0184,11.063,7854.49,2021-03-25 17:45:00
1616695200000,11.0628,11.0878,11.0423,11.0476,7728.64,2021-03-25 18:00:00
1616696100000,11.0635,11.0998,11.0542,11.0966,4895.03,2021-03-25 18:15:00
1616697000000,11.095,11.1372,11.0764,11.1035,14075.73,2021-03-25 18:30:00
1616697900000,11.1044,11.12,11.0626,11.0915,11654.59,2021-03-25 18:45:00
1616698800000,11.0925,11.0992,11.0636,11.065,6627.01,2021-03-25 19:00:00
1616699700000,11.0715,11.0956,11.0002,11.0591,12157.35,2021-03-25 19:15:00
1616700600000,11.06,11.0855,11.0159,11.0459,15764.98,2021-03-25 19:30:00
1616701500000,11.044,11.0873,11.044,11.0699,7957.11,2021-03-25 19:45:00
1616702400000,11.0758,11.15,11.0758,11.1463,9128.18,2021-03-25 20:00:00
1616703300000,11.1488,11.1654,11.114,11.1304,5747.41,2021-03-25 20:15:00
1616704200000,11.13,11.1644,11.1116,11.1329,4422.99,2021-03-25 20:30:00
1616705100000,11.1343,11.1522,11.0801,11.1176,8074.21,2021-03-25 20:45:00
1616706000000,11.122,11.17,11.1206,11.1421,7237.97,2021-03-25 21:00:00
1616706900000,11.1388,11.1757,11.1153,11.1685,2479.1,2021-03-25 21:15:00
1616707800000,11.1675,11.1919,11.1538,11.1715,3005.4,2021-03-25 21:30:00
1616708700000,11.1703,11.194,11.1501,11.1925,11313.28,2021-03-25 21:45:00
1616709600000,11.194,11.2589,11.1893,11.2378,5524.44,2021-03-25 22:00:00
1616710500000,11.2327,11.2569,11.2102,11.2336,8270.83,2021-03-25 22:15:00
1616711400000,11.2405,11.2435,11.142,11.1422,9290.92,2021-03-25 22:30:00
