time,open,high,low,close,vol,time_stamp
1600313400000,378.27,379.82,377.69,379.79,9451.32065,2020-09-17 03:30:00
1600314300000,379.76,379.88,376.41,377.03,10798.74237,2020-09-17 03:45:00
1600315200000,377.03,379.69,376.26,377.88,16219.84628,2020-09-17 04:00:00
1600316100000,377.88,379.23,377.52,378.16,11288.51365,2020-09-17 04:15:00
1600317000000,378.18,378.18,376.42,377.4,8243.80105,2020-09-17 04:30:00
1600317900000,377.39,379.43,376.81,378.91,7225.4312,2020-09-17 04:45:00
1600318800000,378.91,380.98,378.0,379.48,14011.98646,2020-09-17 05:00:00
1600319700000,379.48,380.79,379.09,379.75,8971.97029,2020-09-17 05:15:00
1600320600000,379.75,381.55,379.06,380.83,8315.49326,2020-09-17 05:30:00
1600321500000,380.93,381.19,379.0,379.98,8353.67945,2020-09-17 05:45:00
1600322400000,379.98,381.0,379.24,379.75,8708.22299,2020-09-17 06:00:00
1600323300000,379.77,379.77,377.93,378.34,11973.01226,2020-09-17 06:15:00
1600324200000,378.35,378.97,377.67,378.81,8953.41283,2020-09-17 06:30:00
1600325100000,378.82,380.31,378.38,379.0,12424.72489,2020-09-17 06:45:00
1600326000000,379.0,382.71,378.75,381.85,22190.0589,2020-09-17 07:00:00
1600326900000,381.85,381.94,380.51,381.05,10338.0543,2020-09-17 07:15:00
1600327800000,381.05,381.11,379.03,380.26,11025.33833,2020-09-17 07:30:00
1600328700000,380.26,380.79,378.61,379.9,10143.08374,2020-09-17 07:45:00
1600329600000,379.91,381.2,379.8,380.89,9109.85065,2020-09-17 08:00:00
1600330500000,380.89,381.1,378.09,379.47,10313.98327,2020-09-17 08:15:00
1600331400000,379.46,379.87,378.58,379.02,5214.56684,2020-09-17 08:30:00
1600332300000,379.03,380.02,378.0,378.56,8519.641,2020-09-17 08:45:00
1600333200000,378.56,379.4,377.0,379.35,13232.53092,2020-09-17 09:00:00
1600334100000,379.35,379.4,376.42,376.68,10788.75549,2020-09-17 09:15:00
1600335000000,376.69,378.06,375.62,377.93,12421.5279,2020-09-17 09:30:00
1600335900000,377.93,378.64,377.55,378.07,6102.0706,2020-09-17 09:45:00
1600336800000,378.07,379.1,377.04,377.08,7181.78865,2020-09-17 10:00:00
1600337700000,377.08,377.65,374.61,375.98,18517.80502,2020-09-17 10:15:00
