time,open,high,low,close,vol,time_stamp
1602781200000,10.0,430.0,10.0,97.0,46798.08,2020-10-15 17:00:00
1602782100000,96.9713,99.2,79.0546,79.8534,41626.43,2020-10-15 17:15:00
1602783000000,79.8563,85.6,73.0101,74.6659,34496.2,2020-10-15 17:30:00
1602783900000,74.6659,75.0018,64.4683,66.4221,27507.13,2020-10-15 17:45:00
1602784800000,66.1124,66.5244,59.8124,60.637,30988.27,2020-10-15 18:00:00
1602785700000,60.637,71.0364,59.1575,63.269,39253.14,2020-10-15 18:15:00
1602786600000,63.1437,64.4802,61.2,62.3665,16560.97,2020-10-15 18:30:00
1602787500000,62.3665,63.5655,55.3211,55.909,18597.38,2020-10-15 18:45:00
1602788400000,55.9995,58.5564,55.023,56.1189,17088.24,2020-10-15 19:00:00
1602789300000,56.1189,57.4984,53.1,54.4,14686.33,2020-10-15 19:15:00
1602790200000,54.4,57.4659,54.3964,57.1195,13559.71,2020-10-15 19:30:00
1602791100000,57.1225,59.2196,56.85,59.194,11764.6,2020-10-15 19:45:00
1602792000000,59.0338,62.7991,59.0338,62.4513,14225.0,2020-10-15 20:00:00
1602792900000,62.6,69.0,62.5269,64.6078,32593.64,2020-10-15 20:15:00
1602793800000,64.6078,65.7708,62.4,65.0572,26903.04,2020-10-15 20:30:00
1602794700000,65.0572,73.0,65.0001,72.0,49696.03,2020-10-15 20:45:00
1602795600000,72.0,78.8736,70.6259,76.5097,54628.27,2020-10-15 21:00:00
1602796500000,76.6014,76.8503,62.9466,64.36,93640.33,2020-10-15 21:15:00
1602797400000,64.3696,64.5965,58.88,62.9971,74930.99,2020-10-15 21:30:00
1602798300000,62.9155,63.2045,52.5,53.626,94545.65,2020-10-15 21:45:00
1602799200000,53.6634,58.75,53.1647,58.45,66152.63,2020-10-15 22:00:00
1602800100000,58.45,62.3265,56.511,57.191,48934.13,2020-10-15 22:15:00
1602801000000,57.15,61.7306,56.5355,61.5499,56703.96,2020-10-15 22:30:00
1602801900000,61.5504,64.0,61.2834,63.9591,42961.17,2020-10-15 22:45:00
1602802800000,63.9591,64.2043,60.5297,61.6851,32273.11,2020-10-15 23:00:00
1602803700000,61.7462,65.0973,61.5383,64.0,26019.12,2020-10-15 23:15:00
1602804600000,64.1235,65.5,60.7772,62.1,36763.78,2020-10-15 23:30:00
1602805500000,62.1168,62.8971,59.5689,62.5418,19692.51,2020-10-15 23:45:00
1602806400000,62.5902,65.7671,62.1961,65.7671,21770.45,2020-10-16 00:00:00
1602807300000,65.6505,69.8803,65.6,69.8742,41527.45,2020-10-16 00:15:00
1602808200000,69.8742,75.8725,69.0,70.9324,65043.51,2020-10-16 00:30:00
1602809100000,70.9324,73.892,68.023,73.4176,41090.18,2020-10-16 00:45:00
1602810000000,73.4177,75.2,70.3584,70.5381,26583.61,2020-10-16 01:00:00
1602810900000,70.5355,70.804,65.6982,70.3331,34930.72,2020-10-16 01:15:00
1602811800000,70.3332,73.7519,70.3328,73.0082,26988.43,2020-10-16 01:30:00
1602812700000,73.0084,73.3243,71.0,71.9899,18489.13,2020-10-16 01:45:00
1602813600000,71.9899,73.0036,69.7796,69.7796,14903.96,2020-10-16 02:00:00
1602814500000,69.8792,70.9575,69.0835,70.5212,9501.34,2020-10-16 02:15:00
1602815400000,70.7014,72.14,70.6291,71.0001,5480.77,2020-10-16 02:30:00
1602816300000,71.0001,71.096,66.098,68.9384,32706.18,2020-10-16 02:45:00
1602817200000,68.9872,69.4896,67.0,68.0007,8209.1,2020-10-16 03:00:00
1602818100000,68.0007,68.3694,65.8501,66.0,6773.18,2020-10-16 03:15:00
1602819000000,65.8553,69.9569,64.9,69.5,10638.58,2020-10-16 03:30:00
1602819900000,69.5001,71.2565,69.3299,69.4898,11647.0,2020-10-16 03:45:00
1602820800000,69.5692,69.6324,64.0,64.7146,9379.2,2020-10-16 04:00:00
1602821700000,64.8153,66.9018,62.19,63.3419,14943.88,2020-10-16 04:15:00
1602822600000,63.3419,66.112,63.2568,64.7942,12306.34,2020-10-16 04:30:00
1602823500000,64.8976,65.4109,60.8,64.6679,29696.01,2020-10-16 04:45:00
1602824400000,64.9687,66.6315,62.5801,63.0693,14397.69,2020-10-16 05:00:00
1602825300000,63.2052,63.2052,61.59,62.6771,9451.33,2020-10-16 05:15:00
1602826200000,62.681,63.33,62.2367,62.5828,7779.24,2020-10-16 05:30:00
1602827100000,62.5828,64.4517,62.4077,64.2857,9222.72,2020-10-16 05:45:00
1602828000000,64.2857,66.333,64.1276,66.0,14358.6,2020-10-16 06:00:00
1602828900000,66.0,67.78,65.0,67.2315,15568.53,2020-10-16 06:15:00
1602829800000,67.3733,67.5,64.45,64.9558,7251.87,2020-10-16 06:30:00
1602830700000,64.9558,64.9999,62.8532,63.968,9616.02,2020-10-16 06:45:00
1602831600000,63.8856,65.4999,63.7857,64.8308,9168.0,2020-10-16 07:00:00
1602832500000,64.8308,65.0,62.8,63.7741,8973.9,2020-10-16 07:15:00
1602833400000,63.6975,63.9,62.8183,63.2569,7662.25,2020-10-16 07:30:00
1602834300000,63.2065,63.4,62.5,62.9491,8910.55,2020-10-16 07:45:00
1602835200000,62.9759,63.2155,61.9268,63.0612,6230.18,2020-10-16 08:00:00
1602836100000,63.0492,63.5,62.5,62.6,5761.56,2020-10-16 08:15:00
1602837000000,62.6,62.6594,60.8828,61.389,8666.38,2020-10-16 08:30:00
1602837900000,61.3682,62.499,60.2544,60.3332,8900.1,2020-10-16 08:45:00
1602838800000,60.387,60.5,58.7,58.8195,15171.47,2020-10-16 09:00:00
1602839700000,58.8562,62.2649,58.7607,62.0714,13510.95,2020-10-16 09:15:00
1602840600000,62.0715,62.44,61.2739,61.2823,10918.3,2020-10-16 09:30:00
1602841500000,61.2822,61.4926,59.2533,60.0,18039.87,2020-10-16 09:45:00
1602842400000,60.0,60.7153,59.0,59.0,7116.62,2020-10-16 10:00:00
1602843300000,59.01,59.087,56.5194,56.9729,17709.66,2020-10-16 10:15:00
1602844200000,56.9999,57.5014,55.7142,56.4445,20758.87,2020-10-16 10:30:00
1602845100000,56.4325,57.4108,55.5,55.8025,17771.38,2020-10-16 10:45:00
1602846000000,55.7501,56.2482,53.8775,55.1542,22658.76,2020-10-16 11:00:00
1602846900000,55.1225,55.362,53.116,53.746,28048.13,2020-10-16 11:15:00
1602847800000,53.7452,53.8076,51.1375,51.8848,43103.87,2020-10-16 11:30:00
1602848700000,51.8938,55.2663,51.8938,54.57,51530.75,2020-10-16 11:45:00
1602849600000,54.5027,55.9203,53.2907,53.7979,30105.32,2020-10-16 12:00:00
1602850500000,53.8509,54.4209,52.6503,53.4192,21125.98,2020-10-16 12:15:00
1602851400000,53.4192,54.5812,53.2957,53.8661,10010.83,2020-10-16 12:30:00
1602852300000,53.6615,55.523,53.2,55.2331,14904.32,2020-10-16 12:45:00
1602853200000,55.4034,56.832,55.1589,55.5962,22804.49,2020-10-16 13:00:00
1602854100000,55.5962,56.1308,54.9011,54.9634,8702.38,2020-10-16 13:15:00
1602855000000,54.957,55.3632,54.08,54.5691,6998.83,2020-10-16 13:30:00
1602855900000,54.5747,55.11,54.1281,54.6988,4842.14,2020-10-16 13:45:00
1602856800000,54.7383,56.1244,54.6584,55.0221,9956.66,2020-10-16 14:00:00
1602857700000,55.0224,55.1594,53.4999,53.58,8512.56,2020-10-16 14:15:00
1602858600000,53.5622,53.7,51.59,52.2807,18483.23,2020-10-16 14:30:00
1602859500000,52.1923,53.0559,50.8203,52.3598,19860.07,2020-10-16 14:45:00
1602860400000,52.2173,53.2286,49.1,50.863,32850.72,2020-10-16 15:00:00
1602861300000,50.8986,51.65,49.3008,51.0242,20892.91,2020-10-16 15:15:00
1602862200000,50.9814,52.0356,50.6111,51.9126,15736.5,2020-10-16 15:30:00
1602863100000,51.8741,52.7858,51.3945,52.143,11513.39,2020-10-16 15:45:00
1602864000000,52.1827,52.1827,49.7298,50.7019,21702.15,2020-10-16 16:00:00
1602864900000,50.7434,50.9303,47.5915,47.882,22845.15,2020-10-16 16:15:00
1602865800000,47.8743,47.887,45.2294,45.3143,25062.59,2020-10-16 16:30:00
1602866700000,45.4093,47.2069,44.4551,45.67,24837.84,2020-10-16 16:45:00
1602867600000,45.6344,47.0609,45.449,45.7758,24231.42,2020-10-16 17:00:00
1602868500000,45.7758,46.1999,44.8613,45.4115,13956.2,2020-10-16 17:15:00
1602869400000,45.4114,46.74,45.3776,45.7495,12804.72,2020-10-16 17:30:00
1602870300000,45.7204,46.0001,44.462,45.4771,14507.72,2020-10-16 17:45:00
1602871200000,45.5006,47.578,45.3447,47.0825,15336.63,2020-10-16 18:00:00
1602872100000,47.0626,48.0741,46.2969,46.4282,17910.13,2020-10-16 18:15:00
1602873000000,46.5306,46.6466,45.0401,45.8457,14005.14,2020-10-16 18:30:00
1602873900000,45.8457,46.8874,45.3085,45.7323,10957.69,2020-10-16 18:45:00
1602874800000,45.7323,45.787,43.89,44.0,15284.21,2020-10-16 19:00:00
1602875700000,44.0,44.103,41.5297,41.6713,25886.71,2020-10-16 19:15:00
1602876600000,41.7163,42.8185,41.2754,41.5067,19190.53,2020-10-16 19:30:00
1602877500000,41.428,41.428,39.6703,40.0264,22355.82,2020-10-16 19:45:00
1602878400000,40.106,41.06,38.8302,39.29,25069.47,2020-10-16 20:00:00
1602879300000,39.1855,43.6735,38.9501,43.2274,27086.75,2020-10-16 20:15:00
1602880200000,43.3433,43.871,40.2397,40.4206,27314.66,2020-10-16 20:30:00
1602881100000,40.4382,44.6937,40.1133,43.4164,35487.57,2020-10-16 20:45:00
1602882000000,43.4195,46.6276,42.5353,45.1348,36131.07,2020-10-16 21:00:00
1602882900000,45.0804,46.7333,44.2189,44.8633,27462.12,2020-10-16 21:15:00
1602883800000,44.8376,46.1,43.9086,44.9294,14692.54,2020-10-16 21:30:00
1602884700000,44.9293,45.288,43.7762,44.9381,11951.84,2020-10-16 21:45:00
1602885600000,44.9381,45.6955,43.5,44.109,9705.38,2020-10-16 22:00:00
1602886500000,44.2059,44.2363,42.5013,43.0814,12950.53,2020-10-16 22:15:00
1602887400000,43.01,43.3191,41.5297,41.5473,7147.94,2020-10-16 22:30:00
1602888300000,41.6092,42.8999,41.5267,42.5035,9637.68,2020-10-16 22:45:00
1602889200000,42.5017,44.1459,41.9422,43.5412,9187.06,2020-10-16 23:00:00
1602890100000,43.5412,44.4946,43.377,43.65,7409.41,2020-10-16 23:15:00
1602891000000,43.6155,45.8,43.1972,45.4,8537.6,2020-10-16 23:30:00
1602891900000,45.2601,45.2601,44.0184,44.348,8063.59,2020-10-16 23:45:00
1602892800000,44.3512,44.5877,42.8642,42.9,9474.19,2020-10-17 00:00:00
1602893700000,42.8662,44.2839,42.2952,44.0722,12545.86,2020-10-17 00:15:00
1602894600000,44.0723,44.0867,42.9001,43.0967,8661.79,2020-10-17 00:30:00
1602895500000,43.1148,44.3397,42.956,44.0765,6509.3,2020-10-17 00:45:00
1602896400000,44.0602,45.7476,43.5,45.6464,10214.74,2020-10-17 01:00:00
1602897300000,45.6535,46.2414,44.6001,45.4,9650.55,2020-10-17 01:15:00
1602898200000,45.4,46.3024,44.9621,46.1942,8293.74,2020-10-17 01:30:00
1602899100000,46.2083,48.6193,45.7733,48.4383,20320.47,2020-10-17 01:45:00
1602900000000,48.4383,48.6368,46.7743,46.7816,19882.0,2020-10-17 02:00:00
1602900900000,46.7689,47.3245,46.0715,46.2548,9751.86,2020-10-17 02:15:00
1602901800000,46.1312,47.8678,46.1312,47.7417,9940.96,2020-10-17 02:30:00
1602902700000,47.7352,48.3673,47.121,47.299,10396.9,2020-10-17 02:45:00
