time,open,high,low,close,vol,time_stamp
1616739300000,25.7401,25.7401,25.6073,25.628,19660.15,2021-03-26 06:15:00
1616740200000,25.6255,25.7539,25.5801,25.651,26266.02,2021-03-26 06:30:00
1616741100000,25.651,25.7156,25.5807,25.5933,27166.53,2021-03-26 06:45:00
1616742000000,25.5933,25.5952,25.3993,25.4187,36686.58,2021-03-26 07:00:00
1616742900000,25.4191,25.5409,25.415,25.4452,29728.87,2021-03-26 07:15:00
1616743800000,25.4445,25.7266,25.4282,25.6836,40922.28,2021-03-26 07:30:00
1616744700000,25.6719,25.7912,25.6216,25.7768,44426.97,2021-03-26 07:45:00
1616745600000,25.7885,25.9501,25.761,25.7889,56892.61,2021-03-26 08:00:00
1616746500000,25.7898,25.914,25.7595,25.8983,48162.98,2021-03-26 08:15:00
1616747400000,25.889,25.8894,25.7726,25.7881,54207.98,2021-03-26 08:30:00
1616748300000,25.78,25.7993,25.6293,25.6478,98288.61,2021-03-26 08:45:00
1616749200000,25.6487,25.8225,25.638,25.8225,38202.82,2021-03-26 09:00:00
1616750100000,25.8225,25.8245,25.7,25.7851,40671.53,2021-03-26 09:15:00
1616751000000,25.7851,25.8256,25.689,25.7454,21390.41,2021-03-26 09:30:00
1616751900000,25.7499,25.7899,25.6715,25.7722,23999.88,2021-03-26 09:45:00
1616752800000,25.7747,25.8107,25.6826,25.7634,30183.71,2021-03-26 10:00:00
1616753700000,25.7634,25.8257,25.7048,25.7994,39757.92,2021-03-26 10:15:00
1616754600000,25.7917,25.8459,25.709,25.7599,35149.8,2021-03-26 10:30:00
1616755500000,25.7599,25.8896,25.7025,25.8418,47513.48,2021-03-26 10:45:00
1616756400000,25.8419,25.9348,25.7951,25.8461,94562.12,2021-03-26 11:00:00
1616757300000,25.846,25.9029,25.7659,25.7773,42910.74,2021-03-26 11:15:00
1616758200000,25.7766,26.16,25.7049,26.1455,110510.29,2021-03-26 11:30:00
1616759100000,26.1455,26.2745,26.07,26.1961,137483.12,2021-03-26 11:45:00
1616760000000,26.1937,26.2649,26.0,26.2649,109754.95,2021-03-26 12:00:00
1616760900000,26.2349,26.275,26.1339,26.1685,79393.95,2021-03-26 12:15:00
1616761800000,26.1708,26.2969,26.1464,26.2152,34173.13,2021-03-26 12:30:00
1616762700000,26.2294,26.544,26.225,26.4245,69396.52,2021-03-26 12:45:00
1616763600000,26.4285,26.4954,26.3823,26.4363,34411.99,2021-03-26 13:00:00
1616764500000,26.4363,26.4395,26.2243,26.2528,37266.04,2021-03-26 13:15:00
1616765400000,26.2463,26.3983,26.2463,26.3881,34373.87,2021-03-26 13:30:00
1616766300000,26.388,26.4435,26.3485,26.4312,28008.78,2021-03-26 13:45:00
1616767200000,26.4316,26.5275,26.422,26.4972,32092.11,2021-03-26 14:00:00
1616768100000,26.5076,26.5475,26.44,26.4922,39796.7,2021-03-26 14:15:00
1616769000000,26.4842,26.5012,26.3386,26.3485,33466.27,2021-03-26 14:30:00
1616769900000,26.357,26.4224,26.3471,26.3527,20386.39,2021-03-26 14:45:00
1616770800000,26.353,26.4012,26.268,26.2832,27220.84,2021-03-26 15:00:00
1616771700000,26.2804,26.3023,26.1592,26.183,24916.3,2021-03-26 15:15:00
1616772600000,26.1785,26.2334,26.1452,26.2302,22141.66,2021-03-26 15:30:00
1616773500000,26.2256,26.3403,26.2255,26.3403,17547.51,2021-03-26 15:45:00
1616774400000,26.3307,26.7968,26.2445,26.5616,124953.79,2021-03-26 16:00:00
1616775300000,26.5543,26.7277,26.5389,26.6798,63005.62,2021-03-26 16:15:00
1616776200000,26.6756,27.0339,26.6756,26.9386,240449.46,2021-03-26 16:30:00
1616777100000,26.9531,27.1383,26.9286,27.111,95227.06,2021-03-26 16:45:00
1616778000000,27.111,27.15,26.8177,26.8909,41361.17,2021-03-26 17:00:00
1616778900000,26.8913,27.1026,26.852,26.9117,47190.35,2021-03-26 17:15:00
1616779800000,26.9106,27.0794,26.8918,27.034,40626.34,2021-03-26 17:30:00
1616780700000,27.0285,27.2112,26.9761,27.1609,53291.59,2021-03-26 17:45:00
1616781600000,27.1651,27.2303,27.0432,27.05,26632.06,2021-03-26 18:00:00
1616782500000,27.05,27.05,26.9132,26.9842,32363.0,2021-03-26 18:15:00
1616783400000,26.9806,27.022,26.8633,26.927,29354.41,2021-03-26 18:30:00
1616784300000,26.9269,26.9632,26.8377,26.928,17656.55,2021-03-26 18:45:00
1616785200000,26.9279,26.9466,26.7602,26.862,32890.12,2021-03-26 19:00:00
1616786100000,26.862,26.9745,26.8496,26.9416,18737.83,2021-03-26 19:15:00
1616787000000,26.9386,27.1662,26.9385,27.1182,34475.96,2021-03-26 19:30:00
1616787900000,27.1183,27.2275,27.1094,27.2098,24376.19,2021-03-26 19:45:00
1616788800000,27.2155,27.3804,27.1854,27.2261,65436.35,2021-03-26 20:00:00
1616789700000,27.2261,27.2775,27.134,27.134,33592.22,2021-03-26 20:15:00
1616790600000,27.134,27.2606,27.1097,27.2236,21131.12,2021-03-26 20:30:00
1616791500000,27.2207,27.3581,27.2133,27.3114,21585.87,2021-03-26 20:45:00
1616792400000,27.3114,27.386,27.2286,27.2819,29117.15,2021-03-26 21:00:00
1616793300000,27.2815,27.3853,27.2815,27.2956,33282.84,2021-03-26 21:15:00
1616794200000,27.2903,27.3229,27.2012,27.3042,18953.44,2021-03-26 21:30:00
1616795100000,27.307,27.4,27.294,27.3948,45684.48,2021-03-26 21:45:00
1616796000000,27.3947,27.4,27.2816,27.37,28565.0,2021-03-26 22:00:00
1616796900000,27.37,27.399,27.3,27.3122,19359.7,2021-03-26 22:15:00
1616797800000,27.3121,27.3131,27.2065,27.2312,19835.72,2021-03-26 22:30:00
1616798700000,27.2316,27.2893,27.2065,27.2341,17342.57,2021-03-26 22:45:00
1616799600000,27.2339,27.2637,27.1862,27.2505,14740.35,2021-03-26 23:00:00
1616800500000,27.2556,27.3118,27.1122,27.2516,47089.99,2021-03-26 23:15:00
1616801400000,27.2528,27.3836,27.2373,27.3298,16997.5,2021-03-26 23:30:00
1616802300000,27.3303,27.399,27.3008,27.3927,23526.8,2021-03-26 23:45:00
1616803200000,27.3988,27.4982,27.3232,27.4688,103560.65,2021-03-27 00:00:00
1616804100000,27.469,27.4804,27.3585,27.383,27917.57,2021-03-27 00:15:00
1616805000000,27.3816,27.43,27.1463,27.1469,32216.83,2021-03-27 00:30:00
1616805900000,27.1458,27.2188,27.0107,27.0241,50168.37,2021-03-27 00:45:00
1616806800000,27.0244,27.2228,27.0202,27.1973,27535.8,2021-03-27 01:00:00
1616807700000,27.199,27.199,27.0819,27.1568,11511.12,2021-03-27 01:15:00
1616808600000,27.1653,27.1666,27.0527,27.0917,10243.82,2021-03-27 01:30:00
1616809500000,27.0917,27.0917,26.9783,26.9999,20867.38,2021-03-27 01:45:00
1616810400000,26.9978,27.1046,26.9909,27.0658,11787.66,2021-03-27 02:00:00
1616811300000,27.0812,27.1441,27.0176,27.0176,15306.24,2021-03-27 02:15:00
1616812200000,27.0274,27.0781,26.8921,27.0337,30659.84,2021-03-27 02:30:00
1616813100000,27.034,27.034,26.9107,26.994,13468.42,2021-03-27 02:45:00
1616814000000,26.9973,27.0503,26.8109,26.819,18074.58,2021-03-27 03:00:00
1616814900000,26.821,27.0,26.821,27.0,16801.92,2021-03-27 03:15:00
1616815800000,27.0014,27.0822,26.9573,26.9901,9638.28,2021-03-27 03:30:00
1616816700000,26.9901,27.0298,26.9141,26.954,8478.63,2021-03-27 03:45:00
1616817600000,26.9509,27.0194,26.8775,26.9773,21848.75,2021-03-27 04:00:00
1616818500000,26.9615,27.067,26.8915,27.0379,18696.56,2021-03-27 04:15:00
1616819400000,27.0372,27.0642,26.95,26.9691,14137.38,2021-03-27 04:30:00
1616820300000,26.969,27.0058,26.9002,26.9282,14519.43,2021-03-27 04:45:00
1616821200000,26.9263,26.9744,26.8357,26.8655,23163.29,2021-03-27 05:00:00
1616822100000,26.8655,26.917,26.8212,26.8964,13027.0,2021-03-27 05:15:00
1616823000000,26.8835,26.9199,26.8262,26.8754,13919.6,2021-03-27 05:30:00
1616823900000,26.879,26.9604,26.8726,26.942,13518.57,2021-03-27 05:45:00
1616824800000,26.9449,26.9592,26.85,26.8815,17397.34,2021-03-27 06:00:00
1616825700000,26.8859,26.9694,26.8618,26.8834,14296.78,2021-03-27 06:15:00
1616826600000,26.8817,26.965,26.8709,26.9527,10660.78,2021-03-27 06:30:00
1616827500000,26.954,26.9674,26.8192,26.833,24148.75,2021-03-27 06:45:00
1616828400000,26.83,26.8471,26.7435,26.7546,25518.4,2021-03-27 07:00:00
1616829300000,26.751,26.8289,26.7435,26.7735,19192.3,2021-03-27 07:15:00
1616830200000,26.7736,26.779,26.6232,26.6413,29895.22,2021-03-27 07:30:00
1616831100000,26.6405,26.7179,26.5971,26.6947,24243.6,2021-03-27 07:45:00
1616832000000,26.6947,26.7481,26.56,26.6456,29028.63,2021-03-27 08:00:00
1616832900000,26.6377,26.696,26.5361,26.5676,15147.14,2021-03-27 08:15:00
1616833800000,26.5637,26.61,26.5208,26.61,18902.78,2021-03-27 08:30:00
1616834700000,26.6092,26.7913,26.6092,26.784,17717.8,2021-03-27 08:45:00
1616835600000,26.7811,26.9024,26.692,26.7987,36321.21,2021-03-27 09:00:00
1616836500000,26.7991,26.8988,26.7714,26.8485,23368.31,2021-03-27 09:15:00
