time,open,high,low,close,vol,time_stamp
1600313400000,48.34,48.52,48.28,48.52,3450.9781,2020-09-17 03:30:00
1600314300000,48.5,48.5,48.24,48.26,3324.22059,2020-09-17 03:45:00
1600315200000,48.23,48.53,48.17,48.36,7380.42159,2020-09-17 04:00:00
1600316100000,48.33,48.47,48.33,48.36,2450.22113,2020-09-17 04:15:00
1600317000000,48.34,48.35,48.22,48.27,4660.61729,2020-09-17 04:30:00
1600317900000,48.27,48.44,48.23,48.42,1561.12487,2020-09-17 04:45:00
1600318800000,48.4,48.45,48.25,48.37,6469.33978,2020-09-17 05:00:00
1600319700000,48.37,48.53,48.33,48.44,1960.35498,2020-09-17 05:15:00
1600320600000,48.42,48.47,48.34,48.41,2249.3928,2020-09-17 05:30:00
1600321500000,48.41,48.41,48.27,48.3,2103.68938,2020-09-17 05:45:00
1600322400000,48.32,48.42,48.29,48.4,2139.28718,2020-09-17 06:00:00
1600323300000,48.4,48.4,48.18,48.21,4536.25895,2020-09-17 06:15:00
1600324200000,48.2,48.28,48.13,48.22,2965.20892,2020-09-17 06:30:00
1600325100000,48.22,48.29,48.14,48.22,1885.23308,2020-09-17 06:45:00
1600326000000,48.21,48.48,48.2,48.45,2766.58568,2020-09-17 07:00:00
1600326900000,48.46,48.47,48.36,48.4,1784.2401,2020-09-17 07:15:00
1600327800000,48.4,48.4,48.18,48.24,1873.60493,2020-09-17 07:30:00
1600328700000,48.23,48.3,48.14,48.24,6587.3332,2020-09-17 07:45:00
1600329600000,48.25,48.38,48.23,48.26,1742.2548,2020-09-17 08:00:00
1600330500000,48.25,48.26,48.02,48.21,4940.05049,2020-09-17 08:15:00
1600331400000,48.21,48.26,48.16,48.17,1025.61329,2020-09-17 08:30:00
1600332300000,48.19,48.29,48.13,48.17,3568.31465,2020-09-17 08:45:00
1600333200000,48.15,48.28,48.06,48.28,1234.64438,2020-09-17 09:00:00
1600334100000,48.26,48.26,48.06,48.07,2511.56999,2020-09-17 09:15:00
1600335000000,48.08,48.24,48.06,48.21,2707.34821,2020-09-17 09:30:00
1600335900000,48.21,48.33,48.21,48.23,1998.06298,2020-09-17 09:45:00
1600336800000,48.23,48.3,48.12,48.14,1560.08413,2020-09-17 10:00:00
1600337700000,48.12,48.17,47.79,47.95,8095.52126,2020-09-17 10:15:00
1600338600000,47.95,48.14,47.84,48.02,4619.13575,2020-09-17 10:30:00
1600339500000,48.03,48.43,47.94,48.4,4412.70809,2020-09-17 10:45:00
1600340400000,48.4,48.53,48.31,48.33,3779.99394,2020-09-17 11:00:00
1600341300000,48.33,48.59,48.31,48.59,2302.94105,2020-09-17 11:15:00
1600342200000,48.6,48.68,48.43,48.61,4904.32839,2020-09-17 11:30:00
1600343100000,48.61,48.68,48.51,48.6,2702.86196,2020-09-17 11:45:00
1600344000000,48.62,48.68,48.44,48.49,2873.17667,2020-09-17 12:00:00
1600344900000,48.49,48.51,48.34,48.34,5861.45598,2020-09-17 12:15:00
1600345800000,48.34,48.41,48.31,48.39,1416.4829,2020-09-17 12:30:00
1600346700000,48.4,48.4,47.89,47.94,9284.799,2020-09-17 12:45:00
1600347600000,47.94,48.15,47.85,47.91,4505.07348,2020-09-17 13:00:00
1600348500000,47.92,48.07,47.92,48.04,3511.89451,2020-09-17 13:15:00
1600349400000,48.04,48.13,47.96,48.01,2675.03379,2020-09-17 13:30:00
1600350300000,48.0,48.23,48.0,48.21,2564.52663,2020-09-17 13:45:00
1600351200000,48.21,48.48,48.14,48.36,2876.50773,2020-09-17 14:00:00
1600352100000,48.35,48.43,48.22,48.29,2981.88011,2020-09-17 14:15:00
1600353000000,48.29,48.35,48.18,48.34,3015.66908,2020-09-17 14:30:00
1600353900000,48.34,48.45,47.95,48.4,9224.67265,2020-09-17 14:45:00
1600354800000,48.41,48.59,48.37,48.57,6100.95979,2020-09-17 15:00:00
1600355700000,48.57,48.65,48.41,48.51,2925.86274,2020-09-17 15:15:00
1600356600000,48.49,48.52,48.31,48.33,3355.32168,2020-09-17 15:30:00
1600357500000,48.33,48.47,48.3,48.41,4905.05618,2020-09-17 15:45:00
1600358400000,48.42,48.5,48.32,48.32,2911.52394,2020-09-17 16:00:00
1600359300000,48.32,48.36,48.16,48.24,2809.26799,2020-09-17 16:15:00
1600360200000,48.28,48.34,48.18,48.2,1433.67251,2020-09-17 16:30:00
1600361100000,48.2,48.34,48.2,48.34,1640.38844,2020-09-17 16:45:00
1600362000000,48.32,48.4,48.31,48.38,2178.98979,2020-09-17 17:00:00
1600362900000,48.39,48.45,48.34,48.44,2538.48564,2020-09-17 17:15:00
1600363800000,48.41,48.44,48.34,48.37,2575.10967,2020-09-17 17:30:00
1600364700000,48.37,48.42,48.27,48.35,3567.33926,2020-09-17 17:45:00
1600365600000,48.34,48.73,48.34,48.67,5674.38736,2020-09-17 18:00:00
1600366500000,48.69,48.86,48.51,48.67,6702.09065,2020-09-17 18:15:00
1600367400000,48.68,48.84,48.61,48.71,7690.96376,2020-09-17 18:30:00
1600368300000,48.71,48.81,48.7,48.74,4624.57795,2020-09-17 18:45:00
