time,open,high,low,close,vol,time_stamp
1616663700000,174.46,175.78,174.46,175.21,5567.80398,2021-03-25 09:15:00
1616664600000,175.21,175.57,174.54,175.11,5965.09144,2021-03-25 09:30:00
1616665500000,175.16,176.26,175.15,175.97,9068.37794,2021-03-25 09:45:00
1616666400000,175.97,176.42,174.78,175.84,5324.94274,2021-03-25 10:00:00
1616667300000,175.85,176.53,175.54,176.43,3422.41891,2021-03-25 10:15:00
1616668200000,176.43,176.68,175.91,176.25,5746.30585,2021-03-25 10:30:00
1616669100000,176.26,176.99,175.63,176.65,4086.6847,2021-03-25 10:45:00
1616670000000,176.65,177.01,176.0,176.3,6022.7339,2021-03-25 11:00:00
1616670900000,176.3,176.67,175.51,175.6,4086.99643,2021-03-25 11:15:00
1616671800000,175.6,175.96,175.11,175.13,6294.33742,2021-03-25 11:30:00
1616672700000,175.16,175.26,173.91,173.99,10166.47196,2021-03-25 11:45:00
1616673600000,174.0,175.08,170.8,171.39,25944.55833,2021-03-25 12:00:00
1616674500000,171.39,172.65,168.1,169.25,32206.90016,2021-03-25 12:15:00
1616675400000,169.29,170.41,167.86,169.78,36016.37757,2021-03-25 12:30:00
1616676300000,169.84,171.23,169.74,170.39,16992.26444,2021-03-25 12:45:00
1616677200000,170.39,171.31,169.41,169.6,19584.35939,2021-03-25 13:00:00
1616678100000,169.6,171.5,169.07,171.07,16446.00073,2021-03-25 13:15:00
1616679000000,171.11,173.62,171.06,172.84,21869.00142,2021-03-25 13:30:00
1616679900000,172.88,173.18,172.26,172.91,10166.21634,2021-03-25 13:45:00
1616680800000,172.88,174.08,172.36,173.71,12507.83799,2021-03-25 14:00:00
1616681700000,173.73,174.0,172.65,173.09,8892.0072,2021-03-25 14:15:00
1616682600000,173.08,173.26,171.59,172.42,9690.03729,2021-03-25 14:30:00
1616683500000,172.44,173.14,171.7,172.55,9655.76903,2021-03-25 14:45:00
1616684400000,172.56,172.9,170.2,170.5,12498.36327,2021-03-25 15:00:00
1616685300000,170.51,171.75,170.02,170.92,9517.27992,2021-03-25 15:15:00
1616686200000,170.97,172.34,170.81,171.44,9533.17914,2021-03-25 15:30:00
1616687100000,171.44,171.79,170.04,170.72,10967.17202,2021-03-25 15:45:00
1616688000000,170.7,172.21,168.76,172.15,19835.19948,2021-03-25 16:00:00
1616688900000,172.21,173.9,169.84,170.2,19445.43286,2021-03-25 16:15:00
1616689800000,170.2,171.78,169.62,171.3,15699.13519,2021-03-25 16:30:00
1616690700000,171.28,172.15,170.62,171.55,10555.33086,2021-03-25 16:45:00
