time,open,high,low,close,vol,time_stamp
1600313400000,2.8881,3.57,2.85,2.9436,1263301.15,2020-09-17 03:30:00
1600314300000,2.927,3.1,2.8274,3.0072,806856.3,2020-09-17 03:45:00
1600315200000,3.0001,3.02,2.626,2.7313,880884.72,2020-09-17 04:00:00
1600316100000,2.7401,2.75,2.3626,2.3649,1119188.71,2020-09-17 04:15:00
1600317000000,2.3667,2.64,2.3609,2.5,1025942.43,2020-09-17 04:30:00
1600317900000,2.5,2.73,2.3521,2.6383,776759.14,2020-09-17 04:45:00
1600318800000,2.6384,2.84,2.5311,2.7501,879284.07,2020-09-17 05:00:00
1600319700000,2.7602,2.9113,2.6005,2.63,987779.65,2020-09-17 05:15:00
1600320600000,2.6132,2.7005,2.5018,2.5739,655102.26,2020-09-17 05:30:00
1600321500000,2.5628,2.5831,2.4205,2.5119,658232.26,2020-09-17 05:45:00
1600322400000,2.5174,2.6081,2.4356,2.5463,598490.24,2020-09-17 06:00:00
1600323300000,2.5457,3.3293,2.4885,3.19,2745087.01,2020-09-17 06:15:00
1600324200000,3.171,3.8111,3.1557,3.3154,3091509.57,2020-09-17 06:30:00
1600325100000,3.3,3.79,3.22,3.6961,2180320.71,2020-09-17 06:45:00
1600326000000,3.696,4.5,3.6701,4.1801,2997368.62,2020-09-17 07:00:00
1600326900000,4.1801,4.22,3.63,3.6392,2045269.98,2020-09-17 07:15:00
1600327800000,3.6335,3.8736,3.5,3.5416,2179810.4,2020-09-17 07:30:00
1600328700000,3.5301,3.5694,3.31,3.408,1654662.17,2020-09-17 07:45:00
1600329600000,3.4047,3.6391,3.344,3.5329,1482761.02,2020-09-17 08:00:00
1600330500000,3.5329,3.5366,3.1217,3.2289,1789529.3,2020-09-17 08:15:00
1600331400000,3.2289,3.335,2.9696,2.9886,1604572.03,2020-09-17 08:30:00
1600332300000,2.9777,3.1552,2.8258,2.8805,1550617.4,2020-09-17 08:45:00
1600333200000,2.8917,3.1785,2.83,2.9878,1666636.29,2020-09-17 09:00:00
