time,open,high,low,close,vol,time_stamp
1616663700000,27.2052,27.471,27.1955,27.3028,23723.29,2021-03-25 09:15:00
1616664600000,27.3129,27.4322,27.2229,27.3714,15484.69,2021-03-25 09:30:00
1616665500000,27.3691,27.5393,27.3626,27.4348,25763.72,2021-03-25 09:45:00
1616666400000,27.4379,27.5326,27.0809,27.1895,54254.66,2021-03-25 10:00:00
1616667300000,27.19,27.6366,27.0073,27.6187,64595.62,2021-03-25 10:15:00
1616668200000,27.6366,28.07,27.339,27.3605,262275.31,2021-03-25 10:30:00
1616669100000,27.3605,27.4348,27.1204,27.3589,134476.44,2021-03-25 10:45:00
1616670000000,27.3589,27.5,27.2857,27.3958,54770.48,2021-03-25 11:00:00
1616670900000,27.3958,27.5431,27.2372,27.2556,20236.61,2021-03-25 11:15:00
1616671800000,27.2789,27.3526,26.9201,26.9521,45680.29,2021-03-25 11:30:00
1616672700000,26.9382,26.9578,26.6181,26.6257,55852.15,2021-03-25 11:45:00
1616673600000,26.6257,26.9188,25.8855,25.9956,142073.94,2021-03-25 12:00:00
1616674500000,25.9929,26.4248,25.614,26.0987,120611.14,2021-03-25 12:15:00
1616675400000,26.0987,26.2052,25.5659,26.1257,180129.25,2021-03-25 12:30:00
1616676300000,26.1571,26.75,26.1266,26.3675,141028.44,2021-03-25 12:45:00
1616677200000,26.3606,26.5715,26.1064,26.1163,53150.94,2021-03-25 13:00:00
1616678100000,26.147,26.588,26.0548,26.3978,48520.63,2021-03-25 13:15:00
1616679000000,26.4023,27.1884,26.3781,26.8693,90966.58,2021-03-25 13:30:00
1616679900000,26.8655,26.9175,26.6696,26.8197,31996.83,2021-03-25 13:45:00
1616680800000,26.8203,27.0691,26.733,26.9823,54302.1,2021-03-25 14:00:00
1616681700000,27.0075,27.0782,26.8081,26.8624,30512.14,2021-03-25 14:15:00
1616682600000,26.8419,27.0302,26.5205,26.7702,58548.04,2021-03-25 14:30:00
