time,open,high,low,close,vol,time_stamp
1600313400000,0.25137,0.25291,0.25115,0.25291,1861918.2,2020-09-17 03:30:00
1600314300000,0.25291,0.25296,0.25058,0.2516,2484388.0,2020-09-17 03:45:00
1600315200000,0.25162,0.25256,0.25044,0.25108,4807528.7,2020-09-17 04:00:00
1600316100000,0.25103,0.25173,0.25087,0.2513,1123545.7,2020-09-17 04:15:00
1600317000000,0.25131,0.25131,0.25003,0.25097,2340556.2,2020-09-17 04:30:00
1600317900000,0.25096,0.2522,0.25096,0.25205,1730482.3,2020-09-17 04:45:00
1600318800000,0.25206,0.25234,0.25107,0.25197,877145.9,2020-09-17 05:00:00
1600319700000,0.25194,0.2526,0.25166,0.25229,1254192.3,2020-09-17 05:15:00
1600320600000,0.25236,0.2526,0.25177,0.25255,1396469.6,2020-09-17 05:30:00
1600321500000,0.25255,0.25299,0.25125,0.25282,1475692.2,2020-09-17 05:45:00
1600322400000,0.2528,0.25282,0.25152,0.25188,1154177.7,2020-09-17 06:00:00
1600323300000,0.25185,0.2519,0.25061,0.2508,1079948.6,2020-09-17 06:15:00
1600324200000,0.25086,0.25097,0.24971,0.25036,2013905.8,2020-09-17 06:30:00
1600325100000,0.25036,0.25062,0.24861,0.24964,2443734.1,2020-09-17 06:45:00
1600326000000,0.24961,0.25167,0.2496,0.25144,4167388.7,2020-09-17 07:00:00
1600326900000,0.2514,0.25141,0.2504,0.2508,975267.0,2020-09-17 07:15:00
1600327800000,0.2508,0.25082,0.24958,0.25044,982713.8,2020-09-17 07:30:00
1600328700000,0.25039,0.25119,0.24995,0.25107,814724.6,2020-09-17 07:45:00
1600329600000,0.25104,0.2516,0.24977,0.24992,1406947.3,2020-09-17 08:00:00
1600330500000,0.24984,0.24987,0.2475,0.24929,4170858.8,2020-09-17 08:15:00
1600331400000,0.24927,0.24948,0.24821,0.24855,1335449.0,2020-09-17 08:30:00
1600332300000,0.24857,0.24972,0.24842,0.2491,2043329.6,2020-09-17 08:45:00
1600333200000,0.24906,0.24954,0.24801,0.24953,1209301.6,2020-09-17 09:00:00
1600334100000,0.24953,0.24977,0.24816,0.2483,2744268.3,2020-09-17 09:15:00
1600335000000,0.2483,0.24973,0.24797,0.24955,959264.4,2020-09-17 09:30:00
1600335900000,0.24953,0.24983,0.24902,0.24927,765303.4,2020-09-17 09:45:00
1600336800000,0.24927,0.24986,0.24884,0.24888,1067437.6,2020-09-17 10:00:00
1600337700000,0.24888,0.24894,0.24601,0.24748,3933236.8,2020-09-17 10:15:00
1600338600000,0.24749,0.24885,0.24641,0.24726,3253080.3,2020-09-17 10:30:00
1600339500000,0.24729,0.24909,0.24664,0.24856,2158131.3,2020-09-17 10:45:00
1600340400000,0.24856,0.24899,0.24723,0.24751,1499174.6,2020-09-17 11:00:00
1600341300000,0.24756,0.24875,0.2473,0.24874,1649522.4,2020-09-17 11:15:00
1600342200000,0.24874,0.25054,0.2486,0.24991,2457173.4,2020-09-17 11:30:00
1600343100000,0.24991,0.25172,0.24954,0.25135,1863418.8,2020-09-17 11:45:00
1600344000000,0.25131,0.25177,0.24991,0.25031,1720974.4,2020-09-17 12:00:00
1600344900000,0.2503,0.25045,0.24931,0.24932,1299907.5,2020-09-17 12:15:00
1600345800000,0.24932,0.24953,0.24888,0.24953,827655.2,2020-09-17 12:30:00
1600346700000,0.24953,0.24954,0.24837,0.24889,2083290.1,2020-09-17 12:45:00
1600347600000,0.24888,0.24977,0.248,0.24872,2038365.3,2020-09-17 13:00:00
1600348500000,0.24872,0.249,0.2482,0.24849,1323279.0,2020-09-17 13:15:00
1600349400000,0.24849,0.24914,0.24755,0.24896,1579548.0,2020-09-17 13:30:00
1600350300000,0.24899,0.25057,0.24897,0.25029,2946003.9,2020-09-17 13:45:00
1600351200000,0.2504,0.25078,0.24994,0.25032,1108835.8,2020-09-17 14:00:00
1600352100000,0.25028,0.25077,0.25012,0.25041,1554468.7,2020-09-17 14:15:00
1600353000000,0.25041,0.25063,0.25003,0.25045,1301976.7,2020-09-17 14:30:00
1600353900000,0.25047,0.25092,0.24862,0.25059,3181521.8,2020-09-17 14:45:00
1600354800000,0.25059,0.25117,0.24991,0.25058,1765021.2,2020-09-17 15:00:00
1600355700000,0.25063,0.25084,0.25,0.25039,1755555.0,2020-09-17 15:15:00
