time,open,high,low,close,vol,time_stamp
1616739300000,0.52907,0.52948,0.52834,0.52875,2555916.8,2021-03-26 06:15:00
1616740200000,0.52875,0.53339,0.5278,0.53213,7207226.2,2021-03-26 06:30:00
1616741100000,0.53201,0.53423,0.52904,0.53242,4557107.1,2021-03-26 06:45:00
1616742000000,0.53252,0.53348,0.52905,0.53061,4849648.8,2021-03-26 07:00:00
1616742900000,0.53047,0.53363,0.52998,0.5328,5493885.3,2021-03-26 07:15:00
1616743800000,0.53282,0.5395,0.53273,0.53585,11329552.6,2021-03-26 07:30:00
1616744700000,0.53585,0.53966,0.53409,0.53827,11285900.8,2021-03-26 07:45:00
1616745600000,0.53845,0.54049,0.534,0.53561,9518679.5,2021-03-26 08:00:00
1616746500000,0.5356,0.53682,0.534,0.53497,5734398.9,2021-03-26 08:15:00
1616747400000,0.53498,0.53516,0.5314,0.53204,5791453.1,2021-03-26 08:30:00
1616748300000,0.532,0.5329,0.52934,0.53169,6873996.9,2021-03-26 08:45:00
1616749200000,0.5316,0.53413,0.53114,0.53409,5608925.3,2021-03-26 09:00:00
1616750100000,0.53409,0.5359,0.53282,0.53495,5633208.5,2021-03-26 09:15:00
1616751000000,0.53495,0.53605,0.53133,0.53231,4035285.7,2021-03-26 09:30:00
1616751900000,0.5323,0.53335,0.53,0.5329,5466236.9,2021-03-26 09:45:00
1616752800000,0.53284,0.53434,0.52999,0.53175,5692504.0,2021-03-26 10:00:00
1616753700000,0.53166,0.53639,0.53139,0.53536,5376076.0,2021-03-26 10:15:00
1616754600000,0.53538,0.5463,0.53286,0.54614,13423430.4,2021-03-26 10:30:00
1616755500000,0.54605,0.55078,0.54326,0.54603,17694842.8,2021-03-26 10:45:00
1616756400000,0.54603,0.55495,0.54464,0.55428,15359436.9,2021-03-26 11:00:00
1616757300000,0.55406,0.55759,0.5507,0.55101,16782461.3,2021-03-26 11:15:00
1616758200000,0.55122,0.568,0.55062,0.56525,32694992.9,2021-03-26 11:30:00
1616759100000,0.56522,0.57689,0.561,0.56538,42911313.4,2021-03-26 11:45:00
1616760000000,0.56538,0.56667,0.55664,0.55908,20429427.6,2021-03-26 12:00:00
1616760900000,0.55904,0.56402,0.55703,0.56187,13638946.5,2021-03-26 12:15:00
1616761800000,0.56194,0.564,0.55291,0.55445,9242439.9,2021-03-26 12:30:00
1616762700000,0.55445,0.55853,0.55311,0.55563,8278769.3,2021-03-26 12:45:00
1616763600000,0.55577,0.55898,0.55576,0.55807,4600608.7,2021-03-26 13:00:00
1616764500000,0.55807,0.5583,0.55113,0.55149,8209072.6,2021-03-26 13:15:00
1616765400000,0.55154,0.55569,0.5512,0.555,13200000.0,2021-03-26 13:30:00
1616766300000,0.555,0.55683,0.55241,0.55487,5936344.6,2021-03-26 13:45:00
1616767200000,0.55482,0.556,0.55022,0.55102,4984934.1,2021-03-26 14:00:00
1616768100000,0.55115,0.55389,0.55044,0.55251,3644355.4,2021-03-26 14:15:00
1616769000000,0.55262,0.55793,0.55156,0.55369,7363671.5,2021-03-26 14:30:00
1616769900000,0.55369,0.55488,0.54304,0.54507,14942625.3,2021-03-26 14:45:00
1616770800000,0.54507,0.5482,0.54133,0.54804,12826923.6,2021-03-26 15:00:00
1616771700000,0.5481,0.5493,0.54571,0.54914,4451503.2,2021-03-26 15:15:00
1616772600000,0.54917,0.551,0.54803,0.55024,4425231.1,2021-03-26 15:30:00
1616773500000,0.55022,0.55206,0.549,0.55041,4255256.9,2021-03-26 15:45:00
1616774400000,0.55041,0.56696,0.546,0.56288,20050395.6,2021-03-26 16:00:00
1616775300000,0.56303,0.56842,0.55641,0.56091,15409566.2,2021-03-26 16:15:00
1616776200000,0.5609,0.5635,0.55711,0.5595,9339479.3,2021-03-26 16:30:00
1616777100000,0.55953,0.56044,0.55506,0.55765,7921979.1,2021-03-26 16:45:00
1616778000000,0.55775,0.55956,0.55239,0.55337,7661575.7,2021-03-26 17:00:00
1616778900000,0.55338,0.55505,0.55102,0.5515,4891697.9,2021-03-26 17:15:00
1616779800000,0.55144,0.55666,0.55144,0.55395,7588014.3,2021-03-26 17:30:00
1616780700000,0.55395,0.557,0.55268,0.55586,3186345.3,2021-03-26 17:45:00
