time,open,high,low,close,vol,time_stamp
1617320700000,1.18514,1.18517,1.18283,1.18377,981276.5,2021-04-01 23:45:00
1617321600000,1.1833,1.1887,1.18113,1.18662,1698542.0,2021-04-02 00:00:00
1617322500000,1.1864,1.18763,1.18026,1.18313,1517023.9,2021-04-02 00:15:00
1617323400000,1.18306,1.18826,1.1814,1.18348,2115157.5,2021-04-02 00:30:00
1617324300000,1.18345,1.18586,1.18072,1.18441,2665914.2,2021-04-02 00:45:00
1617325200000,1.18442,1.18733,1.18097,1.18381,1693488.5,2021-04-02 01:00:00
1617326100000,1.18382,1.18743,1.18227,1.18601,1678589.3,2021-04-02 01:15:00
1617327000000,1.18602,1.19099,1.18597,1.189,2030763.1,2021-04-02 01:30:00
1617327900000,1.1892,1.19037,1.18742,1.18928,1512991.9,2021-04-02 01:45:00
1617328800000,1.18912,1.19077,1.18682,1.19016,1634320.0,2021-04-02 02:00:00
1617329700000,1.19005,1.19448,1.18886,1.19448,2847846.4,2021-04-02 02:15:00
1617330600000,1.19449,1.2,1.19,1.19428,6812410.7,2021-04-02 02:30:00
1617331500000,1.19456,1.19784,1.18926,1.19449,5953347.5,2021-04-02 02:45:00
1617332400000,1.19449,1.1976,1.19133,1.19291,3028762.2,2021-04-02 03:00:00
1617333300000,1.19309,1.19515,1.19102,1.19367,2119268.7,2021-04-02 03:15:00
1617334200000,1.19367,1.19448,1.1905,1.19142,1333139.6,2021-04-02 03:30:00
1617335100000,1.19142,1.19215,1.18891,1.19151,1685141.5,2021-04-02 03:45:00
1617336000000,1.19145,1.19458,1.1901,1.19089,1242187.1,2021-04-02 04:00:00
1617336900000,1.19088,1.192,1.19,1.19191,1691299.8,2021-04-02 04:15:00
1617337800000,1.19191,1.196,1.19188,1.19446,1507825.1,2021-04-02 04:30:00
1617338700000,1.19447,1.19656,1.19369,1.19536,1705983.7,2021-04-02 04:45:00
1617339600000,1.19547,1.1975,1.1941,1.19442,2569985.4,2021-04-02 05:00:00
1617340500000,1.1944,1.1962,1.193,1.19338,1799243.6,2021-04-02 05:15:00
1617341400000,1.19333,1.1947,1.19103,1.19214,1460804.9,2021-04-02 05:30:00
1617342300000,1.19206,1.1945,1.19181,1.19337,1301039.2,2021-04-02 05:45:00
1617343200000,1.19338,1.19515,1.193,1.1944,1373035.4,2021-04-02 06:00:00
1617344100000,1.19437,1.199,1.194,1.19767,2440261.8,2021-04-02 06:15:00
1617345000000,1.19767,1.19803,1.1943,1.19569,2824025.9,2021-04-02 06:30:00
1617345900000,1.19567,1.202,1.19566,1.20122,4477340.9,2021-04-02 06:45:00
1617346800000,1.20122,1.21584,1.2012,1.21543,9828476.9,2021-04-02 07:00:00
1617347700000,1.21555,1.22476,1.20809,1.22401,10645609.8,2021-04-02 07:15:00
1617348600000,1.22403,1.24796,1.22403,1.2432,19087238.6,2021-04-02 07:30:00
1617349500000,1.24294,1.24471,1.224,1.22558,12488406.2,2021-04-02 07:45:00
1617350400000,1.22589,1.23873,1.22317,1.22472,7785516.5,2021-04-02 08:00:00
1617351300000,1.2252,1.2286,1.21108,1.2137,9631015.0,2021-04-02 08:15:00
1617352200000,1.21373,1.21785,1.20883,1.21738,5324630.2,2021-04-02 08:30:00
1617353100000,1.21742,1.2233,1.214,1.22223,4763828.8,2021-04-02 08:45:00
1617354000000,1.2224,1.22449,1.21311,1.21375,4101638.0,2021-04-02 09:00:00
1617354900000,1.21353,1.21699,1.21,1.21699,5030724.4,2021-04-02 09:15:00
1617355800000,1.21688,1.2205,1.20918,1.2141,3983597.9,2021-04-02 09:30:00
1617356700000,1.21408,1.2188,1.21263,1.21506,2783144.3,2021-04-02 09:45:00
1617357600000,1.21501,1.21682,1.21003,1.21066,2539086.9,2021-04-02 10:00:00
1617358500000,1.21067,1.22394,1.21001,1.22378,3726450.8,2021-04-02 10:15:00
1617359400000,1.22389,1.2264,1.21615,1.21849,2234053.9,2021-04-02 10:30:00
