time,open,high,low,close,vol,time_stamp
1609312500000,2.596,2.6023,2.59,2.5964,106304.76,2020-12-30 07:15:00
1609313400000,2.5969,2.5969,2.5756,2.5778,134032.47,2020-12-30 07:30:00
1609314300000,2.5783,2.5832,2.5682,2.5763,138087.79,2020-12-30 07:45:00
1609315200000,2.5763,2.613,2.5763,2.6104,266582.37,2020-12-30 08:00:00
1609316100000,2.6109,2.6421,2.5644,2.5798,792781.0,2020-12-30 08:15:00
1609317000000,2.5798,2.5953,2.5685,2.5898,274074.03,2020-12-30 08:30:00
1609317900000,2.5897,2.5906,2.5682,2.5717,331651.5,2020-12-30 08:45:00
1609318800000,2.5722,2.5722,2.5348,2.5576,646124.65,2020-12-30 09:00:00
1609319700000,2.5584,2.5887,2.5573,2.5867,257639.42,2020-12-30 09:15:00
1609320600000,2.587,2.5874,2.575,2.5798,175579.78,2020-12-30 09:30:00
1609321500000,2.5796,2.585,2.5673,2.5764,136801.66,2020-12-30 09:45:00
1609322400000,2.5774,2.5829,2.5662,2.575,146146.63,2020-12-30 10:00:00
1609323300000,2.5747,2.6119,2.5739,2.6062,346632.13,2020-12-30 10:15:00
1609324200000,2.6058,2.6096,2.5965,2.5975,177822.63,2020-12-30 10:30:00
1609325100000,2.5975,2.6056,2.5914,2.6006,167288.2,2020-12-30 10:45:00
1609326000000,2.5996,2.6044,2.5836,2.5972,163282.68,2020-12-30 11:00:00
1609326900000,2.5969,2.5976,2.5867,2.5974,138205.09,2020-12-30 11:15:00
1609327800000,2.596,2.5975,2.5718,2.5834,145730.77,2020-12-30 11:30:00
1609328700000,2.5836,2.5925,2.5751,2.5902,92480.59,2020-12-30 11:45:00
1609329600000,2.5896,2.5932,2.5591,2.5633,139637.33,2020-12-30 12:00:00
1609330500000,2.5637,2.5726,2.5597,2.5675,84689.32,2020-12-30 12:15:00
1609331400000,2.567,2.5789,2.567,2.5779,68005.58,2020-12-30 12:30:00
1609332300000,2.5781,2.5898,2.5752,2.5808,73159.97,2020-12-30 12:45:00
1609333200000,2.5816,2.5883,2.5747,2.5847,129321.12,2020-12-30 13:00:00
1609334100000,2.583,2.5937,2.5824,2.5852,80048.59,2020-12-30 13:15:00
1609335000000,2.5849,2.5883,2.5816,2.5836,61028.28,2020-12-30 13:30:00
1609335900000,2.5835,2.5901,2.5666,2.5684,79495.21,2020-12-30 13:45:00
1609336800000,2.5688,2.5816,2.5682,2.5815,61182.14,2020-12-30 14:00:00
1609337700000,2.5817,2.6036,2.5791,2.5949,136926.64,2020-12-30 14:15:00
1609338600000,2.595,2.6097,2.5931,2.6067,111751.09,2020-12-30 14:30:00
1609339500000,2.6073,2.6073,2.5975,2.6041,68799.14,2020-12-30 14:45:00
1609340400000,2.6043,2.6088,2.5915,2.5981,140335.97,2020-12-30 15:00:00
1609341300000,2.5977,2.6129,2.5936,2.6092,177377.33,2020-12-30 15:15:00
1609342200000,2.6088,2.6115,2.5992,2.6042,120343.35,2020-12-30 15:30:00
1609343100000,2.6022,2.6065,2.5955,2.6003,63550.65,2020-12-30 15:45:00
1609344000000,2.6003,2.615,2.5613,2.5669,350697.18,2020-12-30 16:00:00
1609344900000,2.5672,2.5857,2.5672,2.5822,89484.4,2020-12-30 16:15:00
1609345800000,2.5826,2.61,2.5809,2.6035,150642.65,2020-12-30 16:30:00
1609346700000,2.6023,2.6023,2.5809,2.5824,107956.57,2020-12-30 16:45:00
1609347600000,2.5825,2.5939,2.5701,2.5706,103771.77,2020-12-30 17:00:00
1609348500000,2.5708,2.5795,2.5703,2.5728,77517.38,2020-12-30 17:15:00
1609349400000,2.5734,2.5926,2.5726,2.5889,100873.07,2020-12-30 17:30:00
1609350300000,2.5882,2.5882,2.577,2.579,79129.36,2020-12-30 17:45:00
1609351200000,2.5793,2.5826,2.5711,2.573,142028.39,2020-12-30 18:00:00
1609352100000,2.5719,2.5914,2.566,2.5778,167823.77,2020-12-30 18:15:00
1609353000000,2.5785,2.5785,2.5707,2.5741,49983.33,2020-12-30 18:30:00
1609353900000,2.574,2.5849,2.5716,2.5796,93931.92,2020-12-30 18:45:00
1609354800000,2.5808,2.6056,2.5798,2.6001,195990.44,2020-12-30 19:00:00
1609355700000,2.6011,2.6197,2.5932,2.6173,109830.54,2020-12-30 19:15:00
1609356600000,2.6177,2.6234,2.5905,2.603,196894.23,2020-12-30 19:30:00
1609357500000,2.603,2.6113,2.6026,2.6068,99448.44,2020-12-30 19:45:00
1609358400000,2.6059,2.6097,2.588,2.5915,90772.23,2020-12-30 20:00:00
1609359300000,2.5903,2.5973,2.5824,2.5891,77943.41,2020-12-30 20:15:00
1609360200000,2.5896,2.6039,2.5896,2.6034,94598.39,2020-12-30 20:30:00
1609361100000,2.604,2.6158,2.5944,2.611,197939.54,2020-12-30 20:45:00
1609362000000,2.611,2.6128,2.5985,2.6008,95138.05,2020-12-30 21:00:00
1609362900000,2.6,2.6138,2.5998,2.612,57690.54,2020-12-30 21:15:00
1609363800000,2.6116,2.6138,2.6043,2.6057,47820.96,2020-12-30 21:30:00
1609364700000,2.6062,2.6094,2.5873,2.5999,95186.82,2020-12-30 21:45:00
1609365600000,2.6013,2.6071,2.5976,2.6039,27748.39,2020-12-30 22:00:00
1609366500000,2.6055,2.6065,2.6015,2.6015,15177.06,2020-12-30 22:15:00
1609367400000,2.6015,2.6118,2.6015,2.6061,62894.44,2020-12-30 22:30:00
1609368300000,2.607,2.6133,2.5767,2.5813,244568.63,2020-12-30 22:45:00
1609369200000,2.5817,2.6166,2.5816,2.6041,315520.17,2020-12-30 23:00:00
1609370100000,2.6049,2.6056,2.598,2.6015,70689.99,2020-12-30 23:15:00
1609371000000,2.6015,2.607,2.5972,2.6044,182270.6,2020-12-30 23:30:00
1609371900000,2.6033,2.6157,2.6013,2.6123,88587.94,2020-12-30 23:45:00
1609372800000,2.6124,2.6369,2.6005,2.6358,399072.68,2020-12-31 00:00:00
1609373700000,2.6355,2.6503,2.6247,2.6414,225758.11,2020-12-31 00:15:00
1609374600000,2.6414,2.6449,2.6181,2.6241,161731.56,2020-12-31 00:30:00
1609375500000,2.624,2.6373,2.6208,2.6228,81032.85,2020-12-31 00:45:00
1609376400000,2.6237,2.6267,2.5682,2.5827,581681.44,2020-12-31 01:00:00
1609377300000,2.5821,2.5944,2.5729,2.5775,206156.08,2020-12-31 01:15:00
1609378200000,2.5784,2.5866,2.5729,2.5845,86543.09,2020-12-31 01:30:00
1609379100000,2.5841,2.5973,2.5841,2.5949,103896.19,2020-12-31 01:45:00
1609380000000,2.5942,2.5942,2.5885,2.593,48914.25,2020-12-31 02:00:00
