time,open,high,low,close,vol,time_stamp
1551657600000,0.1691,0.1935,0.1591,0.1674,1813316.97,2019-03-04
1551744000000,0.1675,0.183,0.1666,0.176,3154945.05,2019-03-05
1551830400000,0.1763,0.1778,0.1696,0.1723,1529054.33,2019-03-06
1551916800000,0.1727,0.1845,0.1531,0.181,2326293.79,2019-03-07
1552003200000,0.181,0.209,0.16,0.1947,9072474.48,2019-03-08
1552089600000,0.1948,0.2146,0.1903,0.208,6051922.63,2019-03-09
1552176000000,0.2074,0.2137,0.1951,0.1956,2725744.77,2019-03-10
1552262400000,0.1955,0.2,0.187,0.1925,2091272.33,2019-03-11
1552348800000,0.1915,0.1979,0.1829,0.1924,1722904.78,2019-03-12
1552435200000,0.1924,0.2,0.1875,0.1885,1602148.91,2019-03-13
1552521600000,0.1885,0.202,0.1836,0.1925,2629110.96,2019-03-14
1552608000000,0.1927,0.199,0.1917,0.1956,1325108.08,2019-03-15
1552694400000,0.1956,0.1993,0.1945,0.1966,753433.59,2019-03-16
1552780800000,0.1966,0.1978,0.1914,0.1931,1027520.27,2019-03-17
1552867200000,0.1938,0.199,0.1902,0.194,941245.69,2019-03-18
1552953600000,0.194,0.1949,0.1903,0.1921,1029294.82,2019-03-19
1553040000000,0.1912,0.1948,0.1869,0.1942,1530910.89,2019-03-20
1553126400000,0.194,0.202,0.1866,0.1946,2472085.11,2019-03-21
1553212800000,0.1946,0.1991,0.1916,0.1976,1197105.49,2019-03-22
1553299200000,0.1967,0.2022,0.1963,0.2003,1026729.46,2019-03-23
1553385600000,0.2009,0.2208,0.1893,0.2089,5149809.11,2019-03-24
1553472000000,0.2089,0.21,0.1943,0.2033,2356988.2,2019-03-25
1553558400000,0.2033,0.2205,0.2027,0.2142,4338391.54,2019-03-26
1553644800000,0.2157,0.2277,0.2109,0.2251,2966882.32,2019-03-27
1553731200000,0.2251,0.259,0.2197,0.2533,8033955.59,2019-03-28
1553817600000,0.2533,0.3168,0.2516,0.2837,15368875.74,2019-03-29
1553904000000,0.2841,0.2863,0.257,0.2708,6809285.79,2019-03-30
1553990400000,0.2717,0.2929,0.2651,0.2881,3913553.88,2019-03-31
1554076800000,0.2885,0.307,0.2824,0.283,8335774.52,2019-04-01
1554163200000,0.2842,0.3215,0.2824,0.3205,8925543.49,2019-04-02
1554249600000,0.3203,0.3209,0.2719,0.2832,8908783.3,2019-04-03
1554336000000,0.2846,0.3053,0.268,0.2829,4109972.24,2019-04-04
1554422400000,0.2828,0.3136,0.2821,0.3064,4523231.15,2019-04-05
1554508800000,0.3065,0.3136,0.2959,0.3032,3067028.08,2019-04-06
1554595200000,0.3032,0.3088,0.2934,0.2992,1984740.5,2019-04-07
1554681600000,0.2999,0.305,0.2845,0.2925,1899492.25,2019-04-08
1554768000000,0.2917,0.2928,0.2812,0.2872,1506492.82,2019-04-09
1554854400000,0.2879,0.2999,0.2847,0.292,2409974.97,2019-04-10
1554940800000,0.293,0.2941,0.256,0.268,3518535.91,2019-04-11
1555027200000,0.268,0.2889,0.257,0.2868,2068062.17,2019-04-12
1555113600000,0.286,0.3119,0.282,0.3094,3564265.68,2019-04-13
1555200000000,0.3094,0.33,0.2991,0.3053,6677316.28,2019-04-14
1555286400000,0.3054,0.3139,0.2875,0.2928,3319955.83,2019-04-15
1555372800000,0.2925,0.3297,0.2908,0.3225,5020570.79,2019-04-16
1555459200000,0.3229,0.34,0.316,0.3344,6260424.22,2019-04-17
1555545600000,0.3344,0.3667,0.3335,0.348,7537256.06,2019-04-18
1555632000000,0.3481,0.3826,0.3456,0.3759,6427490.29,2019-04-19
1555718400000,0.3754,0.4374,0.3706,0.4115,13971154.73,2019-04-20
1555804800000,0.4115,0.4971,0.4002,0.4375,34968284.25,2019-04-21
1555891200000,0.4365,0.4555,0.3913,0.3984,16237894.71,2019-04-22
1555977600000,0.3982,0.4493,0.3833,0.4144,18267495.07,2019-04-23
1556064000000,0.4142,0.4485,0.3935,0.4142,22080601.29,2019-04-24
1556150400000,0.4142,0.4331,0.3832,0.3902,12848610.49,2019-04-25
1556236800000,0.3916,0.4015,0.3657,0.3818,10749028.77,2019-04-26
1556323200000,0.3818,0.3974,0.3677,0.3911,5777059.38,2019-04-27
1556409600000,0.3909,0.4222,0.39,0.4055,9046002.57,2019-04-28
1556496000000,0.4051,0.4073,0.37,0.3742,5416264.39,2019-04-29
1556582400000,0.3744,0.3973,0.3715,0.3825,4492051.37,2019-04-30
1556668800000,0.3825,0.3949,0.3761,0.3894,4304616.04,2019-05-01
1556755200000,0.389,0.395,0.3771,0.3804,4687708.37,2019-05-02
1556841600000,0.3805,0.3873,0.3664,0.3781,6149623.73,2019-05-03
1556928000000,0.3785,0.3806,0.3455,0.3617,6671665.65,2019-05-04
1557014400000,0.3622,0.3737,0.3558,0.3583,3003003.93,2019-05-05
1557100800000,0.3585,0.3599,0.3333,0.3473,5501367.43,2019-05-06
1557187200000,0.3475,0.353,0.3151,0.3169,6196460.08,2019-05-07
1557273600000,0.3167,0.3355,0.3088,0.3127,3730738.9,2019-05-08
1557360000000,0.3138,0.3187,0.2749,0.2812,7221793.9,2019-05-09
1557446400000,0.2837,0.3753,0.2819,0.3637,23751831.74,2019-05-10
1557532800000,0.3637,0.385,0.3414,0.3645,19911579.55,2019-05-11
1557619200000,0.3645,0.4067,0.3356,0.3545,16681040.68,2019-05-12
1557705600000,0.3535,0.3663,0.3455,0.3559,8114194.52,2019-05-13
1557792000000,0.3545,0.3769,0.345,0.3636,9658014.93,2019-05-14
1557878400000,0.3638,0.4106,0.3592,0.4066,10887156.22,2019-05-15
1557964800000,0.4076,0.43,0.365,0.3772,15363595.42,2019-05-16
1558051200000,0.3772,0.3826,0.3388,0.3715,9781297.92,2019-05-17
1558137600000,0.3718,0.4028,0.361,0.3731,9168777.29,2019-05-18
1558224000000,0.3731,0.3919,0.3711,0.3813,8553368.55,2019-05-19
1558310400000,0.3813,0.3813,0.3514,0.3603,8088734.03,2019-05-20
1558396800000,0.3603,0.3769,0.34,0.3643,12109052.04,2019-05-21
1558483200000,0.3643,0.3691,0.3296,0.3424,7352563.62,2019-05-22
1558569600000,0.3423,0.349,0.3235,0.348,8141064.15,2019-05-23
1558656000000,0.3485,0.3619,0.3403,0.3508,6707262.65,2019-05-24
1558742400000,0.3503,0.3562,0.3433,0.3476,1946784.73,2019-05-25
1558828800000,0.3478,0.3567,0.3371,0.3497,5374472.87,2019-05-26
1558915200000,0.3497,0.3888,0.3488,0.3778,12184688.54,2019-05-27
1559001600000,0.3772,0.381,0.359,0.3696,5894190.05,2019-05-28
1559088000000,0.3696,0.3701,0.3437,0.3612,5598760.64,2019-05-29
1559174400000,0.361,0.3842,0.3134,0.3363,13083762.85,2019-05-30
1559260800000,0.3358,0.351,0.3195,0.3478,4078594.95,2019-05-31
1559347200000,0.3477,0.3634,0.3401,0.3573,4919958.6,2019-06-01
1559433600000,0.3574,0.3689,0.353,0.3586,3972855.42,2019-06-02
1559520000000,0.3592,0.3778,0.3342,0.3381,9232269.28,2019-06-03
1559606400000,0.3376,0.357,0.3169,0.33,9532710.96,2019-06-04
1559692800000,0.33,0.3418,0.3161,0.3276,5133263.67,2019-06-05
1559779200000,0.3276,0.3344,0.3092,0.3264,5084451.21,2019-06-06
1559865600000,0.3267,0.3478,0.324,0.3373,4851501.17,2019-06-07
1559952000000,0.337,0.3487,0.3268,0.336,2321897.3,2019-06-08
1560038400000,0.3357,0.3461,0.3111,0.3178,2701882.64,2019-06-09
1560124800000,0.3178,0.3357,0.3121,0.3316,2300377.11,2019-06-10
1560211200000,0.3326,0.3341,0.3192,0.3239,1713950.97,2019-06-11
1560297600000,0.3239,0.3353,0.3227,0.3336,2736083.8,2019-06-12
1560384000000,0.3326,0.3341,0.3227,0.3243,2726276.95,2019-06-13
1560470400000,0.3247,0.3274,0.3056,0.3184,4609551.99,2019-06-14
1560556800000,0.3184,0.3338,0.3157,0.3286,3127261.8,2019-06-15
1560643200000,0.3286,0.3373,0.32,0.3349,3736197.05,2019-06-16
1560729600000,0.3355,0.3674,0.3337,0.3444,11912865.23,2019-06-17
1560816000000,0.3444,0.3534,0.333,0.3505,6207555.76,2019-06-18
1560902400000,0.3511,0.352,0.339,0.3402,3250035.48,2019-06-19
1560988800000,0.3402,0.3429,0.321,0.3306,4255987.14,2019-06-20
1561075200000,0.3306,0.3335,0.3226,0.328,3403415.44,2019-06-21
1561161600000,0.328,0.339,0.3121,0.3318,12028566.95,2019-06-22
1561248000000,0.3324,0.338,0.3213,0.3259,4831658.77,2019-06-23
1561334400000,0.3241,0.3324,0.32,0.3237,2640895.85,2019-06-24
1561420800000,0.3235,0.3251,0.3126,0.315,4515100.74,2019-06-25
1561507200000,0.3156,0.33,0.2962,0.3069,11879353.63,2019-06-26
1561593600000,0.3051,0.3129,0.2811,0.2892,8816347.05,2019-06-27
1561680000000,0.2889,0.3002,0.2835,0.292,3179251.62,2019-06-28
1561766400000,0.2922,0.3268,0.2806,0.3252,7219480.68,2019-06-29
1561852800000,0.3251,0.3499,0.29,0.2945,11648162.68,2019-06-30
1561939200000,0.2948,0.35,0.2944,0.3331,20526269.1,2019-07-01
1562025600000,0.3322,0.3385,0.2988,0.3218,9769353.17,2019-07-02
1562112000000,0.3224,0.3235,0.3023,0.3088,5262617.32,2019-07-03
1562198400000,0.3088,0.3127,0.2909,0.2941,4168779.76,2019-07-04
1562284800000,0.2925,0.3021,0.2893,0.2952,2732184.29,2019-07-05
1562371200000,0.2948,0.2996,0.29,0.2944,2688035.76,2019-07-06
1562457600000,0.2943,0.3059,0.29,0.2983,2956420.87,2019-07-07
1562544000000,0.2982,0.325,0.2951,0.2967,6587943.35,2019-07-08
1562630400000,0.2968,0.3054,0.2857,0.2946,4836751.93,2019-07-09
1562716800000,0.2946,0.3338,0.2842,0.2963,7183620.31,2019-07-10
1562803200000,0.2967,0.3011,0.2696,0.2952,5003634.22,2019-07-11
1562889600000,0.2946,0.2979,0.2789,0.2889,3292545.97,2019-07-12
1562976000000,0.2893,0.2959,0.2786,0.286,3038422.85,2019-07-13
1563062400000,0.2863,0.2863,0.2458,0.2464,3863175.36,2019-07-14
1563148800000,0.2461,0.2522,0.2203,0.2472,3603328.97,2019-07-15
1563235200000,0.2471,0.25,0.1998,0.2041,4454911.03,2019-07-16
1563321600000,0.2037,0.2265,0.1994,0.2168,3416586.01,2019-07-17
1563408000000,0.2161,0.2435,0.2081,0.2331,4915369.32,2019-07-18
1563494400000,0.2328,0.2582,0.2304,0.2453,4629577.85,2019-07-19
1563580800000,0.2461,0.263,0.2433,0.2537,3161260.52,2019-07-20
1563667200000,0.254,0.2576,0.2406,0.2482,1799589.41,2019-07-21
1563753600000,0.2483,0.2546,0.2386,0.2453,2123319.98,2019-07-22
1563840000000,0.2456,0.2548,0.2291,0.2302,2905915.89,2019-07-23
1563926400000,0.2304,0.2377,0.2219,0.2326,2107824.67,2019-07-24
1564012800000,0.2318,0.2426,0.2312,0.2339,1490110.59,2019-07-25
1564099200000,0.2329,0.2635,0.2295,0.2626,3965459.7,2019-07-26
1564185600000,0.2621,0.2791,0.248,0.2708,10725820.89,2019-07-27
1564272000000,0.2709,0.2794,0.242,0.2571,5289905.81,2019-07-28
1564358400000,0.2577,0.2638,0.2492,0.2535,2814965.79,2019-07-29
1564444800000,0.2535,0.2551,0.24,0.2466,3348047.15,2019-07-30
1564531200000,0.2467,0.2541,0.2432,0.2469,1846185.57,2019-07-31
1564617600000,0.247,0.2472,0.2325,0.2364,2617600.7,2019-08-01
1564704000000,0.2363,0.2458,0.2315,0.2366,3852295.5,2019-08-02
1564790400000,0.2366,0.2394,0.2296,0.2348,2833212.74,2019-08-03
1564876800000,0.2349,0.2418,0.23,0.2359,1953362.82,2019-08-04
1564963200000,0.2361,0.2476,0.2307,0.2338,4154842.76,2019-08-05
1565049600000,0.2331,0.2347,0.2161,0.2171,3465735.2,2019-08-06
1565136000000,0.217,0.2356,0.2123,0.2217,5094241.58,2019-08-07
1565222400000,0.2225,0.2325,0.2065,0.2098,4629812.37,2019-08-08
1565308800000,0.2098,0.2119,0.196,0.1992,3013333.64,2019-08-09
1565395200000,0.1996,0.2155,0.1968,0.2023,2924836.8,2019-08-10
