time,open,high,low,close,vol,time_stamp
1528761600000,16.2,16.7999,13.95,14.6282,744968.58,2018-06-12
1528848000000,14.7,14.9731,12.813,13.8499,781129.3,2018-06-13
1528934400000,13.8003,14.3409,13.15,14.0624,682270.16,2018-06-14
1529020800000,14.0662,14.0748,13.5555,13.82,486000.73,2018-06-15
1529107200000,13.82,14.88,13.7599,14.44,663787.16,2018-06-16
1529193600000,14.4291,14.6432,14.0727,14.2399,535906.2,2018-06-17
1529280000000,14.2399,15.62,13.971,15.0902,615447.91,2018-06-18
1529366400000,15.1096,15.9448,15.0,15.6025,586508.69,2018-06-19
1529452800000,15.6025,17.451,14.715,17.35,779691.09,2018-06-20
1529539200000,17.32,17.86,16.5037,17.5826,953254.49,2018-06-21
1529625600000,17.5826,17.6825,14.11,14.48,1295188.37,2018-06-22
1529712000000,14.4848,15.1213,14.13,14.753,518777.36,2018-06-23
1529798400000,14.7693,15.4514,13.0182,14.792,841002.42,2018-06-24
1529884800000,14.7802,16.0999,14.4705,15.85,644026.9,2018-06-25
1529971200000,15.85,15.999,14.7,14.8447,708799.86,2018-06-26
1530057600000,14.8203,15.6399,14.18,15.4501,1004615.03,2018-06-27
1530144000000,15.4512,15.6699,14.3731,14.5421,1125501.57,2018-06-28
1530230400000,14.5309,15.55,14.21,15.2534,1110916.87,2018-06-29
1530316800000,15.2546,16.8529,15.2101,16.1571,1132170.79,2018-06-30
1530403200000,16.165,16.45,15.54,16.0358,733989.26,2018-07-01
1530489600000,16.0017,17.04,15.6,16.6514,921193.92,2018-07-02
1530576000000,16.6613,17.1671,16.022,16.1401,888958.93,2018-07-03
1530662400000,16.1896,17.495,16.0254,16.8426,662602.99,2018-07-04
1530748800000,16.8599,17.4345,16.66,17.4,802679.24,2018-07-05
1530835200000,17.405,18.4678,16.8048,18.327,1383266.95,2018-07-06
1530921600000,18.34,18.7901,17.4158,18.6621,916164.84,2018-07-07
1531008000000,18.6505,18.98,18.1207,18.3447,740441.41,2018-07-08
1531094400000,18.2921,18.75,18.0995,18.1567,738773.85,2018-07-09
1531180800000,18.1766,18.2498,16.02,16.05,1140799.43,2018-07-10
1531267200000,16.0791,16.7214,15.6504,16.44,902667.55,2018-07-11
1531353600000,16.4511,16.4512,15.67,16.3326,770853.48,2018-07-12
1531440000000,16.3651,16.85,16.056,16.27,909976.41,2018-07-13
1531526400000,16.243,16.7434,16.0622,16.3634,595782.12,2018-07-14
1531612800000,16.3665,16.92,16.2507,16.6365,674323.49,2018-07-15
1531699200000,16.6366,17.5396,16.5247,17.384,844366.14,2018-07-16
1531785600000,17.3301,18.3,16.8803,17.92,1063152.13,2018-07-17
1531872000000,17.9032,18.4396,17.04,17.3411,1226583.46,2018-07-18
1531958400000,17.3288,17.9556,17.0364,17.3844,809263.5,2018-07-19
1532044800000,17.3935,17.65,15.73,16.1008,847104.73,2018-07-20
1532131200000,16.1009,16.7019,15.7701,16.3356,723326.2,2018-07-21
1532217600000,16.3106,16.5658,16.0,16.1449,798029.77,2018-07-22
1532304000000,16.15,16.76,15.85,16.0477,671705.72,2018-07-23
1532390400000,16.0476,16.8299,15.72,16.5948,760401.03,2018-07-24
1532476800000,16.5752,16.9085,16.12,16.5352,519882.57,2018-07-25
1532563200000,16.5405,17.4679,16.294,16.66,751866.16,2018-07-26
1532649600000,16.6599,17.23,16.31,17.0736,902071.25,2018-07-27
1532736000000,17.0844,17.4,16.6028,17.0143,881786.95,2018-07-28
1532822400000,17.0143,17.15,16.683,16.8879,825160.08,2018-07-29
1532908800000,16.8955,17.4,16.6001,17.118,1067099.79,2018-07-30
1532995200000,17.1354,17.1625,15.8135,16.185,926336.02,2018-07-31
1533081600000,16.18,16.32,14.9442,15.4773,978358.27,2018-08-01
1533168000000,15.4731,15.6,14.5313,14.9281,1109087.46,2018-08-02
1533254400000,14.914,17.65,14.1206,16.5698,1849257.81,2018-08-03
1533340800000,16.5698,16.9553,15.83,16.4573,1562769.54,2018-08-04
1533427200000,16.4572,17.85,16.21,17.687,1485329.11,2018-08-05
1533513600000,17.6869,18.7899,17.1273,18.7005,2117990.67,2018-08-06
1533600000000,18.7005,20.8016,16.66,17.3,4712762.71,2018-08-07
1533686400000,17.3001,17.3001,14.51,15.1413,2983380.94,2018-08-08
1533772800000,15.1499,15.4707,14.2981,15.0176,1630680.22,2018-08-09
1533859200000,15.0176,15.33,14.03,14.2569,839857.7,2018-08-10
1533945600000,14.2567,14.2871,12.4003,13.1436,952822.39,2018-08-11
1534032000000,13.1985,13.6342,12.8,13.1844,628718.55,2018-08-12
1534118400000,13.1891,13.45,11.8508,11.9,2306175.13,2018-08-13
1534204800000,11.9,11.9687,10.0881,11.77,2621615.0,2018-08-14
1534291200000,11.77,13.75,11.5842,13.2459,2886277.83,2018-08-15
1534377600000,13.2001,14.95,12.8287,13.8966,4114710.24,2018-08-16
1534464000000,13.8966,14.587,12.81,14.4524,4232142.04,2018-08-17
1534550400000,14.4653,14.5772,12.5158,13.1793,3060704.47,2018-08-18
1534636800000,13.1566,13.7826,12.817,13.3035,2466991.27,2018-08-19
1534723200000,13.3036,13.5427,12.1785,12.3703,2496132.99,2018-08-20
1534809600000,12.3931,12.87,12.2026,12.732,2552094.99,2018-08-21
1534896000000,12.7472,13.47,11.8379,12.1713,2966351.0,2018-08-22
1534982400000,12.1884,12.6373,12.099,12.4789,2473580.96,2018-08-23
1535068800000,12.4824,12.6,12.25,12.5709,1254787.95,2018-08-24
1535155200000,12.5447,12.8,12.3499,12.505,1247493.31,2018-08-25
1535241600000,12.5125,12.671,12.03,12.4457,1255325.35,2018-08-26
1535328000000,12.4404,12.7401,12.267,12.7227,1611242.3,2018-08-27
1535414400000,12.7002,13.3997,12.6049,13.1837,1784436.68,2018-08-28
1535500800000,13.1803,13.2952,12.7609,12.996,1608205.41,2018-08-29
1535587200000,12.996,13.0768,12.4268,12.848,1415488.69,2018-08-30
1535673600000,12.844,14.2,12.3184,12.7411,1501368.3,2018-08-31
1535760000000,12.7398,13.4059,12.7259,13.1736,1529867.66,2018-09-01
1535846400000,13.1793,13.4566,12.9722,13.4031,1291883.92,2018-09-02
1535932800000,13.4032,14.5652,13.4031,14.0611,2169868.14,2018-09-03
1536019200000,14.0611,14.28,13.6973,13.9819,1252213.82,2018-09-04
1536105600000,13.9895,14.0812,11.7069,11.7599,1567556.31,2018-09-05
1536192000000,11.7761,12.0758,11.1133,11.9851,1385549.46,2018-09-06
1536278400000,11.986,12.2512,11.4,11.5867,1222935.57,2018-09-07
1536364800000,11.5642,11.8513,10.6667,10.9721,1234279.35,2018-09-08
1536451200000,10.9591,11.6474,10.8409,11.21,1185524.75,2018-09-09
1536537600000,11.2134,11.4999,10.9223,11.3064,1281613.77,2018-09-10
1536624000000,11.3065,11.51,10.8412,11.2605,1499231.77,2018-09-11
1536710400000,11.2675,11.3149,10.14,10.7222,1379943.42,2018-09-12
1536796800000,10.7223,11.3223,10.685,11.1085,1535626.82,2018-09-13
1536883200000,11.0791,11.3875,10.8548,10.9416,1435254.55,2018-09-14
1536969600000,10.9517,11.5799,10.91,11.28,1139800.2,2018-09-15
1537056000000,11.2713,11.3094,10.9201,11.2048,1178924.23,2018-09-16
1537142400000,11.2048,11.3175,10.0328,10.28,1392414.46,2018-09-17
1537228800000,10.2847,10.8176,10.2191,10.5548,1214597.87,2018-09-18
1537315200000,10.5605,11.2379,10.2349,10.7821,1332153.15,2018-09-19
1537401600000,10.792,11.29,10.57,11.14,1363010.07,2018-09-20
1537488000000,11.1505,11.8007,11.01,11.7085,1824616.39,2018-09-21
1537574400000,11.6988,11.9,11.1751,11.4491,942330.23,2018-09-22
1537660800000,11.4479,11.7914,11.3718,11.6,1297327.21,2018-09-23
1537747200000,11.6102,11.6236,10.9601,11.0405,1317244.13,2018-09-24
1537833600000,11.0449,11.35,10.3842,11.11,1305713.35,2018-09-25
1537920000000,11.11,11.3387,10.8172,10.9619,1185836.9,2018-09-26
1538006400000,10.974,11.5892,10.75,11.4479,1169995.22,2018-09-27
1538092800000,11.4498,11.6223,11.088,11.2481,1286847.69,2018-09-28
1538179200000,11.254,11.4781,10.9821,11.3992,961707.54,2018-09-29
1538265600000,11.4101,11.4531,11.1351,11.3203,1137539.88,2018-09-30
1538352000000,11.3301,11.42,11.0502,11.2504,814989.53,2018-10-01
1538438400000,11.2381,11.388,11.125,11.163,1096915.05,2018-10-02
1538524800000,11.1568,11.2249,10.848,11.141,1207844.1,2018-10-03
1538611200000,11.141,11.2465,11.0055,11.0936,655528.42,2018-10-04
1538697600000,11.0961,11.22,10.9799,11.0963,758350.42,2018-10-05
1538784000000,11.0901,11.1296,10.8516,10.9652,159131.07,2018-10-06
1538870400000,10.9652,11.0502,10.6666,10.95,110952.91,2018-10-07
1538956800000,10.9558,11.0916,10.8587,11.0077,198996.67,2018-10-08
1539043200000,11.0094,11.0207,10.85,10.9509,111108.81,2018-10-09
1539129600000,10.9508,10.9553,10.72,10.9023,187868.81,2018-10-10
1539216000000,10.9023,10.9099,9.05,9.2017,717170.0,2018-10-11
1539302400000,9.2151,9.7805,9.14,9.5181,1110329.2,2018-10-12
1539388800000,9.5205,9.6567,9.4689,9.5974,1085820.9,2018-10-13
1539475200000,9.6004,9.79,9.473,9.5081,1189360.92,2018-10-14
1539561600000,9.5149,11.08,9.3612,10.0182,1191068.85,2018-10-15
1539648000000,10.0362,10.1855,9.8975,9.989,123875.09,2018-10-16
1539734400000,9.9818,10.338,9.86,10.1051,1189228.13,2018-10-17
1539820800000,10.1133,10.1502,9.7364,9.7965,1161135.8,2018-10-18
1539907200000,9.7965,9.8482,9.6732,9.75,706511.44,2018-10-19
1539993600000,9.7507,9.9,9.7,9.82,42531.99,2018-10-20
1540080000000,9.8219,9.9763,9.763,9.7639,469187.27,2018-10-21
1540166400000,9.7638,10.448,9.7191,10.2037,971149.97,2018-10-22
1540252800000,10.2037,10.3625,9.8233,9.9226,717309.47,2018-10-23
1540339200000,9.9226,10.0527,9.8262,9.8365,493252.16,2018-10-24
1540425600000,9.8366,9.8728,9.6301,9.776,299481.14,2018-10-25
1540512000000,9.7708,9.8732,9.65,9.754,258805.37,2018-10-26
1540598400000,9.754,9.7817,9.6438,9.6867,234776.13,2018-10-27
1540684800000,9.6865,9.7322,9.578,9.6286,249984.45,2018-10-28
1540771200000,9.6357,9.7364,8.9596,9.1034,466158.11,2018-10-29
1540857600000,9.1083,9.2325,8.9396,9.0239,322783.22,2018-10-30
1540944000000,9.0184,9.1535,8.7787,9.0855,353935.47,2018-10-31
1541030400000,9.0859,9.1199,9.0015,9.107,252847.94,2018-11-01
1541116800000,9.1107,9.2542,9.053,9.209,309483.03,2018-11-02
1541203200000,9.201,9.2164,9.0317,9.154,232063.75,2018-11-03
1541289600000,9.1542,9.6695,9.1236,9.5696,370265.84,2018-11-04
1541376000000,9.5614,9.5664,9.3401,9.4899,337559.97,2018-11-05
1541462400000,9.4854,10.0564,9.4282,10.0255,430862.86,2018-11-06
1541548800000,10.024,10.0366,9.6183,9.7302,317963.48,2018-11-07
1541635200000,9.7306,9.7613,9.4672,9.5167,264668.57,2018-11-08
1541721600000,9.5116,9.6891,9.4535,9.5498,217136.97,2018-11-09
1541808000000,9.5414,9.63,9.5041,9.519,102952.42,2018-11-10
1541894400000,9.52,9.5253,9.0,9.3041,170585.61,2018-11-11
1541980800000,9.2874,9.3811,9.2056,9.2608,114357.02,2018-11-12
1542067200000,9.2608,9.305,9.11,9.1848,140792.94,2018-11-13
1542153600000,9.1848,9.4519,7.0726,8.2012,1266018.26,2018-11-14
1542240000000,8.2007,8.2095,7.2001,7.8927,1717476.2,2018-11-15
1542326400000,7.893,7.9468,7.4871,7.5637,531886.06,2018-11-16
