time,open,high,low,close,vol,time_stamp
1603220400000,0.10245,0.10263,0.10175,0.10209,12190922.1,2020-10-20 19:00:00
1603224000000,0.1021,0.10342,0.10195,0.1028,16312024.0,2020-10-20 20:00:00
1603227600000,0.10275,0.1029,0.10197,0.10289,5973724.2,2020-10-20 21:00:00
1603231200000,0.1029,0.10328,0.10182,0.10237,7003195.6,2020-10-20 22:00:00
1603234800000,0.10238,0.10259,0.10116,0.10238,7237087.8,2020-10-20 23:00:00
1603238400000,0.10237,0.10318,0.10128,0.10261,10419994.1,2020-10-21 00:00:00
1603242000000,0.10265,0.10363,0.10251,0.10327,6838640.1,2020-10-21 01:00:00
1603245600000,0.1032,0.10376,0.10265,0.10302,8604394.5,2020-10-21 02:00:00
1603249200000,0.10306,0.10506,0.10302,0.10448,11356048.0,2020-10-21 03:00:00
1603252800000,0.10453,0.10642,0.10451,0.10575,22230494.7,2020-10-21 04:00:00
1603256400000,0.10576,0.10595,0.10489,0.10516,6064400.4,2020-10-21 05:00:00
1603260000000,0.10514,0.10532,0.10467,0.1049,6126410.2,2020-10-21 06:00:00
1603263600000,0.10495,0.10517,0.10409,0.10476,7340747.7,2020-10-21 07:00:00
1603267200000,0.10474,0.10491,0.10352,0.10366,9761767.2,2020-10-21 08:00:00
1603270800000,0.1036,0.10412,0.10343,0.10404,3310923.8,2020-10-21 09:00:00
1603274400000,0.10405,0.10457,0.10383,0.10418,3619389.6,2020-10-21 10:00:00
1603278000000,0.10418,0.10445,0.10367,0.10394,7259886.6,2020-10-21 11:00:00
1603281600000,0.10394,0.10423,0.10342,0.10378,12197910.7,2020-10-21 12:00:00
1603285200000,0.10378,0.1059,0.10355,0.1058,16099292.2,2020-10-21 13:00:00
1603288800000,0.10583,0.10744,0.10523,0.10641,20429330.9,2020-10-21 14:00:00
1603292400000,0.1064,0.1077,0.10624,0.1072,13517286.2,2020-10-21 15:00:00
1603296000000,0.10722,0.10858,0.10713,0.10779,17648614.1,2020-10-21 16:00:00
1603299600000,0.10784,0.10824,0.10685,0.10757,12600979.4,2020-10-21 17:00:00
1603303200000,0.10762,0.10787,0.1071,0.10718,4584739.1,2020-10-21 18:00:00
1603306800000,0.1072,0.10736,0.1061,0.10622,9054932.6,2020-10-21 19:00:00
1603310400000,0.10624,0.10711,0.10619,0.10698,6029990.2,2020-10-21 20:00:00
1603314000000,0.10691,0.108,0.10675,0.10748,8600016.2,2020-10-21 21:00:00
1603317600000,0.1075,0.10798,0.10668,0.1071,14146572.3,2020-10-21 22:00:00
1603321200000,0.1071,0.10746,0.105,0.10589,28871458.4,2020-10-21 23:00:00
1603324800000,0.10585,0.10727,0.10571,0.10692,8428091.3,2020-10-22 00:00:00
1603328400000,0.10693,0.10753,0.10656,0.10734,7107359.1,2020-10-22 01:00:00
1603332000000,0.10732,0.10749,0.10607,0.10619,6156814.9,2020-10-22 02:00:00
1603335600000,0.10619,0.10655,0.10553,0.10554,6252565.9,2020-10-22 03:00:00
1603339200000,0.10552,0.10607,0.10507,0.10592,7994806.7,2020-10-22 04:00:00
1603342800000,0.10592,0.10659,0.1054,0.10599,5118145.8,2020-10-22 05:00:00
1603346400000,0.10603,0.1066,0.10581,0.10634,6465919.8,2020-10-22 06:00:00
1603350000000,0.10632,0.1076,0.10614,0.10756,7101267.6,2020-10-22 07:00:00
1603353600000,0.10755,0.10793,0.10716,0.10719,7941630.3,2020-10-22 08:00:00
1603357200000,0.1072,0.10765,0.1065,0.10721,9008030.5,2020-10-22 09:00:00
1603360800000,0.1072,0.10902,0.10648,0.10887,19351339.1,2020-10-22 10:00:00
1603364400000,0.10889,0.10952,0.10821,0.10908,17641768.8,2020-10-22 11:00:00
1603368000000,0.10907,0.10988,0.10828,0.1091,12090085.2,2020-10-22 12:00:00
1603371600000,0.1091,0.11,0.10907,0.10969,9967862.4,2020-10-22 13:00:00
1603375200000,0.10967,0.11,0.10895,0.10981,9078579.0,2020-10-22 14:00:00
1603378800000,0.10978,0.10998,0.10888,0.10923,11680820.8,2020-10-22 15:00:00
1603382400000,0.10924,0.11079,0.10919,0.11078,22040947.9,2020-10-22 16:00:00
1603386000000,0.11077,0.11159,0.11036,0.11112,19842658.6,2020-10-22 17:00:00
1603389600000,0.11103,0.11119,0.11021,0.11094,8775502.5,2020-10-22 18:00:00
1603393200000,0.11098,0.112,0.11052,0.11091,12732398.1,2020-10-22 19:00:00
1603396800000,0.1109,0.11152,0.1107,0.1109,5737677.4,2020-10-22 20:00:00
1603400400000,0.11089,0.11167,0.11026,0.11148,6197023.4,2020-10-22 21:00:00
1603404000000,0.11151,0.11279,0.11116,0.11117,11208725.6,2020-10-22 22:00:00
1603407600000,0.11113,0.11134,0.10978,0.11077,15226929.2,2020-10-22 23:00:00
1603411200000,0.11075,0.11076,0.10914,0.11,10253210.4,2020-10-23 00:00:00
1603414800000,0.11,0.1105,0.10967,0.10996,4794831.5,2020-10-23 01:00:00
1603418400000,0.10994,0.1117,0.10977,0.11152,8510717.6,2020-10-23 02:00:00
1603422000000,0.11152,0.11228,0.1107,0.1109,13058729.2,2020-10-23 03:00:00
1603425600000,0.1109,0.11105,0.11018,0.11027,5238592.1,2020-10-23 04:00:00
1603429200000,0.11026,0.11063,0.10964,0.11033,12771142.0,2020-10-23 05:00:00
1603432800000,0.11033,0.11035,0.1091,0.10928,10135976.0,2020-10-23 06:00:00
1603436400000,0.10931,0.10977,0.10912,0.10928,7474361.7,2020-10-23 07:00:00
1603440000000,0.10927,0.10993,0.1085,0.10957,11977304.6,2020-10-23 08:00:00
1603443600000,0.10954,0.10977,0.10896,0.10906,9293316.6,2020-10-23 09:00:00
1603447200000,0.10907,0.10984,0.10906,0.1098,8011478.8,2020-10-23 10:00:00
1603450800000,0.1098,0.11062,0.10938,0.11003,21277098.1,2020-10-23 11:00:00
1603454400000,0.11006,0.11039,0.10962,0.10998,9422038.6,2020-10-23 12:00:00
1603458000000,0.10997,0.11037,0.10961,0.1097,8444092.9,2020-10-23 13:00:00
1603461600000,0.10969,0.10996,0.10801,0.10847,14089310.4,2020-10-23 14:00:00
1603465200000,0.10844,0.1089,0.10738,0.10788,15821344.3,2020-10-23 15:00:00
1603468800000,0.10783,0.10826,0.10515,0.10632,26758971.8,2020-10-23 16:00:00
1603472400000,0.10636,0.10676,0.10585,0.10619,6173914.8,2020-10-23 17:00:00
1603476000000,0.10622,0.10708,0.10615,0.1068,5374830.2,2020-10-23 18:00:00
1603479600000,0.10679,0.10756,0.10661,0.10751,4387238.3,2020-10-23 19:00:00
1603483200000,0.10754,0.10811,0.10735,0.10755,5983254.2,2020-10-23 20:00:00
1603486800000,0.10751,0.10761,0.10722,0.10738,1892634.9,2020-10-23 21:00:00
1603490400000,0.10733,0.10774,0.10704,0.1077,2208266.0,2020-10-23 22:00:00
1603494000000,0.10774,0.10868,0.10761,0.10805,5996512.1,2020-10-23 23:00:00
1603497600000,0.10801,0.10833,0.10747,0.10771,5225177.3,2020-10-24 00:00:00
1603501200000,0.10776,0.10933,0.10762,0.109,7722526.0,2020-10-24 01:00:00
1603504800000,0.109,0.10906,0.10852,0.10874,4093100.7,2020-10-24 02:00:00
1603508400000,0.10874,0.109,0.1085,0.10884,3366086.8,2020-10-24 03:00:00
1603512000000,0.10883,0.1099,0.10883,0.1097,11048390.5,2020-10-24 04:00:00
1603515600000,0.10967,0.1097,0.10907,0.10939,4513022.5,2020-10-24 05:00:00
1603519200000,0.10939,0.10944,0.10884,0.10896,3986824.2,2020-10-24 06:00:00
1603522800000,0.10896,0.10935,0.1082,0.10842,7959300.1,2020-10-24 07:00:00
1603526400000,0.10842,0.1087,0.10758,0.10791,9697591.0,2020-10-24 08:00:00
1603530000000,0.10794,0.10827,0.10726,0.10824,7972737.2,2020-10-24 09:00:00
1603533600000,0.10821,0.10915,0.10782,0.10895,11908475.3,2020-10-24 10:00:00
1603537200000,0.10893,0.10953,0.1087,0.10932,4790757.3,2020-10-24 11:00:00
1603540800000,0.10932,0.10948,0.10826,0.10836,6878480.2,2020-10-24 12:00:00
1603544400000,0.10836,0.10908,0.10833,0.109,5227249.2,2020-10-24 13:00:00
