time,open,high,low,close,vol,time_stamp
1603220400000,0.2041,0.2043,0.2019,0.2033,363867.04,2020-10-20 19:00:00
1603224000000,0.2033,0.2065,0.203,0.2065,680254.68,2020-10-20 20:00:00
1603227600000,0.2063,0.2106,0.2049,0.2102,2682809.4,2020-10-20 21:00:00
1603231200000,0.2102,0.2103,0.2079,0.2091,235986.54,2020-10-20 22:00:00
1603234800000,0.2092,0.2092,0.207,0.2083,380219.58,2020-10-20 23:00:00
1603238400000,0.2085,0.2104,0.2077,0.2102,216041.7,2020-10-21 00:00:00
1603242000000,0.2102,0.2102,0.2097,0.21,73760.18,2020-10-21 01:00:00
1603245600000,0.21,0.2121,0.2099,0.2119,271571.12,2020-10-21 02:00:00
1603249200000,0.2117,0.2141,0.2116,0.2134,785931.21,2020-10-21 03:00:00
1603252800000,0.2131,0.2153,0.2125,0.2147,559780.82,2020-10-21 04:00:00
1603256400000,0.2147,0.2147,0.2119,0.2121,452683.58,2020-10-21 05:00:00
1603260000000,0.2121,0.2136,0.2121,0.2129,122821.17,2020-10-21 06:00:00
1603263600000,0.2129,0.2149,0.2117,0.2139,403405.09,2020-10-21 07:00:00
1603267200000,0.2141,0.2149,0.2124,0.2126,147754.99,2020-10-21 08:00:00
1603270800000,0.2127,0.2138,0.2124,0.2138,144164.62,2020-10-21 09:00:00
1603274400000,0.2138,0.215,0.2137,0.2145,330225.94,2020-10-21 10:00:00
1603278000000,0.2145,0.215,0.2134,0.2138,231771.02,2020-10-21 11:00:00
1603281600000,0.2135,0.2148,0.2124,0.2124,354754.29,2020-10-21 12:00:00
1603285200000,0.2124,0.2149,0.212,0.2147,398726.49,2020-10-21 13:00:00
1603288800000,0.2148,0.2166,0.2133,0.2157,1069410.15,2020-10-21 14:00:00
1603292400000,0.2155,0.2172,0.215,0.2171,577873.53,2020-10-21 15:00:00
1603296000000,0.2171,0.2191,0.2164,0.2171,1091091.79,2020-10-21 16:00:00
1603299600000,0.2172,0.219,0.2167,0.2173,704004.04,2020-10-21 17:00:00
1603303200000,0.2172,0.2181,0.2166,0.2168,292776.3,2020-10-21 18:00:00
1603306800000,0.217,0.2175,0.2148,0.2151,383481.31,2020-10-21 19:00:00
1603310400000,0.215,0.2175,0.215,0.2169,243737.22,2020-10-21 20:00:00
1603314000000,0.2167,0.217,0.2146,0.2167,401640.78,2020-10-21 21:00:00
1603317600000,0.2168,0.2199,0.2165,0.2179,681020.14,2020-10-21 22:00:00
1603321200000,0.218,0.2181,0.2133,0.2152,838455.31,2020-10-21 23:00:00
1603324800000,0.2152,0.2197,0.2151,0.2188,770759.18,2020-10-22 00:00:00
1603328400000,0.2187,0.2197,0.2177,0.2188,296069.18,2020-10-22 01:00:00
1603332000000,0.2187,0.2197,0.2166,0.2186,368127.3,2020-10-22 02:00:00
1603335600000,0.2185,0.2188,0.2175,0.2175,214580.39,2020-10-22 03:00:00
1603339200000,0.2174,0.2195,0.2173,0.2187,374752.25,2020-10-22 04:00:00
1603342800000,0.2188,0.2213,0.218,0.2187,507299.17,2020-10-22 05:00:00
1603346400000,0.2189,0.219,0.2181,0.2186,152458.79,2020-10-22 06:00:00
1603350000000,0.2186,0.2187,0.2173,0.2185,209968.92,2020-10-22 07:00:00
1603353600000,0.2185,0.2213,0.2185,0.2202,421137.35,2020-10-22 08:00:00
1603357200000,0.2203,0.2204,0.2177,0.2179,405676.47,2020-10-22 09:00:00
1603360800000,0.2179,0.2207,0.2177,0.2205,448880.11,2020-10-22 10:00:00
1603364400000,0.2205,0.2244,0.2199,0.2241,1548739.13,2020-10-22 11:00:00
1603368000000,0.224,0.2245,0.2204,0.2221,1255107.62,2020-10-22 12:00:00
1603371600000,0.2219,0.2243,0.2218,0.2233,386019.75,2020-10-22 13:00:00
1603375200000,0.2233,0.227,0.223,0.2261,1473429.83,2020-10-22 14:00:00
1603378800000,0.2262,0.2275,0.2235,0.2246,1127055.84,2020-10-22 15:00:00
1603382400000,0.2246,0.2267,0.2246,0.2265,282551.81,2020-10-22 16:00:00
1603386000000,0.2265,0.2271,0.2248,0.2262,492194.1,2020-10-22 17:00:00
1603389600000,0.2263,0.2267,0.2252,0.2259,285869.23,2020-10-22 18:00:00
1603393200000,0.226,0.2275,0.2232,0.2232,795919.28,2020-10-22 19:00:00
1603396800000,0.2231,0.2258,0.2227,0.2237,348824.67,2020-10-22 20:00:00
1603400400000,0.2237,0.2259,0.2214,0.2257,656552.9,2020-10-22 21:00:00
1603404000000,0.2255,0.2256,0.221,0.221,512151.12,2020-10-22 22:00:00
1603407600000,0.221,0.2237,0.2198,0.2232,868116.72,2020-10-22 23:00:00
1603411200000,0.2231,0.2234,0.2183,0.2203,735150.46,2020-10-23 00:00:00
1603414800000,0.2203,0.2227,0.2199,0.22,405771.25,2020-10-23 01:00:00
1603418400000,0.2201,0.2237,0.2201,0.2221,242987.05,2020-10-23 02:00:00
1603422000000,0.2219,0.222,0.22,0.2202,146311.36,2020-10-23 03:00:00
1603425600000,0.2203,0.222,0.2201,0.2204,259397.55,2020-10-23 04:00:00
1603429200000,0.2202,0.2237,0.2197,0.2237,486790.7,2020-10-23 05:00:00
1603432800000,0.2236,0.2236,0.2213,0.2217,208910.97,2020-10-23 06:00:00
1603436400000,0.2215,0.2225,0.2212,0.2219,229093.08,2020-10-23 07:00:00
1603440000000,0.2219,0.2238,0.2213,0.223,258683.35,2020-10-23 08:00:00
1603443600000,0.223,0.2244,0.2229,0.2234,359934.84,2020-10-23 09:00:00
1603447200000,0.2235,0.2249,0.2235,0.2244,268812.16,2020-10-23 10:00:00
1603450800000,0.2245,0.2254,0.2219,0.2222,514084.99,2020-10-23 11:00:00
1603454400000,0.2222,0.223,0.2217,0.2225,229928.05,2020-10-23 12:00:00
1603458000000,0.2227,0.2231,0.2222,0.2223,188884.41,2020-10-23 13:00:00
1603461600000,0.2222,0.2225,0.22,0.2202,516663.15,2020-10-23 14:00:00
1603465200000,0.2201,0.2221,0.2192,0.2205,419127.91,2020-10-23 15:00:00
1603468800000,0.2205,0.2215,0.2156,0.2183,1332347.63,2020-10-23 16:00:00
1603472400000,0.2185,0.2189,0.2175,0.2177,139942.23,2020-10-23 17:00:00
1603476000000,0.2176,0.2203,0.2176,0.22,695901.19,2020-10-23 18:00:00
1603479600000,0.22,0.2208,0.2194,0.2208,165063.09,2020-10-23 19:00:00
1603483200000,0.2206,0.221,0.22,0.2202,122142.88,2020-10-23 20:00:00
1603486800000,0.2199,0.2205,0.2195,0.2202,93686.23,2020-10-23 21:00:00
1603490400000,0.2201,0.2206,0.2198,0.2204,81893.09,2020-10-23 22:00:00
1603494000000,0.2203,0.2219,0.2203,0.2216,169512.81,2020-10-23 23:00:00
1603497600000,0.2218,0.2219,0.2199,0.2206,128429.71,2020-10-24 00:00:00
1603501200000,0.2205,0.2216,0.2205,0.2211,147199.81,2020-10-24 01:00:00
1603504800000,0.2213,0.2218,0.221,0.2215,133467.45,2020-10-24 02:00:00
1603508400000,0.2214,0.2219,0.2208,0.221,166060.8,2020-10-24 03:00:00
1603512000000,0.221,0.2222,0.2209,0.2217,109569.79,2020-10-24 04:00:00
1603515600000,0.2219,0.2219,0.2193,0.22,1056331.14,2020-10-24 05:00:00
1603519200000,0.22,0.22,0.2187,0.219,110622.61,2020-10-24 06:00:00
