time,open,high,low,close,vol,time_stamp
1603144800000,0.0025864,0.0025921,0.00258,0.0025885,14551503.0,2020-10-19 22:00:00
1603148400000,0.0025879,0.0025969,0.0025879,0.0025921,4289264.0,2020-10-19 23:00:00
1603152000000,0.002592,0.0025969,0.0025792,0.002586,8960870.0,2020-10-20 00:00:00
1603155600000,0.0025876,0.0025948,0.0025843,0.0025924,11489685.0,2020-10-20 01:00:00
1603159200000,0.0025918,0.0025984,0.0025871,0.0025913,14951833.0,2020-10-20 02:00:00
1603162800000,0.0025889,0.0026,0.0025888,0.0025888,11140555.0,2020-10-20 03:00:00
1603166400000,0.0025926,0.0025926,0.0025829,0.0025855,6482588.0,2020-10-20 04:00:00
1603170000000,0.0025849,0.00259,0.0025814,0.0025897,11814724.0,2020-10-20 05:00:00
1603173600000,0.0025885,0.0025975,0.0025846,0.0025959,21656099.0,2020-10-20 06:00:00
1603177200000,0.0025959,0.0026065,0.0025819,0.0025881,28654631.0,2020-10-20 07:00:00
1603180800000,0.0025905,0.0026035,0.0025843,0.0026001,9359705.0,2020-10-20 08:00:00
1603184400000,0.0026,0.0026026,0.002588,0.0026003,23594586.0,2020-10-20 09:00:00
1603188000000,0.0026003,0.0026094,0.0025956,0.0026038,11137392.0,2020-10-20 10:00:00
1603191600000,0.0026058,0.0026252,0.002582,0.002584,90026327.0,2020-10-20 11:00:00
1603195200000,0.0025854,0.002601,0.0025818,0.0025973,21503927.0,2020-10-20 12:00:00
1603198800000,0.0026004,0.002603,0.0025888,0.0025965,19094497.0,2020-10-20 13:00:00
1603202400000,0.0025969,0.0026074,0.002588,0.0025881,19778760.0,2020-10-20 14:00:00
1603206000000,0.0025897,0.0026123,0.002585,0.0026096,14263141.0,2020-10-20 15:00:00
1603209600000,0.0026096,0.0026104,0.0026008,0.0026094,16471980.0,2020-10-20 16:00:00
1603213200000,0.0026093,0.0026132,0.0025973,0.0025973,15299165.0,2020-10-20 17:00:00
