time,open,high,low,close,vol,time_stamp
1603220400000,3.9111,3.9115,3.8641,3.8749,217860.85,2020-10-20 19:00:00
1603224000000,3.8749,3.9236,3.8648,3.9192,140385.64,2020-10-20 20:00:00
1603227600000,3.9203,3.9261,3.8738,3.9138,153723.29,2020-10-20 21:00:00
1603231200000,3.9138,3.9268,3.8901,3.9013,107093.81,2020-10-20 22:00:00
1603234800000,3.8997,3.9156,3.8757,3.9034,97531.74,2020-10-20 23:00:00
1603238400000,3.9034,3.9445,3.8907,3.9328,127149.53,2020-10-21 00:00:00
1603242000000,3.9331,3.947,3.9275,3.9328,83012.14,2020-10-21 01:00:00
1603245600000,3.9328,3.941,3.9207,3.9273,110342.65,2020-10-21 02:00:00
1603249200000,3.9313,4.0595,3.9294,4.0293,505484.72,2020-10-21 03:00:00
1603252800000,4.0305,4.0553,4.002,4.0518,272207.53,2020-10-21 04:00:00
1603256400000,4.0499,4.0558,4.021,4.0222,109447.68,2020-10-21 05:00:00
1603260000000,4.0233,4.0353,4.0166,4.0253,74543.64,2020-10-21 06:00:00
1603263600000,4.0253,4.0294,3.9621,3.9929,198088.87,2020-10-21 07:00:00
1603267200000,3.9938,4.0028,3.9635,3.9655,139349.73,2020-10-21 08:00:00
1603270800000,3.9635,3.9944,3.9559,3.9928,157151.33,2020-10-21 09:00:00
1603274400000,3.9919,4.024,3.9916,4.0075,101667.61,2020-10-21 10:00:00
1603278000000,4.0084,4.0296,3.9929,4.0116,251711.91,2020-10-21 11:00:00
1603281600000,4.013,4.0179,3.997,4.0017,384256.89,2020-10-21 12:00:00
1603285200000,4.0017,4.0844,3.9938,4.0828,451871.74,2020-10-21 13:00:00
1603288800000,4.0843,4.1255,4.0518,4.0822,688926.06,2020-10-21 14:00:00
1603292400000,4.0815,4.1156,4.0715,4.0957,563969.24,2020-10-21 15:00:00
1603296000000,4.0955,4.1554,4.0949,4.145,762433.47,2020-10-21 16:00:00
1603299600000,4.145,4.1605,4.1279,4.1396,485533.31,2020-10-21 17:00:00
1603303200000,4.1416,4.1632,4.1315,4.1402,414968.88,2020-10-21 18:00:00
1603306800000,4.1406,4.1699,4.1298,4.1655,234181.5,2020-10-21 19:00:00
1603310400000,4.1654,4.2034,4.1527,4.184,263416.99,2020-10-21 20:00:00
1603314000000,4.1836,4.228,4.16,4.1979,259025.82,2020-10-21 21:00:00
1603317600000,4.1973,4.26,4.1926,4.232,228952.92,2020-10-21 22:00:00
1603321200000,4.2292,4.2369,4.1201,4.1352,421170.64,2020-10-21 23:00:00
1603324800000,4.1329,4.1937,4.1329,4.1869,176109.08,2020-10-22 00:00:00
1603328400000,4.1866,4.1872,4.1645,4.1773,99102.72,2020-10-22 01:00:00
1603332000000,4.1757,4.1821,4.127,4.15,387840.26,2020-10-22 02:00:00
1603335600000,4.15,4.1555,4.1312,4.1339,280279.92,2020-10-22 03:00:00
1603339200000,4.1333,4.1478,4.1234,4.1453,372833.47,2020-10-22 04:00:00
1603342800000,4.1453,4.1604,4.1343,4.1379,319450.31,2020-10-22 05:00:00
1603346400000,4.1401,4.1989,4.1388,4.19,188388.57,2020-10-22 06:00:00
1603350000000,4.19,4.2489,4.1771,4.2296,270377.14,2020-10-22 07:00:00
1603353600000,4.2281,4.253,4.2034,4.2434,200433.91,2020-10-22 08:00:00
1603357200000,4.2428,4.246,4.2066,4.2208,312278.88,2020-10-22 09:00:00
1603360800000,4.2177,4.2999,4.2166,4.2891,344017.62,2020-10-22 10:00:00
1603364400000,4.2896,4.3228,4.2634,4.3225,291521.55,2020-10-22 11:00:00
1603368000000,4.3212,4.3279,4.2421,4.2872,314428.38,2020-10-22 12:00:00
1603371600000,4.2876,4.3288,4.2853,4.298,232501.46,2020-10-22 13:00:00
1603375200000,4.2992,4.3103,4.2654,4.3086,162955.12,2020-10-22 14:00:00
1603378800000,4.3068,4.318,4.2685,4.2847,174537.4,2020-10-22 15:00:00
1603382400000,4.2847,4.3192,4.266,4.2955,265947.58,2020-10-22 16:00:00
1603386000000,4.2982,4.3175,4.27,4.2961,252992.34,2020-10-22 17:00:00
1603389600000,4.2961,4.338,4.2835,4.3241,244558.97,2020-10-22 18:00:00
1603393200000,4.3251,4.334,4.28,4.2889,235559.45,2020-10-22 19:00:00
1603396800000,4.2879,4.3273,4.287,4.2962,154234.32,2020-10-22 20:00:00
1603400400000,4.295,4.31,4.2527,4.3065,163281.66,2020-10-22 21:00:00
1603404000000,4.3083,4.3319,4.2777,4.2817,157637.35,2020-10-22 22:00:00
1603407600000,4.2807,4.2909,4.252,4.2683,156723.33,2020-10-22 23:00:00
1603411200000,4.2696,4.271,4.2125,4.2339,263994.8,2020-10-23 00:00:00
1603414800000,4.2324,4.2746,4.2231,4.2405,153364.78,2020-10-23 01:00:00
1603418400000,4.2399,4.31,4.2399,4.2894,208688.5,2020-10-23 02:00:00
1603422000000,4.2886,4.297,4.2525,4.27,114299.67,2020-10-23 03:00:00
1603425600000,4.2721,4.2921,4.263,4.2774,119651.3,2020-10-23 04:00:00
1603429200000,4.2772,4.32,4.24,4.3063,341979.58,2020-10-23 05:00:00
1603432800000,4.3058,4.3064,4.26,4.282,189785.17,2020-10-23 06:00:00
1603436400000,4.2821,4.2977,4.2757,4.2802,71530.07,2020-10-23 07:00:00
1603440000000,4.2808,4.3128,4.2735,4.3022,396494.14,2020-10-23 08:00:00
1603443600000,4.3014,4.4732,4.2968,4.4708,1469759.92,2020-10-23 09:00:00
1603447200000,4.4712,4.48,4.3874,4.4188,966762.58,2020-10-23 10:00:00
1603450800000,4.4189,4.4196,4.3661,4.3705,672454.3,2020-10-23 11:00:00
1603454400000,4.3681,4.3996,4.3401,4.3944,318468.86,2020-10-23 12:00:00
1603458000000,4.3923,4.4,4.3665,4.3798,196383.58,2020-10-23 13:00:00
1603461600000,4.3799,4.38,4.2983,4.3274,529918.4,2020-10-23 14:00:00
1603465200000,4.3251,4.3511,4.2941,4.3155,348462.49,2020-10-23 15:00:00
1603468800000,4.3178,4.3527,4.185,4.2389,1110206.5,2020-10-23 16:00:00
1603472400000,4.2373,4.2612,4.214,4.2523,158149.5,2020-10-23 17:00:00
1603476000000,4.2487,4.2839,4.2452,4.2719,148079.77,2020-10-23 18:00:00
1603479600000,4.2702,4.3036,4.2552,4.279,133948.92,2020-10-23 19:00:00
1603483200000,4.2805,4.2955,4.2651,4.2868,86338.3,2020-10-23 20:00:00
1603486800000,4.2872,4.3113,4.2707,4.2804,77875.96,2020-10-23 21:00:00
1603490400000,4.2805,4.3084,4.2602,4.2714,114869.2,2020-10-23 22:00:00
1603494000000,4.2731,4.2801,4.235,4.2633,161590.23,2020-10-23 23:00:00
1603497600000,4.264,4.2781,4.2381,4.2586,164918.74,2020-10-24 00:00:00
1603501200000,4.2609,4.3113,4.2601,4.2866,155922.68,2020-10-24 01:00:00
1603504800000,4.2881,4.3153,4.2801,4.3003,71659.0,2020-10-24 02:00:00
