time,open,high,low,close,vol,time_stamp
1546311600000,2.5206,2.5356,2.5204,2.5349,134269.04,2019-01-01 03:00:00
1546315200000,2.5338,2.56,2.532,2.5353,193493.94,2019-01-01 04:00:00
1546318800000,2.5363,2.5547,2.5288,2.5429,76262.04,2019-01-01 05:00:00
1546322400000,2.5426,2.5484,2.5292,2.5383,70394.56,2019-01-01 06:00:00
1546326000000,2.5388,2.5665,2.5373,2.5527,144811.07,2019-01-01 07:00:00
1546329600000,2.5526,2.5958,2.5449,2.5684,316593.52,2019-01-01 08:00:00
1546333200000,2.5702,2.5715,2.547,2.5536,170453.27,2019-01-01 09:00:00
1546336800000,2.5555,2.5825,2.5555,2.5697,143635.63,2019-01-01 10:00:00
1546340400000,2.571,2.5872,2.5655,2.5708,157190.02,2019-01-01 11:00:00
1546344000000,2.5691,2.6007,2.5574,2.5846,298663.33,2019-01-01 12:00:00
1546347600000,2.5837,2.6033,2.569,2.5706,274025.8,2019-01-01 13:00:00
1546351200000,2.5691,2.5706,2.5309,2.5459,408856.65,2019-01-01 14:00:00
1546354800000,2.5458,2.5566,2.528,2.5463,198310.6,2019-01-01 15:00:00
1546358400000,2.5459,2.5579,2.5303,2.5515,110287.99,2019-01-01 16:00:00
1546362000000,2.5525,2.5587,2.5236,2.5272,127249.69,2019-01-01 17:00:00
1546365600000,2.5277,2.5289,2.4883,2.5017,344652.34,2019-01-01 18:00:00
1546369200000,2.5041,2.5813,2.5041,2.5686,284146.88,2019-01-01 19:00:00
1546372800000,2.5671,2.63,2.5661,2.603,505385.09,2019-01-01 20:00:00
1546376400000,2.6022,2.6172,2.5635,2.5722,255764.04,2019-01-01 21:00:00
1546380000000,2.5725,2.6157,2.5696,2.5964,198380.91,2019-01-01 22:00:00
1546383600000,2.5946,2.6345,2.5838,2.6184,352707.25,2019-01-01 23:00:00
1546387200000,2.6185,2.6317,2.6,2.609,236821.05,2019-01-02 00:00:00
1546390800000,2.6074,2.621,2.6017,2.607,123537.64,2019-01-02 01:00:00
1546394400000,2.6078,2.617,2.595,2.6145,85395.13,2019-01-02 02:00:00
1546398000000,2.6136,2.6184,2.5999,2.603,197134.64,2019-01-02 03:00:00
1546401600000,2.6035,2.6102,2.5877,2.6072,206749.87,2019-01-02 04:00:00
1546405200000,2.608,2.6103,2.5953,2.6019,56408.53,2019-01-02 05:00:00
1546408800000,2.6041,2.605,2.5884,2.593,140324.36,2019-01-02 06:00:00
1546412400000,2.593,2.6278,2.5903,2.6269,284671.72,2019-01-02 07:00:00
1546416000000,2.6269,2.6769,2.6256,2.6503,763660.53,2019-01-02 08:00:00
