time,open,high,low,close,vol,time_stamp
1603144800000,2.5818,2.5838,2.5742,2.5781,194544.53,2020-10-19 22:00:00
1603148400000,2.5791,2.5819,2.5753,2.5819,126984.42,2020-10-19 23:00:00
1603152000000,2.5814,2.5814,2.5716,2.5766,165588.9,2020-10-20 00:00:00
1603155600000,2.5766,2.5802,2.5681,2.5738,198766.99,2020-10-20 01:00:00
1603159200000,2.5729,2.5792,2.5724,2.579,205329.08,2020-10-20 02:00:00
1603162800000,2.5788,2.5856,2.572,2.5791,316995.59,2020-10-20 03:00:00
1603166400000,2.5797,2.5839,2.5686,2.5701,305160.3,2020-10-20 04:00:00
1603170000000,2.5685,2.5726,2.5597,2.5653,272422.23,2020-10-20 05:00:00
1603173600000,2.5654,2.575,2.5583,2.5712,394301.15,2020-10-20 06:00:00
1603177200000,2.5703,2.5774,2.5497,2.5578,327042.54,2020-10-20 07:00:00
1603180800000,2.5578,2.5625,2.5466,2.5602,242685.5,2020-10-20 08:00:00
1603184400000,2.5598,2.5649,2.5574,2.5635,204677.15,2020-10-20 09:00:00
1603188000000,2.5626,2.5636,2.5536,2.562,175840.93,2020-10-20 10:00:00
1603191600000,2.5616,2.5692,2.5084,2.5295,1227328.12,2020-10-20 11:00:00
1603195200000,2.5279,2.5415,2.5245,2.5381,222915.88,2020-10-20 12:00:00
1603198800000,2.5384,2.5445,2.5281,2.5393,273999.28,2020-10-20 13:00:00
1603202400000,2.5402,2.5402,2.5302,2.5355,231600.32,2020-10-20 14:00:00
1603206000000,2.5349,2.5518,2.5324,2.5462,480197.91,2020-10-20 15:00:00
1603209600000,2.5463,2.5544,2.5323,2.5367,321820.35,2020-10-20 16:00:00
1603213200000,2.5375,2.5413,2.5158,2.5175,594664.94,2020-10-20 17:00:00
1603216800000,2.517,2.5223,2.5081,2.5181,396109.83,2020-10-20 18:00:00
1603220400000,2.5182,2.5191,2.5007,2.5065,306269.22,2020-10-20 19:00:00
1603224000000,2.5067,2.5223,2.5024,2.5201,286479.03,2020-10-20 20:00:00
1603227600000,2.5195,2.5236,2.509,2.5203,304114.4,2020-10-20 21:00:00
1603231200000,2.5205,2.5257,2.5146,2.5217,73018.95,2020-10-20 22:00:00
1603234800000,2.5227,2.5282,2.5173,2.5264,138089.79,2020-10-20 23:00:00
1603238400000,2.5263,2.535,2.5215,2.5313,319222.91,2020-10-21 00:00:00
1603242000000,2.5312,2.5342,2.5259,2.5287,172017.45,2020-10-21 01:00:00
1603245600000,2.5287,2.535,2.5262,2.5293,259019.64,2020-10-21 02:00:00
1603249200000,2.53,2.5757,2.5295,2.5612,924331.78,2020-10-21 03:00:00
1603252800000,2.561,2.5669,2.5588,2.5656,361356.81,2020-10-21 04:00:00
1603256400000,2.5658,2.568,2.559,2.5623,184190.46,2020-10-21 05:00:00
1603260000000,2.5622,2.571,2.5622,2.5632,172366.43,2020-10-21 06:00:00
1603263600000,2.5633,2.5647,2.5452,2.5508,277833.97,2020-10-21 07:00:00
1603267200000,2.5512,2.5541,2.5477,2.548,186784.98,2020-10-21 08:00:00
1603270800000,2.5478,2.5575,2.546,2.5556,175838.95,2020-10-21 09:00:00
1603274400000,2.5555,2.5732,2.5549,2.5598,244226.35,2020-10-21 10:00:00
1603278000000,2.5605,2.5671,2.5527,2.5604,273309.74,2020-10-21 11:00:00
1603281600000,2.5612,2.5897,2.5538,2.5821,492402.07,2020-10-21 12:00:00
1603285200000,2.5827,2.624,2.577,2.6129,1093304.34,2020-10-21 13:00:00
1603288800000,2.6132,2.6388,2.6067,2.619,886587.42,2020-10-21 14:00:00
1603292400000,2.6189,2.635,2.6023,2.6321,525823.87,2020-10-21 15:00:00
1603296000000,2.6321,2.6472,2.6202,2.6307,1368454.18,2020-10-21 16:00:00
1603299600000,2.6317,2.6371,2.6168,2.6231,259871.71,2020-10-21 17:00:00
1603303200000,2.6231,2.633,2.621,2.6263,144862.08,2020-10-21 18:00:00
1603306800000,2.6262,2.6289,2.6107,2.6117,265531.79,2020-10-21 19:00:00
1603310400000,2.6124,2.6227,2.5981,2.6173,397187.5,2020-10-21 20:00:00
1603314000000,2.6172,2.6329,2.6096,2.6276,253290.64,2020-10-21 21:00:00
1603317600000,2.6288,2.655,2.6253,2.6503,645335.48,2020-10-21 22:00:00
1603321200000,2.651,2.6514,2.5997,2.6055,1907882.92,2020-10-21 23:00:00
1603324800000,2.6054,2.6494,2.6035,2.6466,699102.51,2020-10-22 00:00:00
1603328400000,2.6471,2.6783,2.6434,2.6606,632026.73,2020-10-22 01:00:00
1603332000000,2.6603,2.6656,2.6288,2.6381,494998.23,2020-10-22 02:00:00
1603335600000,2.6374,2.6457,2.6309,2.6365,338771.16,2020-10-22 03:00:00
1603339200000,2.6363,2.6439,2.6253,2.636,303128.77,2020-10-22 04:00:00
1603342800000,2.636,2.6492,2.6284,2.6407,293961.9,2020-10-22 05:00:00
1603346400000,2.6406,2.6468,2.6362,2.6454,236690.02,2020-10-22 06:00:00
1603350000000,2.6458,2.6495,2.6374,2.6481,299031.53,2020-10-22 07:00:00
1603353600000,2.6481,2.6618,2.6461,2.6513,414324.32,2020-10-22 08:00:00
1603357200000,2.6515,2.6578,2.6071,2.6464,1112744.65,2020-10-22 09:00:00
1603360800000,2.6457,2.6945,2.6418,2.6717,829405.49,2020-10-22 10:00:00
1603364400000,2.6717,2.6896,2.6678,2.6835,515211.93,2020-10-22 11:00:00
1603368000000,2.684,2.6852,2.6568,2.6647,343506.24,2020-10-22 12:00:00
1603371600000,2.6642,2.7019,2.6637,2.6968,519216.53,2020-10-22 13:00:00
1603375200000,2.6968,2.6979,2.6799,2.6932,336630.25,2020-10-22 14:00:00
1603378800000,2.6934,2.7012,2.6763,2.6804,316164.41,2020-10-22 15:00:00
1603382400000,2.6812,2.6946,2.6716,2.6928,342678.76,2020-10-22 16:00:00
1603386000000,2.6928,2.7008,2.6809,2.6945,323428.84,2020-10-22 17:00:00
1603389600000,2.696,2.6975,2.6842,2.6936,125790.53,2020-10-22 18:00:00
1603393200000,2.6938,2.6969,2.6762,2.678,273541.32,2020-10-22 19:00:00
1603396800000,2.6785,2.6896,2.673,2.6778,228145.54,2020-10-22 20:00:00
1603400400000,2.6777,2.6873,2.6621,2.6864,132644.26,2020-10-22 21:00:00
1603404000000,2.6864,2.7045,2.6748,2.6756,341197.57,2020-10-22 22:00:00
1603407600000,2.6757,2.6796,2.6521,2.6693,466636.19,2020-10-22 23:00:00
1603411200000,2.6694,2.6694,2.6455,2.6592,491106.8,2020-10-23 00:00:00
1603414800000,2.6583,2.6647,2.6547,2.6556,129475.35,2020-10-23 01:00:00
1603418400000,2.6551,2.676,2.6551,2.6731,200544.19,2020-10-23 02:00:00
1603422000000,2.6737,2.6806,2.6679,2.6683,231853.3,2020-10-23 03:00:00
1603425600000,2.6682,2.6704,2.6566,2.6568,235063.22,2020-10-23 04:00:00
1603429200000,2.6568,2.6842,2.6548,2.6827,597472.67,2020-10-23 05:00:00
1603432800000,2.6826,2.6828,2.6635,2.6682,528065.81,2020-10-23 06:00:00
1603436400000,2.6682,2.6718,2.6589,2.6652,300373.98,2020-10-23 07:00:00
1603440000000,2.6651,2.6801,2.6567,2.6572,306955.79,2020-10-23 08:00:00
1603443600000,2.6572,2.6662,2.6558,2.6601,230125.35,2020-10-23 09:00:00
1603447200000,2.6604,2.6762,2.6584,2.6696,315421.18,2020-10-23 10:00:00
1603450800000,2.6704,2.6755,2.6639,2.6651,194343.27,2020-10-23 11:00:00
1603454400000,2.665,2.6672,2.6578,2.665,216400.91,2020-10-23 12:00:00
1603458000000,2.6648,2.6695,2.6591,2.6609,177729.84,2020-10-23 13:00:00
1603461600000,2.6608,2.6634,2.629,2.6374,566025.84,2020-10-23 14:00:00
1603465200000,2.6371,2.6521,2.624,2.6346,370424.32,2020-10-23 15:00:00
1603468800000,2.6342,2.6397,2.5992,2.6172,886679.23,2020-10-23 16:00:00
1603472400000,2.6171,2.629,2.6128,2.6232,219658.84,2020-10-23 17:00:00
1603476000000,2.6233,2.6341,2.6226,2.6298,221480.38,2020-10-23 18:00:00
1603479600000,2.6298,2.64,2.6286,2.64,96699.41,2020-10-23 19:00:00
1603483200000,2.64,2.6423,2.6352,2.6401,116264.57,2020-10-23 20:00:00
1603486800000,2.6402,2.644,2.6355,2.643,65319.52,2020-10-23 21:00:00
1603490400000,2.6428,2.6466,2.639,2.6443,122255.02,2020-10-23 22:00:00
1603494000000,2.6448,2.6479,2.6385,2.6395,139446.97,2020-10-23 23:00:00
1603497600000,2.6393,2.6407,2.627,2.6299,127268.57,2020-10-24 00:00:00
1603501200000,2.63,2.6452,2.63,2.6382,275611.6,2020-10-24 01:00:00
1603504800000,2.6377,2.6456,2.6351,2.6421,104789.85,2020-10-24 02:00:00
1603508400000,2.6422,2.646,2.6333,2.635,180513.11,2020-10-24 03:00:00
1603512000000,2.635,2.642,2.6345,2.6405,105760.74,2020-10-24 04:00:00
1603515600000,2.6408,2.6431,2.6311,2.6379,121164.53,2020-10-24 05:00:00
1603519200000,2.638,2.6394,2.6312,2.6318,134125.42,2020-10-24 06:00:00
1603522800000,2.6322,2.6379,2.6283,2.6295,102258.64,2020-10-24 07:00:00
1603526400000,2.6296,2.6362,2.6265,2.6268,99686.83,2020-10-24 08:00:00
1603530000000,2.6266,2.6333,2.614,2.6301,211758.95,2020-10-24 09:00:00
1603533600000,2.6302,2.656,2.63,2.6539,250863.67,2020-10-24 10:00:00
1603537200000,2.6522,2.6571,2.6457,2.6564,84658.8,2020-10-24 11:00:00
1603540800000,2.6572,2.6588,2.6493,2.6506,155450.45,2020-10-24 12:00:00
1603544400000,2.6501,2.6598,2.6498,2.6523,160665.16,2020-10-24 13:00:00
1603548000000,2.6527,2.659,2.634,2.6502,482422.17,2020-10-24 14:00:00
1603551600000,2.6497,2.66,2.6492,2.6534,306987.54,2020-10-24 15:00:00
1603555200000,2.6539,2.6621,2.644,2.6619,275777.6,2020-10-24 16:00:00
1603558800000,2.662,2.667,2.6557,2.6606,191567.15,2020-10-24 17:00:00
1603562400000,2.6605,2.6629,2.6535,2.6617,90595.25,2020-10-24 18:00:00
1603566000000,2.6616,2.67,2.6544,2.657,92976.12,2020-10-24 19:00:00
1603569600000,2.6576,2.6581,2.6484,2.6525,78748.9,2020-10-24 20:00:00
1603573200000,2.6522,2.6538,2.644,2.6455,120718.79,2020-10-24 21:00:00
1603576800000,2.6457,2.6541,2.6424,2.6538,72871.13,2020-10-24 22:00:00
1603580400000,2.6537,2.66,2.6536,2.6597,78973.84,2020-10-24 23:00:00
1603584000000,2.6594,2.6617,2.6437,2.6571,235272.97,2020-10-25 00:00:00
1603587600000,2.6571,2.6571,2.6488,2.6548,157950.95,2020-10-25 01:00:00
1603591200000,2.6548,2.66,2.6493,2.6511,185141.39,2020-10-25 02:00:00
1603594800000,2.6507,2.663,2.6491,2.6606,372819.94,2020-10-25 03:00:00
1603598400000,2.6606,2.6613,2.6549,2.6584,179121.13,2020-10-25 04:00:00
1603602000000,2.6585,2.66,2.6244,2.6372,749758.38,2020-10-25 05:00:00
1603605600000,2.6371,2.6429,2.6326,2.6402,230775.69,2020-10-25 06:00:00
1603609200000,2.6399,2.6424,2.6351,2.6387,207253.24,2020-10-25 07:00:00
1603612800000,2.6387,2.6387,2.6269,2.6364,129263.39,2020-10-25 08:00:00
1603616400000,2.6355,2.6355,2.6244,2.63,171536.21,2020-10-25 09:00:00
1603620000000,2.6299,2.6328,2.6203,2.6312,112679.63,2020-10-25 10:00:00
1603623600000,2.6312,2.6331,2.6181,2.6308,237336.6,2020-10-25 11:00:00
1603627200000,2.6308,2.6417,2.6293,2.6333,168307.22,2020-10-25 12:00:00
1603630800000,2.633,2.6382,2.6263,2.6333,128525.49,2020-10-25 13:00:00
1603634400000,2.6333,2.6403,2.63,2.6403,99629.02,2020-10-25 14:00:00
