time,open,high,low,close,vol,time_stamp
1603220400000,5.1219,5.123,5.0511,5.0533,52132.21,2020-10-20 19:00:00
1603224000000,5.0526,5.0924,5.0462,5.088,19644.45,2020-10-20 20:00:00
1603227600000,5.0879,5.0879,5.0681,5.0748,7432.49,2020-10-20 21:00:00
1603231200000,5.0751,5.0928,5.0559,5.0851,4434.09,2020-10-20 22:00:00
1603234800000,5.0857,5.0912,5.0675,5.0807,36850.94,2020-10-20 23:00:00
1603238400000,5.0824,5.099,5.0558,5.0952,34804.38,2020-10-21 00:00:00
1603242000000,5.0967,5.0989,5.0749,5.0867,7526.36,2020-10-21 01:00:00
1603245600000,5.0861,5.109,5.0773,5.0851,18839.29,2020-10-21 02:00:00
1603249200000,5.088,5.2185,5.0814,5.2139,72181.08,2020-10-21 03:00:00
1603252800000,5.2136,5.2198,5.1809,5.2007,58218.97,2020-10-21 04:00:00
1603256400000,5.2027,5.2148,5.1444,5.1921,118872.95,2020-10-21 05:00:00
1603260000000,5.1939,5.205,5.1798,5.184,59558.73,2020-10-21 06:00:00
1603263600000,5.1856,5.193,5.1567,5.1865,22815.76,2020-10-21 07:00:00
1603267200000,5.188,5.1918,5.1631,5.1908,23915.92,2020-10-21 08:00:00
1603270800000,5.1899,5.2013,5.185,5.1938,17918.75,2020-10-21 09:00:00
1603274400000,5.1908,5.228,5.185,5.2065,15810.01,2020-10-21 10:00:00
1603278000000,5.2085,5.2225,5.1816,5.2114,24092.64,2020-10-21 11:00:00
1603281600000,5.2103,5.2488,5.1969,5.229,25987.86,2020-10-21 12:00:00
1603285200000,5.2316,5.3497,5.2188,5.3116,77784.36,2020-10-21 13:00:00
1603288800000,5.3111,5.3549,5.2869,5.3432,87747.68,2020-10-21 14:00:00
1603292400000,5.3439,5.3654,5.3203,5.3584,29363.59,2020-10-21 15:00:00
1603296000000,5.3584,5.3896,5.3247,5.3393,68054.19,2020-10-21 16:00:00
1603299600000,5.3378,5.37,5.3153,5.3196,36719.71,2020-10-21 17:00:00
1603303200000,5.3232,5.3433,5.3164,5.3292,16289.84,2020-10-21 18:00:00
1603306800000,5.3289,5.333,5.2786,5.2878,40924.57,2020-10-21 19:00:00
1603310400000,5.2922,5.313,5.2802,5.2957,17484.81,2020-10-21 20:00:00
1603314000000,5.2913,5.31,5.2728,5.3064,40511.72,2020-10-21 21:00:00
1603317600000,5.3069,5.393,5.3054,5.3616,71409.94,2020-10-21 22:00:00
1603321200000,5.3647,5.3704,5.305,5.3379,71919.69,2020-10-21 23:00:00
1603324800000,5.3389,5.4665,5.3369,5.4638,74698.12,2020-10-22 00:00:00
1603328400000,5.4626,5.5277,5.4501,5.5036,137588.71,2020-10-22 01:00:00
1603332000000,5.5036,5.5128,5.4402,5.4685,180897.4,2020-10-22 02:00:00
1603335600000,5.4705,5.4932,5.4445,5.4495,66223.78,2020-10-22 03:00:00
1603339200000,5.4477,5.4641,5.4377,5.4614,17974.15,2020-10-22 04:00:00
1603342800000,5.4579,5.4865,5.4388,5.4662,19434.9,2020-10-22 05:00:00
1603346400000,5.47,5.4984,5.4614,5.4897,42234.72,2020-10-22 06:00:00
1603350000000,5.4855,5.4915,5.4324,5.4646,46252.38,2020-10-22 07:00:00
1603353600000,5.4645,5.473,5.4245,5.438,39468.51,2020-10-22 08:00:00
1603357200000,5.4408,5.4439,5.3759,5.3921,76964.03,2020-10-22 09:00:00
1603360800000,5.3934,5.4995,5.3776,5.4917,70837.34,2020-10-22 10:00:00
1603364400000,5.4913,5.5067,5.4685,5.4908,55837.78,2020-10-22 11:00:00
1603368000000,5.4948,5.501,5.4435,5.4687,72556.64,2020-10-22 12:00:00
1603371600000,5.4702,5.5182,5.4664,5.5143,72644.26,2020-10-22 13:00:00
1603375200000,5.5136,5.5139,5.4873,5.5077,39915.02,2020-10-22 14:00:00
1603378800000,5.5077,5.6485,5.501,5.5903,139110.21,2020-10-22 15:00:00
1603382400000,5.5942,5.7112,5.5942,5.6667,141539.76,2020-10-22 16:00:00
1603386000000,5.6656,5.711,5.6602,5.6922,48154.34,2020-10-22 17:00:00
1603389600000,5.6929,5.73,5.67,5.6864,44583.46,2020-10-22 18:00:00
1603393200000,5.6851,5.7187,5.6748,5.6835,25323.15,2020-10-22 19:00:00
1603396800000,5.6839,5.7004,5.6656,5.6774,26372.62,2020-10-22 20:00:00
1603400400000,5.6773,5.6836,5.6333,5.6744,16910.55,2020-10-22 21:00:00
1603404000000,5.6755,5.709,5.6588,5.6638,32327.27,2020-10-22 22:00:00
1603407600000,5.6655,5.6655,5.5775,5.612,41564.66,2020-10-22 23:00:00
1603411200000,5.6062,5.6135,5.4751,5.5087,105204.34,2020-10-23 00:00:00
1603414800000,5.5054,5.559,5.5,5.5211,23906.16,2020-10-23 01:00:00
1603418400000,5.5175,5.5845,5.5175,5.5755,17126.85,2020-10-23 02:00:00
1603422000000,5.578,5.5806,5.5438,5.5498,20182.43,2020-10-23 03:00:00
1603425600000,5.5513,5.5715,5.5341,5.5451,18372.95,2020-10-23 04:00:00
1603429200000,5.542,5.623,5.5416,5.6212,49123.82,2020-10-23 05:00:00
1603432800000,5.6225,5.6276,5.5525,5.5596,36171.48,2020-10-23 06:00:00
1603436400000,5.5578,5.5659,5.5194,5.5518,30711.35,2020-10-23 07:00:00
1603440000000,5.5499,5.6185,5.5434,5.5941,33987.93,2020-10-23 08:00:00
