time,open,high,low,close,vol,time_stamp
1610337600000,21.8288,22.03,21.6631,21.9376,63560.44,2021-01-11 04:00:00
1610341200000,21.9423,22.2418,21.9033,22.0358,54683.35,2021-01-11 05:00:00
1610344800000,22.0332,22.0796,21.5078,21.6676,83257.3,2021-01-11 06:00:00
1610348400000,21.6569,22.0739,21.5918,21.9677,58145.38,2021-01-11 07:00:00
1610352000000,21.9677,22.1406,21.8975,22.0004,37074.86,2021-01-11 08:00:00
1610355600000,22.0115,22.1616,21.8362,22.1343,32065.15,2021-01-11 09:00:00
1610359200000,22.1298,22.2345,21.8467,21.9192,35282.24,2021-01-11 10:00:00
1610362800000,21.9145,22.0,21.7,21.7891,31697.73,2021-01-11 11:00:00
1610366400000,21.7808,21.8827,21.5,21.5526,79767.09,2021-01-11 12:00:00
1610370000000,21.5492,21.6618,21.5,21.528,59257.65,2021-01-11 13:00:00
1610373600000,21.528,21.6808,21.1724,21.6047,114674.41,2021-01-11 14:00:00
1610377200000,21.5946,21.6594,21.1577,21.2039,51212.7,2021-01-11 15:00:00
1610380800000,21.1997,21.3827,20.9158,21.1711,104594.06,2021-01-11 16:00:00
1610384400000,21.1581,21.5755,20.9801,21.4273,38503.59,2021-01-11 17:00:00
1610388000000,21.4142,21.7687,21.1724,21.2377,105591.95,2021-01-11 18:00:00
1610391600000,21.2458,21.3328,20.9468,21.0228,47668.71,2021-01-11 19:00:00
1610395200000,21.0329,21.2987,20.9459,21.231,26695.08,2021-01-11 20:00:00
1610398800000,21.2243,21.4202,21.1077,21.3477,28540.38,2021-01-11 21:00:00
1610402400000,21.3459,21.371,21.137,21.3048,26269.78,2021-01-11 22:00:00
1610406000000,21.3166,21.6727,21.2819,21.6398,37824.06,2021-01-11 23:00:00
1610409600000,21.6451,21.6456,21.3448,21.4868,37071.94,2021-01-12 00:00:00
1610413200000,21.497,21.5459,21.2841,21.3631,28672.04,2021-01-12 01:00:00
1610416800000,21.3636,21.5272,21.3113,21.5031,26716.6,2021-01-12 02:00:00
1610420400000,21.507,21.5337,21.4163,21.4819,30110.13,2021-01-12 03:00:00
1610424000000,21.4847,21.63,21.4541,21.584,33223.81,2021-01-12 04:00:00
1610427600000,21.5853,21.9122,21.5851,21.8987,34102.39,2021-01-12 05:00:00
1610431200000,21.9014,21.929,21.7213,21.8481,41853.16,2021-01-12 06:00:00
1610434800000,21.8346,21.8983,21.6728,21.8012,29485.5,2021-01-12 07:00:00
