time,open,high,low,close,vol,time_stamp
1603220400000,27.92,28.0,27.53,27.777,1123.565,2020-10-20 19:00:00
1603224000000,27.777,28.112,27.679,28.023,1634.644,2020-10-20 20:00:00
1603227600000,28.065,28.065,27.791,27.865,402.373,2020-10-20 21:00:00
1603231200000,27.986,28.095,27.869,28.067,256.781,2020-10-20 22:00:00
1603234800000,28.07,28.07,27.791,27.819,574.054,2020-10-20 23:00:00
1603238400000,27.874,28.538,27.608,28.538,1787.23,2020-10-21 00:00:00
1603242000000,28.481,28.537,28.113,28.113,893.988,2020-10-21 01:00:00
1603245600000,28.095,28.348,28.014,28.021,953.529,2020-10-21 02:00:00
1603249200000,28.015,28.629,27.857,28.565,3696.146,2020-10-21 03:00:00
1603252800000,28.563,29.181,28.45,28.961,4268.107,2020-10-21 04:00:00
1603256400000,28.976,29.056,28.737,28.844,666.344,2020-10-21 05:00:00
1603260000000,28.832,28.841,28.646,28.693,736.965,2020-10-21 06:00:00
1603263600000,28.676,28.716,28.406,28.413,1251.446,2020-10-21 07:00:00
1603267200000,28.371,28.498,27.958,28.044,2660.526,2020-10-21 08:00:00
1603270800000,27.99,28.159,27.941,28.05,2801.162,2020-10-21 09:00:00
1603274400000,28.033,28.294,27.931,28.083,2283.247,2020-10-21 10:00:00
1603278000000,28.1,28.428,28.088,28.093,1515.801,2020-10-21 11:00:00
1603281600000,28.086,28.172,27.123,27.501,6978.236,2020-10-21 12:00:00
1603285200000,27.448,27.957,27.312,27.794,4298.749,2020-10-21 13:00:00
1603288800000,27.838,28.486,27.716,28.364,6973.913,2020-10-21 14:00:00
1603292400000,28.252,28.4,28.088,28.25,3201.292,2020-10-21 15:00:00
1603296000000,28.25,29.057,28.25,28.568,7585.327,2020-10-21 16:00:00
1603299600000,28.616,28.725,28.228,28.546,1714.825,2020-10-21 17:00:00
1603303200000,28.53,28.647,28.359,28.451,919.311,2020-10-21 18:00:00
1603306800000,28.452,28.484,28.047,28.108,1861.574,2020-10-21 19:00:00
1603310400000,28.096,28.336,28.043,28.25,392.238,2020-10-21 20:00:00
1603314000000,28.25,28.561,28.25,28.393,1179.489,2020-10-21 21:00:00
1603317600000,28.405,28.641,28.388,28.42,1011.871,2020-10-21 22:00:00
1603321200000,28.37,28.379,27.63,27.828,3722.652,2020-10-21 23:00:00
1603324800000,27.829,28.483,27.813,28.481,2074.241,2020-10-22 00:00:00
1603328400000,28.48,29.14,28.43,28.607,8469.245,2020-10-22 01:00:00
1603332000000,28.611,28.611,28.202,28.329,1498.998,2020-10-22 02:00:00
1603335600000,28.301,28.406,28.079,28.079,1152.644,2020-10-22 03:00:00
1603339200000,28.046,28.311,28.0,28.311,1203.205,2020-10-22 04:00:00
1603342800000,28.311,28.311,27.908,28.0,1299.066,2020-10-22 05:00:00
1603346400000,28.08,28.658,28.08,28.553,2061.072,2020-10-22 06:00:00
1603350000000,28.553,28.553,28.147,28.425,2966.782,2020-10-22 07:00:00
1603353600000,28.413,29.037,28.326,28.806,4945.534,2020-10-22 08:00:00
1603357200000,28.807,28.854,28.401,28.54,1187.259,2020-10-22 09:00:00
1603360800000,28.574,28.921,28.52,28.921,942.889,2020-10-22 10:00:00
1603364400000,28.9,29.323,28.752,29.021,3725.805,2020-10-22 11:00:00
1603368000000,29.029,29.277,28.747,29.11,2428.886,2020-10-22 12:00:00
1603371600000,29.124,29.326,28.992,29.229,1231.747,2020-10-22 13:00:00
1603375200000,29.285,29.285,28.995,29.013,606.336,2020-10-22 14:00:00
1603378800000,29.157,29.289,29.045,29.082,1688.024,2020-10-22 15:00:00
1603382400000,29.129,29.237,28.6,28.964,1076.598,2020-10-22 16:00:00
1603386000000,28.999,29.172,28.693,28.902,2637.152,2020-10-22 17:00:00
