time,open,high,low,close,vol,time_stamp
1546311600000,29.73,29.78,29.57,29.78,2367.93766,2019-01-01 03:00:00
1546315200000,29.73,30.1,29.72,29.92,3736.21356,2019-01-01 04:00:00
1546318800000,29.94,30.05,29.87,30.01,1124.91274,2019-01-01 05:00:00
1546322400000,30.01,30.16,29.86,30.12,3115.43425,2019-01-01 06:00:00
1546326000000,30.14,30.33,30.13,30.24,2410.06686,2019-01-01 07:00:00
1546329600000,30.24,30.67,30.24,30.47,2510.27912,2019-01-01 08:00:00
1546333200000,30.47,30.5,30.22,30.23,2608.70081,2019-01-01 09:00:00
1546336800000,30.24,30.42,30.22,30.34,1264.04515,2019-01-01 10:00:00
1546340400000,30.35,30.61,30.35,30.41,912.90013,2019-01-01 11:00:00
1546344000000,30.41,30.69,30.33,30.62,11345.92319,2019-01-01 12:00:00
1546347600000,30.59,30.79,30.43,30.57,4469.91809,2019-01-01 13:00:00
1546351200000,30.58,30.59,30.24,30.29,4026.36965,2019-01-01 14:00:00
1546354800000,30.3,30.37,29.92,30.19,5508.50446,2019-01-01 15:00:00
1546358400000,30.18,30.5,30.04,30.33,2073.52784,2019-01-01 16:00:00
1546362000000,30.34,30.42,30.18,30.25,1320.09895,2019-01-01 17:00:00
1546365600000,30.26,30.29,29.84,29.92,3123.72107,2019-01-01 18:00:00
1546369200000,29.91,30.51,29.87,30.48,3693.21882,2019-01-01 19:00:00
1546372800000,30.49,31.62,30.39,31.3,14197.83111,2019-01-01 20:00:00
1546376400000,31.3,31.62,31.01,31.03,8062.1866,2019-01-01 21:00:00
1546380000000,31.0,31.3,30.99,31.1,10140.45706,2019-01-01 22:00:00
1546383600000,31.1,31.8,31.03,31.48,8615.68737,2019-01-01 23:00:00
1546387200000,31.47,31.68,31.42,31.49,2989.68125,2019-01-02 00:00:00
1546390800000,31.49,31.64,31.23,31.34,2538.50837,2019-01-02 01:00:00
1546394400000,31.33,31.66,31.29,31.41,2512.54585,2019-01-02 02:00:00
