time,open,high,low,close,vol,time_stamp
1603144800000,3.1387,3.1556,3.11,3.1431,129369.72,2020-10-19 22:00:00
1603148400000,3.1406,3.1772,3.1406,3.1703,116659.45,2020-10-19 23:00:00
1603152000000,3.1703,3.191,3.1617,3.1717,120289.88,2020-10-20 00:00:00
1603155600000,3.1715,3.1756,3.1425,3.1436,94915.39,2020-10-20 01:00:00
1603159200000,3.1434,3.1541,3.1336,3.1425,67478.59,2020-10-20 02:00:00
1603162800000,3.1425,3.1651,3.1147,3.1384,310742.29,2020-10-20 03:00:00
1603166400000,3.1368,3.1428,3.0753,3.0761,306016.01,2020-10-20 04:00:00
1603170000000,3.0753,3.1153,3.07,3.11,141448.79,2020-10-20 05:00:00
1603173600000,3.1104,3.1224,3.0936,3.0948,133965.14,2020-10-20 06:00:00
1603177200000,3.0936,3.1165,3.0721,3.08,176832.48,2020-10-20 07:00:00
1603180800000,3.08,3.09,3.0596,3.0817,196058.71,2020-10-20 08:00:00
1603184400000,3.081,3.0981,3.0715,3.0715,165910.99,2020-10-20 09:00:00
1603188000000,3.0714,3.085,2.9933,2.9998,552172.83,2020-10-20 10:00:00
1603191600000,2.9949,3.0245,2.905,2.9444,1608011.97,2020-10-20 11:00:00
1603195200000,2.9418,2.9788,2.9377,2.9674,549120.77,2020-10-20 12:00:00
1603198800000,2.9656,2.9733,2.9152,2.9588,335838.84,2020-10-20 13:00:00
1603202400000,2.9595,2.9673,2.8888,2.8972,851482.07,2020-10-20 14:00:00
1603206000000,2.8973,2.9731,2.8008,2.9334,1007721.93,2020-10-20 15:00:00
1603209600000,2.9334,2.9356,2.8657,2.9197,617172.37,2020-10-20 16:00:00
1603213200000,2.9193,2.9488,2.8514,2.8685,301163.22,2020-10-20 17:00:00
1603216800000,2.8668,2.89,2.8354,2.8775,286728.34,2020-10-20 18:00:00
1603220400000,2.8771,2.8877,2.8125,2.8276,401100.78,2020-10-20 19:00:00
1603224000000,2.8268,2.8933,2.8237,2.8778,336862.8,2020-10-20 20:00:00
1603227600000,2.8751,2.8859,2.84,2.8767,150635.63,2020-10-20 21:00:00
1603231200000,2.8761,2.901,2.8568,2.8597,209214.23,2020-10-20 22:00:00
1603234800000,2.8598,2.8675,2.825,2.8582,168454.5,2020-10-20 23:00:00
1603238400000,2.8582,2.96,2.8389,2.9462,458926.45,2020-10-21 00:00:00
1603242000000,2.9454,2.9563,2.9024,2.9051,293721.74,2020-10-21 01:00:00
1603245600000,2.9064,2.9228,2.8519,2.8558,470010.55,2020-10-21 02:00:00
1603249200000,2.8585,3.0884,2.8578,3.0224,1139914.52,2020-10-21 03:00:00
1603252800000,3.0224,3.0491,3.0,3.0125,462694.66,2020-10-21 04:00:00
1603256400000,3.0096,3.0297,2.9639,2.9968,457746.39,2020-10-21 05:00:00
1603260000000,2.9971,3.0018,2.98,2.9833,219946.25,2020-10-21 06:00:00
1603263600000,2.9833,2.9904,2.9403,2.9819,346635.1,2020-10-21 07:00:00
1603267200000,2.982,3.001,2.953,2.976,255129.29,2020-10-21 08:00:00
1603270800000,2.9755,3.0001,2.9643,2.9924,212605.88,2020-10-21 09:00:00
1603274400000,2.9913,3.0164,2.9666,2.9952,204329.65,2020-10-21 10:00:00
1603278000000,2.9966,2.9996,2.9633,2.9739,255413.57,2020-10-21 11:00:00
1603281600000,2.9759,2.9939,2.9245,2.9595,303149.51,2020-10-21 12:00:00
1603285200000,2.9574,3.04,2.9501,3.0044,370958.26,2020-10-21 13:00:00
1603288800000,3.0044,3.0365,2.9732,3.0037,637019.83,2020-10-21 14:00:00
1603292400000,3.0044,3.03,2.9902,3.0057,373373.45,2020-10-21 15:00:00
1603296000000,3.0057,3.0747,2.98,2.9869,976167.6,2020-10-21 16:00:00
1603299600000,2.987,3.0353,2.9819,3.004,490786.71,2020-10-21 17:00:00
1603303200000,3.0081,3.0356,3.0007,3.0293,220064.26,2020-10-21 18:00:00
1603306800000,3.0266,3.0337,2.982,2.9933,195960.01,2020-10-21 19:00:00
1603310400000,2.9932,3.016,2.9818,2.9864,170186.28,2020-10-21 20:00:00
1603314000000,2.9859,2.9859,2.9002,2.9476,671168.41,2020-10-21 21:00:00
1603317600000,2.9478,2.9555,2.9211,2.9295,189461.24,2020-10-21 22:00:00
1603321200000,2.931,2.965,2.9026,2.9371,333268.81,2020-10-21 23:00:00
1603324800000,2.9359,2.9677,2.9265,2.9408,186725.85,2020-10-22 00:00:00
1603328400000,2.941,2.9624,2.9194,2.9452,184605.86,2020-10-22 01:00:00
1603332000000,2.945,2.947,2.925,2.942,135414.19,2020-10-22 02:00:00
1603335600000,2.9413,2.969,2.9399,2.9493,175162.12,2020-10-22 03:00:00
1603339200000,2.9465,2.9958,2.9454,2.9912,164498.18,2020-10-22 04:00:00
