time,open,high,low,close,vol,time_stamp
1610337600000,0.27501,0.28231,0.265,0.27853,99433521.5,2021-01-11 04:00:00
1610341200000,0.27848,0.285,0.27541,0.27836,83308509.8,2021-01-11 05:00:00
1610344800000,0.2783,0.27845,0.26204,0.26861,101238281.1,2021-01-11 06:00:00
1610348400000,0.26852,0.284,0.266,0.27969,88265382.2,2021-01-11 07:00:00
1610352000000,0.27977,0.29379,0.27767,0.28863,70726711.2,2021-01-11 08:00:00
1610355600000,0.28866,0.2924,0.281,0.29239,55254976.2,2021-01-11 09:00:00
1610359200000,0.29243,0.29991,0.29,0.2901,76279707.7,2021-01-11 10:00:00
1610362800000,0.2901,0.29219,0.28223,0.28344,69867419.5,2021-01-11 11:00:00
1610366400000,0.28384,0.28915,0.27613,0.28361,83680784.1,2021-01-11 12:00:00
1610370000000,0.2836,0.28559,0.27662,0.27722,75663214.0,2021-01-11 13:00:00
1610373600000,0.2772,0.2803,0.26063,0.27614,119570434.2,2021-01-11 14:00:00
1610377200000,0.27621,0.27899,0.26517,0.2666,82634165.8,2021-01-11 15:00:00
1610380800000,0.26658,0.28022,0.25847,0.27837,155962163.6,2021-01-11 16:00:00
1610384400000,0.2785,0.2816,0.26713,0.27809,118047111.0,2021-01-11 17:00:00
1610388000000,0.27809,0.28064,0.27423,0.27513,58233393.6,2021-01-11 18:00:00
1610391600000,0.27512,0.27831,0.26925,0.27538,63837394.4,2021-01-11 19:00:00
1610395200000,0.27546,0.278,0.27034,0.27779,48983748.1,2021-01-11 20:00:00
1610398800000,0.27781,0.28475,0.27474,0.28271,60441040.9,2021-01-11 21:00:00
1610402400000,0.28277,0.28912,0.28054,0.28498,36260050.3,2021-01-11 22:00:00
1610406000000,0.28499,0.29,0.28323,0.28743,54851190.3,2021-01-11 23:00:00
1610409600000,0.28742,0.28937,0.27957,0.28626,53980413.7,2021-01-12 00:00:00
1610413200000,0.28635,0.29,0.2814,0.28307,38873410.7,2021-01-12 01:00:00
1610416800000,0.28307,0.28651,0.2811,0.28504,28587183.2,2021-01-12 02:00:00
1610420400000,0.28512,0.305,0.28375,0.303,76265995.5,2021-01-12 03:00:00
1610424000000,0.30312,0.31003,0.29571,0.29985,88206119.8,2021-01-12 04:00:00
1610427600000,0.29985,0.30552,0.29813,0.30401,43092751.4,2021-01-12 05:00:00
1610431200000,0.30405,0.3094,0.30228,0.30687,50609421.0,2021-01-12 06:00:00
1610434800000,0.30691,0.30791,0.2997,0.30442,48380303.7,2021-01-12 07:00:00
1610438400000,0.30424,0.30585,0.29688,0.29961,51334041.6,2021-01-12 08:00:00
1610442000000,0.29957,0.30113,0.2965,0.29857,34762957.3,2021-01-12 09:00:00
1610445600000,0.29868,0.30111,0.28737,0.29028,64605528.3,2021-01-12 10:00:00
1610449200000,0.29029,0.29555,0.29025,0.29355,38562023.0,2021-01-12 11:00:00
1610452800000,0.29353,0.29993,0.29271,0.2943,41351926.9,2021-01-12 12:00:00
1610456400000,0.29443,0.29688,0.2815,0.28242,64895451.4,2021-01-12 13:00:00
1610460000000,0.28247,0.2885,0.27743,0.28333,59110225.9,2021-01-12 14:00:00
1610463600000,0.2834,0.288,0.2834,0.28548,29792828.5,2021-01-12 15:00:00
1610467200000,0.28547,0.2995,0.2854,0.29767,50662135.3,2021-01-12 16:00:00
1610470800000,0.29768,0.30412,0.29477,0.29882,43745212.9,2021-01-12 17:00:00
1610474400000,0.29883,0.30053,0.29561,0.29832,30040271.7,2021-01-12 18:00:00
1610478000000,0.2984,0.2985,0.2884,0.29256,44934630.7,2021-01-12 19:00:00
1610481600000,0.29274,0.29532,0.29003,0.29419,24966413.0,2021-01-12 20:00:00
1610485200000,0.29419,0.2989,0.29,0.2985,26166859.2,2021-01-12 21:00:00
1610488800000,0.29846,0.30027,0.28801,0.2901,26190465.2,2021-01-12 22:00:00
1610492400000,0.29022,0.2934,0.2861,0.29254,41227021.1,2021-01-12 23:00:00
1610496000000,0.29241,0.297,0.2848,0.2856,54185288.2,2021-01-13 00:00:00
1610499600000,0.2856,0.29356,0.28508,0.29267,39041874.1,2021-01-13 01:00:00
1610503200000,0.29262,0.29534,0.28831,0.29193,35343195.8,2021-01-13 02:00:00
1610506800000,0.29174,0.297,0.29161,0.29328,34733985.2,2021-01-13 03:00:00
1610510400000,0.2933,0.29367,0.28989,0.29106,25158805.8,2021-01-13 04:00:00
1610514000000,0.29085,0.29241,0.28768,0.29213,22156447.4,2021-01-13 05:00:00
1610517600000,0.29212,0.2987,0.29182,0.29315,36948387.9,2021-01-13 06:00:00
1610521200000,0.29313,0.29962,0.2928,0.29813,32471147.2,2021-01-13 07:00:00
1610524800000,0.29814,0.29862,0.29423,0.29574,27204053.1,2021-01-13 08:00:00
1610528400000,0.29574,0.29854,0.29398,0.29648,28559943.1,2021-01-13 09:00:00
1610532000000,0.29643,0.3031,0.29643,0.29903,40612296.7,2021-01-13 10:00:00
1610535600000,0.29901,0.3055,0.29766,0.29895,55151939.7,2021-01-13 11:00:00
1610539200000,0.29887,0.2995,0.29557,0.29777,25724374.6,2021-01-13 12:00:00
1610542800000,0.29771,0.30057,0.296,0.29968,24092713.8,2021-01-13 13:00:00
1610546400000,0.29968,0.30268,0.29646,0.2968,29829418.8,2021-01-13 14:00:00
1610550000000,0.2968,0.30082,0.2966,0.29955,20028095.6,2021-01-13 15:00:00
