time,open,high,low,close,vol,time_stamp
1614621600000,48565.0,48777.71,48233.33,48465.27,3120.340984,2021-03-01 18:00:00
1614625200000,48465.27,48700.0,48019.06,48262.83,2240.122682,2021-03-01 19:00:00
1614628800000,48262.66,48916.55,47876.0,48512.4,4496.213304,2021-03-01 20:00:00
1614632400000,48512.99,48872.0,48338.25,48784.09,2011.396977,2021-03-01 21:00:00
1614636000000,48784.46,49300.0,48588.89,49137.73,1882.441682,2021-03-01 22:00:00
1614639600000,49137.73,49790.0,49064.62,49587.03,2908.01012,2021-03-01 23:00:00
1614643200000,49595.76,50200.0,49278.94,49354.62,4346.814024,2021-03-02 00:00:00
1614646800000,49354.63,49699.93,48710.0,49368.6,2651.16259,2021-03-02 01:00:00
1614650400000,49368.6,49777.0,49045.45,49272.74,2909.335711,2021-03-02 02:00:00
1614654000000,49272.74,49398.0,48825.0,48974.75,2134.19589,2021-03-02 03:00:00
1614657600000,48974.74,49243.0,48544.75,49159.16,2213.465416,2021-03-02 04:00:00
1614661200000,49159.16,49402.07,48660.28,48672.07,1944.604656,2021-03-02 05:00:00
1614664800000,48673.88,48846.03,48333.0,48638.36,2733.660154,2021-03-02 06:00:00
1614668400000,48631.58,48833.1,48301.36,48331.61,2277.992619,2021-03-02 07:00:00
1614672000000,48331.6,49222.0,48270.69,48858.08,2996.196635,2021-03-02 08:00:00
1614675600000,48861.23,49265.54,48861.22,49144.23,2269.415485,2021-03-02 09:00:00
1614679200000,49144.22,49263.95,48550.0,48721.09,2242.273409,2021-03-02 10:00:00
1614682800000,48721.09,49047.06,48550.0,48844.13,1837.035863,2021-03-02 11:00:00
1614686400000,48844.14,49117.0,48568.98,48811.03,1941.874871,2021-03-02 12:00:00
1614690000000,48807.45,49076.7,48712.7,49000.0,2099.034689,2021-03-02 13:00:00
1614693600000,49000.0,49699.99,48769.32,48899.31,4150.046481,2021-03-02 14:00:00
1614697200000,48899.3,49043.99,48380.83,48676.08,3178.211655,2021-03-02 15:00:00
1614700800000,48676.09,48718.18,47265.79,47520.01,5366.205318,2021-03-02 16:00:00
1614704400000,47519.58,47982.45,47200.0,47852.63,3662.977354,2021-03-02 17:00:00
