time,open,high,low,close,vol,time_stamp
1614621600000,34.363,34.6197,33.9686,34.3289,417821.68,2021-03-01 18:00:00
1614625200000,34.3289,34.6,33.9309,34.1457,312225.57,2021-03-01 19:00:00
1614628800000,34.1481,34.7999,34.1131,34.5509,389985.05,2021-03-01 20:00:00
1614632400000,34.54,34.885,34.4265,34.8671,239915.5,2021-03-01 21:00:00
1614636000000,34.873,35.34,34.6532,35.34,280267.99,2021-03-01 22:00:00
1614639600000,35.3202,35.66,35.0794,35.6273,599067.7,2021-03-01 23:00:00
1614643200000,35.6278,36.93,35.6066,35.8534,1396006.17,2021-03-02 00:00:00
1614646800000,35.8428,36.521,35.2216,36.4722,710244.46,2021-03-02 01:00:00
1614650400000,36.4785,36.7682,35.863,36.4775,713149.02,2021-03-02 02:00:00
1614654000000,36.4929,36.5037,35.6673,35.7745,416717.86,2021-03-02 03:00:00
1614657600000,35.7662,36.4379,35.6457,36.4165,388641.12,2021-03-02 04:00:00
1614661200000,36.4164,36.5971,36.0095,36.053,309598.58,2021-03-02 05:00:00
1614664800000,36.053,36.1385,35.2321,35.5956,711586.51,2021-03-02 06:00:00
1614668400000,35.5889,35.8452,35.3158,35.3683,322111.54,2021-03-02 07:00:00
1614672000000,35.36,36.1063,35.3438,35.8935,403628.62,2021-03-02 08:00:00
1614675600000,35.8948,36.8343,35.8948,36.2326,757288.62,2021-03-02 09:00:00
1614679200000,36.2399,36.5556,35.9001,36.094,390525.23,2021-03-02 10:00:00
1614682800000,36.0891,36.4763,35.894,36.2218,258917.2,2021-03-02 11:00:00
1614686400000,36.2137,36.5401,36.0243,36.3431,338262.72,2021-03-02 12:00:00
1614690000000,36.338,37.6028,36.3088,37.5044,1691245.64,2021-03-02 13:00:00
1614693600000,37.51,37.9247,36.9439,37.0701,917729.01,2021-03-02 14:00:00
1614697200000,37.0828,37.333,36.62,36.9,614726.98,2021-03-02 15:00:00
1614700800000,36.8938,37.3,35.222,35.7669,1232069.04,2021-03-02 16:00:00
1614704400000,35.7888,36.017,35.0,35.4439,957422.86,2021-03-02 17:00:00
1614708000000,35.4356,35.6966,34.7762,35.0554,529834.19,2021-03-02 18:00:00
1614711600000,35.0421,35.3932,34.43,35.0118,541624.34,2021-03-02 19:00:00
1614715200000,35.0169,35.1073,34.3777,35.0795,479775.41,2021-03-02 20:00:00
1614718800000,35.0764,35.5326,34.8646,35.2993,370354.57,2021-03-02 21:00:00
