time,open,high,low,close,vol,time_stamp
1614621600000,3.6184,3.6448,3.5958,3.6246,764523.04,2021-03-01 18:00:00
1614625200000,3.6238,3.641,3.5826,3.5991,512105.72,2021-03-01 19:00:00
1614628800000,3.5948,3.6395,3.5848,3.618,560928.96,2021-03-01 20:00:00
1614632400000,3.6189,3.6435,3.6021,3.6419,458896.59,2021-03-01 21:00:00
1614636000000,3.6426,3.6742,3.633,3.6712,350041.37,2021-03-01 22:00:00
1614639600000,3.6726,3.7181,3.6674,3.7049,550069.56,2021-03-01 23:00:00
1614643200000,3.7074,3.7609,3.6518,3.6712,1136369.25,2021-03-02 00:00:00
1614646800000,3.6707,3.6782,3.6275,3.6654,811208.08,2021-03-02 01:00:00
1614650400000,3.6655,3.7609,3.6363,3.6825,1096855.96,2021-03-02 02:00:00
1614654000000,3.6815,3.7062,3.651,3.6658,549955.79,2021-03-02 03:00:00
1614657600000,3.6664,3.6854,3.6455,3.6831,598907.69,2021-03-02 04:00:00
1614661200000,3.6836,3.7,3.64,3.6406,510054.38,2021-03-02 05:00:00
1614664800000,3.64,3.642,3.585,3.6158,1151680.28,2021-03-02 06:00:00
1614668400000,3.6148,3.6282,3.5886,3.5965,714571.78,2021-03-02 07:00:00
1614672000000,3.5961,3.683,3.5954,3.6646,983045.77,2021-03-02 08:00:00
1614675600000,3.6651,3.85,3.6651,3.7764,2870987.94,2021-03-02 09:00:00
1614679200000,3.7763,3.8009,3.7002,3.7185,1532249.86,2021-03-02 10:00:00
1614682800000,3.718,3.77,3.705,3.7589,718967.7,2021-03-02 11:00:00
1614686400000,3.7593,3.7886,3.7303,3.7541,1159172.77,2021-03-02 12:00:00
1614690000000,3.7535,3.7909,3.7453,3.7766,722022.27,2021-03-02 13:00:00
1614693600000,3.7771,3.8205,3.7356,3.7404,1316186.57,2021-03-02 14:00:00
1614697200000,3.7406,3.7632,3.7059,3.7358,995295.18,2021-03-02 15:00:00
1614700800000,3.7352,3.7493,3.6157,3.638,2268621.14,2021-03-02 16:00:00
1614704400000,3.6373,3.6631,3.6056,3.6378,1300499.03,2021-03-02 17:00:00
1614708000000,3.6397,3.662,3.6208,3.6401,513891.69,2021-03-02 18:00:00
