time,open,high,low,close,vol,time_stamp
1620638580000,1.7895,1.7899,1.7854,1.7855,184310.04,2021-05-10 09:23:00
1620638640000,1.7854,1.7854,1.7743,1.7748,478969.26,2021-05-10 09:24:00
1620638700000,1.7748,1.7792,1.7748,1.7791,671471.83,2021-05-10 09:25:00
1620638760000,1.7791,1.7809,1.7749,1.7807,516430.76,2021-05-10 09:26:00
1620638820000,1.7807,1.7808,1.7731,1.7744,799334.78,2021-05-10 09:27:00
1620638880000,1.7744,1.7747,1.7708,1.7712,224838.92,2021-05-10 09:28:00
1620638940000,1.7711,1.772,1.7678,1.7689,632739.99,2021-05-10 09:29:00
1620639000000,1.7688,1.7742,1.7668,1.7672,607270.89,2021-05-10 09:30:00
1620639060000,1.7671,1.7712,1.7646,1.7669,946413.55,2021-05-10 09:31:00
1620639120000,1.7669,1.7681,1.7628,1.7634,428607.06,2021-05-10 09:32:00
1620639180000,1.7632,1.7644,1.76,1.7633,815774.15,2021-05-10 09:33:00
1620639240000,1.7634,1.7655,1.7559,1.7655,1030850.59,2021-05-10 09:34:00
1620639300000,1.7655,1.7699,1.7632,1.7663,718408.63,2021-05-10 09:35:00
1620639360000,1.7653,1.7706,1.7572,1.7583,984391.38,2021-05-10 09:36:00
1620639420000,1.7581,1.7654,1.7566,1.7645,483478.49,2021-05-10 09:37:00
1620639480000,1.7649,1.7677,1.752,1.7529,1661647.7,2021-05-10 09:38:00
1620639540000,1.7534,1.7578,1.7482,1.7574,1978397.79,2021-05-10 09:39:00
1620639600000,1.7574,1.7612,1.7534,1.7592,1212904.21,2021-05-10 09:40:00
1620639660000,1.7592,1.76,1.7471,1.7478,1214654.67,2021-05-10 09:41:00
1620639720000,1.7478,1.7527,1.7461,1.7527,537493.3,2021-05-10 09:42:00
1620639780000,1.7527,1.7527,1.742,1.7432,1294849.72,2021-05-10 09:43:00
1620639840000,1.7435,1.7492,1.7401,1.7423,930160.29,2021-05-10 09:44:00
1620639900000,1.7422,1.7524,1.7416,1.7487,833613.45,2021-05-10 09:45:00
1620639960000,1.7491,1.752,1.7469,1.7495,421221.64,2021-05-10 09:46:00
1620640020000,1.7495,1.7505,1.7442,1.7488,553537.68,2021-05-10 09:47:00
1620640080000,1.7487,1.7525,1.7475,1.7524,462084.17,2021-05-10 09:48:00
1620640140000,1.7525,1.7601,1.7513,1.7589,1001424.28,2021-05-10 09:49:00
1620640200000,1.7585,1.7596,1.7531,1.7559,453730.92,2021-05-10 09:50:00
1620640260000,1.756,1.76,1.756,1.7587,253620.11,2021-05-10 09:51:00
1620640320000,1.7588,1.7612,1.757,1.7607,306123.6,2021-05-10 09:52:00
1620640380000,1.7606,1.7614,1.7582,1.7614,453407.03,2021-05-10 09:53:00
1620640440000,1.761,1.7626,1.7598,1.7623,165434.46,2021-05-10 09:54:00
1620640500000,1.7623,1.7626,1.7604,1.7623,167489.76,2021-05-10 09:55:00
1620640560000,1.7622,1.7623,1.7559,1.756,340660.38,2021-05-10 09:56:00
1620640620000,1.756,1.7612,1.7558,1.7605,235208.86,2021-05-10 09:57:00
1620640680000,1.7605,1.7608,1.7561,1.7562,384954.57,2021-05-10 09:58:00
1620640740000,1.7562,1.7576,1.7537,1.7544,293861.7,2021-05-10 09:59:00
1620640800000,1.7542,1.762,1.7541,1.7596,308318.05,2021-05-10 10:00:00
1620640860000,1.7599,1.7599,1.7526,1.754,555155.08,2021-05-10 10:01:00
1620640920000,1.7538,1.7555,1.7522,1.7528,350303.83,2021-05-10 10:02:00
1620640980000,1.7528,1.7553,1.7527,1.7542,216991.49,2021-05-10 10:03:00
1620641040000,1.754,1.7561,1.7533,1.7555,256637.67,2021-05-10 10:04:00
