time,open,high,low,close,vol,time_stamp
1620563160000,1.3472,1.3489,1.3393,1.3466,198979.48,2021-05-09 12:26:00
1620563220000,1.3468,1.3469,1.3431,1.3442,17364.83,2021-05-09 12:27:00
1620563280000,1.3448,1.3515,1.3445,1.3515,15110.51,2021-05-09 12:28:00
1620563340000,1.3515,1.3523,1.3497,1.3509,6742.32,2021-05-09 12:29:00
1620563400000,1.351,1.3517,1.3485,1.349,11020.89,2021-05-09 12:30:00
1620563460000,1.35,1.3506,1.3464,1.3467,52136.73,2021-05-09 12:31:00
1620563520000,1.347,1.348,1.3466,1.348,9800.25,2021-05-09 12:32:00
1620563580000,1.348,1.3522,1.3478,1.3508,46275.35,2021-05-09 12:33:00
1620563640000,1.3522,1.3545,1.3508,1.3543,34771.14,2021-05-09 12:34:00
1620563700000,1.3534,1.3535,1.3516,1.3516,7018.83,2021-05-09 12:35:00
1620563760000,1.3525,1.3527,1.3497,1.3501,19511.96,2021-05-09 12:36:00
1620563820000,1.3497,1.3578,1.3483,1.3571,49123.53,2021-05-09 12:37:00
1620563880000,1.3572,1.3614,1.3572,1.36,20635.72,2021-05-09 12:38:00
1620563940000,1.3601,1.3615,1.3585,1.3603,44454.8,2021-05-09 12:39:00
1620564000000,1.3602,1.361,1.3586,1.3595,8947.18,2021-05-09 12:40:00
1620564060000,1.3595,1.3595,1.3534,1.3577,57363.04,2021-05-09 12:41:00
1620564120000,1.3577,1.3629,1.3573,1.3628,43277.36,2021-05-09 12:42:00
1620564180000,1.3612,1.3619,1.359,1.3608,24156.41,2021-05-09 12:43:00
1620564240000,1.3608,1.3608,1.3594,1.3599,1914.51,2021-05-09 12:44:00
1620564300000,1.3593,1.3613,1.358,1.358,12854.69,2021-05-09 12:45:00
1620564360000,1.358,1.3586,1.3513,1.3521,131647.19,2021-05-09 12:46:00
1620564420000,1.3528,1.3553,1.3521,1.3542,13778.72,2021-05-09 12:47:00
1620564480000,1.3543,1.3543,1.3478,1.3484,16999.27,2021-05-09 12:48:00
1620564540000,1.3484,1.3517,1.3475,1.3499,15656.2,2021-05-09 12:49:00
1620564600000,1.3514,1.3553,1.35,1.3553,17954.79,2021-05-09 12:50:00
1620564660000,1.3561,1.3574,1.354,1.354,59657.08,2021-05-09 12:51:00
1620564720000,1.3549,1.355,1.35,1.3519,4805.89,2021-05-09 12:52:00
1620564780000,1.3509,1.3523,1.3509,1.352,1145.53,2021-05-09 12:53:00
1620564840000,1.3517,1.3517,1.3451,1.3473,45408.22,2021-05-09 12:54:00
1620564900000,1.347,1.3492,1.3465,1.3482,18901.12,2021-05-09 12:55:00
1620564960000,1.348,1.348,1.3353,1.337,91220.77,2021-05-09 12:56:00
1620565020000,1.3359,1.3385,1.3351,1.3382,29767.91,2021-05-09 12:57:00
1620565080000,1.3378,1.3418,1.3345,1.3418,39182.56,2021-05-09 12:58:00
1620565140000,1.3407,1.3415,1.3345,1.3373,19653.6,2021-05-09 12:59:00
1620565200000,1.3375,1.3456,1.3362,1.3436,46118.38,2021-05-09 13:00:00
1620565260000,1.3432,1.3469,1.3412,1.3412,27630.48,2021-05-09 13:01:00
1620565320000,1.341,1.347,1.3409,1.3455,10517.09,2021-05-09 13:02:00
