time,open,high,low,close,vol,time_stamp
1620563160000,1299.61,1301.37,1293.45,1296.58,653.96349,2021-05-09 12:26:00
1620563220000,1296.59,1299.88,1295.46,1298.39,339.24468,2021-05-09 12:27:00
1620563280000,1298.06,1307.49,1297.39,1307.49,924.29972,2021-05-09 12:28:00
1620563340000,1307.55,1307.78,1303.11,1306.61,351.48994,2021-05-09 12:29:00
1620563400000,1307.16,1307.16,1301.65,1302.73,439.37792,2021-05-09 12:30:00
1620563460000,1302.75,1306.19,1299.53,1299.99,834.81841,2021-05-09 12:31:00
1620563520000,1299.98,1302.08,1294.68,1301.91,1750.91813,2021-05-09 12:32:00
1620563580000,1301.89,1304.45,1300.72,1302.19,823.39164,2021-05-09 12:33:00
1620563640000,1303.11,1304.55,1301.91,1303.9,291.63551,2021-05-09 12:34:00
1620563700000,1304.0,1306.65,1303.48,1306.5,198.71158,2021-05-09 12:35:00
1620563760000,1306.03,1307.17,1304.61,1304.61,313.65928,2021-05-09 12:36:00
1620563820000,1305.02,1312.66,1303.48,1311.72,663.94569,2021-05-09 12:37:00
1620563880000,1311.94,1316.7,1311.16,1316.22,145.08427,2021-05-09 12:38:00
1620563940000,1316.51,1316.95,1315.0,1316.37,146.03412,2021-05-09 12:39:00
1620564000000,1316.61,1316.61,1313.45,1313.95,239.97527,2021-05-09 12:40:00
1620564060000,1313.6,1318.44,1313.6,1317.36,105.92725,2021-05-09 12:41:00
1620564120000,1317.26,1319.26,1316.46,1319.09,181.266,2021-05-09 12:42:00
1620564180000,1318.85,1319.09,1317.52,1317.52,96.42937,2021-05-09 12:43:00
1620564240000,1317.66,1317.87,1315.8,1315.8,275.2851,2021-05-09 12:44:00
1620564300000,1315.8,1316.38,1313.33,1316.38,183.88646,2021-05-09 12:45:00
1620564360000,1316.23,1316.34,1309.47,1309.47,376.40996,2021-05-09 12:46:00
1620564420000,1309.48,1312.05,1308.37,1311.22,188.6837,2021-05-09 12:47:00
1620564480000,1311.01,1311.2,1304.55,1305.2,227.07782,2021-05-09 12:48:00
1620564540000,1305.94,1309.4,1305.66,1309.26,124.60984,2021-05-09 12:49:00
1620564600000,1309.77,1313.58,1309.61,1313.15,49.8941,2021-05-09 12:50:00
1620564660000,1313.91,1314.14,1311.17,1312.34,98.51824,2021-05-09 12:51:00
1620564720000,1311.97,1311.97,1305.44,1306.12,140.06512,2021-05-09 12:52:00
1620564780000,1306.12,1306.33,1304.0,1304.17,102.2706,2021-05-09 12:53:00
1620564840000,1304.07,1304.59,1301.1,1303.24,263.45284,2021-05-09 12:54:00
1620564900000,1303.24,1305.03,1302.46,1302.93,144.85695,2021-05-09 12:55:00
1620564960000,1303.17,1303.17,1288.53,1289.29,1331.66398,2021-05-09 12:56:00
1620565020000,1289.21,1297.59,1288.64,1293.75,846.21112,2021-05-09 12:57:00
1620565080000,1293.73,1294.95,1288.91,1290.3,525.57743,2021-05-09 12:58:00
1620565140000,1290.21,1290.21,1282.73,1288.11,926.76434,2021-05-09 12:59:00
1620565200000,1288.09,1299.59,1286.91,1298.6,916.08423,2021-05-09 13:00:00
1620565260000,1298.6,1300.48,1296.2,1297.3,545.72594,2021-05-09 13:01:00
1620565320000,1297.3,1302.88,1296.53,1301.88,428.42649,2021-05-09 13:02:00
1620565380000,1302.35,1305.09,1300.97,1305.09,425.38745,2021-05-09 13:03:00
1620565440000,1305.11,1306.61,1303.0,1306.0,1000.90438,2021-05-09 13:04:00
1620565500000,1306.01,1307.77,1305.5,1307.02,173.99354,2021-05-09 13:05:00
1620565560000,1307.12,1307.13,1302.65,1305.76,276.54114,2021-05-09 13:06:00
1620565620000,1305.71,1307.64,1304.06,1306.19,249.7632,2021-05-09 13:07:00
1620565680000,1306.22,1306.22,1302.35,1303.46,157.30575,2021-05-09 13:08:00
1620565740000,1303.55,1306.54,1302.95,1305.47,303.59993,2021-05-09 13:09:00
1620565800000,1305.45,1306.1,1301.71,1302.38,182.88235,2021-05-09 13:10:00
1620565860000,1302.43,1305.17,1301.69,1304.15,232.29221,2021-05-09 13:11:00
1620565920000,1304.24,1308.48,1303.67,1308.48,142.11345,2021-05-09 13:12:00
1620565980000,1308.48,1312.17,1308.3,1311.44,180.7171,2021-05-09 13:13:00
1620566040000,1311.52,1313.58,1309.16,1312.91,228.95929,2021-05-09 13:14:00
1620566100000,1312.71,1313.09,1311.03,1312.69,60.24466,2021-05-09 13:15:00
1620566160000,1312.68,1313.95,1311.7,1313.38,75.71579,2021-05-09 13:16:00
1620566220000,1313.39,1315.66,1312.61,1312.61,184.06047,2021-05-09 13:17:00
1620566280000,1313.07,1314.13,1308.89,1313.12,688.49308,2021-05-09 13:18:00
1620566340000,1313.91,1315.1,1311.46,1313.2,125.42465,2021-05-09 13:19:00
1620566400000,1313.01,1313.88,1312.07,1312.93,211.23816,2021-05-09 13:20:00
1620566460000,1312.6,1312.68,1307.71,1308.86,115.63135,2021-05-09 13:21:00
1620566520000,1308.86,1310.77,1307.37,1309.21,236.30933,2021-05-09 13:22:00
1620566580000,1308.48,1313.59,1308.48,1312.28,307.73701,2021-05-09 13:23:00
1620566640000,1312.31,1314.52,1309.67,1311.3,189.97916,2021-05-09 13:24:00
1620566700000,1311.5,1311.63,1306.97,1308.26,94.05375,2021-05-09 13:25:00
1620566760000,1307.96,1312.35,1307.81,1311.15,96.96142,2021-05-09 13:26:00
1620566820000,1311.25,1312.92,1310.06,1312.59,175.83619,2021-05-09 13:27:00
1620566880000,1312.59,1313.57,1308.06,1308.06,123.08718,2021-05-09 13:28:00
1620566940000,1308.07,1309.79,1306.34,1306.74,114.57509,2021-05-09 13:29:00
1620567000000,1307.1,1310.44,1304.08,1310.44,206.51335,2021-05-09 13:30:00
1620567060000,1310.54,1313.49,1310.14,1313.49,99.89015,2021-05-09 13:31:00
1620567120000,1314.03,1314.1,1310.12,1310.8,208.36971,2021-05-09 13:32:00
1620567180000,1310.91,1313.84,1310.84,1312.79,289.48549,2021-05-09 13:33:00
1620567240000,1312.8,1312.8,1311.85,1312.79,42.27587,2021-05-09 13:34:00
1620567300000,1312.79,1314.67,1312.63,1313.81,188.07708,2021-05-09 13:35:00
1620567360000,1314.02,1314.5,1312.37,1313.0,411.21905,2021-05-09 13:36:00
1620567420000,1313.0,1313.56,1312.39,1313.5,150.92527,2021-05-09 13:37:00
1620567480000,1313.5,1313.98,1306.97,1309.23,420.46697,2021-05-09 13:38:00
1620567540000,1308.88,1314.22,1308.88,1314.22,66.74927,2021-05-09 13:39:00
1620567600000,1313.99,1313.99,1307.31,1307.69,93.82812,2021-05-09 13:40:00
1620567660000,1307.41,1312.69,1307.18,1312.05,118.05522,2021-05-09 13:41:00
1620567720000,1311.91,1312.88,1309.26,1311.97,78.34408,2021-05-09 13:42:00
1620567780000,1312.02,1313.03,1311.54,1312.06,57.99415,2021-05-09 13:43:00
1620567840000,1312.02,1312.25,1310.9,1311.77,9.20481,2021-05-09 13:44:00
1620567900000,1311.69,1312.04,1309.82,1310.03,381.38773,2021-05-09 13:45:00
1620567960000,1310.18,1312.05,1308.75,1308.75,364.28372,2021-05-09 13:46:00
1620568020000,1309.66,1311.44,1308.41,1309.73,354.31431,2021-05-09 13:47:00
1620568080000,1309.73,1309.79,1305.8,1306.8,682.99343,2021-05-09 13:48:00
1620568140000,1306.79,1307.57,1305.56,1307.49,404.58341,2021-05-09 13:49:00
1620568200000,1307.49,1307.58,1303.57,1304.35,268.00231,2021-05-09 13:50:00
1620568260000,1304.33,1308.52,1304.33,1307.78,429.20865,2021-05-09 13:51:00
1620568320000,1307.77,1308.81,1305.37,1306.46,671.32069,2021-05-09 13:52:00
1620568380000,1306.71,1307.86,1306.42,1307.86,204.10846,2021-05-09 13:53:00
1620568440000,1307.82,1309.44,1307.48,1308.83,93.46249,2021-05-09 13:54:00
1620568500000,1308.83,1310.77,1308.6,1309.57,171.59042,2021-05-09 13:55:00
1620568560000,1309.52,1314.5,1309.52,1312.01,264.13591,2021-05-09 13:56:00
1620568620000,1312.64,1315.0,1312.54,1314.49,154.05969,2021-05-09 13:57:00
1620568680000,1313.97,1314.91,1313.69,1314.01,54.46508,2021-05-09 13:58:00
1620568740000,1314.4,1315.23,1313.54,1315.16,79.7321,2021-05-09 13:59:00
1620568800000,1315.21,1315.23,1313.01,1313.78,40.68592,2021-05-09 14:00:00
1620568860000,1313.8,1315.17,1313.14,1314.18,103.35009,2021-05-09 14:01:00
1620568920000,1313.91,1318.53,1313.9,1318.1,181.96733,2021-05-09 14:02:00
1620568980000,1318.1,1319.7,1317.81,1318.71,67.26282,2021-05-09 14:03:00
1620569040000,1318.82,1320.0,1317.54,1318.18,381.42321,2021-05-09 14:04:00
1620569100000,1318.85,1319.53,1317.48,1319.35,125.95507,2021-05-09 14:05:00
1620569160000,1319.35,1320.93,1318.61,1320.77,361.56809,2021-05-09 14:06:00
1620569220000,1320.62,1321.51,1320.56,1321.11,34.87727,2021-05-09 14:07:00
1620569280000,1321.16,1322.18,1319.61,1321.61,104.87419,2021-05-09 14:08:00
1620569340000,1321.31,1321.31,1317.14,1318.39,155.17677,2021-05-09 14:09:00
1620569400000,1318.39,1320.13,1318.31,1318.9,49.3481,2021-05-09 14:10:00
1620569460000,1319.02,1320.35,1319.0,1319.71,38.26464,2021-05-09 14:11:00
1620569520000,1319.84,1320.34,1316.17,1317.0,81.35227,2021-05-09 14:12:00
1620569580000,1316.17,1316.81,1314.82,1315.75,51.87783,2021-05-09 14:13:00
1620569640000,1315.74,1316.84,1313.52,1313.52,95.20398,2021-05-09 14:14:00
1620569700000,1313.51,1318.69,1313.16,1317.98,49.47022,2021-05-09 14:15:00
1620569760000,1317.98,1319.57,1317.66,1318.68,80.74105,2021-05-09 14:16:00
1620569820000,1318.68,1320.9,1318.37,1320.69,86.28563,2021-05-09 14:17:00
1620569880000,1320.5,1321.21,1319.04,1319.44,56.46441,2021-05-09 14:18:00
1620569940000,1318.99,1319.18,1318.0,1319.0,121.32939,2021-05-09 14:19:00
1620570000000,1318.96,1319.7,1318.0,1318.3,74.15208,2021-05-09 14:20:00
1620570060000,1318.11,1318.11,1313.93,1316.84,226.78913,2021-05-09 14:21:00
1620570120000,1316.84,1317.49,1315.14,1315.82,40.17337,2021-05-09 14:22:00
1620570180000,1315.24,1317.44,1315.01,1317.0,48.05182,2021-05-09 14:23:00
1620570240000,1316.85,1318.13,1316.49,1318.13,23.96597,2021-05-09 14:24:00
1620570300000,1318.13,1319.36,1317.7,1318.86,25.79367,2021-05-09 14:25:00
1620570360000,1318.85,1320.39,1318.82,1320.13,56.78466,2021-05-09 14:26:00
1620570420000,1320.14,1322.0,1319.96,1322.0,47.25298,2021-05-09 14:27:00
1620570480000,1322.0,1323.65,1321.98,1323.22,35.3733,2021-05-09 14:28:00
1620570540000,1322.98,1324.4,1322.17,1323.95,88.08491,2021-05-09 14:29:00
1620570600000,1323.43,1324.27,1320.21,1320.21,121.27834,2021-05-09 14:30:00
1620570660000,1320.37,1321.11,1319.65,1319.71,57.41026,2021-05-09 14:31:00
1620570720000,1319.71,1322.01,1319.05,1321.62,83.01811,2021-05-09 14:32:00
1620570780000,1321.72,1322.75,1320.94,1321.31,75.14649,2021-05-09 14:33:00
1620570840000,1321.33,1322.64,1321.3,1322.55,23.6877,2021-05-09 14:34:00
1620570900000,1322.33,1322.55,1321.37,1321.37,46.89184,2021-05-09 14:35:00
1620570960000,1321.38,1323.68,1321.32,1323.68,76.19571,2021-05-09 14:36:00
1620571020000,1324.05,1324.05,1322.99,1323.21,16.96229,2021-05-09 14:37:00
1620571080000,1323.21,1324.91,1323.21,1324.79,51.18995,2021-05-09 14:38:00
1620571140000,1324.44,1324.72,1322.39,1322.83,88.3543,2021-05-09 14:39:00
1620571200000,1323.06,1323.25,1318.99,1320.11,275.10138,2021-05-09 14:40:00
1620571260000,1319.93,1320.89,1318.73,1320.89,50.16421,2021-05-09 14:41:00
1620571320000,1320.93,1322.2,1320.47,1321.0,56.63985,2021-05-09 14:42:00
1620571380000,1320.99,1323.58,1320.99,1322.51,42.73535,2021-05-09 14:43:00
1620571440000,1322.85,1325.17,1322.35,1325.17,170.34288,2021-05-09 14:44:00
1620571500000,1325.17,1330.64,1324.52,1330.44,685.34628,2021-05-09 14:45:00
1620571560000,1330.64,1331.88,1327.36,1327.43,178.84969,2021-05-09 14:46:00
1620571620000,1327.72,1331.41,1327.03,1331.41,91.25154,2021-05-09 14:47:00
1620571680000,1331.31,1331.37,1328.2,1329.25,66.10518,2021-05-09 14:48:00
1620571740000,1329.22,1330.39,1328.87,1330.0,44.68047,2021-05-09 14:49:00
1620571800000,1329.41,1330.03,1327.01,1327.11,72.67415,2021-05-09 14:50:00
1620571860000,1327.17,1328.1,1323.54,1324.35,247.69408,2021-05-09 14:51:00
