time,open,high,low,close,vol,time_stamp
1620855120000,33.719,33.783,33.656,33.698,4292.741,2021-05-12 21:32:00
1620855180000,33.705,33.811,33.699,33.779,2107.653,2021-05-12 21:33:00
1620855240000,33.803,33.858,33.766,33.835,1519.646,2021-05-12 21:34:00
1620855300000,33.834,33.85,33.779,33.813,777.465,2021-05-12 21:35:00
1620855360000,33.791,33.81,33.745,33.8,1026.781,2021-05-12 21:36:00
1620855420000,33.8,33.816,33.759,33.783,731.375,2021-05-12 21:37:00
1620855480000,33.807,33.807,33.745,33.795,973.525,2021-05-12 21:38:00
1620855540000,33.776,33.787,33.701,33.749,1886.59,2021-05-12 21:39:00
1620855600000,33.749,33.839,33.718,33.787,2334.268,2021-05-12 21:40:00
1620855660000,33.787,33.834,33.781,33.829,694.527,2021-05-12 21:41:00
1620855720000,33.837,33.839,33.812,33.838,2431.005,2021-05-12 21:42:00
1620855780000,33.838,33.839,33.8,33.826,831.89,2021-05-12 21:43:00
1620855840000,33.826,33.839,33.8,33.839,2521.529,2021-05-12 21:44:00
1620855900000,33.839,33.921,33.839,33.841,2868.76,2021-05-12 21:45:00
1620855960000,33.862,33.885,33.8,33.822,3892.997,2021-05-12 21:46:00
1620856020000,33.822,33.868,33.817,33.83,800.195,2021-05-12 21:47:00
1620856080000,33.835,33.884,33.835,33.842,1437.512,2021-05-12 21:48:00
1620856140000,33.871,33.89,33.822,33.882,576.991,2021-05-12 21:49:00
1620856200000,33.857,33.89,33.806,33.808,1557.162,2021-05-12 21:50:00
1620856260000,33.808,33.824,33.601,33.641,5075.727,2021-05-12 21:51:00
1620856320000,33.649,33.8,33.649,33.792,7109.326,2021-05-12 21:52:00
1620856380000,33.796,33.797,33.643,33.705,3630.2,2021-05-12 21:53:00
1620856440000,33.705,33.769,33.699,33.749,1450.702,2021-05-12 21:54:00
1620856500000,33.744,33.797,33.719,33.774,1782.318,2021-05-12 21:55:00
1620856560000,33.773,33.79,33.723,33.771,536.69,2021-05-12 21:56:00
1620856620000,33.755,33.755,33.657,33.7,2061.846,2021-05-12 21:57:00
1620856680000,33.7,33.75,33.672,33.706,573.996,2021-05-12 21:58:00
1620856740000,33.713,33.779,33.71,33.763,872.891,2021-05-12 21:59:00
1620856800000,33.777,33.8,33.772,33.779,633.37,2021-05-12 22:00:00
1620856860000,33.778,33.86,33.77,33.833,1355.415,2021-05-12 22:01:00
1620856920000,33.82,33.862,33.819,33.819,936.268,2021-05-12 22:02:00
1620856980000,33.819,33.82,33.778,33.808,873.789,2021-05-12 22:03:00
1620857040000,33.808,33.85,33.79,33.848,1824.134,2021-05-12 22:04:00
1620857100000,33.84,33.85,33.75,33.775,1917.364,2021-05-12 22:05:00
1620857160000,33.774,33.849,33.667,33.667,3048.111,2021-05-12 22:06:00
1620857220000,33.667,33.723,33.6,33.6,2829.514,2021-05-12 22:07:00
1620857280000,33.6,33.6,32.514,32.6,41712.17,2021-05-12 22:08:00
1620857340000,32.601,33.279,32.6,32.656,30610.023,2021-05-12 22:09:00
1620857400000,32.656,32.83,32.513,32.673,13039.923,2021-05-12 22:10:00
1620857460000,32.674,32.724,32.5,32.5,15010.914,2021-05-12 22:11:00
1620857520000,32.505,32.536,32.1,32.153,36301.008,2021-05-12 22:12:00
