time,open,high,low,close,vol,time_stamp
1620855120000,0.44311,0.44743,0.44311,0.44602,562698.2,2021-05-12 21:32:00
1620855180000,0.44602,0.44649,0.4427,0.44438,556950.4,2021-05-12 21:33:00
1620855240000,0.44475,0.44573,0.44422,0.4457,248216.5,2021-05-12 21:34:00
1620855300000,0.44573,0.44597,0.44298,0.44332,409319.7,2021-05-12 21:35:00
1620855360000,0.44301,0.44568,0.44271,0.44488,136457.7,2021-05-12 21:36:00
1620855420000,0.44485,0.44705,0.4438,0.44448,440953.0,2021-05-12 21:37:00
1620855480000,0.445,0.44526,0.4421,0.44212,345907.9,2021-05-12 21:38:00
1620855540000,0.4421,0.44453,0.44109,0.44404,468716.7,2021-05-12 21:39:00
1620855600000,0.4444,0.44776,0.44213,0.4458,822331.3,2021-05-12 21:40:00
1620855660000,0.44512,0.4476,0.44452,0.44607,369719.6,2021-05-12 21:41:00
1620855720000,0.44605,0.44741,0.44551,0.44653,224275.1,2021-05-12 21:42:00
1620855780000,0.44668,0.44741,0.44622,0.44673,251592.0,2021-05-12 21:43:00
1620855840000,0.44622,0.44889,0.44502,0.44865,642683.6,2021-05-12 21:44:00
1620855900000,0.44863,0.45055,0.4479,0.44836,478474.2,2021-05-12 21:45:00
1620855960000,0.44884,0.44977,0.44842,0.44876,203158.6,2021-05-12 21:46:00
1620856020000,0.44911,0.44944,0.44778,0.44858,319569.8,2021-05-12 21:47:00
1620856080000,0.44827,0.44925,0.44826,0.44887,232523.5,2021-05-12 21:48:00
1620856140000,0.44829,0.45113,0.44827,0.45112,458050.9,2021-05-12 21:49:00
1620856200000,0.45113,0.45134,0.45007,0.45083,507698.6,2021-05-12 21:50:00
1620856260000,0.45116,0.45229,0.45051,0.45229,388815.3,2021-05-12 21:51:00
1620856320000,0.4523,0.45498,0.45203,0.45331,1529407.5,2021-05-12 21:52:00
1620856380000,0.45331,0.45636,0.45328,0.45621,828077.6,2021-05-12 21:53:00
1620856440000,0.45601,0.457,0.45528,0.45667,686796.0,2021-05-12 21:54:00
1620856500000,0.45687,0.45877,0.45625,0.45777,1885458.4,2021-05-12 21:55:00
1620856560000,0.45786,0.4605,0.45734,0.45996,1361818.9,2021-05-12 21:56:00
1620856620000,0.45993,0.45994,0.45842,0.45909,1364852.4,2021-05-12 21:57:00
