time,open,high,low,close,vol,time_stamp
1620855120000,12.0567,12.0615,12.0282,12.0369,17869.93,2021-05-12 21:32:00
1620855180000,12.0369,12.0619,12.0293,12.0558,15628.17,2021-05-12 21:33:00
1620855240000,12.0572,12.1071,12.0558,12.0991,27808.99,2021-05-12 21:34:00
1620855300000,12.0999,12.1,12.06,12.06,17934.42,2021-05-12 21:35:00
1620855360000,12.0601,12.0652,11.9908,12.024,165624.39,2021-05-12 21:36:00
1620855420000,12.0266,12.05,12.0171,12.0376,29513.44,2021-05-12 21:37:00
1620855480000,12.0342,12.0396,11.9858,11.9859,21355.81,2021-05-12 21:38:00
1620855540000,11.9923,12.0161,11.9836,12.0073,29254.99,2021-05-12 21:39:00
1620855600000,12.008,12.0082,11.9731,11.9745,29127.77,2021-05-12 21:40:00
1620855660000,11.9732,12.0082,11.9713,11.9861,16232.68,2021-05-12 21:41:00
1620855720000,11.9906,12.0253,11.9694,12.0123,32768.25,2021-05-12 21:42:00
1620855780000,12.012,12.012,11.9681,11.9681,20783.28,2021-05-12 21:43:00
1620855840000,11.9737,12.0224,11.95,12.0207,31913.7,2021-05-12 21:44:00
1620855900000,12.0147,12.0599,11.9992,12.0352,39326.67,2021-05-12 21:45:00
1620855960000,12.0283,12.0283,11.9759,12.0008,28217.03,2021-05-12 21:46:00
1620856020000,12.0028,12.0261,11.9759,11.9768,29048.64,2021-05-12 21:47:00
1620856080000,11.9838,12.0203,11.9752,12.0032,18809.81,2021-05-12 21:48:00
1620856140000,12.0027,12.024,11.9844,11.996,16657.38,2021-05-12 21:49:00
1620856200000,11.9958,12.0057,11.954,11.954,18361.35,2021-05-12 21:50:00
1620856260000,11.9616,11.9746,11.9226,11.9254,23758.47,2021-05-12 21:51:00
1620856320000,11.9227,11.9629,11.9147,11.9591,31078.68,2021-05-12 21:52:00
1620856380000,11.9632,11.9632,11.9214,11.932,22946.64,2021-05-12 21:53:00
1620856440000,11.9279,11.9596,11.9267,11.9499,17783.85,2021-05-12 21:54:00
1620856500000,11.95,12.0053,11.9326,11.9614,31390.74,2021-05-12 21:55:00
1620856560000,11.9591,11.9613,11.9273,11.9406,38638.46,2021-05-12 21:56:00
1620856620000,11.9433,11.95,11.9364,11.9459,22480.72,2021-05-12 21:57:00
1620856680000,11.9458,11.949,11.9401,11.9449,21757.09,2021-05-12 21:58:00
1620856740000,11.9449,11.9846,11.9448,11.9743,28572.42,2021-05-12 21:59:00
1620856800000,11.9741,12.0008,11.96,11.987,46227.25,2021-05-12 22:00:00
1620856860000,11.992,12.0162,11.9864,12.01,24809.54,2021-05-12 22:01:00
1620856920000,12.01,12.021,12.003,12.0106,59294.31,2021-05-12 22:02:00
1620856980000,12.01,12.0106,11.9811,12.0106,68599.01,2021-05-12 22:03:00
1620857040000,12.008,12.0106,11.9948,12.0029,29768.78,2021-05-12 22:04:00
1620857100000,12.0028,12.0106,11.9852,11.9852,33105.61,2021-05-12 22:05:00
1620857160000,11.9854,12.0106,11.9757,11.9921,53293.76,2021-05-12 22:06:00
