time,open,high,low,close,vol,time_stamp
1620638520000,4113.88,4120.0,4113.54,4119.28,529.54259,2021-05-10 09:22:00
1620638580000,4119.28,4119.28,4108.08,4108.83,717.25523,2021-05-10 09:23:00
1620638640000,4109.41,4110.11,4105.0,4105.56,476.19051,2021-05-10 09:24:00
1620638700000,4105.7,4117.95,4105.49,4117.34,713.75256,2021-05-10 09:25:00
1620638760000,4117.34,4117.96,4110.0,4117.01,664.70874,2021-05-10 09:26:00
1620638820000,4117.01,4117.02,4108.0,4108.69,405.34022,2021-05-10 09:27:00
1620638880000,4108.7,4111.05,4098.0,4098.76,2651.97948,2021-05-10 09:28:00
1620638940000,4098.75,4106.6,4098.2,4100.5,1039.69636,2021-05-10 09:29:00
1620639000000,4100.76,4108.16,4100.0,4100.1,928.60846,2021-05-10 09:30:00
1620639060000,4100.1,4109.07,4097.63,4105.57,1431.49282,2021-05-10 09:31:00
1620639120000,4105.03,4107.03,4095.0,4095.4,1266.14389,2021-05-10 09:32:00
1620639180000,4095.4,4107.71,4095.4,4104.22,1538.24457,2021-05-10 09:33:00
1620639240000,4104.93,4116.9,4104.05,4116.46,551.68331,2021-05-10 09:34:00
1620639300000,4116.46,4120.28,4115.91,4118.6,598.94283,2021-05-10 09:35:00
1620639360000,4118.59,4120.01,4110.98,4114.5,663.35398,2021-05-10 09:36:00
1620639420000,4114.5,4117.0,4112.38,4114.38,539.63165,2021-05-10 09:37:00
1620639480000,4114.53,4116.92,4105.37,4105.64,871.68046,2021-05-10 09:38:00
1620639540000,4105.65,4113.29,4105.65,4112.06,518.75475,2021-05-10 09:39:00
1620639600000,4112.06,4115.0,4105.15,4107.98,537.95715,2021-05-10 09:40:00
1620639660000,4107.97,4110.8,4105.45,4108.17,374.87605,2021-05-10 09:41:00
1620639720000,4108.16,4109.55,4100.34,4104.46,742.18548,2021-05-10 09:42:00
1620639780000,4104.46,4104.8,4100.0,4100.26,665.39189,2021-05-10 09:43:00
1620639840000,4100.06,4103.04,4100.0,4100.49,1133.2247,2021-05-10 09:44:00
1620639900000,4100.5,4102.99,4100.0,4102.99,1654.02726,2021-05-10 09:45:00
1620639960000,4102.99,4104.98,4100.0,4100.19,1457.63045,2021-05-10 09:46:00
1620640020000,4100.18,4100.19,4089.0,4093.88,2394.98429,2021-05-10 09:47:00
1620640080000,4093.88,4099.16,4089.02,4098.84,1278.57254,2021-05-10 09:48:00
1620640140000,4098.97,4112.77,4098.84,4110.4,626.79624,2021-05-10 09:49:00
1620640200000,4110.39,4121.0,4110.39,4119.24,913.76054,2021-05-10 09:50:00
1620640260000,4118.93,4127.99,4118.93,4126.3,920.89346,2021-05-10 09:51:00
1620640320000,4126.3,4127.26,4120.4,4125.43,706.60312,2021-05-10 09:52:00
1620640380000,4125.44,4130.0,4123.97,4129.6,549.05992,2021-05-10 09:53:00
1620640440000,4129.39,4130.95,4125.53,4125.54,503.21599,2021-05-10 09:54:00
1620640500000,4125.5,4131.19,4125.09,4129.65,460.85235,2021-05-10 09:55:00
1620640560000,4129.5,4129.65,4118.0,4118.01,572.2922,2021-05-10 09:56:00
1620640620000,4118.01,4122.04,4114.87,4116.47,613.97851,2021-05-10 09:57:00
1620640680000,4116.56,4117.63,4110.0,4112.17,391.63221,2021-05-10 09:58:00
1620640740000,4112.16,4112.17,4102.99,4104.8,565.40677,2021-05-10 09:59:00
1620640800000,4104.8,4117.3,4104.79,4110.23,599.72128,2021-05-10 10:00:00
1620640860000,4110.23,4110.23,4087.51,4087.51,1927.49844,2021-05-10 10:01:00
1620640920000,4087.46,4093.88,4086.31,4087.61,1988.7273,2021-05-10 10:02:00
1620640980000,4087.61,4096.92,4083.68,4083.77,766.24974,2021-05-10 10:03:00
1620641040000,4083.77,4087.23,4082.0,4084.47,1090.39427,2021-05-10 10:04:00
1620641100000,4084.47,4090.15,4082.96,4090.14,898.03901,2021-05-10 10:05:00
1620641160000,4090.14,4091.0,4077.53,4078.62,1047.49991,2021-05-10 10:06:00
1620641220000,4078.74,4082.52,4075.58,4075.91,1089.86386,2021-05-10 10:07:00
1620641280000,4076.31,4089.18,4074.39,4087.55,921.77926,2021-05-10 10:08:00
1620641340000,4087.56,4095.88,4086.08,4095.61,582.27374,2021-05-10 10:09:00
1620641400000,4095.46,4095.46,4086.79,4089.81,463.40052,2021-05-10 10:10:00
1620641460000,4089.7,4098.2,4087.71,4097.73,498.54605,2021-05-10 10:11:00
1620641520000,4097.73,4097.73,4088.48,4089.37,426.13814,2021-05-10 10:12:00
1620641580000,4089.36,4094.0,4088.0,4088.01,434.71976,2021-05-10 10:13:00
1620641640000,4088.01,4089.0,4080.0,4082.58,635.09991,2021-05-10 10:14:00
1620641700000,4082.57,4094.09,4082.29,4092.15,570.87642,2021-05-10 10:15:00
1620641760000,4092.15,4095.45,4092.14,4093.38,416.69655,2021-05-10 10:16:00
1620641820000,4093.23,4103.24,4093.17,4100.76,562.30865,2021-05-10 10:17:00
1620641880000,4100.76,4107.11,4093.92,4094.41,667.20111,2021-05-10 10:18:00
1620641940000,4094.33,4098.28,4090.77,4096.8,365.5984,2021-05-10 10:19:00
1620642000000,4096.8,4097.61,4093.0,4093.03,437.20729,2021-05-10 10:20:00
1620642060000,4093.05,4097.05,4090.75,4094.37,496.67392,2021-05-10 10:21:00
1620642120000,4094.36,4094.37,4090.78,4093.19,295.91195,2021-05-10 10:22:00
1620642180000,4093.19,4095.62,4092.0,4092.53,326.40714,2021-05-10 10:23:00
1620642240000,4092.52,4097.42,4091.63,4093.74,292.98383,2021-05-10 10:24:00
1620642300000,4093.72,4098.0,4093.13,4097.05,234.3395,2021-05-10 10:25:00
1620642360000,4097.17,4097.89,4096.35,4097.39,301.63787,2021-05-10 10:26:00
1620642420000,4097.39,4098.98,4094.23,4096.82,457.02231,2021-05-10 10:27:00
1620642480000,4096.81,4098.0,4096.34,4097.81,243.01057,2021-05-10 10:28:00
1620642540000,4097.81,4105.0,4097.74,4104.58,376.87851,2021-05-10 10:29:00
1620642600000,4104.58,4104.74,4090.44,4090.78,642.19148,2021-05-10 10:30:00
1620642660000,4090.8,4091.36,4085.69,4086.64,872.62282,2021-05-10 10:31:00
1620642720000,4086.58,4091.68,4084.57,4087.48,501.71065,2021-05-10 10:32:00
1620642780000,4087.89,4087.89,4080.71,4080.86,830.79777,2021-05-10 10:33:00
1620642840000,4080.86,4082.79,4080.08,4081.14,779.7822,2021-05-10 10:34:00
1620642900000,4081.03,4081.03,4072.89,4074.27,1285.45931,2021-05-10 10:35:00
1620642960000,4074.26,4079.36,4073.57,4074.39,629.29259,2021-05-10 10:36:00
1620643020000,4074.39,4077.24,4070.03,4071.09,820.18705,2021-05-10 10:37:00
1620643080000,4071.07,4073.11,4057.53,4057.53,2336.76297,2021-05-10 10:38:00
1620643140000,4057.51,4070.0,4057.28,4069.99,960.2648,2021-05-10 10:39:00
1620643200000,4069.99,4075.12,4069.35,4073.11,862.41828,2021-05-10 10:40:00
1620643260000,4073.3,4084.9,4073.11,4078.95,676.65793,2021-05-10 10:41:00
1620643320000,4078.91,4081.17,4074.39,4074.39,437.57233,2021-05-10 10:42:00
1620643380000,4074.35,4078.8,4074.0,4076.2,355.9161,2021-05-10 10:43:00
1620643440000,4076.36,4088.72,4076.19,4087.12,616.4497,2021-05-10 10:44:00
1620643500000,4087.13,4092.47,4080.0,4083.68,684.56461,2021-05-10 10:45:00
1620643560000,4083.66,4083.68,4069.58,4071.51,789.40591,2021-05-10 10:46:00
1620643620000,4071.5,4074.7,4065.97,4065.97,558.91253,2021-05-10 10:47:00
1620643680000,4065.96,4065.96,4042.62,4047.78,2589.6801,2021-05-10 10:48:00
1620643740000,4047.78,4049.82,4034.84,4042.61,2315.689,2021-05-10 10:49:00
1620643800000,4042.62,4049.83,4041.06,4049.82,1243.03667,2021-05-10 10:50:00
1620643860000,4049.83,4053.05,4046.48,4051.98,1187.38558,2021-05-10 10:51:00
1620643920000,4051.98,4052.57,4035.48,4035.62,706.11409,2021-05-10 10:52:00
1620643980000,4035.63,4039.0,4022.19,4031.25,2034.75794,2021-05-10 10:53:00
1620644040000,4031.5,4036.67,4022.7,4027.4,1296.14697,2021-05-10 10:54:00
1620644100000,4027.28,4034.1,4017.65,4033.48,1391.84375,2021-05-10 10:55:00
1620644160000,4033.47,4038.84,4028.89,4033.03,1187.2068,2021-05-10 10:56:00
1620644220000,4033.58,4036.28,4022.28,4026.89,991.60042,2021-05-10 10:57:00
1620644280000,4026.9,4033.94,4026.52,4032.07,907.85673,2021-05-10 10:58:00
1620644340000,4032.28,4037.0,4030.97,4035.88,564.11589,2021-05-10 10:59:00
1620644400000,4035.88,4039.29,4030.27,4030.9,1013.30461,2021-05-10 11:00:00
1620644460000,4030.9,4030.91,4012.76,4015.79,1493.26603,2021-05-10 11:01:00
1620644520000,4015.8,4020.01,4006.0,4014.96,2087.91855,2021-05-10 11:02:00
1620644580000,4014.95,4028.74,4008.29,4028.74,1680.01445,2021-05-10 11:03:00
1620644640000,4028.75,4033.24,4018.91,4019.97,1343.76394,2021-05-10 11:04:00
1620644700000,4019.97,4029.59,4016.34,4027.98,680.33677,2021-05-10 11:05:00
1620644760000,4027.98,4040.4,4024.72,4040.23,994.20416,2021-05-10 11:06:00
1620644820000,4040.22,4052.51,4038.46,4047.09,1196.82197,2021-05-10 11:07:00
1620644880000,4046.57,4047.56,4030.0,4036.86,1383.60595,2021-05-10 11:08:00
1620644940000,4036.95,4048.64,4036.86,4047.14,598.1792,2021-05-10 11:09:00
1620645000000,4046.88,4057.86,4045.8,4053.54,803.96254,2021-05-10 11:10:00
