time,open,high,low,close,vol,time_stamp
1620855120000,4133.03,4133.04,4125.03,4125.37,386.90615,2021-05-12 21:32:00
1620855180000,4125.44,4125.49,4120.0,4122.03,481.73616,2021-05-12 21:33:00
1620855240000,4121.98,4131.51,4121.48,4130.81,282.63546,2021-05-12 21:34:00
1620855300000,4130.48,4130.56,4122.62,4122.68,411.63567,2021-05-12 21:35:00
1620855360000,4122.69,4131.29,4121.99,4131.16,300.63184,2021-05-12 21:36:00
1620855420000,4131.16,4133.41,4129.52,4130.08,269.85634,2021-05-12 21:37:00
1620855480000,4130.0,4130.24,4125.85,4127.02,197.72564,2021-05-12 21:38:00
1620855540000,4127.02,4129.25,4126.16,4128.43,173.62189,2021-05-12 21:39:00
1620855600000,4128.44,4129.29,4120.38,4121.07,379.82681,2021-05-12 21:40:00
1620855660000,4121.07,4124.18,4120.2,4123.71,192.1248,2021-05-12 21:41:00
1620855720000,4123.72,4129.09,4122.85,4125.55,156.60444,2021-05-12 21:42:00
1620855780000,4125.56,4126.28,4119.33,4119.91,350.37178,2021-05-12 21:43:00
1620855840000,4119.56,4119.56,4107.03,4118.79,548.11219,2021-05-12 21:44:00
1620855900000,4119.0,4128.08,4112.71,4116.89,429.96903,2021-05-12 21:45:00
1620855960000,4117.13,4117.6,4098.89,4100.6,500.11902,2021-05-12 21:46:00
1620856020000,4100.82,4111.11,4100.04,4101.31,546.14693,2021-05-12 21:47:00
1620856080000,4102.83,4114.05,4101.0,4107.45,373.22518,2021-05-12 21:48:00
1620856140000,4107.14,4122.24,4105.89,4114.93,551.42448,2021-05-12 21:49:00
1620856200000,4114.92,4118.5,4100.0,4101.06,774.57292,2021-05-12 21:50:00
1620856260000,4101.06,4109.34,4100.0,4100.01,318.30917,2021-05-12 21:51:00
1620856320000,4100.01,4106.83,4089.18,4100.05,1651.47522,2021-05-12 21:52:00
1620856380000,4100.02,4102.63,4090.04,4095.8,487.62368,2021-05-12 21:53:00
1620856440000,4095.81,4105.43,4095.81,4101.36,391.59096,2021-05-12 21:54:00
1620856500000,4101.37,4114.27,4100.21,4110.0,674.54445,2021-05-12 21:55:00
1620856560000,4109.99,4116.08,4109.31,4115.98,311.14956,2021-05-12 21:56:00
1620856620000,4115.97,4118.75,4109.81,4113.27,443.89532,2021-05-12 21:57:00
1620856680000,4112.94,4122.75,4112.0,4121.93,432.71505,2021-05-12 21:58:00
1620856740000,4121.93,4126.7,4119.78,4124.61,601.55274,2021-05-12 21:59:00
1620856800000,4124.67,4131.79,4121.77,4130.42,285.62133,2021-05-12 22:00:00
1620856860000,4130.53,4134.0,4130.37,4133.96,339.49409,2021-05-12 22:01:00
1620856920000,4133.96,4134.0,4130.45,4133.81,246.35616,2021-05-12 22:02:00
1620856980000,4133.81,4137.98,4123.99,4135.62,585.42716,2021-05-12 22:03:00
1620857040000,4135.9,4144.0,4134.0,4143.4,648.71103,2021-05-12 22:04:00
1620857100000,4143.39,4149.0,4142.19,4143.23,762.07063,2021-05-12 22:05:00
1620857160000,4143.2,4150.0,4138.51,4149.99,776.61333,2021-05-12 22:06:00
1620857220000,4149.99,4149.99,4107.73,4108.09,2344.68603,2021-05-12 22:07:00
1620857280000,4107.93,4108.09,4040.0,4045.02,4190.37927,2021-05-12 22:08:00
1620857340000,4045.94,4073.07,4040.0,4043.62,3215.51236,2021-05-12 22:09:00
1620857400000,4043.62,4082.59,4039.48,4074.35,2526.866,2021-05-12 22:10:00
1620857460000,4074.62,4077.87,4000.0,4000.49,7087.33624,2021-05-12 22:11:00
1620857520000,4001.49,4024.22,3990.18,4001.97,4256.02775,2021-05-12 22:12:00
1620857580000,4002.31,4002.31,3950.0,3970.31,4931.21325,2021-05-12 22:13:00
1620857640000,3970.37,4007.8,3960.43,4007.74,4578.2318,2021-05-12 22:14:00
1620857700000,4007.74,4060.13,3995.99,4052.28,3404.98817,2021-05-12 22:15:00
1620857760000,4054.11,4090.0,4037.35,4070.62,3748.48989,2021-05-12 22:16:00
1620857820000,4070.62,4081.24,4062.23,4067.01,2566.77052,2021-05-12 22:17:00
1620857880000,4067.24,4079.99,4051.22,4076.85,2481.28616,2021-05-12 22:18:00
1620857940000,4076.49,4080.0,4055.17,4055.57,2699.08794,2021-05-12 22:19:00
1620858000000,4055.8,4057.04,4028.85,4034.72,2877.2961,2021-05-12 22:20:00
1620858060000,4034.32,4048.6,4030.0,4042.98,2150.76299,2021-05-12 22:21:00
1620858120000,4042.98,4068.2,4038.67,4063.89,1863.26457,2021-05-12 22:22:00
1620858180000,4062.96,4095.39,4060.58,4085.93,1873.07836,2021-05-12 22:23:00
1620858240000,4085.93,4098.07,4072.71,4090.97,2203.22329,2021-05-12 22:24:00
1620858300000,4090.88,4118.47,4090.42,4108.52,2662.95629,2021-05-12 22:25:00
