time,open,high,low,close,vol,time_stamp
1620855120000,519.7,519.99,518.53,519.46,166.1885,2021-05-12 21:32:00
1620855180000,519.46,520.0,518.98,519.99,197.4468,2021-05-12 21:33:00
1620855240000,519.99,520.82,519.15,520.79,623.1686,2021-05-12 21:34:00
1620855300000,520.82,521.0,519.8,520.68,217.5381,2021-05-12 21:35:00
1620855360000,520.55,520.55,515.22,517.1,367.4821,2021-05-12 21:36:00
1620855420000,517.08,517.08,513.61,514.14,208.139,2021-05-12 21:37:00
1620855480000,514.14,514.69,513.25,513.4,113.8381,2021-05-12 21:38:00
1620855540000,513.25,518.37,512.39,516.77,465.528,2021-05-12 21:39:00
1620855600000,516.64,517.27,514.57,516.42,133.0385,2021-05-12 21:40:00
1620855660000,516.03,521.21,514.91,519.48,858.0316,2021-05-12 21:41:00
1620855720000,519.48,520.27,518.76,520.17,113.9992,2021-05-12 21:42:00
1620855780000,520.21,520.37,518.66,519.43,93.528,2021-05-12 21:43:00
1620855840000,518.9,519.31,517.0,518.41,255.7616,2021-05-12 21:44:00
1620855900000,518.26,520.74,517.91,520.38,148.1794,2021-05-12 21:45:00
1620855960000,520.4,521.0,518.86,519.47,129.7647,2021-05-12 21:46:00
1620856020000,520.13,521.05,519.1,520.83,50.2121,2021-05-12 21:47:00
1620856080000,521.01,521.28,520.18,521.23,155.2779,2021-05-12 21:48:00
1620856140000,521.28,521.96,520.85,521.96,124.7801,2021-05-12 21:49:00
1620856200000,521.93,522.0,521.39,522.0,166.4019,2021-05-12 21:50:00
1620856260000,522.0,522.67,521.55,522.5,111.6507,2021-05-12 21:51:00
1620856320000,522.5,523.0,522.04,522.5,115.842,2021-05-12 21:52:00
1620856380000,522.54,522.54,517.6,518.6,305.2636,2021-05-12 21:53:00
1620856440000,518.67,519.08,517.37,517.7,103.7923,2021-05-12 21:54:00
1620856500000,517.94,518.94,517.56,518.46,36.7049,2021-05-12 21:55:00
1620856560000,518.72,518.95,517.6,518.5,98.4921,2021-05-12 21:56:00
1620856620000,518.5,518.94,518.24,518.74,43.0453,2021-05-12 21:57:00
1620856680000,518.74,519.32,518.04,518.5,45.3408,2021-05-12 21:58:00
1620856740000,518.74,519.06,516.09,516.85,164.3907,2021-05-12 21:59:00
1620856800000,516.85,518.73,516.66,518.37,95.699,2021-05-12 22:00:00
1620856860000,518.37,520.86,518.05,519.49,58.3787,2021-05-12 22:01:00
1620856920000,519.21,523.0,519.21,523.0,165.2749,2021-05-12 22:02:00
1620856980000,522.4,524.0,522.26,523.91,181.2017,2021-05-12 22:03:00
1620857040000,523.86,525.1,523.51,524.42,401.6129,2021-05-12 22:04:00
1620857100000,524.42,525.1,523.62,524.64,91.2885,2021-05-12 22:05:00
1620857160000,524.64,524.81,523.39,524.26,48.1509,2021-05-12 22:06:00
1620857220000,524.75,524.75,512.61,513.04,1699.6715,2021-05-12 22:07:00
1620857280000,513.47,515.71,500.8,503.3,1683.2266,2021-05-12 22:08:00
1620857340000,503.3,504.98,494.26,497.17,1242.3683,2021-05-12 22:09:00
1620857400000,498.01,527.17,495.51,502.0,1137.3741,2021-05-12 22:10:00
1620857460000,502.6,505.81,494.26,495.0,523.8901,2021-05-12 22:11:00
1620857520000,495.0,495.89,485.29,488.18,1567.1293,2021-05-12 22:12:00
1620857580000,488.68,488.95,475.0,482.04,2145.4496,2021-05-12 22:13:00
1620857640000,482.04,489.88,475.0,489.45,796.4873,2021-05-12 22:14:00
1620857700000,489.45,500.57,487.85,496.42,740.2483,2021-05-12 22:15:00
1620857760000,497.33,535.0,496.02,506.36,2884.1324,2021-05-12 22:16:00
1620857820000,506.36,510.83,506.0,506.76,660.7704,2021-05-12 22:17:00
1620857880000,506.76,506.76,497.85,501.86,629.6902,2021-05-12 22:18:00
1620857940000,502.15,504.74,500.5,501.13,428.7084,2021-05-12 22:19:00
1620858000000,501.13,501.16,467.82,489.11,2674.9165,2021-05-12 22:20:00
1620858060000,489.12,491.95,486.27,491.56,1353.9884,2021-05-12 22:21:00
1620858120000,491.36,498.7,491.01,497.69,647.8867,2021-05-12 22:22:00
1620858180000,497.69,503.22,496.68,503.01,538.8341,2021-05-12 22:23:00
1620858240000,503.01,503.01,498.12,502.46,647.6863,2021-05-12 22:24:00
1620858300000,502.45,506.07,501.23,501.54,409.9304,2021-05-12 22:25:00
1620858360000,502.23,502.58,496.67,497.69,227.5196,2021-05-12 22:26:00
1620858420000,497.33,503.18,492.57,493.65,463.9297,2021-05-12 22:27:00
1620858480000,493.65,498.38,491.75,496.37,306.6857,2021-05-12 22:28:00
1620858540000,496.63,499.2,492.13,493.34,229.4727,2021-05-12 22:29:00
1620858600000,493.14,495.97,491.27,495.09,768.7827,2021-05-12 22:30:00
1620858660000,494.61,495.77,491.27,491.34,200.2723,2021-05-12 22:31:00
1620858720000,491.3,493.69,490.14,490.67,84.2365,2021-05-12 22:32:00
1620858780000,490.67,491.61,484.01,486.33,435.4046,2021-05-12 22:33:00
1620858840000,486.05,487.02,481.2,482.21,559.0168,2021-05-12 22:34:00
1620858900000,482.17,484.12,480.25,481.93,556.2422,2021-05-12 22:35:00
1620858960000,481.96,490.0,481.96,486.73,439.9484,2021-05-12 22:36:00
1620859020000,486.52,489.96,482.33,484.15,584.3164,2021-05-12 22:37:00
1620859080000,484.2,484.2,477.75,481.78,565.108,2021-05-12 22:38:00
1620859140000,480.99,481.36,477.01,478.38,265.2381,2021-05-12 22:39:00
1620859200000,477.79,482.03,477.02,482.03,479.943,2021-05-12 22:40:00
1620859260000,482.0,489.02,480.86,481.64,1446.9197,2021-05-12 22:41:00
1620859320000,482.46,485.9,481.04,482.98,446.0026,2021-05-12 22:42:00
