time,open,high,low,close,vol,time_stamp
1620638520000,396.87,397.82,396.73,397.7,890.84066,2021-05-10 09:22:00
1620638580000,397.7,397.86,396.72,396.79,1535.49281,2021-05-10 09:23:00
1620638640000,396.77,396.88,395.39,395.87,1715.35572,2021-05-10 09:24:00
1620638700000,395.73,397.35,395.65,396.76,1850.082,2021-05-10 09:25:00
1620638760000,396.72,396.79,395.19,396.28,2463.36619,2021-05-10 09:26:00
1620638820000,396.41,397.0,394.36,394.62,2807.3631,2021-05-10 09:27:00
1620638880000,394.61,395.33,394.35,394.59,1223.45217,2021-05-10 09:28:00
1620638940000,394.59,394.76,393.32,393.73,2300.97956,2021-05-10 09:29:00
1620639000000,393.73,393.91,393.28,393.81,1906.99765,2021-05-10 09:30:00
1620639060000,393.59,394.33,393.59,393.91,2869.07702,2021-05-10 09:31:00
1620639120000,393.86,393.98,392.5,392.62,2288.258,2021-05-10 09:32:00
1620639180000,392.62,393.29,392.01,392.34,2959.73255,2021-05-10 09:33:00
1620639240000,392.4,393.37,392.13,392.6,1442.39552,2021-05-10 09:34:00
1620639300000,392.6,393.96,392.38,393.87,1639.92098,2021-05-10 09:35:00
1620639360000,393.76,393.92,392.14,392.66,1121.73381,2021-05-10 09:36:00
1620639420000,392.67,392.9,391.25,391.73,2710.81613,2021-05-10 09:37:00
1620639480000,391.68,392.73,391.08,391.11,2276.05842,2021-05-10 09:38:00
1620639540000,391.11,392.29,390.99,392.18,2327.31267,2021-05-10 09:39:00
1620639600000,392.15,392.81,391.63,392.33,1648.17191,2021-05-10 09:40:00
1620639660000,392.19,392.43,391.74,391.84,1220.42417,2021-05-10 09:41:00
1620639720000,391.82,392.1,390.98,391.63,1402.86521,2021-05-10 09:42:00
1620639780000,391.63,391.63,390.75,391.03,1620.21727,2021-05-10 09:43:00
1620639840000,391.09,391.79,390.9,391.39,2437.24982,2021-05-10 09:44:00
1620639900000,391.49,391.67,390.66,391.57,2820.69106,2021-05-10 09:45:00
1620639960000,391.59,393.09,391.3,391.44,1913.93948,2021-05-10 09:46:00
1620640020000,391.44,391.44,390.32,390.7,1409.74915,2021-05-10 09:47:00
1620640080000,390.64,391.9,390.46,391.41,2931.31656,2021-05-10 09:48:00
1620640140000,391.41,393.46,391.28,393.46,2156.702,2021-05-10 09:49:00
1620640200000,393.46,394.41,393.23,393.3,2766.07036,2021-05-10 09:50:00
1620640260000,393.23,394.5,393.23,394.26,2926.28948,2021-05-10 09:51:00
1620640320000,394.31,394.93,393.51,394.01,3156.93199,2021-05-10 09:52:00
1620640380000,394.0,395.07,393.82,394.96,2141.58443,2021-05-10 09:53:00
1620640440000,394.95,395.1,394.46,394.95,1302.2889,2021-05-10 09:54:00
1620640500000,394.88,395.4,394.85,395.26,309.79691,2021-05-10 09:55:00
1620640560000,395.26,395.26,393.82,394.1,1284.02237,2021-05-10 09:56:00
1620640620000,394.1,395.05,394.02,394.77,555.46161,2021-05-10 09:57:00
1620640680000,394.83,395.25,394.37,394.59,559.45429,2021-05-10 09:58:00
1620640740000,394.57,394.98,393.8,394.58,931.46118,2021-05-10 09:59:00
1620640800000,394.59,395.54,394.39,394.94,1537.13656,2021-05-10 10:00:00
1620640860000,394.92,395.05,391.98,392.69,2102.13313,2021-05-10 10:01:00
1620640920000,392.72,393.1,391.88,391.96,1403.30969,2021-05-10 10:02:00
1620640980000,391.95,392.66,391.5,391.5,1347.33063,2021-05-10 10:03:00
1620641040000,391.49,392.83,391.23,392.5,1621.95115,2021-05-10 10:04:00
1620641100000,392.39,393.36,392.39,393.21,865.62325,2021-05-10 10:05:00
1620641160000,393.17,393.24,391.77,392.0,1136.89483,2021-05-10 10:06:00
1620641220000,392.05,392.41,391.18,391.9,1624.54446,2021-05-10 10:07:00
1620641280000,391.9,393.08,391.89,392.76,1758.5524,2021-05-10 10:08:00
1620641340000,392.74,395.0,392.73,395.0,1400.11566,2021-05-10 10:09:00
1620641400000,394.99,395.1,394.1,394.19,1360.55411,2021-05-10 10:10:00
1620641460000,394.23,395.29,394.0,394.95,1723.37978,2021-05-10 10:11:00
1620641520000,394.95,395.09,394.43,394.56,1050.84969,2021-05-10 10:12:00
1620641580000,394.58,394.65,393.26,393.41,2210.18363,2021-05-10 10:13:00
1620641640000,393.48,393.96,392.78,392.97,1308.08654,2021-05-10 10:14:00
1620641700000,392.96,394.24,392.9,394.05,747.08869,2021-05-10 10:15:00
1620641760000,394.05,395.19,394.0,394.63,1387.74939,2021-05-10 10:16:00
1620641820000,394.63,395.18,394.62,395.1,556.58755,2021-05-10 10:17:00
1620641880000,395.06,395.85,395.06,395.1,1533.84787,2021-05-10 10:18:00
