time,open,high,low,close,vol,time_stamp
1620855120000,1.4254,1.4254,1.4232,1.4245,351695.96,2021-05-12 21:32:00
1620855180000,1.4247,1.426,1.4245,1.4259,163279.24,2021-05-12 21:33:00
1620855240000,1.4259,1.4317,1.4258,1.4313,302891.39,2021-05-12 21:34:00
1620855300000,1.4313,1.4322,1.4273,1.4273,259263.77,2021-05-12 21:35:00
1620855360000,1.4273,1.4305,1.4269,1.4305,255928.72,2021-05-12 21:36:00
1620855420000,1.4306,1.4322,1.4306,1.4315,706405.22,2021-05-12 21:37:00
1620855480000,1.4314,1.4315,1.4295,1.4296,133483.22,2021-05-12 21:38:00
1620855540000,1.4296,1.4297,1.4259,1.4292,247063.0,2021-05-12 21:39:00
1620855600000,1.429,1.429,1.426,1.426,165515.17,2021-05-12 21:40:00
1620855660000,1.4261,1.4272,1.426,1.4268,99786.41,2021-05-12 21:41:00
1620855720000,1.4268,1.4303,1.4268,1.4281,185972.87,2021-05-12 21:42:00
1620855780000,1.4281,1.4286,1.4238,1.4238,230530.54,2021-05-12 21:43:00
1620855840000,1.4238,1.4264,1.423,1.4251,303276.04,2021-05-12 21:44:00
1620855900000,1.4251,1.4315,1.4247,1.4297,431806.15,2021-05-12 21:45:00
1620855960000,1.4299,1.43,1.4228,1.423,192567.89,2021-05-12 21:46:00
1620856020000,1.4231,1.4261,1.4231,1.4247,333643.17,2021-05-12 21:47:00
1620856080000,1.4248,1.4288,1.4246,1.4273,310025.2,2021-05-12 21:48:00
1620856140000,1.4272,1.4287,1.427,1.428,355551.2,2021-05-12 21:49:00
1620856200000,1.4279,1.4303,1.4278,1.428,524860.0,2021-05-12 21:50:00
1620856260000,1.4281,1.429,1.4231,1.4234,219382.46,2021-05-12 21:51:00
1620856320000,1.4234,1.4275,1.422,1.4243,472407.06,2021-05-12 21:52:00
1620856380000,1.4243,1.4245,1.42,1.4227,529198.99,2021-05-12 21:53:00
1620856440000,1.4226,1.4255,1.4219,1.4246,303244.71,2021-05-12 21:54:00
1620856500000,1.4247,1.429,1.4244,1.4262,277987.17,2021-05-12 21:55:00
1620856560000,1.4262,1.4276,1.4255,1.4271,226479.97,2021-05-12 21:56:00
1620856620000,1.4273,1.4273,1.4238,1.424,170415.51,2021-05-12 21:57:00
1620856680000,1.424,1.4253,1.4234,1.4252,137818.62,2021-05-12 21:58:00
1620856740000,1.4252,1.427,1.4249,1.4267,209886.4,2021-05-12 21:59:00
1620856800000,1.4268,1.4291,1.4259,1.429,322655.6,2021-05-12 22:00:00
