time,open,high,low,close,vol,time_stamp
1612164600000,0.34855,0.34972,0.34629,0.34724,8299546.5,2021-02-01 07:30:00
1612166400000,0.34725,0.35274,0.34723,0.35154,10605144.1,2021-02-01 08:00:00
1612168200000,0.35155,0.35447,0.3486,0.35396,21079115.8,2021-02-01 08:30:00
1612170000000,0.35391,0.35632,0.35276,0.3545,12842425.9,2021-02-01 09:00:00
1612171800000,0.3545,0.35573,0.3526,0.3544,8920830.7,2021-02-01 09:30:00
1612173600000,0.35441,0.3545,0.3521,0.35364,6826619.4,2021-02-01 10:00:00
1612175400000,0.3537,0.35494,0.35226,0.35489,8447757.5,2021-02-01 10:30:00
1612177200000,0.35485,0.35556,0.35032,0.35217,10903936.8,2021-02-01 11:00:00
1612179000000,0.35213,0.35776,0.35174,0.35178,13442122.2,2021-02-01 11:30:00
1612180800000,0.35188,0.35438,0.35056,0.35071,11410525.0,2021-02-01 12:00:00
1612182600000,0.35072,0.35169,0.34657,0.34819,11374820.6,2021-02-01 12:30:00
1612184400000,0.3482,0.35256,0.3482,0.34926,10730844.2,2021-02-01 13:00:00
1612186200000,0.34926,0.35089,0.3472,0.3502,15695681.4,2021-02-01 13:30:00
1612188000000,0.3502,0.35025,0.34387,0.34707,14142136.0,2021-02-01 14:00:00
1612189800000,0.34706,0.34839,0.34567,0.34622,6615208.6,2021-02-01 14:30:00
1612191600000,0.34615,0.34947,0.34517,0.34873,7373037.7,2021-02-01 15:00:00
1612193400000,0.34872,0.35551,0.34872,0.35088,14370033.0,2021-02-01 15:30:00
1612195200000,0.35084,0.3558,0.35069,0.35375,9546837.6,2021-02-01 16:00:00
1612197000000,0.35374,0.3557,0.35231,0.35268,7269036.6,2021-02-01 16:30:00
1612198800000,0.35253,0.3544,0.35146,0.35381,4838387.0,2021-02-01 17:00:00
1612200600000,0.35379,0.36015,0.3532,0.3595,16101740.1,2021-02-01 17:30:00
1612202400000,0.35949,0.35983,0.35669,0.35858,8750160.8,2021-02-01 18:00:00
1612204200000,0.35854,0.36249,0.35832,0.3615,11210123.3,2021-02-01 18:30:00
1612206000000,0.36151,0.36552,0.36126,0.36518,9684764.9,2021-02-01 19:00:00
1612207800000,0.3653,0.37064,0.36415,0.3642,22374461.3,2021-02-01 19:30:00
1612209600000,0.36433,0.374,0.36421,0.36687,23357132.5,2021-02-01 20:00:00
1612211400000,0.36686,0.36822,0.36135,0.36313,14499724.1,2021-02-01 20:30:00
1612213200000,0.36312,0.37164,0.36162,0.37127,9937277.6,2021-02-01 21:00:00
1612215000000,0.37137,0.38336,0.37002,0.38258,39268883.5,2021-02-01 21:30:00
1612216800000,0.3823,0.42411,0.37648,0.4225,101915697.53,2021-02-01 22:00:00
1612218600000,0.4225,0.42251,0.38676,0.39388,137861257.5,2021-02-01 22:30:00
1612220400000,0.39381,0.41117,0.39147,0.40916,65177442.8,2021-02-01 23:00:00
1612222200000,0.40915,0.41056,0.39921,0.40876,36200659.2,2021-02-01 23:30:00
1612224000000,0.40882,0.43208,0.4071,0.42288,100567011.08,2021-02-02 00:00:00
1612225800000,0.42305,0.42401,0.40441,0.41109,65771914.2,2021-02-02 00:30:00
1612227600000,0.41106,0.417,0.40322,0.40329,44458651.2,2021-02-02 01:00:00
1612229400000,0.40341,0.41433,0.40333,0.40838,43631825.2,2021-02-02 01:30:00
1612231200000,0.40838,0.41055,0.39354,0.39626,28924421.4,2021-02-02 02:00:00
1612233000000,0.39626,0.40324,0.38868,0.39254,35344987.7,2021-02-02 02:30:00
1612234800000,0.39255,0.40428,0.39069,0.40146,28209784.9,2021-02-02 03:00:00
1612236600000,0.4014,0.41562,0.40076,0.40843,31563068.7,2021-02-02 03:30:00
1612238400000,0.40863,0.40872,0.39279,0.39374,31628895.8,2021-02-02 04:00:00
1612240200000,0.39365,0.39958,0.3927,0.39848,17695343.0,2021-02-02 04:30:00
1612242000000,0.3986,0.40322,0.394,0.40147,22162534.4,2021-02-02 05:00:00
1612243800000,0.40147,0.40629,0.40022,0.4029,14699720.8,2021-02-02 05:30:00
1612245600000,0.40282,0.40301,0.3985,0.39949,10532191.1,2021-02-02 06:00:00
1612247400000,0.39943,0.40612,0.39909,0.40219,13299748.9,2021-02-02 06:30:00
1612249200000,0.40216,0.4144,0.40121,0.41419,22547528.6,2021-02-02 07:00:00
1612251000000,0.41419,0.43,0.4101,0.425,60042728.3,2021-02-02 07:30:00
1612252800000,0.42501,0.42565,0.415,0.41905,37410384.9,2021-02-02 08:00:00
1612254600000,0.41888,0.42162,0.40845,0.4103,25988167.1,2021-02-02 08:30:00
1612256400000,0.41028,0.41638,0.40992,0.41566,24873510.9,2021-02-02 09:00:00
1612258200000,0.41568,0.42764,0.41531,0.42146,41790520.8,2021-02-02 09:30:00
1612260000000,0.4215,0.4255,0.41807,0.42503,25061562.8,2021-02-02 10:00:00
1612261800000,0.4251,0.42798,0.42019,0.42268,18291954.2,2021-02-02 10:30:00
1612263600000,0.42268,0.4233,0.41267,0.41313,21505311.4,2021-02-02 11:00:00
1612265400000,0.4129,0.4207,0.4129,0.41836,18979450.8,2021-02-02 11:30:00
1612267200000,0.41844,0.42976,0.41481,0.42291,37846509.9,2021-02-02 12:00:00
1612269000000,0.42291,0.42887,0.42043,0.42597,21105946.9,2021-02-02 12:30:00
1612270800000,0.42597,0.44064,0.42178,0.43721,53795943.7,2021-02-02 13:00:00
1612272600000,0.43721,0.45174,0.43273,0.44608,94859166.01,2021-02-02 13:30:00
1612274400000,0.4462,0.4559,0.43617,0.43665,64954706.7,2021-02-02 14:00:00
1612276200000,0.43681,0.4499,0.434,0.44684,57507627.7,2021-02-02 14:30:00
1612278000000,0.44699,0.449,0.44038,0.44125,27459560.3,2021-02-02 15:00:00
1612279800000,0.44125,0.44567,0.438,0.44242,20074424.6,2021-02-02 15:30:00
1612281600000,0.44247,0.44654,0.42701,0.4323,40214118.3,2021-02-02 16:00:00
1612283400000,0.43252,0.43695,0.4277,0.43157,29804710.3,2021-02-02 16:30:00
1612285200000,0.43155,0.44299,0.43077,0.43916,26715200.7,2021-02-02 17:00:00
1612287000000,0.43917,0.44471,0.43716,0.43842,16559165.6,2021-02-02 17:30:00
1612288800000,0.43844,0.43849,0.43071,0.43412,20170108.6,2021-02-02 18:00:00
1612290600000,0.43408,0.43914,0.43401,0.43766,9256971.4,2021-02-02 18:30:00
1612292400000,0.43766,0.43791,0.42827,0.43036,17517034.1,2021-02-02 19:00:00
1612294200000,0.43025,0.43303,0.41852,0.41947,31771166.9,2021-02-02 19:30:00
1612296000000,0.41959,0.42621,0.41306,0.42503,38152508.0,2021-02-02 20:00:00
1612297800000,0.42503,0.42848,0.421,0.42165,22397514.6,2021-02-02 20:30:00
1612299600000,0.42192,0.4272,0.41937,0.42298,15174157.1,2021-02-02 21:00:00
1612301400000,0.42291,0.42885,0.42006,0.42678,15168228.7,2021-02-02 21:30:00
1612303200000,0.42683,0.43167,0.42468,0.4287,11444886.8,2021-02-02 22:00:00
1612305000000,0.4287,0.43864,0.42749,0.43706,17228526.3,2021-02-02 22:30:00
1612306800000,0.43707,0.4374,0.4285,0.4314,15633594.3,2021-02-02 23:00:00
1612308600000,0.43139,0.4314,0.42422,0.42498,11976866.8,2021-02-02 23:30:00
1612310400000,0.425,0.43094,0.42492,0.42574,13773298.1,2021-02-03 00:00:00
1612312200000,0.42579,0.42686,0.41851,0.41934,18368082.8,2021-02-03 00:30:00
1612314000000,0.41931,0.42558,0.41789,0.42406,12278017.2,2021-02-03 01:00:00
1612315800000,0.42401,0.42656,0.42243,0.42532,8299400.4,2021-02-03 01:30:00
1612317600000,0.42534,0.42794,0.42188,0.42794,8598726.9,2021-02-03 02:00:00
1612319400000,0.4278,0.43308,0.42692,0.42896,9649998.3,2021-02-03 02:30:00
1612321200000,0.42898,0.43445,0.42878,0.42922,8077292.3,2021-02-03 03:00:00
1612323000000,0.42922,0.43934,0.42916,0.43451,15889976.0,2021-02-03 03:30:00
1612324800000,0.43442,0.4345,0.42917,0.42958,11514418.8,2021-02-03 04:00:00
1612326600000,0.42958,0.43183,0.42942,0.42974,5786042.3,2021-02-03 04:30:00
1612328400000,0.42965,0.4305,0.42845,0.42886,6148483.6,2021-02-03 05:00:00
1612330200000,0.42868,0.43138,0.427,0.42789,10403080.6,2021-02-03 05:30:00
1612332000000,0.42787,0.4288,0.42643,0.4282,6258519.3,2021-02-03 06:00:00
1612333800000,0.42818,0.42917,0.4265,0.42819,5169549.0,2021-02-03 06:30:00
1612335600000,0.42813,0.43316,0.42717,0.43027,11213536.1,2021-02-03 07:00:00
1612337400000,0.43024,0.4317,0.42807,0.4286,5956588.6,2021-02-03 07:30:00
1612339200000,0.42863,0.43,0.42222,0.42464,21263646.3,2021-02-03 08:00:00
1612341000000,0.42464,0.42696,0.42235,0.42406,11452846.6,2021-02-03 08:30:00
1612342800000,0.42393,0.4253,0.42053,0.4245,13389960.2,2021-02-03 09:00:00
1612344600000,0.4245,0.42599,0.4228,0.42307,6225849.0,2021-02-03 09:30:00
1612346400000,0.42308,0.42523,0.42164,0.42494,7264796.6,2021-02-03 10:00:00
1612348200000,0.42492,0.42576,0.42191,0.42211,7538607.2,2021-02-03 10:30:00
1612350000000,0.42211,0.42519,0.4221,0.4224,7908266.6,2021-02-03 11:00:00
1612351800000,0.4224,0.42249,0.41561,0.41767,15004832.9,2021-02-03 11:30:00
1612353600000,0.41762,0.42089,0.41509,0.419,11061963.9,2021-02-03 12:00:00
1612355400000,0.41906,0.42101,0.4165,0.41988,9601982.1,2021-02-03 12:30:00
1612357200000,0.41996,0.42022,0.41664,0.41811,9251639.3,2021-02-03 13:00:00
1612359000000,0.41811,0.4236,0.417,0.42344,11003839.4,2021-02-03 13:30:00
1612360800000,0.4235,0.42599,0.42158,0.42172,11347500.3,2021-02-03 14:00:00
1612362600000,0.42173,0.42582,0.41909,0.42491,10952165.5,2021-02-03 14:30:00
1612364400000,0.42507,0.42896,0.42356,0.4279,9751320.1,2021-02-03 15:00:00
1612366200000,0.42791,0.43154,0.42765,0.42936,10808807.9,2021-02-03 15:30:00
1612368000000,0.42923,0.44825,0.42654,0.43602,39857838.0,2021-02-03 16:00:00
1612369800000,0.43625,0.442,0.43333,0.43726,23151736.9,2021-02-03 16:30:00
1612371600000,0.43725,0.44347,0.43725,0.43829,12263439.3,2021-02-03 17:00:00
1612373400000,0.43831,0.44085,0.43549,0.44,11197417.7,2021-02-03 17:30:00
1612375200000,0.44,0.44628,0.43918,0.4443,16608547.0,2021-02-03 18:00:00
1612377000000,0.44444,0.44887,0.44036,0.4475,16679914.0,2021-02-03 18:30:00
