time,open,high,low,close,vol,time_stamp
1612162800000,45.4099,45.8163,45.2588,45.7708,71306.615,2021-02-01 07:00:00
1612164600000,45.7708,45.9467,45.6136,45.6943,62237.043,2021-02-01 07:30:00
1612166400000,45.6943,45.92,45.5396,45.7239,61539.833,2021-02-01 08:00:00
1612168200000,45.7203,46.0,45.6241,45.9814,59375.386,2021-02-01 08:30:00
1612170000000,45.9933,46.5,45.9217,46.1006,121066.157,2021-02-01 09:00:00
1612171800000,46.1006,47.2224,46.0692,47.0827,172254.694,2021-02-01 09:30:00
1612173600000,47.0813,47.5,46.8781,46.9523,133937.745,2021-02-01 10:00:00
1612175400000,46.9572,47.5867,46.8638,47.2839,132773.282,2021-02-01 10:30:00
1612177200000,47.2716,49.0757,47.2682,48.7081,311905.956,2021-02-01 11:00:00
1612179000000,48.711,49.7,48.4217,48.8208,276402.691,2021-02-01 11:30:00
1612180800000,48.8188,49.4489,48.2232,48.3402,239402.048,2021-02-01 12:00:00
1612182600000,48.3513,48.4369,47.8406,48.1592,122875.447,2021-02-01 12:30:00
1612184400000,48.1592,48.3308,47.5915,47.9398,147033.812,2021-02-01 13:00:00
1612186200000,47.9218,49.2237,47.9218,48.2873,328188.46,2021-02-01 13:30:00
1612188000000,48.3163,48.4079,47.3615,48.0858,191253.805,2021-02-01 14:00:00
1612189800000,48.0851,49.2166,47.9604,49.1877,193843.258,2021-02-01 14:30:00
1612191600000,49.1978,50.6,49.0526,49.2359,599310.417,2021-02-01 15:00:00
1612193400000,49.2556,49.3874,48.2608,48.3088,241483.676,2021-02-01 15:30:00
1612195200000,48.3088,49.057,48.3,48.5625,170834.198,2021-02-01 16:00:00
1612197000000,48.5608,48.8365,48.2787,48.7258,133631.024,2021-02-01 16:30:00
1612198800000,48.7361,49.55,48.6876,49.54,98452.164,2021-02-01 17:00:00
1612200600000,49.54,49.8888,49.2,49.7887,121592.973,2021-02-01 17:30:00
1612202400000,49.7999,49.929,49.3587,49.6716,87775.185,2021-02-01 18:00:00
1612204200000,49.6716,49.8482,49.0046,49.2695,68520.591,2021-02-01 18:30:00
1612206000000,49.2724,49.57,49.0503,49.2184,104581.108,2021-02-01 19:00:00
1612207800000,49.2184,49.6517,49.1551,49.65,52374.713,2021-02-01 19:30:00
1612209600000,49.6412,49.6994,49.4155,49.4158,39670.959,2021-02-01 20:00:00
1612211400000,49.4292,49.4608,48.8466,48.9412,51227.638,2021-02-01 20:30:00
1612213200000,48.9483,50.05,48.8367,50.0494,89780.931,2021-02-01 21:00:00
1612215000000,50.0494,51.7175,49.9376,51.3496,205514.958,2021-02-01 21:30:00
1612216800000,51.3751,52.0,50.8471,52.0,116548.17,2021-02-01 22:00:00
1612218600000,51.99,52.3736,51.3445,51.9459,141286.917,2021-02-01 22:30:00
1612220400000,51.9456,51.9456,50.4968,51.2748,162709.59,2021-02-01 23:00:00
1612222200000,51.2649,51.9161,51.1144,51.4781,124004.032,2021-02-01 23:30:00
1612224000000,51.4762,51.7413,50.8028,50.9198,164185.239,2021-02-02 00:00:00
1612225800000,50.9279,51.09,50.5302,50.807,104429.698,2021-02-02 00:30:00
1612227600000,50.807,51.0,50.2247,50.4122,104798.931,2021-02-02 01:00:00
1612229400000,50.3966,51.0797,50.3938,50.7705,115787.478,2021-02-02 01:30:00
1612231200000,50.7705,50.8537,50.5135,50.7364,72584.732,2021-02-02 02:00:00
1612233000000,50.7362,50.9845,50.22,50.4184,89154.59,2021-02-02 02:30:00
1612234800000,50.4184,50.5545,50.0627,50.365,73804.104,2021-02-02 03:00:00
1612236600000,50.3507,50.4464,50.1069,50.1837,57255.506,2021-02-02 03:30:00
1612238400000,50.1874,50.7708,50.057,50.5549,87213.203,2021-02-02 04:00:00
1612240200000,50.5528,50.797,50.4362,50.6913,42129.315,2021-02-02 04:30:00
1612242000000,50.7012,50.8375,49.6103,49.8588,131777.95,2021-02-02 05:00:00
1612243800000,49.8687,49.9153,49.3357,49.6645,101939.492,2021-02-02 05:30:00
1612245600000,49.6645,49.8316,49.1572,49.6321,89957.578,2021-02-02 06:00:00
1612247400000,49.632,50.6347,49.4503,50.5691,145501.225,2021-02-02 06:30:00
1612249200000,50.5718,50.5824,49.7067,49.8561,104222.259,2021-02-02 07:00:00
1612251000000,49.8562,50.3439,49.5511,50.1285,116687.539,2021-02-02 07:30:00
1612252800000,50.1124,50.987,50.0192,50.8485,212847.364,2021-02-02 08:00:00
1612254600000,50.8602,50.9387,50.4679,50.6451,86155.618,2021-02-02 08:30:00
1612256400000,50.6453,51.2989,50.1846,51.1343,104613.269,2021-02-02 09:00:00
1612258200000,51.1343,52.53,51.0299,51.3569,306203.821,2021-02-02 09:30:00
1612260000000,51.348,51.8525,51.1101,51.837,116029.831,2021-02-02 10:00:00
1612261800000,51.8228,52.4177,51.6921,52.1513,126730.902,2021-02-02 10:30:00
1612263600000,52.1471,53.0,52.1212,52.4255,182292.748,2021-02-02 11:00:00
1612265400000,52.4243,52.64,51.9003,52.0506,113634.008,2021-02-02 11:30:00
1612267200000,52.0751,52.3517,51.7519,52.3263,79130.183,2021-02-02 12:00:00
1612269000000,52.3383,52.4995,51.6432,51.7309,74318.285,2021-02-02 12:30:00
1612270800000,51.7309,52.18,51.7206,51.7572,76046.667,2021-02-02 13:00:00
1612272600000,51.7563,51.7683,50.5675,50.727,170566.914,2021-02-02 13:30:00
1612274400000,50.7423,51.2229,50.6,50.7172,115340.08,2021-02-02 14:00:00
1612276200000,50.7159,51.1405,50.0815,51.0947,101204.266,2021-02-02 14:30:00
1612278000000,51.0895,51.3294,50.5529,50.5975,81568.751,2021-02-02 15:00:00
1612279800000,50.5975,50.6202,50.2261,50.2635,74669.842,2021-02-02 15:30:00
1612281600000,50.2793,50.3978,49.8128,50.1769,83679.499,2021-02-02 16:00:00
1612283400000,50.1753,50.3998,50.0,50.245,84882.953,2021-02-02 16:30:00
1612285200000,50.2553,50.2804,49.6,49.8902,84073.165,2021-02-02 17:00:00
1612287000000,49.8844,50.3431,49.8844,50.3328,48631.131,2021-02-02 17:30:00
1612288800000,50.3328,50.3777,49.8846,50.2086,45293.574,2021-02-02 18:00:00
1612290600000,50.2087,50.5841,50.1962,50.5128,49487.998,2021-02-02 18:30:00
1612292400000,50.5116,50.5446,50.201,50.25,41808.368,2021-02-02 19:00:00
1612294200000,50.2611,50.5809,50.2501,50.3456,52647.064,2021-02-02 19:30:00
1612296000000,50.3455,50.3476,50.012,50.1126,56789.119,2021-02-02 20:00:00
1612297800000,50.1071,50.1959,49.86,50.1645,183705.785,2021-02-02 20:30:00
1612299600000,50.1645,50.3658,50.0208,50.2008,41470.546,2021-02-02 21:00:00
