time,open,high,low,close,vol,time_stamp
1612164600000,0.0393221,0.0401788,0.038339,0.0392188,432030340.0,2021-02-01 07:30:00
1612166400000,0.0392188,0.0392595,0.0375826,0.0376,434663725.0,2021-02-01 08:00:00
1612168200000,0.0376,0.03888,0.0374297,0.0383832,337677806.0,2021-02-01 08:30:00
1612170000000,0.0384256,0.0384653,0.0377275,0.0379665,234029103.0,2021-02-01 09:00:00
1612171800000,0.0379762,0.0399,0.0378558,0.03935,418467871.0,2021-02-01 09:30:00
1612173600000,0.0393421,0.0409337,0.0387831,0.0401531,666088472.0,2021-02-01 10:00:00
1612175400000,0.0401548,0.0405224,0.0387232,0.0390511,390912748.0,2021-02-01 10:30:00
1612177200000,0.0390495,0.0397,0.0381819,0.0394716,383581966.0,2021-02-01 11:00:00
1612179000000,0.0394501,0.0405711,0.0382993,0.0393001,481232275.0,2021-02-01 11:30:00
1612180800000,0.0393001,0.0402105,0.0387109,0.0400287,411625973.0,2021-02-01 12:00:00
1612182600000,0.0400316,0.0400605,0.0390063,0.0397454,305536371.0,2021-02-01 12:30:00
1612184400000,0.0397153,0.0438268,0.0395232,0.0420166,1568599132.0,2021-02-01 13:00:00
1612186200000,0.0420166,0.042098,0.038,0.0389999,994826608.0,2021-02-01 13:30:00
1612188000000,0.0390175,0.0398422,0.03777,0.0395952,532622040.0,2021-02-01 14:00:00
1612189800000,0.0395998,0.0412,0.03909,0.0400679,535489227.0,2021-02-01 14:30:00
1612191600000,0.0400411,0.04058,0.0392,0.0397292,407857577.0,2021-02-01 15:00:00
1612193400000,0.0397293,0.04005,0.0393,0.0395943,256441865.0,2021-02-01 15:30:00
1612195200000,0.0395959,0.0412,0.0395959,0.0404467,479196295.0,2021-02-01 16:00:00
1612197000000,0.0404459,0.0409752,0.0400146,0.0402231,294524928.0,2021-02-01 16:30:00
1612198800000,0.0402231,0.0403619,0.0387151,0.0393617,387266035.0,2021-02-01 17:00:00
1612200600000,0.039391,0.0398,0.0385,0.0389101,299150006.0,2021-02-01 17:30:00
1612202400000,0.0389,0.0389156,0.037259,0.0376908,465402184.0,2021-02-01 18:00:00
1612204200000,0.0376908,0.037725,0.0347482,0.035999,907176222.0,2021-02-01 18:30:00
1612206000000,0.0359776,0.0372835,0.0354016,0.0361919,383886262.0,2021-02-01 19:00:00
1612207800000,0.0361891,0.037,0.0360001,0.0368433,214908367.0,2021-02-01 19:30:00
1612209600000,0.0368429,0.0378545,0.0368003,0.0375691,243728932.0,2021-02-01 20:00:00
1612211400000,0.0375603,0.0376999,0.0361764,0.0368739,184262208.0,2021-02-01 20:30:00
1612213200000,0.0368607,0.03745,0.0366007,0.0367504,146577771.0,2021-02-01 21:00:00
1612215000000,0.0367503,0.0371344,0.0364647,0.0365576,170901317.0,2021-02-01 21:30:00
1612216800000,0.0365576,0.036591,0.0342261,0.035004,450111272.0,2021-02-01 22:00:00
1612218600000,0.0350041,0.0356845,0.0328615,0.0348531,457779138.0,2021-02-01 22:30:00
1612220400000,0.0348531,0.0358775,0.0338299,0.0343238,315651047.0,2021-02-01 23:00:00
1612222200000,0.0343238,0.0355,0.0340385,0.0348173,189233484.0,2021-02-01 23:30:00
1612224000000,0.0348233,0.0352666,0.0317525,0.03182,413629850.0,2021-02-02 00:00:00
