time,open,high,low,close,vol,time_stamp
1597791600000,2.09,4.44,2.0,2.9791,3885009.96,2020-08-18 23:00:00
1597793400000,2.9791,3.18,2.961,3.1,2154872.01,2020-08-18 23:30:00
1597795200000,3.1,3.128,3.02,3.0509,738204.48,2020-08-19 00:00:00
1597797000000,3.0535,3.14,2.9738,3.105,816465.89,2020-08-19 00:30:00
1597798800000,3.105,3.125,3.0584,3.0811,384459.8,2020-08-19 01:00:00
1597800600000,3.0819,3.1299,3.0713,3.1063,428619.64,2020-08-19 01:30:00
1597802400000,3.1082,3.1124,2.98,3.0067,667878.56,2020-08-19 02:00:00
1597804200000,3.0067,3.08,2.9,2.9628,804891.3,2020-08-19 02:30:00
1597806000000,2.9631,3.0032,2.8902,2.9002,471077.29,2020-08-19 03:00:00
1597807800000,2.9078,2.91,2.64,2.885,1297776.31,2020-08-19 03:30:00
1597809600000,2.885,3.0,2.811,2.863,633827.64,2020-08-19 04:00:00
1597811400000,2.867,3.068,2.851,2.9336,694360.51,2020-08-19 04:30:00
1597813200000,2.9334,3.0755,2.92,2.9978,487568.39,2020-08-19 05:00:00
1597815000000,2.9978,3.0097,2.875,2.9255,311307.64,2020-08-19 05:30:00
1597816800000,2.9255,2.99,2.9,2.984,245617.4,2020-08-19 06:00:00
1597818600000,2.9839,3.04,2.92,3.0095,288494.3,2020-08-19 06:30:00
1597820400000,3.0095,3.1999,2.9911,3.1235,1062709.67,2020-08-19 07:00:00
1597822200000,3.1235,3.195,3.0541,3.195,654468.51,2020-08-19 07:30:00
1597824000000,3.195,3.195,3.03,3.0667,345180.66,2020-08-19 08:00:00
1597825800000,3.063,3.124,3.01,3.0362,337057.91,2020-08-19 08:30:00
1597827600000,3.0361,3.13,3.0102,3.0326,322878.29,2020-08-19 09:00:00
1597829400000,3.0385,3.0499,3.0103,3.0401,150801.38,2020-08-19 09:30:00
1597831200000,3.0497,3.09,3.0202,3.0367,157156.4,2020-08-19 10:00:00
1597833000000,3.0367,3.0398,2.9,3.0014,338329.0,2020-08-19 10:30:00
1597834800000,3.0006,3.0082,2.93,3.0007,200068.63,2020-08-19 11:00:00
1597836600000,3.0006,3.01,2.9931,3.0,109201.44,2020-08-19 11:30:00
1597838400000,3.0,3.0006,2.9,2.924,220000.48,2020-08-19 12:00:00
1597840200000,2.9265,3.0006,2.9265,2.9897,209332.28,2020-08-19 12:30:00
1597842000000,2.9898,3.0078,2.922,2.935,331886.47,2020-08-19 13:00:00
1597843800000,2.936,2.9663,2.9011,2.9354,257146.55,2020-08-19 13:30:00
1597845600000,2.9431,2.9899,2.9353,2.9663,166548.42,2020-08-19 14:00:00
1597847400000,2.9658,3.008,2.94,2.9934,178266.03,2020-08-19 14:30:00
1597849200000,2.9936,2.9936,2.9451,2.96,208777.91,2020-08-19 15:00:00
1597851000000,2.96,2.9785,2.94,2.9401,122353.12,2020-08-19 15:30:00
1597852800000,2.9425,3.0298,2.9291,3.0002,207616.37,2020-08-19 16:00:00
1597854600000,2.9951,3.0002,2.9167,3.0002,150635.71,2020-08-19 16:30:00
1597856400000,3.0002,3.0181,2.9889,2.9976,110169.0,2020-08-19 17:00:00
1597858200000,2.9976,3.007,2.9505,2.982,70506.59,2020-08-19 17:30:00
1597860000000,2.983,2.9956,2.91,2.9139,102497.94,2020-08-19 18:00:00
1597861800000,2.9101,2.9154,2.7622,2.9,337337.31,2020-08-19 18:30:00
1597863600000,2.9,2.9491,2.891,2.91,107136.65,2020-08-19 19:00:00
1597865400000,2.91,2.9153,2.72,2.8027,285822.63,2020-08-19 19:30:00
1597867200000,2.8027,2.9065,2.7918,2.8918,120851.52,2020-08-19 20:00:00
1597869000000,2.8934,2.9002,2.8686,2.8994,77881.25,2020-08-19 20:30:00
1597870800000,2.8991,2.91,2.8882,2.8987,47971.87,2020-08-19 21:00:00
1597872600000,2.8987,3.0078,2.8817,2.995,165566.05,2020-08-19 21:30:00
1597874400000,2.9997,3.035,2.9511,2.9739,198802.61,2020-08-19 22:00:00
1597876200000,2.9739,3.0042,2.9333,2.9388,87833.38,2020-08-19 22:30:00
