time,open,high,low,close,vol,time_stamp
1612162800000,22.8326,23.2242,22.7631,23.0726,65200.57,2021-02-01 07:00:00
1612164600000,23.0566,24.0393,22.8853,23.4754,229020.3,2021-02-01 07:30:00
1612166400000,23.4789,23.98,23.4346,23.7318,136523.16,2021-02-01 08:00:00
1612168200000,23.7463,23.7489,23.2728,23.3168,63704.35,2021-02-01 08:30:00
1612170000000,23.3168,23.3218,22.9882,23.1507,74302.66,2021-02-01 09:00:00
1612171800000,23.1502,23.2901,23.0,23.1781,59984.95,2021-02-01 09:30:00
1612173600000,23.1779,23.3425,23.1218,23.3273,48309.04,2021-02-01 10:00:00
1612175400000,23.3289,23.3289,22.9177,22.964,50366.46,2021-02-01 10:30:00
1612177200000,22.964,22.9928,22.713,22.8828,76320.47,2021-02-01 11:00:00
1612179000000,22.8828,22.9977,22.7287,22.7315,36154.65,2021-02-01 11:30:00
1612180800000,22.7323,22.8895,22.6914,22.8895,41971.21,2021-02-01 12:00:00
1612182600000,22.8895,22.9126,22.7285,22.7484,25499.01,2021-02-01 12:30:00
1612184400000,22.7484,22.8827,22.7484,22.7724,12995.2,2021-02-01 13:00:00
1612186200000,22.7828,22.8034,22.4802,22.5856,51425.87,2021-02-01 13:30:00
1612188000000,22.5765,22.5891,22.2004,22.4965,77925.9,2021-02-01 14:00:00
1612189800000,22.4966,22.656,22.4875,22.5197,30714.97,2021-02-01 14:30:00
1612191600000,22.5191,22.8533,22.4846,22.7423,40442.4,2021-02-01 15:00:00
1612193400000,22.75,23.1265,22.7334,22.879,79680.57,2021-02-01 15:30:00
1612195200000,22.8769,23.2481,22.6297,22.8237,130335.16,2021-02-01 16:00:00
1612197000000,22.8198,22.9064,22.7783,22.7783,21971.34,2021-02-01 16:30:00
1612198800000,22.7786,22.7786,22.2085,22.3588,102116.57,2021-02-01 17:00:00
1612200600000,22.3606,22.5078,22.325,22.4787,16037.99,2021-02-01 17:30:00
1612202400000,22.4787,22.5843,22.3895,22.4754,18686.8,2021-02-01 18:00:00
1612204200000,22.4786,22.518,22.3284,22.3403,17406.68,2021-02-01 18:30:00
1612206000000,22.3381,22.4589,22.3081,22.4263,15821.16,2021-02-01 19:00:00
1612207800000,22.4233,22.4436,22.3532,22.4375,9065.83,2021-02-01 19:30:00
1612209600000,22.4327,22.4327,22.3183,22.3809,11925.03,2021-02-01 20:00:00
1612211400000,22.3808,22.3995,22.3284,22.3436,9874.27,2021-02-01 20:30:00
1612213200000,22.3489,22.3812,22.3302,22.3576,5297.28,2021-02-01 21:00:00
1612215000000,22.3575,22.4076,22.3337,22.3899,6167.37,2021-02-01 21:30:00
1612216800000,22.3973,22.4487,22.374,22.423,9043.15,2021-02-01 22:00:00
1612218600000,22.4239,22.4446,22.3931,22.4045,6270.64,2021-02-01 22:30:00
1612220400000,22.402,22.5707,22.3951,22.5381,20644.46,2021-02-01 23:00:00
1612222200000,22.5312,22.6323,22.5256,22.621,10302.1,2021-02-01 23:30:00
1612224000000,22.6209,22.7322,22.4615,22.489,18534.59,2021-02-02 00:00:00
1612225800000,22.4901,22.5302,22.4581,22.4758,16545.49,2021-02-02 00:30:00
1612227600000,22.4758,22.5,22.3019,22.3643,34144.59,2021-02-02 01:00:00
1612229400000,22.3631,22.4661,22.3544,22.4613,16503.87,2021-02-02 01:30:00
1612231200000,22.4643,22.4656,22.3559,22.381,9439.55,2021-02-02 02:00:00
1612233000000,22.3814,22.5648,22.3784,22.5111,10639.55,2021-02-02 02:30:00
1612234800000,22.5097,22.5842,22.4224,22.5766,14594.26,2021-02-02 03:00:00
1612236600000,22.5791,22.6515,22.5308,22.556,13076.56,2021-02-02 03:30:00
1612238400000,22.5503,22.6426,22.5174,22.6092,12019.99,2021-02-02 04:00:00
1612240200000,22.6072,22.6743,22.5425,22.6422,22455.24,2021-02-02 04:30:00
1612242000000,22.6402,22.6609,22.5609,22.5609,14494.24,2021-02-02 05:00:00
1612243800000,22.5586,22.58,22.5317,22.5484,10540.44,2021-02-02 05:30:00
1612245600000,22.5499,22.5782,22.5,22.5773,15163.95,2021-02-02 06:00:00
1612247400000,22.5749,22.5994,22.5486,22.5902,12763.56,2021-02-02 06:30:00
1612249200000,22.5903,22.643,22.5794,22.6172,7050.75,2021-02-02 07:00:00
1612251000000,22.6185,22.6602,22.6052,22.6602,7221.02,2021-02-02 07:30:00
1612252800000,22.6547,22.6968,22.6197,22.6334,10699.15,2021-02-02 08:00:00
1612254600000,22.6408,22.646,22.56,22.6199,10688.6,2021-02-02 08:30:00
1612256400000,22.62,22.6585,22.5601,22.6023,22724.8,2021-02-02 09:00:00
1612258200000,22.6018,22.6395,22.5178,22.6395,20712.41,2021-02-02 09:30:00
1612260000000,22.6388,22.771,22.6113,22.6996,10513.86,2021-02-02 10:00:00
1612261800000,22.7001,22.7229,22.6386,22.6743,9581.43,2021-02-02 10:30:00
1612263600000,22.6743,22.6954,22.5893,22.5893,7152.58,2021-02-02 11:00:00
1612265400000,22.5987,22.6434,22.5002,22.5403,11125.74,2021-02-02 11:30:00
1612267200000,22.5403,22.9237,22.5098,22.79,41639.96,2021-02-02 12:00:00
1612269000000,22.7872,22.8899,22.7434,22.8181,10753.57,2021-02-02 12:30:00
1612270800000,22.8182,22.8188,22.7228,22.765,14518.89,2021-02-02 13:00:00
1612272600000,22.7632,22.7654,22.6807,22.6973,8093.84,2021-02-02 13:30:00
1612274400000,22.6972,22.7509,22.65,22.6514,16984.45,2021-02-02 14:00:00
1612276200000,22.6506,22.6871,22.5199,22.6476,17158.44,2021-02-02 14:30:00
1612278000000,22.6406,22.776,22.5337,22.6142,30428.84,2021-02-02 15:00:00
1612279800000,22.6137,22.6922,22.5663,22.6922,8804.02,2021-02-02 15:30:00
1612281600000,22.6873,22.7018,22.5937,22.6655,14343.05,2021-02-02 16:00:00
1612283400000,22.663,22.6898,22.5034,22.5752,26723.38,2021-02-02 16:30:00
1612285200000,22.5779,22.5936,22.5132,22.581,6496.67,2021-02-02 17:00:00
1612287000000,22.581,22.594,22.5353,22.594,4796.66,2021-02-02 17:30:00
1612288800000,22.5943,22.6307,22.5932,22.602,7263.09,2021-02-02 18:00:00
1612290600000,22.6088,22.661,22.566,22.578,9515.4,2021-02-02 18:30:00
1612292400000,22.5779,22.5842,22.4705,22.4776,24780.68,2021-02-02 19:00:00
1612294200000,22.484,22.5164,22.4767,22.5055,10179.95,2021-02-02 19:30:00
1612296000000,22.5099,22.5141,22.4489,22.4726,10161.46,2021-02-02 20:00:00
1612297800000,22.4726,22.5134,22.401,22.4688,10968.62,2021-02-02 20:30:00
1612299600000,22.4744,22.4963,22.438,22.4885,7436.63,2021-02-02 21:00:00
1612301400000,22.4897,22.5421,22.4888,22.5336,4456.87,2021-02-02 21:30:00
1612303200000,22.5337,22.6213,22.52,22.573,10095.94,2021-02-02 22:00:00
1612305000000,22.5758,22.596,22.4638,22.4977,10203.76,2021-02-02 22:30:00
1612306800000,22.4982,22.5326,22.4876,22.5204,4394.18,2021-02-02 23:00:00
1612308600000,22.5248,22.532,22.47,22.4829,7644.76,2021-02-02 23:30:00
1612310400000,22.482,22.4938,22.4011,22.4816,11665.69,2021-02-03 00:00:00
1612312200000,22.4779,22.486,22.401,22.4664,21019.09,2021-02-03 00:30:00
1612314000000,22.4671,22.5517,22.4601,22.5134,8672.53,2021-02-03 01:00:00
1612315800000,22.5135,22.5613,22.5044,22.5101,10608.74,2021-02-03 01:30:00
1612317600000,22.511,22.5804,22.5,22.5699,10623.46,2021-02-03 02:00:00
1612319400000,22.5699,22.6598,22.536,22.6457,18703.47,2021-02-03 02:30:00
1612321200000,22.6457,22.7547,22.6351,22.6973,24390.78,2021-02-03 03:00:00
1612323000000,22.6966,22.7542,22.6481,22.725,14169.27,2021-02-03 03:30:00
1612324800000,22.7256,22.74,22.6252,22.6469,13199.0,2021-02-03 04:00:00
1612326600000,22.6489,22.6716,22.6273,22.643,16422.18,2021-02-03 04:30:00
1612328400000,22.6429,22.7107,22.603,22.6642,11219.29,2021-02-03 05:00:00
1612330200000,22.6629,22.6705,22.6249,22.6622,5874.39,2021-02-03 05:30:00
1612332000000,22.66,22.7108,22.6541,22.7005,7315.98,2021-02-03 06:00:00
1612333800000,22.7005,22.7465,22.6803,22.6848,8220.65,2021-02-03 06:30:00
1612335600000,22.6847,22.7035,22.659,22.697,5528.85,2021-02-03 07:00:00
1612337400000,22.6962,22.6962,22.5527,22.6668,24169.15,2021-02-03 07:30:00
1612339200000,22.6616,22.6803,22.5252,22.5799,17956.26,2021-02-03 08:00:00
1612341000000,22.5798,22.6749,22.5498,22.6649,14974.96,2021-02-03 08:30:00
1612342800000,22.6586,22.6823,22.5934,22.6298,10587.9,2021-02-03 09:00:00
1612344600000,22.629,22.7044,22.6206,22.6726,11085.98,2021-02-03 09:30:00
1612346400000,22.6714,22.683,22.6319,22.68,7246.02,2021-02-03 10:00:00
1612348200000,22.6806,22.7299,22.6686,22.7188,11327.3,2021-02-03 10:30:00
1612350000000,22.7147,22.7429,22.7036,22.7194,12690.54,2021-02-03 11:00:00
1612351800000,22.7222,22.8526,22.6288,22.7117,26310.67,2021-02-03 11:30:00
1612353600000,22.7097,22.8284,22.6805,22.8015,18503.11,2021-02-03 12:00:00
1612355400000,22.8012,22.9726,22.758,22.9168,29092.97,2021-02-03 12:30:00
1612357200000,22.9118,22.9535,22.85,22.946,26636.17,2021-02-03 13:00:00
1612359000000,22.9461,22.9462,22.7874,22.8194,21631.14,2021-02-03 13:30:00
1612360800000,22.8215,23.45,22.8,23.1458,61717.82,2021-02-03 14:00:00
1612362600000,23.1443,23.149,23.015,23.1267,25437.96,2021-02-03 14:30:00
1612364400000,23.127,23.1338,23.0015,23.0355,12741.27,2021-02-03 15:00:00
1612366200000,23.0333,23.0977,22.98,23.0138,28543.43,2021-02-03 15:30:00
1612368000000,23.0108,23.1301,22.8291,22.9327,32157.77,2021-02-03 16:00:00
1612369800000,22.9245,22.9682,22.87,22.915,20573.08,2021-02-03 16:30:00
1612371600000,22.9135,23.0823,22.8857,22.95,19301.08,2021-02-03 17:00:00
1612373400000,22.95,23.1999,22.9,23.044,26026.85,2021-02-03 17:30:00
1612375200000,23.046,23.2005,23.0146,23.1404,14555.16,2021-02-03 18:00:00
1612377000000,23.1393,23.2248,22.9894,22.9982,15899.32,2021-02-03 18:30:00
1612378800000,23.0071,23.129,22.8522,22.9016,19165.64,2021-02-03 19:00:00
1612380600000,22.9017,23.0299,22.9,22.9594,8827.55,2021-02-03 19:30:00
1612382400000,22.95,22.9699,22.8875,22.9448,7760.04,2021-02-03 20:00:00
1612384200000,22.9375,23.0485,22.9154,22.984,21566.06,2021-02-03 20:30:00
1612386000000,22.984,22.9911,22.9215,22.9297,7757.33,2021-02-03 21:00:00
1612387800000,22.9294,22.9633,22.9071,22.9481,8914.66,2021-02-03 21:30:00
1612389600000,22.9466,22.9548,22.8868,22.8933,9720.25,2021-02-03 22:00:00
1612391400000,22.897,22.9338,22.8936,22.927,6644.17,2021-02-03 22:30:00
1612393200000,22.9259,23.0321,22.9021,23.013,11011.37,2021-02-03 23:00:00
1612395000000,23.0168,23.0999,23.0083,23.0537,12388.75,2021-02-03 23:30:00
1612396800000,23.0507,23.1926,23.0507,23.137,15171.82,2021-02-04 00:00:00
1612398600000,23.138,23.2428,23.1282,23.1853,19146.41,2021-02-04 00:30:00
1612400400000,23.1859,23.1859,23.008,23.076,20877.39,2021-02-04 01:00:00
1612402200000,23.076,23.1704,23.0547,23.1309,12644.93,2021-02-04 01:30:00
1612404000000,23.1251,23.1999,23.0,23.0289,25965.65,2021-02-04 02:00:00
1612405800000,23.0306,23.1275,23.0131,23.062,14978.15,2021-02-04 02:30:00
1612407600000,23.0618,23.0916,23.0073,23.0151,11694.29,2021-02-04 03:00:00
1612409400000,23.0175,23.0204,22.8481,22.8855,31279.4,2021-02-04 03:30:00
1612411200000,22.884,23.0056,22.8587,23.0,16732.98,2021-02-04 04:00:00
1612413000000,23.0015,23.1154,23.0,23.1099,18657.6,2021-02-04 04:30:00
1612414800000,23.1059,23.1144,23.0116,23.0499,13443.49,2021-02-04 05:00:00
1612416600000,23.0509,23.09,23.0369,23.0369,6587.6,2021-02-04 05:30:00
1612418400000,23.0346,23.0355,22.9328,22.9722,18689.39,2021-02-04 06:00:00
1612420200000,22.9807,23.1011,22.9616,23.0856,23520.41,2021-02-04 06:30:00
1612422000000,23.0905,23.2199,23.0645,23.2072,18746.96,2021-02-04 07:00:00
1612423800000,23.2073,23.2674,23.0811,23.0908,22879.82,2021-02-04 07:30:00
1612425600000,23.0851,23.2674,23.0851,23.2295,22911.99,2021-02-04 08:00:00
1612427400000,23.2307,23.2368,22.8977,22.9235,45079.48,2021-02-04 08:30:00
1612429200000,22.9167,22.9922,22.62,22.847,74825.24,2021-02-04 09:00:00
1612431000000,22.8467,22.9734,22.7621,22.9628,32889.92,2021-02-04 09:30:00
1612432800000,22.963,23.0823,22.9016,22.9764,19313.2,2021-02-04 10:00:00
1612434600000,22.9764,22.9764,22.8348,22.8433,20754.51,2021-02-04 10:30:00
1612436400000,22.8438,23.1434,22.8195,23.0668,31945.92,2021-02-04 11:00:00
1612438200000,23.0638,23.0668,22.9309,22.9428,13626.96,2021-02-04 11:30:00
1612440000000,22.9428,23.0029,22.8948,22.9869,9489.58,2021-02-04 12:00:00
1612441800000,22.9868,23.05,22.9252,23.0488,10377.59,2021-02-04 12:30:00
1612443600000,23.0488,23.0546,22.9941,22.9945,6733.02,2021-02-04 13:00:00
1612445400000,23.0,23.0103,22.9142,22.9417,9428.72,2021-02-04 13:30:00
1612447200000,22.9417,22.9599,22.9,22.9284,13859.66,2021-02-04 14:00:00
1612449000000,22.9283,22.9284,22.7376,22.8607,28227.19,2021-02-04 14:30:00
1612450800000,22.8559,22.9316,22.6753,22.757,28479.08,2021-02-04 15:00:00
1612452600000,22.7574,22.8318,22.7408,22.8159,29483.94,2021-02-04 15:30:00
