time,open,high,low,close,vol,time_stamp
1599217200000,43.15,49.0,41.0,42.33,5639.211,2020-09-04 11:00:00
1599219000000,42.33,42.742,40.901,42.103,1933.845,2020-09-04 11:30:00
1599220800000,42.199,42.5,41.145,41.521,780.359,2020-09-04 12:00:00
1599222600000,41.557,41.796,40.366,40.733,715.011,2020-09-04 12:30:00
1599224400000,40.737,41.248,40.508,40.9,613.093,2020-09-04 13:00:00
1599226200000,40.818,41.623,40.617,40.83,1442.372,2020-09-04 13:30:00
1599228000000,40.825,40.939,38.5,38.667,1005.694,2020-09-04 14:00:00
1599229800000,38.667,38.874,34.783,37.45,4968.431,2020-09-04 14:30:00
1599231600000,38.363,40.99,34.5,35.603,9012.377,2020-09-04 15:00:00
1599233400000,35.603,39.499,35.21,38.98,1074.059,2020-09-04 15:30:00
1599235200000,38.601,40.937,35.97,40.219,1685.616,2020-09-04 16:00:00
1599237000000,39.621,43.209,39.3,41.394,1321.604,2020-09-04 16:30:00
1599238800000,41.332,42.0,40.293,40.49,779.957,2020-09-04 17:00:00
1599240600000,40.493,40.655,40.03,40.03,182.777,2020-09-04 17:30:00
1599242400000,40.322,41.601,40.02,40.156,544.438,2020-09-04 18:00:00
1599244200000,40.156,40.418,39.341,40.313,206.029,2020-09-04 18:30:00
1599246000000,40.313,41.0,39.221,40.5,374.946,2020-09-04 19:00:00
1599247800000,40.44,40.98,39.561,40.637,495.812,2020-09-04 19:30:00
1599249600000,40.637,41.001,40.54,40.935,643.001,2020-09-04 20:00:00
1599251400000,40.935,41.79,40.5,40.5,266.438,2020-09-04 20:30:00
1599253200000,40.498,41.5,40.306,41.498,151.403,2020-09-04 21:00:00
1599255000000,40.911,41.431,40.437,40.437,424.69,2020-09-04 21:30:00
1599256800000,40.473,41.987,40.0,41.598,453.469,2020-09-04 22:00:00
1599258600000,41.598,44.918,41.598,44.857,432.607,2020-09-04 22:30:00
1599260400000,44.857,44.857,41.501,43.346,567.153,2020-09-04 23:00:00
1599262200000,43.0,44.169,41.604,42.167,499.763,2020-09-04 23:30:00
1599264000000,42.0,43.5,41.469,43.5,765.87,2020-09-05 00:00:00
1599265800000,43.499,43.998,41.647,42.09,685.046,2020-09-05 00:30:00
1599267600000,42.085,42.906,41.058,41.232,1113.764,2020-09-05 01:00:00
1599269400000,41.232,41.744,41.0,41.053,736.423,2020-09-05 01:30:00
1599271200000,41.076,41.441,41.001,41.282,432.834,2020-09-05 02:00:00
1599273000000,41.282,41.282,40.419,40.51,430.063,2020-09-05 02:30:00
1599274800000,40.424,41.235,40.424,40.914,366.401,2020-09-05 03:00:00
1599276600000,40.924,42.8,40.897,41.92,562.642,2020-09-05 03:30:00
1599278400000,41.92,42.8,41.314,41.363,630.278,2020-09-05 04:00:00
1599280200000,41.379,41.379,40.419,40.605,641.427,2020-09-05 04:30:00
1599282000000,40.592,40.899,40.42,40.545,184.021,2020-09-05 05:00:00
1599283800000,40.66,40.717,39.555,39.555,404.419,2020-09-05 05:30:00
1599285600000,39.995,40.0,37.751,37.978,1261.517,2020-09-05 06:00:00
1599287400000,38.055,40.009,38.05,39.108,2006.138,2020-09-05 06:30:00
