time,open,high,low,close,vol,time_stamp
1618455600000,40.2729,40.4932,39.921,40.2842,89718.71,2021-04-15 03:00:00
1618456500000,40.2843,40.6917,40.261,40.6066,71430.95,2021-04-15 03:15:00
1618457400000,40.6126,40.9295,40.5597,40.86,87234.18,2021-04-15 03:30:00
1618458300000,40.8667,41.083,40.7379,40.8335,100161.57,2021-04-15 03:45:00
1618459200000,40.8401,40.9167,40.7155,40.8247,98724.54,2021-04-15 04:00:00
1618460100000,40.8247,40.9111,40.5591,40.703,81259.12,2021-04-15 04:15:00
1618461000000,40.7029,40.7419,40.3537,40.5034,60023.41,2021-04-15 04:30:00
1618461900000,40.501,40.5236,40.21,40.2352,35340.5,2021-04-15 04:45:00
1618462800000,40.23,40.4519,40.0747,40.1177,73007.42,2021-04-15 05:00:00
1618463700000,40.1173,40.1443,39.9005,39.9642,77242.66,2021-04-15 05:15:00
1618464600000,39.9642,40.246,39.9639,40.1703,77618.93,2021-04-15 05:30:00
1618465500000,40.1768,40.4387,40.1403,40.2021,60192.68,2021-04-15 05:45:00
1618466400000,40.1985,40.9265,40.1832,40.887,109988.01,2021-04-15 06:00:00
1618467300000,40.9122,40.9159,40.6085,40.7555,77604.59,2021-04-15 06:15:00
1618468200000,40.7554,40.986,40.5561,40.6697,65707.5,2021-04-15 06:30:00
1618469100000,40.6743,40.6743,40.1056,40.1943,91410.41,2021-04-15 06:45:00
1618470000000,40.2001,41.8333,40.1931,41.5061,375301.04,2021-04-15 07:00:00
1618470900000,41.4916,41.6645,41.01,41.3344,111131.75,2021-04-15 07:15:00
1618471800000,41.3328,42.2848,41.1625,41.9803,367563.07,2021-04-15 07:30:00
1618472700000,41.9524,42.9876,41.826,42.3825,418893.87,2021-04-15 07:45:00
1618473600000,42.3825,42.8255,41.9605,41.9953,212319.43,2021-04-15 08:00:00
1618474500000,41.9949,42.0613,41.385,41.6406,201436.08,2021-04-15 08:15:00
1618475400000,41.653,41.8011,41.2277,41.55,127634.46,2021-04-15 08:30:00
1618476300000,41.55,41.6877,41.1006,41.2741,101115.27,2021-04-15 08:45:00
1618477200000,41.2706,41.6784,41.0848,41.2058,118674.05,2021-04-15 09:00:00
1618478100000,41.1992,41.7115,41.0824,41.5863,98653.12,2021-04-15 09:15:00
1618479000000,41.5781,41.9899,41.5781,41.7755,134960.38,2021-04-15 09:30:00
1618479900000,41.7756,41.9399,41.5006,41.5571,91450.62,2021-04-15 09:45:00
1618480800000,41.5573,41.6878,41.0,41.0251,105380.79,2021-04-15 10:00:00
1618481700000,41.0251,41.2379,40.5,40.7511,163054.14,2021-04-15 10:15:00
1618482600000,40.7651,40.9845,40.4596,40.8677,113522.97,2021-04-15 10:30:00
1618483500000,40.8703,40.888,40.0,40.0783,146457.13,2021-04-15 10:45:00
1618484400000,40.0945,40.7393,40.0766,40.6802,214564.2,2021-04-15 11:00:00
1618485300000,40.6849,40.8822,40.505,40.5619,110491.89,2021-04-15 11:15:00
1618486200000,40.5747,40.9073,40.4767,40.6463,124957.84,2021-04-15 11:30:00
1618487100000,40.6463,40.9247,40.4387,40.588,92268.79,2021-04-15 11:45:00
1618488000000,40.5799,41.2812,40.3005,41.2539,160029.88,2021-04-15 12:00:00
1618488900000,41.2411,41.9899,41.1488,41.8913,242374.98,2021-04-15 12:15:00
1618489800000,41.8858,41.9382,41.5771,41.8964,90346.11,2021-04-15 12:30:00
1618490700000,41.8872,41.8872,41.3367,41.521,71090.48,2021-04-15 12:45:00
1618491600000,41.5209,41.9129,41.3591,41.8359,110869.76,2021-04-15 13:00:00
1618492500000,41.8161,42.2335,41.7192,42.0089,171942.88,2021-04-15 13:15:00
1618493400000,42.0151,42.2,41.8,42.0402,83580.25,2021-04-15 13:30:00
1618494300000,42.0402,42.6157,41.987,42.1036,160209.54,2021-04-15 13:45:00
1618495200000,42.1011,43.3,42.0509,43.2272,327748.9,2021-04-15 14:00:00
1618496100000,43.2252,43.8509,43.0571,43.3935,488045.53,2021-04-15 14:15:00
