time,open,high,low,close,vol,time_stamp
1612238400000,0.04006,0.04049,0.04,0.04041,2465042.2,2021-02-02 04:00:00
1612240200000,0.0404,0.04041,0.04014,0.04021,1826467.3,2021-02-02 04:30:00
1612242000000,0.04029,0.0408,0.04029,0.04074,5217005.3,2021-02-02 05:00:00
1612243800000,0.04078,0.04134,0.04044,0.04074,9661420.4,2021-02-02 05:30:00
1612245600000,0.0408,0.04084,0.0404,0.04049,2397591.2,2021-02-02 06:00:00
1612247400000,0.04055,0.04075,0.04038,0.04045,3908866.1,2021-02-02 06:30:00
1612249200000,0.0405,0.04058,0.04026,0.04031,3243948.9,2021-02-02 07:00:00
1612251000000,0.04033,0.04054,0.04014,0.04024,3292324.9,2021-02-02 07:30:00
1612252800000,0.04023,0.04055,0.03974,0.0399,8109633.2,2021-02-02 08:00:00
1612254600000,0.03992,0.04007,0.03954,0.03999,9158591.3,2021-02-02 08:30:00
1612256400000,0.03993,0.04026,0.03972,0.03982,7592474.2,2021-02-02 09:00:00
1612258200000,0.03982,0.03996,0.03937,0.0394,4210359.0,2021-02-02 09:30:00
1612260000000,0.03948,0.04016,0.0393,0.04012,6918061.8,2021-02-02 10:00:00
1612261800000,0.04005,0.04013,0.03946,0.03953,5394856.0,2021-02-02 10:30:00
1612263600000,0.03953,0.03989,0.03936,0.03943,4270552.5,2021-02-02 11:00:00
1612265400000,0.03938,0.03987,0.03936,0.0395,3539188.6,2021-02-02 11:30:00
1612267200000,0.03944,0.03978,0.03925,0.03971,3170588.2,2021-02-02 12:00:00
1612269000000,0.03967,0.04028,0.03967,0.04011,6325401.4,2021-02-02 12:30:00
1612270800000,0.04007,0.04014,0.03981,0.04003,4200265.0,2021-02-02 13:00:00
1612272600000,0.04002,0.0405,0.04,0.04029,5868831.1,2021-02-02 13:30:00
1612274400000,0.04026,0.04035,0.03965,0.0397,4121280.4,2021-02-02 14:00:00
1612276200000,0.03969,0.04003,0.03956,0.04003,2093520.5,2021-02-02 14:30:00
1612278000000,0.04001,0.04054,0.0396,0.04011,5656306.4,2021-02-02 15:00:00
1612279800000,0.04005,0.04035,0.03986,0.04026,3061240.8,2021-02-02 15:30:00
1612281600000,0.04026,0.04054,0.04021,0.04051,3851308.5,2021-02-02 16:00:00
1612283400000,0.04053,0.04074,0.04021,0.0403,7324705.0,2021-02-02 16:30:00
1612285200000,0.04028,0.04036,0.04007,0.04022,2476893.2,2021-02-02 17:00:00
1612287000000,0.04025,0.0403,0.03973,0.03979,5010192.5,2021-02-02 17:30:00
1612288800000,0.03978,0.03988,0.0396,0.03988,2873547.3,2021-02-02 18:00:00
1612290600000,0.03986,0.04021,0.03986,0.04003,1788910.3,2021-02-02 18:30:00
1612292400000,0.04001,0.04006,0.03976,0.0399,2088944.9,2021-02-02 19:00:00
1612294200000,0.03991,0.0401,0.03982,0.04007,1647648.2,2021-02-02 19:30:00
1612296000000,0.04,0.04018,0.03992,0.03998,3576938.8,2021-02-02 20:00:00
1612297800000,0.03994,0.04052,0.03993,0.04009,4492360.5,2021-02-02 20:30:00
1612299600000,0.04009,0.04029,0.0396,0.04019,4352835.0,2021-02-02 21:00:00
1612301400000,0.04018,0.04023,0.03997,0.04002,2145289.3,2021-02-02 21:30:00
1612303200000,0.04009,0.04025,0.03999,0.04023,1598227.1,2021-02-02 22:00:00
1612305000000,0.04018,0.04058,0.0401,0.04022,3929382.8,2021-02-02 22:30:00
1612306800000,0.04014,0.0407,0.0401,0.04065,5297539.8,2021-02-02 23:00:00
1612308600000,0.0406,0.04139,0.0406,0.04105,9501986.6,2021-02-02 23:30:00
1612310400000,0.04107,0.04141,0.04067,0.04091,5432273.9,2021-02-03 00:00:00
1612312200000,0.04092,0.04121,0.04031,0.04046,2979155.6,2021-02-03 00:30:00
1612314000000,0.0404,0.0412,0.04005,0.04074,6833055.7,2021-02-03 01:00:00
1612315800000,0.04068,0.04106,0.04048,0.04056,4002946.8,2021-02-03 01:30:00
1612317600000,0.04061,0.04105,0.04056,0.041,2205743.5,2021-02-03 02:00:00
1612319400000,0.04104,0.04132,0.04084,0.04092,3401273.7,2021-02-03 02:30:00
1612321200000,0.04089,0.041,0.04075,0.041,1431476.3,2021-02-03 03:00:00
1612323000000,0.04096,0.04149,0.04091,0.04142,4719704.8,2021-02-03 03:30:00
1612324800000,0.04141,0.04206,0.04119,0.04142,19037784.8,2021-02-03 04:00:00
1612326600000,0.04143,0.04218,0.04093,0.04105,8419642.2,2021-02-03 04:30:00
1612328400000,0.04102,0.04122,0.04092,0.04109,1516700.1,2021-02-03 05:00:00
1612330200000,0.04108,0.0411,0.04035,0.04071,7315645.4,2021-02-03 05:30:00
1612332000000,0.04067,0.04096,0.04053,0.04067,2891334.7,2021-02-03 06:00:00
1612333800000,0.04067,0.04073,0.04045,0.04054,2157089.6,2021-02-03 06:30:00
1612335600000,0.04052,0.04077,0.04045,0.04077,3032283.2,2021-02-03 07:00:00
1612337400000,0.04077,0.04081,0.0404,0.04048,3155281.0,2021-02-03 07:30:00
1612339200000,0.04048,0.0405,0.03991,0.04023,5154630.5,2021-02-03 08:00:00
1612341000000,0.04023,0.04025,0.03995,0.04012,2432495.3,2021-02-03 08:30:00
1612342800000,0.04012,0.04015,0.03975,0.0399,2876826.7,2021-02-03 09:00:00
1612344600000,0.03992,0.04029,0.03989,0.04008,3847397.6,2021-02-03 09:30:00
1612346400000,0.04008,0.04026,0.03984,0.0402,2886583.5,2021-02-03 10:00:00
1612348200000,0.04021,0.0408,0.04018,0.04052,5762544.6,2021-02-03 10:30:00
1612350000000,0.0405,0.04059,0.04037,0.04043,2255027.3,2021-02-03 11:00:00
1612351800000,0.04044,0.0405,0.04005,0.04016,2725441.5,2021-02-03 11:30:00
1612353600000,0.04015,0.04068,0.04011,0.0406,3819819.2,2021-02-03 12:00:00
1612355400000,0.04058,0.04092,0.04046,0.04089,4490901.3,2021-02-03 12:30:00
1612357200000,0.04086,0.0412,0.04067,0.04076,7534644.7,2021-02-03 13:00:00
1612359000000,0.04076,0.04133,0.04054,0.04114,4817644.1,2021-02-03 13:30:00
1612360800000,0.04116,0.04121,0.04081,0.0412,3264272.8,2021-02-03 14:00:00
1612362600000,0.04119,0.04183,0.04089,0.04177,5731505.1,2021-02-03 14:30:00
1612364400000,0.04177,0.04183,0.04114,0.04118,9447087.4,2021-02-03 15:00:00
1612366200000,0.04122,0.04124,0.04086,0.0411,3847940.7,2021-02-03 15:30:00
1612368000000,0.04111,0.04132,0.04052,0.04063,5991993.5,2021-02-03 16:00:00
1612369800000,0.04068,0.0417,0.04061,0.04152,5680251.9,2021-02-03 16:30:00
1612371600000,0.04152,0.04353,0.04128,0.04328,26912404.6,2021-02-03 17:00:00
1612373400000,0.04324,0.04393,0.0425,0.04387,18203189.5,2021-02-03 17:30:00
1612375200000,0.04386,0.0443,0.04334,0.04355,19127164.1,2021-02-03 18:00:00
1612377000000,0.04355,0.0441,0.04319,0.0435,9366716.5,2021-02-03 18:30:00
1612378800000,0.04349,0.04405,0.04331,0.04341,5762707.8,2021-02-03 19:00:00
1612380600000,0.04341,0.04366,0.0431,0.04311,3945765.1,2021-02-03 19:30:00
1612382400000,0.04313,0.04405,0.04292,0.04396,5689326.7,2021-02-03 20:00:00
1612384200000,0.04394,0.044,0.04323,0.04329,4828954.6,2021-02-03 20:30:00
1612386000000,0.04325,0.04354,0.04311,0.04341,2561946.0,2021-02-03 21:00:00
1612387800000,0.04334,0.04347,0.04227,0.04252,12812133.7,2021-02-03 21:30:00
1612389600000,0.0425,0.04307,0.04247,0.04258,6044694.5,2021-02-03 22:00:00
1612391400000,0.04264,0.04307,0.04243,0.04287,5411632.4,2021-02-03 22:30:00
1612393200000,0.04293,0.04371,0.04282,0.04362,5057657.1,2021-02-03 23:00:00
1612395000000,0.04357,0.04439,0.04353,0.04382,6984748.1,2021-02-03 23:30:00
1612396800000,0.0438,0.04395,0.04285,0.04301,8186501.5,2021-02-04 00:00:00
1612398600000,0.04301,0.04304,0.04266,0.04277,6445674.3,2021-02-04 00:30:00
1612400400000,0.04277,0.04305,0.04256,0.04293,4794806.8,2021-02-04 01:00:00
1612402200000,0.04303,0.04321,0.0429,0.04303,2225826.9,2021-02-04 01:30:00
1612404000000,0.04308,0.04397,0.042,0.04216,12639842.2,2021-02-04 02:00:00
1612405800000,0.04213,0.04296,0.04213,0.04293,4868033.4,2021-02-04 02:30:00
1612407600000,0.04297,0.04341,0.04203,0.04216,8152627.9,2021-02-04 03:00:00
1612409400000,0.04211,0.04329,0.04207,0.04224,7406787.1,2021-02-04 03:30:00
1612411200000,0.04229,0.04234,0.04167,0.042,6984340.8,2021-02-04 04:00:00
1612413000000,0.042,0.04271,0.04193,0.04248,3917066.1,2021-02-04 04:30:00
1612414800000,0.04251,0.04259,0.04205,0.04255,3531818.9,2021-02-04 05:00:00
1612416600000,0.04258,0.04272,0.04223,0.04231,2813913.6,2021-02-04 05:30:00
1612418400000,0.04231,0.04251,0.04209,0.04249,2336063.0,2021-02-04 06:00:00
