time,open,high,low,close,vol,time_stamp
1612238400000,19.3501,19.4943,18.9681,19.077,223079.45,2021-02-02 04:00:00
1612240200000,19.0812,19.4067,19.0345,19.3698,155212.06,2021-02-02 04:30:00
1612242000000,19.3467,19.448,19.2917,19.4433,84409.12,2021-02-02 05:00:00
1612243800000,19.4433,19.5199,19.3157,19.4027,155254.57,2021-02-02 05:30:00
1612245600000,19.4111,19.4312,19.1923,19.2039,127692.12,2021-02-02 06:00:00
1612247400000,19.2039,19.3209,19.0037,19.2772,201035.39,2021-02-02 06:30:00
1612249200000,19.28,19.29,18.588,18.7519,399141.01,2021-02-02 07:00:00
1612251000000,18.7663,19.0688,18.7354,18.9325,127857.41,2021-02-02 07:30:00
1612252800000,18.9322,19.0148,18.6079,18.7358,233711.89,2021-02-02 08:00:00
1612254600000,18.7358,19.3757,18.6434,19.2781,217578.43,2021-02-02 08:30:00
1612256400000,19.2772,19.3412,18.9175,19.1379,252931.08,2021-02-02 09:00:00
1612258200000,19.1427,19.2803,19.1153,19.1522,92636.53,2021-02-02 09:30:00
1612260000000,19.1531,19.1883,18.71,18.8374,272799.68,2021-02-02 10:00:00
1612261800000,18.84,18.9129,18.6331,18.7667,156194.09,2021-02-02 10:30:00
1612263600000,18.7667,18.8867,18.6001,18.6378,133312.07,2021-02-02 11:00:00
1612265400000,18.6522,19.1663,18.6252,18.9192,218599.13,2021-02-02 11:30:00
1612267200000,18.9269,19.1301,18.8131,18.8564,193689.7,2021-02-02 12:00:00
1612269000000,18.8564,19.13,18.7664,19.1199,125973.06,2021-02-02 12:30:00
1612270800000,19.1064,19.156,18.986,19.117,86206.47,2021-02-02 13:00:00
1612272600000,19.1031,19.13,18.8677,18.9715,100948.38,2021-02-02 13:30:00
1612274400000,18.9714,19.0679,18.7328,18.7754,172125.4,2021-02-02 14:00:00
1612276200000,18.77,18.8939,18.6753,18.7886,117213.06,2021-02-02 14:30:00
1612278000000,18.7887,18.95,18.655,18.7995,125969.81,2021-02-02 15:00:00
1612279800000,18.8066,18.9895,18.6925,18.8526,165188.25,2021-02-02 15:30:00
1612281600000,18.8686,18.9134,18.2322,18.535,487638.41,2021-02-02 16:00:00
1612283400000,18.5572,18.7038,18.2202,18.3726,228836.66,2021-02-02 16:30:00
1612285200000,18.3726,18.4,18.005,18.2959,334879.04,2021-02-02 17:00:00
1612287000000,18.2945,18.583,18.2856,18.5124,109417.3,2021-02-02 17:30:00
1612288800000,18.5109,18.5559,18.3136,18.3758,84331.99,2021-02-02 18:00:00
1612290600000,18.3805,18.6138,18.3725,18.5802,69150.25,2021-02-02 18:30:00
1612292400000,18.595,18.8768,18.477,18.7302,139817.38,2021-02-02 19:00:00
1612294200000,18.74,19.09,18.6051,19.0768,207163.26,2021-02-02 19:30:00
1612296000000,19.0733,19.09,18.5435,18.6164,124704.23,2021-02-02 20:00:00
1612297800000,18.6434,18.79,18.6001,18.7391,78359.99,2021-02-02 20:30:00
1612299600000,18.739,18.958,18.7125,18.8558,88891.13,2021-02-02 21:00:00
1612301400000,18.8729,19.0834,18.8,18.93,83639.75,2021-02-02 21:30:00
1612303200000,18.9065,19.25,18.8979,19.1184,90589.81,2021-02-02 22:00:00
1612305000000,19.1223,19.3874,19.1095,19.3205,92605.25,2021-02-02 22:30:00
1612306800000,19.3223,19.37,19.0837,19.2242,144614.85,2021-02-02 23:00:00
1612308600000,19.2176,19.2348,18.9308,18.9517,124158.05,2021-02-02 23:30:00
1612310400000,18.9675,19.1719,18.8551,19.0359,155995.66,2021-02-03 00:00:00
1612312200000,19.0485,19.0873,18.6899,18.8179,232336.83,2021-02-03 00:30:00
1612314000000,18.8098,18.9424,18.7115,18.8565,78634.53,2021-02-03 01:00:00
1612315800000,18.8544,19.0054,18.8325,18.9917,55035.3,2021-02-03 01:30:00
1612317600000,18.9921,19.0206,18.8537,18.9976,89831.07,2021-02-03 02:00:00
1612319400000,19.0072,19.1078,18.9808,19.0378,83222.53,2021-02-03 02:30:00
1612321200000,19.03,19.2409,19.0117,19.1983,85884.26,2021-02-03 03:00:00
1612323000000,19.1983,19.3408,19.0075,19.1032,169753.37,2021-02-03 03:30:00
1612324800000,19.1072,19.1363,18.9588,19.0558,109218.7,2021-02-03 04:00:00
1612326600000,19.0615,19.1107,18.9797,19.0,137969.35,2021-02-03 04:30:00
1612328400000,19.0,19.2,18.8798,19.159,90208.17,2021-02-03 05:00:00
1612330200000,19.1575,19.5,19.0591,19.4376,155407.09,2021-02-03 05:30:00
1612332000000,19.4375,19.4556,19.1268,19.1868,117598.31,2021-02-03 06:00:00
1612333800000,19.186,19.4376,19.1518,19.3295,147041.82,2021-02-03 06:30:00
1612335600000,19.3191,19.5922,19.2744,19.5779,217473.31,2021-02-03 07:00:00
1612337400000,19.5737,19.8,19.368,19.435,271078.45,2021-02-03 07:30:00
1612339200000,19.4421,19.4751,19.1642,19.3328,202326.56,2021-02-03 08:00:00
1612341000000,19.3328,19.4477,19.2204,19.372,113104.25,2021-02-03 08:30:00
1612342800000,19.3799,19.505,19.1703,19.5002,135922.69,2021-02-03 09:00:00
1612344600000,19.5003,19.6817,19.4311,19.6429,167429.06,2021-02-03 09:30:00
1612346400000,19.6429,19.774,19.5076,19.6269,190106.9,2021-02-03 10:00:00
1612348200000,19.6351,19.85,19.5629,19.7856,160982.79,2021-02-03 10:30:00
1612350000000,19.786,20.015,19.7431,19.984,301394.28,2021-02-03 11:00:00
1612351800000,19.984,19.9949,19.5109,19.5287,197424.07,2021-02-03 11:30:00
1612353600000,19.5287,19.812,19.4555,19.7558,164957.94,2021-02-03 12:00:00
1612355400000,19.7551,19.785,19.5983,19.6675,107868.74,2021-02-03 12:30:00
1612357200000,19.6428,19.7921,19.5806,19.6802,206697.27,2021-02-03 13:00:00
1612359000000,19.6814,19.6947,19.51,19.619,112539.58,2021-02-03 13:30:00
1612360800000,19.6191,19.8177,19.6146,19.8031,168308.85,2021-02-03 14:00:00
