time,open,high,low,close,vol,time_stamp
1616421600000,266.367,268.1,265.4992,266.0,59744.522,2021-03-22 14:00:00
1616423400000,266.0361,268.3,265.5778,267.2764,66165.284,2021-03-22 14:30:00
1616425200000,267.2764,267.9871,266.2052,266.899,49316.111,2021-03-22 15:00:00
1616427000000,266.8643,268.1782,266.8643,267.4725,43349.861,2021-03-22 15:30:00
1616428800000,267.5252,268.848,266.4,267.3602,63464.354,2021-03-22 16:00:00
1616430600000,267.3635,268.4,265.1819,268.2438,58985.491,2021-03-22 16:30:00
1616432400000,268.2439,273.1918,267.5136,272.979,115112.348,2021-03-22 17:00:00
1616434200000,272.979,275.8546,272.16,275.3795,196685.755,2021-03-22 17:30:00
1616436000000,275.3942,277.0,271.1648,272.7005,148389.112,2021-03-22 18:00:00
1616437800000,272.7089,272.8144,269.7201,270.1868,101184.739,2021-03-22 18:30:00
1616439600000,270.1676,271.075,263.0,266.7258,181757.245,2021-03-22 19:00:00
1616441400000,266.7,269.71,265.0,265.7971,80800.506,2021-03-22 19:30:00
1616443200000,265.8912,268.3197,264.82,265.7287,74527.735,2021-03-22 20:00:00
1616445000000,265.8312,265.9985,257.5,258.8422,182945.002,2021-03-22 20:30:00
1616446800000,258.9442,261.3979,256.6666,257.6098,93413.141,2021-03-22 21:00:00
1616448600000,257.6098,260.0,256.9583,257.8561,64653.863,2021-03-22 21:30:00
1616450400000,257.8561,258.5929,252.9164,256.0663,137763.813,2021-03-22 22:00:00
1616452200000,256.0625,258.4863,255.6282,258.1806,65247.818,2021-03-22 22:30:00
1616454000000,258.1806,259.3482,255.8292,256.5554,78877.43,2021-03-22 23:00:00
1616455800000,256.5533,257.5824,254.2969,254.7976,61191.534,2021-03-22 23:30:00
1616457600000,254.9689,258.75,252.56,256.9865,130044.308,2021-03-23 00:00:00
1616459400000,256.9996,259.0,255.4268,258.8758,51510.933,2021-03-23 00:30:00
1616461200000,258.944,260.096,257.653,259.9844,42778.066,2021-03-23 01:00:00
1616463000000,259.9844,262.0881,259.6,261.4967,54720.196,2021-03-23 01:30:00
1616464800000,261.5,261.7636,259.0001,259.125,41978.874,2021-03-23 02:00:00
1616466600000,259.1275,260.9794,257.8692,258.8135,47971.164,2021-03-23 02:30:00
1616468400000,258.8897,259.4631,257.8295,258.5007,37812.326,2021-03-23 03:00:00
1616470200000,258.4971,259.3651,257.3455,259.2775,27139.828,2021-03-23 03:30:00
1616472000000,259.3031,260.2193,257.7124,257.8533,40364.651,2021-03-23 04:00:00
1616473800000,257.8398,259.9489,257.1011,259.3366,34457.905,2021-03-23 04:30:00
1616475600000,259.3399,259.7539,253.0,254.3033,82919.937,2021-03-23 05:00:00
1616477400000,254.2425,257.6922,253.3794,256.6889,78483.437,2021-03-23 05:30:00
1616479200000,256.7167,256.7846,252.1,254.8803,89329.275,2021-03-23 06:00:00
1616481000000,254.9449,255.0979,251.838,252.4836,65902.426,2021-03-23 06:30:00
1616482800000,252.489,256.4631,252.4877,256.3237,53814.042,2021-03-23 07:00:00
1616484600000,256.3242,257.9354,255.447,257.2424,59072.89,2021-03-23 07:30:00
1616486400000,257.2821,257.5251,255.1501,255.6377,58801.674,2021-03-23 08:00:00
1616488200000,255.5995,257.8666,255.5322,257.2031,49425.592,2021-03-23 08:30:00
1616490000000,257.2034,259.977,256.7687,258.7488,64210.504,2021-03-23 09:00:00
1616491800000,258.8292,259.977,258.0424,259.5065,70893.915,2021-03-23 09:30:00
1616493600000,259.5455,259.9749,258.4183,258.5079,43267.646,2021-03-23 10:00:00
