time,open,high,low,close,vol,time_stamp
1616421600000,11.232,11.649,11.205,11.38,1115578.119,2021-03-22 14:00:00
1616423400000,11.38,11.8,11.37,11.749,453302.174,2021-03-22 14:30:00
1616425200000,11.748,11.748,11.426,11.589,427195.262,2021-03-22 15:00:00
1616427000000,11.589,11.851,11.498,11.81,364038.142,2021-03-22 15:30:00
1616428800000,11.81,11.888,11.691,11.73,258821.263,2021-03-22 16:00:00
1616430600000,11.723,11.794,11.551,11.794,246194.881,2021-03-22 16:30:00
1616432400000,11.787,12.249,11.773,12.149,622116.111,2021-03-22 17:00:00
1616434200000,12.149,12.57,12.11,12.551,591951.921,2021-03-22 17:30:00
1616436000000,12.551,12.57,12.05,12.103,571742.226,2021-03-22 18:00:00
1616437800000,12.083,12.2,11.809,11.902,412943.016,2021-03-22 18:30:00
1616439600000,11.911,12.1,11.548,11.741,413139.959,2021-03-22 19:00:00
1616441400000,11.757,11.93,11.582,11.666,194075.961,2021-03-22 19:30:00
1616443200000,11.658,11.849,11.511,11.532,230807.983,2021-03-22 20:00:00
1616445000000,11.538,11.579,10.943,11.0,438679.068,2021-03-22 20:30:00
1616446800000,11.0,11.27,10.9,11.01,202637.801,2021-03-22 21:00:00
1616448600000,11.01,11.141,10.898,10.934,144484.445,2021-03-22 21:30:00
1616450400000,10.946,11.066,10.689,10.999,260584.222,2021-03-22 22:00:00
1616452200000,10.965,11.15,10.912,11.122,151266.492,2021-03-22 22:30:00
1616454000000,11.122,11.22,10.998,11.09,245699.455,2021-03-22 23:00:00
1616455800000,11.074,11.161,10.879,10.916,177725.513,2021-03-22 23:30:00
1616457600000,10.89,11.08,10.556,10.974,529086.211,2021-03-23 00:00:00
1616459400000,10.983,11.012,10.823,10.96,86105.622,2021-03-23 00:30:00
1616461200000,10.96,11.16,10.9,11.158,101665.402,2021-03-23 01:00:00
1616463000000,11.157,11.32,11.09,11.302,148215.402,2021-03-23 01:30:00
1616464800000,11.297,11.32,11.057,11.085,88774.345,2021-03-23 02:00:00
1616466600000,11.085,11.286,11.081,11.161,101311.273,2021-03-23 02:30:00
1616468400000,11.162,11.233,11.09,11.183,57301.922,2021-03-23 03:00:00
1616470200000,11.2,11.258,11.124,11.258,66018.498,2021-03-23 03:30:00
1616472000000,11.255,11.397,11.208,11.319,199906.092,2021-03-23 04:00:00
1616473800000,11.324,11.45,11.184,11.425,175506.495,2021-03-23 04:30:00
1616475600000,11.424,11.45,10.977,11.034,248576.872,2021-03-23 05:00:00
1616477400000,11.019,11.182,10.93,11.067,155220.14,2021-03-23 05:30:00
1616479200000,11.064,11.15,10.8,10.918,209182.368,2021-03-23 06:00:00
1616481000000,10.926,10.95,10.622,10.679,192785.184,2021-03-23 06:30:00
1616482800000,10.678,10.975,10.677,10.974,149354.593,2021-03-23 07:00:00
1616484600000,10.974,11.189,10.92,11.163,143043.484,2021-03-23 07:30:00
1616486400000,11.163,11.199,10.994,11.039,118379.743,2021-03-23 08:00:00
1616488200000,11.05,11.281,11.019,11.238,126185.359,2021-03-23 08:30:00
1616490000000,11.238,11.399,11.162,11.347,169538.085,2021-03-23 09:00:00
1616491800000,11.333,11.565,11.285,11.55,301761.172,2021-03-23 09:30:00
1616493600000,11.555,11.768,11.366,11.581,338868.216,2021-03-23 10:00:00
1616495400000,11.575,12.072,11.574,12.01,477190.739,2021-03-23 10:30:00
1616497200000,12.025,12.399,12.0,12.299,835753.046,2021-03-23 11:00:00
1616499000000,12.299,12.3,11.722,11.834,547231.001,2021-03-23 11:30:00
1616500800000,11.829,12.23,11.828,12.145,409290.174,2021-03-23 12:00:00
1616502600000,12.144,12.265,12.06,12.166,209798.397,2021-03-23 12:30:00
1616504400000,12.178,12.4,12.073,12.39,230992.859,2021-03-23 13:00:00
1616506200000,12.39,12.5,12.103,12.156,344337.517,2021-03-23 13:30:00
1616508000000,12.162,12.231,11.7,11.702,403689.003,2021-03-23 14:00:00
1616509800000,11.702,11.949,11.622,11.776,227063.751,2021-03-23 14:30:00
1616511600000,11.79,11.869,11.699,11.721,114206.542,2021-03-23 15:00:00
1616513400000,11.727,11.966,11.727,11.883,154422.587,2021-03-23 15:30:00
1616515200000,11.883,12.0,11.719,11.88,151408.455,2021-03-23 16:00:00
1616517000000,11.88,12.08,11.834,12.036,198564.423,2021-03-23 16:30:00
1616518800000,12.071,12.141,11.79,11.911,134012.816,2021-03-23 17:00:00
1616520600000,11.935,11.994,11.787,11.833,86930.081,2021-03-23 17:30:00
1616522400000,11.856,11.982,11.807,11.853,56021.872,2021-03-23 18:00:00
1616524200000,11.849,11.877,11.636,11.641,144320.383,2021-03-23 18:30:00
1616526000000,11.637,11.72,11.462,11.518,94389.677,2021-03-23 19:00:00
1616527800000,11.547,11.631,11.448,11.477,106933.91,2021-03-23 19:30:00
1616529600000,11.477,11.485,11.31,11.363,138152.284,2021-03-23 20:00:00
1616531400000,11.342,11.398,11.174,11.229,108218.979,2021-03-23 20:30:00
1616533200000,11.229,11.306,11.129,11.171,61176.894,2021-03-23 21:00:00
1616535000000,11.169,11.394,11.099,11.315,139748.098,2021-03-23 21:30:00
1616536800000,11.334,11.475,11.253,11.443,104453.785,2021-03-23 22:00:00
1616538600000,11.443,11.532,11.4,11.42,96928.186,2021-03-23 22:30:00
1616540400000,11.402,11.55,11.402,11.5,56867.033,2021-03-23 23:00:00
1616542200000,11.51,11.547,11.36,11.47,92043.922,2021-03-23 23:30:00
1616544000000,11.455,11.588,11.25,11.274,201781.331,2021-03-24 00:00:00
1616545800000,11.274,11.359,11.12,11.259,278718.995,2021-03-24 00:30:00
1616547600000,11.268,11.678,11.245,11.655,273097.909,2021-03-24 01:00:00
