time,open,high,low,close,vol,time_stamp
1616047200000,36.4697,36.55,36.2416,36.2637,90103.19,2021-03-18 06:00:00
1616049000000,36.2676,36.358,36.15,36.1713,131119.51,2021-03-18 06:30:00
1616050800000,36.1832,36.3,35.9514,36.0711,137806.08,2021-03-18 07:00:00
1616052600000,36.0811,36.0864,35.7905,35.9246,99130.88,2021-03-18 07:30:00
1616054400000,35.928,36.1855,35.9224,36.0104,118276.97,2021-03-18 08:00:00
1616056200000,36.0214,36.1351,35.6742,35.719,137345.98,2021-03-18 08:30:00
1616058000000,35.719,35.9799,35.6662,35.8999,79711.68,2021-03-18 09:00:00
1616059800000,35.8841,36.118,35.8841,36.1087,67185.17,2021-03-18 09:30:00
1616061600000,36.1116,36.4947,36.0453,36.3115,115838.71,2021-03-18 10:00:00
1616063400000,36.3115,36.4745,36.3,36.393,74603.26,2021-03-18 10:30:00
1616065200000,36.401,36.6432,36.2,36.3599,89249.26,2021-03-18 11:00:00
1616067000000,36.3506,36.3765,36.0742,36.1594,69148.51,2021-03-18 11:30:00
1616068800000,36.1595,36.2046,35.835,35.9756,103342.15,2021-03-18 12:00:00
1616070600000,35.9667,36.2801,35.838,36.196,88131.51,2021-03-18 12:30:00
1616072400000,36.1891,36.3585,36.0673,36.2847,62816.81,2021-03-18 13:00:00
1616074200000,36.2778,36.2847,35.9768,36.0278,84505.93,2021-03-18 13:30:00
1616076000000,36.0282,36.2283,35.7902,36.021,122659.94,2021-03-18 14:00:00
1616077800000,36.011,36.1405,35.7905,36.0365,120803.54,2021-03-18 14:30:00
1616079600000,36.0321,36.3298,35.8833,36.31,110854.16,2021-03-18 15:00:00
1616081400000,36.3097,36.8971,36.3008,36.6644,270475.82,2021-03-18 15:30:00
1616083200000,36.673,36.952,36.4,36.746,257700.38,2021-03-18 16:00:00
1616085000000,36.7464,36.8245,36.3598,36.3894,134085.24,2021-03-18 16:30:00
1616086800000,36.3893,36.5421,36.3616,36.3685,84656.28,2021-03-18 17:00:00
