time,open,high,low,close,vol,time_stamp
1615982400000,1759.71,1764.76,1741.18,1760.07,22261.93301,2021-03-17 12:00:00
1615984200000,1760.27,1769.0,1758.98,1764.99,11333.99491,2021-03-17 12:30:00
1615986000000,1764.98,1776.46,1764.34,1771.58,13262.18564,2021-03-17 13:00:00
1615987800000,1771.58,1773.83,1760.54,1768.88,13167.30974,2021-03-17 13:30:00
1615989600000,1768.69,1770.25,1760.36,1764.77,11104.62017,2021-03-17 14:00:00
1615991400000,1764.78,1777.83,1762.34,1767.64,18189.35151,2021-03-17 14:30:00
1615993200000,1767.64,1778.04,1758.38,1770.82,21026.19916,2021-03-17 15:00:00
1615995000000,1770.81,1775.5,1765.11,1772.79,13449.87211,2021-03-17 15:30:00
1615996800000,1772.78,1794.34,1767.19,1789.48,16360.85791,2021-03-17 16:00:00
1615998600000,1789.49,1791.6,1779.95,1785.31,8743.16382,2021-03-17 16:30:00
1616000400000,1785.26,1791.54,1783.47,1788.67,7388.88513,2021-03-17 17:00:00
1616002200000,1788.9,1794.3,1783.02,1788.93,11125.83507,2021-03-17 17:30:00
1616004000000,1788.93,1817.23,1788.93,1806.96,24941.18453,2021-03-17 18:00:00
1616005800000,1806.74,1825.0,1803.39,1821.44,26578.22415,2021-03-17 18:30:00
1616007600000,1821.45,1831.37,1817.72,1826.62,20893.69447,2021-03-17 19:00:00
1616009400000,1826.63,1838.79,1824.42,1827.36,20529.6616,2021-03-17 19:30:00
1616011200000,1827.36,1838.88,1825.78,1827.81,21806.87779,2021-03-17 20:00:00
1616013000000,1827.82,1831.0,1811.16,1814.75,19625.87597,2021-03-17 20:30:00
1616014800000,1814.99,1821.82,1809.14,1818.53,10598.56283,2021-03-17 21:00:00
1616016600000,1818.47,1829.0,1817.46,1821.39,12369.07575,2021-03-17 21:30:00
1616018400000,1821.45,1827.0,1810.0,1817.51,16065.0777,2021-03-17 22:00:00
1616020200000,1817.52,1823.03,1813.19,1815.05,13136.52358,2021-03-17 22:30:00
1616022000000,1815.19,1824.55,1814.71,1815.78,14370.97851,2021-03-17 23:00:00
1616023800000,1815.78,1826.91,1809.06,1823.58,15231.20762,2021-03-17 23:30:00
1616025600000,1823.58,1838.89,1810.72,1819.38,24829.30154,2021-03-18 00:00:00
1616027400000,1819.57,1827.92,1816.37,1818.38,12655.92912,2021-03-18 00:30:00
1616029200000,1818.39,1832.11,1818.39,1824.16,12605.37222,2021-03-18 01:00:00
1616031000000,1824.46,1833.0,1821.0,1829.69,12153.88322,2021-03-18 01:30:00
1616032800000,1829.76,1838.44,1829.42,1837.74,15077.7615,2021-03-18 02:00:00
1616034600000,1837.74,1850.0,1837.74,1840.37,19378.33275,2021-03-18 02:30:00
1616036400000,1840.29,1845.4,1830.0,1831.5,11379.2028,2021-03-18 03:00:00
1616038200000,1831.51,1837.31,1830.57,1833.66,7825.59879,2021-03-18 03:30:00
1616040000000,1833.66,1844.18,1832.6,1835.19,8926.11147,2021-03-18 04:00:00
1616041800000,1835.22,1835.22,1826.36,1829.87,10632.58235,2021-03-18 04:30:00
