time,open,high,low,close,vol,time_stamp
1615361400000,288.627,308.849,286.0,304.524,14766.547,2021-03-10 07:30:00
1615363200000,304.522,312.006,295.577,311.759,11649.38,2021-03-10 08:00:00
1615365000000,311.321,318.227,308.098,309.627,10906.198,2021-03-10 08:30:00
1615366800000,309.627,316.114,304.543,312.931,5002.922,2021-03-10 09:00:00
1615368600000,313.143,315.219,308.26,311.846,4996.665,2021-03-10 09:30:00
1615370400000,311.846,312.498,302.555,307.688,4203.691,2021-03-10 10:00:00
1615372200000,307.479,307.776,301.002,304.208,2565.182,2021-03-10 10:30:00
1615374000000,304.117,307.0,300.105,307.0,3474.617,2021-03-10 11:00:00
1615375800000,306.59,307.47,300.243,304.188,5224.808,2021-03-10 11:30:00
1615377600000,304.181,309.244,301.483,307.364,2532.436,2021-03-10 12:00:00
1615379400000,307.192,312.633,306.688,306.89,4599.904,2021-03-10 12:30:00
1615381200000,306.75,314.447,305.664,312.336,5012.912,2021-03-10 13:00:00
1615383000000,312.738,313.5,306.392,308.459,4114.347,2021-03-10 13:30:00
1615384800000,308.684,309.132,301.11,303.731,3810.171,2021-03-10 14:00:00
1615386600000,303.61,308.094,303.486,306.307,2429.84,2021-03-10 14:30:00
1615388400000,306.333,308.032,303.934,304.263,1590.084,2021-03-10 15:00:00
1615390200000,303.899,306.0,302.653,305.372,1828.401,2021-03-10 15:30:00
1615392000000,305.802,306.989,296.0,296.317,4633.892,2021-03-10 16:00:00
1615393800000,296.636,298.849,296.213,298.122,1532.822,2021-03-10 16:30:00
1615395600000,298.296,301.437,297.5,300.621,1444.93,2021-03-10 17:00:00
1615397400000,300.72,301.725,297.179,299.669,1383.235,2021-03-10 17:30:00
1615399200000,299.733,302.687,298.526,301.511,1175.522,2021-03-10 18:00:00
1615401000000,301.643,307.651,301.519,301.823,2403.913,2021-03-10 18:30:00
1615402800000,302.181,304.913,300.802,304.412,1507.534,2021-03-10 19:00:00
1615404600000,304.348,311.6,303.283,309.547,5235.874,2021-03-10 19:30:00
1615406400000,309.947,310.83,297.634,300.709,4528.653,2021-03-10 20:00:00
1615408200000,301.033,301.115,293.128,295.551,3117.529,2021-03-10 20:30:00
1615410000000,295.551,303.624,288.726,302.837,4769.03,2021-03-10 21:00:00
1615411800000,302.836,313.23,301.883,311.67,5311.238,2021-03-10 21:30:00
1615413600000,311.672,314.582,307.514,310.81,2281.588,2021-03-10 22:00:00
1615415400000,310.81,314.0,306.551,312.382,2681.069,2021-03-10 22:30:00
1615417200000,312.84,314.897,302.418,303.143,3644.593,2021-03-10 23:00:00
1615419000000,303.142,306.508,301.379,303.234,1526.227,2021-03-10 23:30:00
1615420800000,303.941,305.242,297.535,303.624,2536.177,2021-03-11 00:00:00
1615422600000,303.538,303.538,294.577,294.795,3048.235,2021-03-11 00:30:00
1615424400000,294.68,297.315,291.08,293.491,3169.385,2021-03-11 01:00:00
1615426200000,293.032,296.135,292.617,295.686,1836.622,2021-03-11 01:30:00
1615428000000,295.685,299.0,294.56,298.306,1115.447,2021-03-11 02:00:00
1615429800000,298.153,298.979,295.471,298.902,989.093,2021-03-11 02:30:00
1615431600000,298.978,300.0,297.179,297.545,836.946,2021-03-11 03:00:00
1615433400000,297.213,297.213,293.189,296.301,1708.44,2021-03-11 03:30:00
1615435200000,296.022,296.022,292.365,295.483,976.415,2021-03-11 04:00:00
1615437000000,295.053,296.553,290.514,291.328,1686.086,2021-03-11 04:30:00
1615438800000,291.323,292.0,289.621,291.47,1586.085,2021-03-11 05:00:00
1615440600000,291.47,291.769,288.2,290.378,1880.388,2021-03-11 05:30:00
1615442400000,289.871,294.061,287.033,293.942,1565.347,2021-03-11 06:00:00
1615444200000,294.06,294.845,291.238,292.55,1442.472,2021-03-11 06:30:00
1615446000000,292.387,295.017,290.526,294.965,1188.48,2021-03-11 07:00:00
1615447800000,294.7,294.871,285.3,285.87,2141.758,2021-03-11 07:30:00
1615449600000,285.528,287.128,278.0,280.027,5436.852,2021-03-11 08:00:00
1615451400000,279.844,290.352,279.651,289.644,2951.242,2021-03-11 08:30:00
1615453200000,289.478,289.478,285.268,286.222,1286.936,2021-03-11 09:00:00
1615455000000,286.079,289.205,285.088,286.472,1460.985,2021-03-11 09:30:00
1615456800000,286.833,293.611,285.888,292.224,1354.012,2021-03-11 10:00:00
1615458600000,292.538,295.998,289.66,294.614,1610.358,2021-03-11 10:30:00
1615460400000,294.611,298.071,291.847,292.821,1402.203,2021-03-11 11:00:00
1615462200000,292.786,294.879,291.906,294.879,934.466,2021-03-11 11:30:00
1615464000000,294.879,299.534,294.567,298.589,2674.053,2021-03-11 12:00:00
1615465800000,298.925,303.167,295.919,302.113,3113.296,2021-03-11 12:30:00
1615467600000,302.001,304.57,299.555,299.727,1986.358,2021-03-11 13:00:00
1615469400000,299.911,303.844,298.606,299.48,2467.693,2021-03-11 13:30:00
1615471200000,300.105,301.716,297.209,298.76,1966.645,2021-03-11 14:00:00
1615473000000,299.199,301.363,298.118,301.15,1447.624,2021-03-11 14:30:00
1615474800000,301.15,302.357,295.001,297.56,1991.471,2021-03-11 15:00:00
1615476600000,297.562,305.969,295.0,305.57,6384.129,2021-03-11 15:30:00
1615478400000,305.583,312.0,305.0,308.521,3409.888,2021-03-11 16:00:00
1615480200000,308.516,325.972,308.499,321.001,8137.428,2021-03-11 16:30:00
1615482000000,321.001,322.255,315.451,317.089,2138.189,2021-03-11 17:00:00
1615483800000,317.0,323.386,317.0,319.454,1620.471,2021-03-11 17:30:00
1615485600000,319.514,331.323,317.476,328.002,4062.711,2021-03-11 18:00:00
1615487400000,328.471,333.77,310.0,330.0,6521.174,2021-03-11 18:30:00
1615489200000,330.087,340.0,329.858,338.637,4028.69,2021-03-11 19:00:00
1615491000000,339.23,339.573,327.635,329.967,5247.685,2021-03-11 19:30:00
1615492800000,329.894,341.697,329.295,338.98,3599.855,2021-03-11 20:00:00
1615494600000,338.898,339.5,336.63,337.594,1603.008,2021-03-11 20:30:00
1615496400000,337.71,344.708,335.05,335.768,3174.494,2021-03-11 21:00:00
1615498200000,336.391,339.999,332.669,332.669,2345.631,2021-03-11 21:30:00
1615500000000,332.613,336.5,328.995,329.681,2531.617,2021-03-11 22:00:00
1615501800000,329.681,331.748,322.896,325.469,3611.089,2021-03-11 22:30:00
1615503600000,325.622,327.963,324.781,326.191,1869.985,2021-03-11 23:00:00
1615505400000,325.663,336.0,325.0,329.899,4856.07,2021-03-11 23:30:00
1615507200000,330.03,332.618,321.721,322.338,2654.849,2021-03-12 00:00:00
1615509000000,322.521,326.25,320.36,325.809,2231.205,2021-03-12 00:30:00
1615510800000,326.331,331.508,324.188,330.195,1693.805,2021-03-12 01:00:00
1615512600000,330.068,333.468,328.239,328.903,2356.371,2021-03-12 01:30:00
1615514400000,329.244,333.841,327.57,331.746,1748.737,2021-03-12 02:00:00
1615516200000,331.817,336.0,329.722,333.355,1397.864,2021-03-12 02:30:00
1615518000000,332.804,333.331,327.17,328.485,1744.752,2021-03-12 03:00:00
1615519800000,328.44,329.617,325.123,326.8,1098.779,2021-03-12 03:30:00
1615521600000,326.632,327.0,322.851,322.874,1898.593,2021-03-12 04:00:00
1615523400000,322.874,325.673,322.525,324.764,639.61,2021-03-12 04:30:00
1615525200000,324.703,326.992,322.2,326.808,1268.462,2021-03-12 05:00:00
1615527000000,326.677,329.268,326.099,328.171,2312.072,2021-03-12 05:30:00
1615528800000,328.505,332.596,328.172,328.733,2286.131,2021-03-12 06:00:00
1615530600000,328.21,331.167,325.873,326.422,1892.528,2021-03-12 06:30:00
1615532400000,325.843,326.359,320.467,323.998,2526.648,2021-03-12 07:00:00
1615534200000,323.416,325.644,323.1,325.0,1323.019,2021-03-12 07:30:00
1615536000000,324.509,326.643,322.149,324.48,1622.588,2021-03-12 08:00:00
1615537800000,324.477,329.362,323.91,327.105,2098.308,2021-03-12 08:30:00
1615539600000,326.823,328.468,323.865,326.292,1196.663,2021-03-12 09:00:00
1615541400000,326.307,327.0,321.624,322.334,1147.688,2021-03-12 09:30:00
1615543200000,322.176,322.39,311.687,312.922,3601.374,2021-03-12 10:00:00
1615545000000,312.185,324.932,311.808,324.932,2705.615,2021-03-12 10:30:00
1615546800000,324.659,327.462,322.171,324.659,2640.335,2021-03-12 11:00:00
1615548600000,324.165,325.489,317.601,320.226,1331.035,2021-03-12 11:30:00
1615550400000,320.227,323.128,316.122,319.169,2030.715,2021-03-12 12:00:00
1615552200000,319.575,319.651,315.538,317.887,921.268,2021-03-12 12:30:00
1615554000000,317.881,317.881,302.287,306.821,5571.526,2021-03-12 13:00:00
1615555800000,307.082,316.556,306.199,312.426,3570.272,2021-03-12 13:30:00
1615557600000,312.759,315.448,306.386,312.911,1858.282,2021-03-12 14:00:00
1615559400000,313.224,316.391,310.312,316.0,1666.367,2021-03-12 14:30:00
1615561200000,316.261,319.995,313.292,317.06,1950.903,2021-03-12 15:00:00
