time,open,high,low,close,vol,time_stamp
1616421600000,196.71,198.55,195.0,195.84,25287.07791,2021-03-22 14:00:00
1616423400000,195.83,197.8,195.36,197.45,14488.86309,2021-03-22 14:30:00
1616425200000,197.46,197.94,196.27,197.27,9881.27216,2021-03-22 15:00:00
1616427000000,197.27,197.48,196.27,196.46,6591.4474,2021-03-22 15:30:00
1616428800000,196.48,197.19,195.21,195.44,11357.63711,2021-03-22 16:00:00
1616430600000,195.44,195.67,193.35,195.16,24396.93246,2021-03-22 16:30:00
1616432400000,195.16,195.3,194.42,195.09,6449.11941,2021-03-22 17:00:00
1616434200000,195.1,196.84,195.02,196.05,11385.82438,2021-03-22 17:30:00
1616436000000,196.09,196.41,195.66,195.99,6780.55069,2021-03-22 18:00:00
1616437800000,196.01,196.01,194.88,195.72,8480.34797,2021-03-22 18:30:00
1616439600000,195.71,195.94,192.19,192.69,21770.38969,2021-03-22 19:00:00
1616441400000,192.7,194.36,192.51,192.69,9392.67324,2021-03-22 19:30:00
1616443200000,192.67,193.65,191.79,192.67,11498.07371,2021-03-22 20:00:00
1616445000000,192.66,192.68,185.47,186.16,62142.32962,2021-03-22 20:30:00
1616446800000,186.21,188.65,184.94,186.6,23931.86152,2021-03-22 21:00:00
1616448600000,186.58,188.71,185.96,187.54,20914.67239,2021-03-22 21:30:00
1616450400000,187.46,187.84,184.42,186.79,26254.15193,2021-03-22 22:00:00
1616452200000,186.79,187.66,185.56,187.43,13246.46666,2021-03-22 22:30:00
1616454000000,187.45,188.29,186.12,186.61,15866.94696,2021-03-22 23:00:00
1616455800000,186.62,187.63,185.5,185.67,12976.29495,2021-03-22 23:30:00
1616457600000,185.69,187.73,184.61,186.65,19106.76374,2021-03-23 00:00:00
1616459400000,186.62,187.6,186.05,187.44,10775.38049,2021-03-23 00:30:00
1616461200000,187.44,187.96,186.65,187.57,8611.15097,2021-03-23 01:00:00
1616463000000,187.58,188.77,187.51,188.03,15556.14219,2021-03-23 01:30:00
1616464800000,188.03,188.16,186.65,186.85,16525.3119,2021-03-23 02:00:00
1616466600000,186.86,189.44,186.79,187.42,16374.56857,2021-03-23 02:30:00
1616468400000,187.44,187.94,186.79,187.24,9535.74495,2021-03-23 03:00:00
1616470200000,187.26,188.45,186.15,188.35,14107.43148,2021-03-23 03:30:00
1616472000000,188.37,188.79,186.59,186.91,10499.69884,2021-03-23 04:00:00
1616473800000,186.91,188.93,186.27,187.8,9907.55829,2021-03-23 04:30:00
1616475600000,187.79,187.96,184.5,185.32,21323.30037,2021-03-23 05:00:00
1616477400000,185.32,186.43,184.83,185.86,17701.01488,2021-03-23 05:30:00
1616479200000,185.82,185.99,182.61,185.21,30818.89581,2021-03-23 06:00:00
