time,open,high,low,close,vol,time_stamp
1577966400000,0.1918,0.196,0.1915,0.1939,992311.08,2020-01-02 12:00:00
1577980800000,0.1939,0.1943,0.1822,0.1848,2895020.77,2020-01-02 16:00:00
1577995200000,0.1848,0.1849,0.1814,0.1827,1194664.32,2020-01-02 20:00:00
1578009600000,0.1825,0.1828,0.179,0.1816,1271212.26,2020-01-03 00:00:00
1578024000000,0.1816,0.1887,0.1814,0.1865,3082176.57,2020-01-03 04:00:00
1578038400000,0.187,0.1927,0.1862,0.1908,1470660.54,2020-01-03 08:00:00
1578052800000,0.191,0.191,0.184,0.1882,4307770.32,2020-01-03 12:00:00
1578067200000,0.1878,0.1898,0.1868,0.1883,2334727.77,2020-01-03 16:00:00
1578081600000,0.1884,0.1889,0.1845,0.1865,997962.63,2020-01-03 20:00:00
1578096000000,0.1865,0.1868,0.1831,0.1841,627398.03,2020-01-04 00:00:00
1578110400000,0.1846,0.19,0.184,0.1884,762702.67,2020-01-04 04:00:00
1578124800000,0.1886,0.1888,0.1856,0.1875,596092.03,2020-01-04 08:00:00
1578139200000,0.188,0.1885,0.1867,0.188,249348.12,2020-01-04 12:00:00
1578153600000,0.188,0.1893,0.1861,0.1875,993498.71,2020-01-04 16:00:00
1578168000000,0.1875,0.189,0.1866,0.1883,329778.06,2020-01-04 20:00:00
1578182400000,0.1883,0.1928,0.1882,0.1915,938786.54,2020-01-05 00:00:00
1578196800000,0.1915,0.1919,0.1881,0.1894,566545.43,2020-01-05 04:00:00
1578211200000,0.1892,0.1896,0.1871,0.1889,373232.12,2020-01-05 08:00:00
1578225600000,0.1893,0.1921,0.1892,0.1914,471236.54,2020-01-05 12:00:00
1578240000000,0.1917,0.1919,0.1888,0.1908,875526.32,2020-01-05 16:00:00
1578254400000,0.1903,0.1908,0.1845,0.1874,1296001.15,2020-01-05 20:00:00
1578268800000,0.1876,0.1926,0.1872,0.191,759857.32,2020-01-06 00:00:00
1578283200000,0.1906,0.1926,0.1901,0.1903,321153.63,2020-01-06 04:00:00
1578297600000,0.1905,0.1963,0.1902,0.1932,1748775.98,2020-01-06 08:00:00
1578312000000,0.193,0.196,0.1869,0.1904,1838079.5,2020-01-06 12:00:00
1578326400000,0.1906,0.192,0.1888,0.1899,507804.58,2020-01-06 16:00:00
1578340800000,0.19,0.1927,0.189,0.1915,1004461.37,2020-01-06 20:00:00
1578355200000,0.1918,0.1959,0.1906,0.1945,1168825.89,2020-01-07 00:00:00
1578369600000,0.1947,0.1948,0.1906,0.1948,579781.57,2020-01-07 04:00:00
1578384000000,0.1943,0.198,0.1934,0.1941,1078403.26,2020-01-07 08:00:00
1578398400000,0.1944,0.1969,0.1916,0.193,1845298.1,2020-01-07 12:00:00
1578412800000,0.1932,0.1973,0.1917,0.1935,1562949.92,2020-01-07 16:00:00
1578427200000,0.193,0.1952,0.1921,0.1922,1017787.68,2020-01-07 20:00:00
1578441600000,0.1927,0.1956,0.1915,0.1929,1187730.43,2020-01-08 00:00:00
1578456000000,0.1929,0.195,0.1917,0.1923,748223.66,2020-01-08 04:00:00
1578470400000,0.1916,0.1945,0.1915,0.1915,857704.1,2020-01-08 08:00:00
1578484800000,0.192,0.1948,0.1891,0.1909,1966371.72,2020-01-08 12:00:00
1578499200000,0.1913,0.192,0.1846,0.1851,1713864.44,2020-01-08 16:00:00
1578513600000,0.185,0.187,0.1816,0.1828,1746098.7,2020-01-08 20:00:00
1578528000000,0.1827,0.1849,0.1812,0.1818,1128882.51,2020-01-09 00:00:00
1578542400000,0.1821,0.1846,0.1806,0.1835,796260.47,2020-01-09 04:00:00
1578556800000,0.1834,0.1854,0.1817,0.1825,913443.05,2020-01-09 08:00:00
1578571200000,0.1822,0.1894,0.182,0.1863,1189356.28,2020-01-09 12:00:00
1578585600000,0.1866,0.187,0.1838,0.1856,520774.4,2020-01-09 16:00:00
1578600000000,0.1857,0.1874,0.1822,0.1851,441287.65,2020-01-09 20:00:00
1578614400000,0.1848,0.1855,0.1824,0.1845,329303.08,2020-01-10 00:00:00
1578628800000,0.1848,0.1852,0.1822,0.1841,399239.59,2020-01-10 04:00:00
1578643200000,0.1841,0.1845,0.1817,0.1835,796872.27,2020-01-10 08:00:00
1578657600000,0.1838,0.1876,0.1828,0.1865,1021227.75,2020-01-10 12:00:00
1578672000000,0.1862,0.1879,0.1841,0.1868,902922.7,2020-01-10 16:00:00
