time,open,high,low,close,vol,time_stamp
1531915200000,13.6513,13.8071,13.5742,13.6612,416142.93,2018-07-18 12:00:00
1531929600000,13.6612,13.762,13.0507,13.17,432481.84,2018-07-18 16:00:00
1531944000000,13.1689,13.179,12.65,12.8574,422231.32,2018-07-18 20:00:00
1531958400000,12.8575,12.975,12.7161,12.8868,292380.57,2018-07-19 00:00:00
1531972800000,12.889,12.973,12.807,12.8341,128708.39,2018-07-19 04:00:00
1531987200000,12.834,13.3776,12.8001,13.2634,510831.77,2018-07-19 08:00:00
1532001600000,13.2626,13.3399,12.9356,13.0604,353244.91,2018-07-19 12:00:00
1532016000000,13.0604,13.1,12.7504,12.7743,213728.51,2018-07-19 16:00:00
1532030400000,12.7625,13.0186,12.75,12.955,161034.29,2018-07-19 20:00:00
1532044800000,12.955,13.039,12.7618,12.7868,278548.95,2018-07-20 00:00:00
1532059200000,12.8003,12.88,12.3003,12.417,242067.72,2018-07-20 04:00:00
1532073600000,12.417,12.56,12.3402,12.505,178297.7,2018-07-20 08:00:00
1532088000000,12.505,12.5398,12.16,12.2197,193808.04,2018-07-20 12:00:00
1532102400000,12.2322,12.4506,11.8254,11.9193,469343.15,2018-07-20 16:00:00
1532116800000,11.895,12.0914,11.821,12.0798,138704.93,2018-07-20 20:00:00
1532131200000,12.0701,12.1264,11.8087,12.025,152737.69,2018-07-21 00:00:00
1532145600000,12.0396,12.1498,11.9865,12.0569,124271.55,2018-07-21 04:00:00
1532160000000,12.0568,12.1384,11.9052,11.9882,100670.0,2018-07-21 08:00:00
1532174400000,12.0029,12.1897,11.94,12.1403,103288.75,2018-07-21 12:00:00
1532188800000,12.1486,12.4487,12.0901,12.345,255202.46,2018-07-21 16:00:00
1532203200000,12.345,12.4933,12.0761,12.1959,225831.7,2018-07-21 20:00:00
1532217600000,12.1655,12.3306,12.0867,12.1803,85193.6,2018-07-22 00:00:00
1532232000000,12.1779,12.3199,12.0866,12.1585,137098.64,2018-07-22 04:00:00
1532246400000,12.1584,12.2772,12.1566,12.2154,83156.38,2018-07-22 08:00:00
1532260800000,12.2219,12.3199,12.14,12.238,151058.15,2018-07-22 12:00:00
1532275200000,12.238,12.2799,12.151,12.2059,97470.03,2018-07-22 16:00:00
1532289600000,12.2142,12.35,11.9257,12.1885,163154.2,2018-07-22 20:00:00
1532304000000,12.1594,12.4,12.0671,12.273,152526.93,2018-07-23 00:00:00
1532318400000,12.28,12.3765,12.1639,12.1856,148819.35,2018-07-23 04:00:00
1532332800000,12.1855,12.2373,11.95,12.01,178072.99,2018-07-23 08:00:00
1532347200000,12.01,12.0975,11.95,12.0538,141267.1,2018-07-23 12:00:00
1532361600000,12.0535,12.0841,11.91,11.9384,125342.62,2018-07-23 16:00:00
1532376000000,11.9621,12.14,11.9,12.0348,100051.32,2018-07-23 20:00:00
1532390400000,12.0348,12.1479,11.8523,11.8988,197841.39,2018-07-24 00:00:00
1532404800000,11.8929,12.1911,11.6358,12.1098,375624.51,2018-07-24 04:00:00
1532419200000,12.1097,12.12,11.845,11.9529,223759.87,2018-07-24 08:00:00
1532433600000,11.9527,12.22,11.8269,12.1285,401086.71,2018-07-24 12:00:00
1532448000000,12.1285,12.289,12.0743,12.2391,154439.2,2018-07-24 16:00:00
1532462400000,12.2391,12.2398,12.07,12.1469,117378.71,2018-07-24 20:00:00
1532476800000,12.1469,12.7405,12.1111,12.6502,404582.92,2018-07-25 00:00:00
1532491200000,12.6541,13.35,12.5666,13.0422,565077.98,2018-07-25 04:00:00
1532505600000,13.0421,13.5136,12.925,12.9784,638633.41,2018-07-25 08:00:00
1532520000000,12.9781,13.3224,12.85,13.0517,315163.94,2018-07-25 12:00:00
1532534400000,13.0226,13.09,12.7535,12.9409,226810.1,2018-07-25 16:00:00
1532548800000,12.9302,13.062,12.7228,13.0048,236807.56,2018-07-25 20:00:00
1532563200000,13.0448,13.234,12.9008,13.0666,225048.87,2018-07-26 00:00:00
1532577600000,13.0672,13.2011,12.92,13.1001,237844.02,2018-07-26 04:00:00
1532592000000,13.1414,13.1998,12.9777,13.0202,220605.09,2018-07-26 08:00:00
1532606400000,13.024,13.6397,12.95,13.5288,524616.83,2018-07-26 12:00:00
1532620800000,13.5286,13.5354,13.2711,13.4949,254236.01,2018-07-26 16:00:00
1532635200000,13.4656,13.5,13.01,13.3283,585687.88,2018-07-26 20:00:00
1532649600000,13.3435,13.4696,13.0383,13.26,343236.62,2018-07-27 00:00:00
1532664000000,13.24,13.5981,13.2399,13.53,171546.1,2018-07-27 04:00:00
1532678400000,13.53,13.82,13.4908,13.82,269505.86,2018-07-27 08:00:00
1532692800000,13.8199,13.87,13.41,13.7215,436044.56,2018-07-27 12:00:00
1532707200000,13.7443,13.9695,13.7088,13.87,288526.54,2018-07-27 16:00:00
1532721600000,13.8798,14.0845,13.81,13.9919,359852.44,2018-07-27 20:00:00
1532736000000,13.9902,14.088,13.72,13.9602,245782.21,2018-07-28 00:00:00
1532750400000,13.9602,14.53,13.9417,14.3731,489915.41,2018-07-28 04:00:00
1532764800000,14.3732,14.8886,14.301,14.5242,680107.21,2018-07-28 08:00:00
1532779200000,14.5242,14.877,14.5045,14.8738,357898.41,2018-07-28 12:00:00
1532793600000,14.8731,14.88,14.35,14.464,334314.87,2018-07-28 16:00:00
1532808000000,14.4641,14.7,14.4264,14.669,83507.93,2018-07-28 20:00:00
1532822400000,14.6415,14.7512,14.146,14.4085,314835.6,2018-07-29 00:00:00
1532836800000,14.4085,14.49,14.2208,14.3857,94237.38,2018-07-29 04:00:00
1532851200000,14.3724,14.5724,13.8849,13.9887,461825.58,2018-07-29 08:00:00
1532865600000,13.9922,14.0721,13.666,13.77,351751.45,2018-07-29 12:00:00
1532880000000,13.77,14.1057,13.7,14.0769,207016.67,2018-07-29 16:00:00
1532894400000,14.077,14.3,13.861,13.9569,197871.22,2018-07-29 20:00:00
1532908800000,13.9353,13.9724,13.53,13.6853,309212.28,2018-07-30 00:00:00
1532923200000,13.6878,13.73,13.4501,13.5556,115440.79,2018-07-30 04:00:00
1532937600000,13.5556,13.84,13.5556,13.7055,112360.42,2018-07-30 08:00:00
1532952000000,13.7055,13.724,13.2016,13.39,254251.99,2018-07-30 12:00:00
1532966400000,13.39,13.4147,13.0,13.1978,300217.75,2018-07-30 16:00:00
1532980800000,13.1969,13.29,13.0688,13.1666,122828.67,2018-07-30 20:00:00
1532995200000,13.2057,13.3,13.0232,13.0625,70080.58,2018-07-31 00:00:00
1533009600000,13.0501,13.423,13.001,13.405,158554.54,2018-07-31 04:00:00
1533024000000,13.41,13.5115,13.2315,13.45,287009.38,2018-07-31 08:00:00
1533038400000,13.4031,13.86,13.4,13.7528,673179.35,2018-07-31 12:00:00
1533052800000,13.7598,13.8403,13.4,13.5988,340374.72,2018-07-31 16:00:00
1533067200000,13.5801,14.1,13.5301,13.8369,379271.01,2018-07-31 20:00:00
1533081600000,13.8384,14.1,13.67,13.67,367981.17,2018-08-01 00:00:00
1533096000000,13.67,13.6991,13.1725,13.4958,489771.31,2018-08-01 04:00:00
1533110400000,13.47,13.6476,13.2864,13.6351,227727.92,2018-08-01 08:00:00
1533124800000,13.6351,13.6399,13.43,13.5199,141183.71,2018-08-01 12:00:00
1533139200000,13.5199,13.5486,13.396,13.5294,85542.05,2018-08-01 16:00:00
1533153600000,13.5293,13.6962,13.38,13.6666,123952.62,2018-08-01 20:00:00
1533168000000,13.6481,13.8256,13.5675,13.6174,234229.88,2018-08-02 00:00:00
1533182400000,13.6173,13.62,13.364,13.364,122617.08,2018-08-02 04:00:00
1533196800000,13.3645,13.78,13.364,13.6128,268764.05,2018-08-02 08:00:00
1533211200000,13.612,13.6799,13.3861,13.5163,189049.72,2018-08-02 12:00:00
1533225600000,13.5163,13.5498,13.3844,13.4814,88403.76,2018-08-02 16:00:00
1533240000000,13.4816,14.1999,13.4203,14.15,317280.95,2018-08-02 20:00:00
1533254400000,14.1302,14.163,13.55,13.9801,600120.23,2018-08-03 00:00:00
1533268800000,13.9881,14.0794,13.7411,13.9679,317539.75,2018-08-03 04:00:00
1533283200000,13.9404,14.101,13.8349,14.0098,268408.46,2018-08-03 08:00:00
1533297600000,13.9971,14.05,13.888,13.9132,215536.44,2018-08-03 12:00:00
1533312000000,13.92,14.18,13.87,14.0159,199969.53,2018-08-03 16:00:00
1533326400000,14.0158,14.15,13.9156,14.1251,114531.83,2018-08-03 20:00:00
1533340800000,14.1251,14.1399,13.9505,13.9641,100782.54,2018-08-04 00:00:00
1533355200000,13.9642,14.199,13.9512,14.0428,251493.4,2018-08-04 04:00:00
1533369600000,14.0248,14.47,14.0232,14.41,397609.33,2018-08-04 08:00:00
1533384000000,14.4052,14.4497,13.693,13.7109,507435.81,2018-08-04 12:00:00
1533398400000,13.7108,13.8117,13.5642,13.6432,203619.03,2018-08-04 16:00:00
1533412800000,13.6662,13.9469,13.55,13.8663,214388.51,2018-08-04 20:00:00
1533427200000,13.8663,13.9175,13.6023,13.8528,220620.97,2018-08-05 00:00:00
1533441600000,13.887,13.9499,13.3699,13.4059,267715.83,2018-08-05 04:00:00
1533456000000,13.3805,13.5523,13.2224,13.4967,243745.38,2018-08-05 08:00:00
1533470400000,13.5148,13.69,13.3501,13.439,206184.51,2018-08-05 12:00:00
1533484800000,13.4389,13.5971,13.4036,13.5971,103970.49,2018-08-05 16:00:00
1533499200000,13.593,13.72,13.5275,13.64,139285.8,2018-08-05 20:00:00
1533513600000,13.6407,13.7689,13.4688,13.7466,175965.92,2018-08-06 00:00:00
1533528000000,13.7417,13.975,13.67,13.7534,215657.59,2018-08-06 04:00:00
1533542400000,13.75,13.77,13.575,13.6197,146321.17,2018-08-06 08:00:00
1533556800000,13.6006,13.7998,13.4902,13.6796,322668.99,2018-08-06 12:00:00
1533571200000,13.6795,13.7488,13.5202,13.6124,265502.75,2018-08-06 16:00:00
1533585600000,13.6291,13.6999,13.47,13.6998,275536.8,2018-08-06 20:00:00
1533600000000,13.6988,13.7499,13.515,13.5603,181265.68,2018-08-07 00:00:00
1533614400000,13.5376,13.6977,13.4839,13.5311,114559.96,2018-08-07 04:00:00
1533628800000,13.56,13.85,13.5225,13.7639,223934.95,2018-08-07 08:00:00
1533643200000,13.7438,13.7997,13.6254,13.6565,132418.3,2018-08-07 12:00:00
1533657600000,13.68,13.6995,13.5404,13.6499,129112.47,2018-08-07 16:00:00
1533672000000,13.6432,13.6798,13.0735,13.1488,357485.47,2018-08-07 20:00:00
1533686400000,13.1486,13.1688,12.76,12.8065,212720.41,2018-08-08 00:00:00
1533700800000,12.8226,12.8436,12.2907,12.3892,284888.72,2018-08-08 04:00:00
1533715200000,12.3892,12.5135,12.25,12.4635,126220.21,2018-08-08 08:00:00
1533729600000,12.4445,12.4861,12.033,12.4257,320399.71,2018-08-08 12:00:00
1533744000000,12.4303,12.5291,11.95,12.0647,414107.13,2018-08-08 16:00:00
1533758400000,12.0644,12.1935,11.9535,12.1489,119494.38,2018-08-08 20:00:00
1533772800000,12.1489,12.1748,12.0408,12.0776,106221.71,2018-08-09 00:00:00
1533787200000,12.0777,12.4321,12.0601,12.4321,148842.49,2018-08-09 04:00:00
1533801600000,12.4019,12.601,12.2755,12.4489,281822.49,2018-08-09 08:00:00
1533816000000,12.4253,12.6157,12.1566,12.5125,362531.18,2018-08-09 12:00:00
1533830400000,12.5091,12.56,12.401,12.5054,112010.72,2018-08-09 16:00:00
1533844800000,12.5201,12.8769,12.4855,12.7654,380655.9,2018-08-09 20:00:00
1533859200000,12.7698,12.8249,12.5177,12.588,289361.74,2018-08-10 00:00:00
1533873600000,12.5881,12.7001,12.47,12.68,215882.45,2018-08-10 04:00:00
1533888000000,12.6998,12.7159,12.26,12.3279,220482.75,2018-08-10 08:00:00
1533902400000,12.3279,12.6278,12.305,12.544,183142.0,2018-08-10 12:00:00
1533916800000,12.54,12.5439,12.3222,12.3711,55869.67,2018-08-10 16:00:00
1533931200000,12.3711,12.3712,11.6912,12.1472,357010.32,2018-08-10 20:00:00
1533945600000,12.1387,12.1666,11.8502,11.9398,178452.59,2018-08-11 00:00:00
1533960000000,11.9397,12.0222,11.68,11.8001,142116.91,2018-08-11 04:00:00
1533974400000,11.8133,11.8666,11.7,11.7291,68877.69,2018-08-11 08:00:00
1533988800000,11.7293,11.7595,11.51,11.5868,154347.96,2018-08-11 12:00:00
1534003200000,11.5822,11.9236,11.3,11.7889,264675.91,2018-08-11 16:00:00
1534017600000,11.7888,11.8344,11.45,11.6972,142735.55,2018-08-11 20:00:00
1534032000000,11.69,11.7823,11.5,11.627,87989.11,2018-08-12 00:00:00
1534046400000,11.6274,11.7614,11.5239,11.6634,128095.21,2018-08-12 04:00:00
1534060800000,11.6978,11.8735,11.6582,11.8123,91484.41,2018-08-12 08:00:00
1534075200000,11.8121,11.8121,11.3503,11.5611,202926.74,2018-08-12 12:00:00
1534089600000,11.561,11.8327,11.527,11.7176,191476.71,2018-08-12 16:00:00
1534104000000,11.7166,11.7999,11.5399,11.7999,125669.62,2018-08-12 20:00:00
1534118400000,11.7999,11.8899,11.6114,11.776,171064.73,2018-08-13 00:00:00
1534132800000,11.7891,11.835,11.6,11.7,158816.63,2018-08-13 04:00:00
1534147200000,11.6999,11.88,11.659,11.675,116448.29,2018-08-13 08:00:00
1534161600000,11.6749,11.746,11.3628,11.4501,149293.23,2018-08-13 12:00:00
1534176000000,11.4323,11.5599,10.532,10.6001,416988.0,2018-08-13 16:00:00
1534190400000,10.6001,10.645,10.11,10.2576,250700.12,2018-08-13 20:00:00
1534204800000,10.293,10.3285,8.5318,9.32,712094.34,2018-08-14 00:00:00
1534219200000,9.32,9.4319,8.915,9.2198,279849.81,2018-08-14 04:00:00
1534233600000,9.1972,9.2711,8.756,8.8796,115179.46,2018-08-14 08:00:00
1534248000000,8.8791,9.2692,8.6509,9.0144,354105.37,2018-08-14 12:00:00
1534262400000,9.0144,9.2,8.7948,9.1812,152280.14,2018-08-14 16:00:00
1534276800000,9.1812,9.46,8.9939,9.3999,165117.9,2018-08-14 20:00:00
1534291200000,9.3999,10.65,9.3458,10.1141,685368.75,2018-08-15 00:00:00
1534305600000,10.1498,10.1808,9.6345,10.083,254496.52,2018-08-15 04:00:00
1534320000000,10.0993,10.2664,9.7824,9.9812,205850.94,2018-08-15 08:00:00
1534334400000,9.982,10.189,9.7082,10.0299,305162.32,2018-08-15 12:00:00
1534348800000,10.0299,10.26,9.8,9.8246,338127.58,2018-08-15 16:00:00
1534363200000,9.8397,9.8548,9.3328,9.5049,267696.97,2018-08-15 20:00:00
1534377600000,9.5048,9.5999,9.3703,9.5189,143508.51,2018-08-16 00:00:00
1534392000000,9.5188,9.7052,9.3549,9.6456,121861.9,2018-08-16 04:00:00
1534406400000,9.6595,9.8734,9.6322,9.8263,160369.12,2018-08-16 08:00:00
1534420800000,9.8263,9.96,9.6,9.8197,209461.79,2018-08-16 12:00:00
1534435200000,9.8197,10.0,9.75,9.9405,133691.04,2018-08-16 16:00:00
1534449600000,9.9268,9.9537,9.523,9.7888,246126.11,2018-08-16 20:00:00
1534464000000,9.7779,10.2205,9.7008,10.2059,239409.57,2018-08-17 00:00:00
1534478400000,10.2059,10.337,10.0021,10.1177,255385.04,2018-08-17 04:00:00
1534492800000,10.1177,10.22,9.95,10.1298,142700.62,2018-08-17 08:00:00
1534507200000,10.12,10.18,10.0244,10.1408,120896.99,2018-08-17 12:00:00
1534521600000,10.1489,10.45,10.13,10.2898,294439.02,2018-08-17 16:00:00
1534536000000,10.2895,10.88,10.2013,10.88,290799.19,2018-08-17 20:00:00
1534550400000,10.8766,10.98,10.3548,10.483,286133.48,2018-08-18 00:00:00
1534564800000,10.483,10.575,10.001,10.1466,187072.05,2018-08-18 04:00:00
1534579200000,10.1457,10.4661,10.1192,10.3786,98375.41,2018-08-18 08:00:00
1534593600000,10.3666,10.4685,9.5872,9.7391,285685.17,2018-08-18 12:00:00
1534608000000,9.7391,9.8,9.4518,9.753,164132.25,2018-08-18 16:00:00
1534622400000,9.753,10.008,9.6371,9.8807,108308.77,2018-08-18 20:00:00
1534636800000,9.8807,9.9205,9.6501,9.7498,53310.57,2018-08-19 00:00:00
1534651200000,9.7369,9.9099,9.7112,9.8,44154.91,2018-08-19 04:00:00
1534665600000,9.8096,10.25,9.8009,10.1576,171462.63,2018-08-19 08:00:00
1534680000000,10.1576,10.2999,9.9448,10.1096,246638.13,2018-08-19 12:00:00
1534694400000,10.1074,10.139,9.8201,9.9658,180913.99,2018-08-19 16:00:00
1534708800000,9.9727,10.199,9.8687,10.1388,204179.56,2018-08-19 20:00:00
1534723200000,10.1304,10.2081,10.0001,10.073,87779.89,2018-08-20 00:00:00
1534737600000,10.0614,10.0748,9.9,9.97,70075.86,2018-08-20 04:00:00
1534752000000,9.97,9.97,9.7001,9.8699,161365.52,2018-08-20 08:00:00
1534766400000,9.8521,9.89,9.653,9.8114,141610.12,2018-08-20 12:00:00
1534780800000,9.8109,9.939,9.7532,9.7599,60944.59,2018-08-20 16:00:00
1534795200000,9.7599,9.827,9.5505,9.6377,153409.08,2018-08-20 20:00:00
1534809600000,9.6377,9.6817,9.5501,9.5999,62532.2,2018-08-21 00:00:00
1534824000000,9.5971,9.7769,9.51,9.74,66916.7,2018-08-21 04:00:00
1534838400000,9.7498,9.8499,9.6742,9.7005,59044.1,2018-08-21 08:00:00
1534852800000,9.7121,9.7687,9.37,9.4997,133819.39,2018-08-21 12:00:00
1534867200000,9.4906,9.6249,9.3526,9.5399,75112.21,2018-08-21 16:00:00
1534881600000,9.5582,9.7441,9.499,9.7399,69593.97,2018-08-21 20:00:00
1534896000000,9.7396,10.25,9.5777,10.1708,374754.73,2018-08-22 00:00:00
1534910400000,10.186,10.1966,9.9064,9.9455,87339.69,2018-08-22 04:00:00
1534924800000,9.9697,9.9963,9.8109,9.9107,52567.89,2018-08-22 08:00:00
1534939200000,9.9107,9.978,9.7362,9.7364,99908.49,2018-08-22 12:00:00
1534953600000,9.7527,9.7999,9.4001,9.4942,144262.09,2018-08-22 16:00:00
1534968000000,9.4942,9.65,9.1803,9.5888,175072.16,2018-08-22 20:00:00
1534982400000,9.5105,9.644,9.3201,9.4909,123499.58,2018-08-23 00:00:00
1534996800000,9.4993,9.5583,9.3965,9.54,65991.92,2018-08-23 04:00:00
1535011200000,9.54,9.5638,9.389,9.4216,48143.83,2018-08-23 08:00:00
1535025600000,9.4216,9.6135,9.3802,9.5364,72794.2,2018-08-23 12:00:00
1535040000000,9.5383,9.704,9.49,9.558,169572.04,2018-08-23 16:00:00
1535054400000,9.57,9.7881,9.5201,9.7587,172573.28,2018-08-23 20:00:00
1535068800000,9.7475,9.79,9.6081,9.6234,53054.64,2018-08-24 00:00:00
1535083200000,9.6292,9.712,9.61,9.6368,35196.56,2018-08-24 04:00:00
1535097600000,9.6395,9.8682,9.55,9.8,123488.56,2018-08-24 08:00:00
1535112000000,9.8,10.0299,9.658,9.979,234064.49,2018-08-24 12:00:00
1535126400000,10.0096,10.1,9.8645,10.0407,198789.77,2018-08-24 16:00:00
1535140800000,10.0412,10.2313,9.9522,10.2038,137622.92,2018-08-24 20:00:00
1535155200000,10.2037,10.258,9.9115,10.1,184888.39,2018-08-25 00:00:00
1535169600000,10.1,10.1448,9.9402,9.9672,78135.01,2018-08-25 04:00:00
1535184000000,9.9673,10.0564,9.9543,10.0205,40940.45,2018-08-25 08:00:00
1535198400000,10.0324,10.12,9.9552,10.0974,69508.6,2018-08-25 12:00:00
1535212800000,10.0992,10.3,10.04,10.2137,108058.46,2018-08-25 16:00:00
