time,open,high,low,close,vol,time_stamp
1578038400000,2.5397,2.6267,2.5372,2.6073,2314145.54,2020-01-03 08:00:00
1578052800000,2.6085,2.6472,2.5878,2.6287,1193335.09,2020-01-03 12:00:00
1578067200000,2.6295,2.6649,2.6051,2.6463,1437147.82,2020-01-03 16:00:00
1578081600000,2.6459,2.6549,2.6202,2.6396,724003.88,2020-01-03 20:00:00
1578096000000,2.6425,2.6491,2.6168,2.6357,435983.54,2020-01-04 00:00:00
1578110400000,2.6336,2.6621,2.6273,2.6504,699933.17,2020-01-04 04:00:00
1578124800000,2.6504,2.6579,2.6256,2.645,598978.68,2020-01-04 08:00:00
1578139200000,2.6439,2.6467,2.6232,2.6398,374355.03,2020-01-04 12:00:00
1578153600000,2.6393,2.664,2.6239,2.6399,1143394.58,2020-01-04 16:00:00
1578168000000,2.639,2.6519,2.6327,2.6481,323141.02,2020-01-04 20:00:00
1578182400000,2.648,2.7046,2.6461,2.6982,1059581.87,2020-01-05 00:00:00
1578196800000,2.6985,2.7067,2.6739,2.6891,391531.06,2020-01-05 04:00:00
1578211200000,2.69,2.6904,2.6595,2.6776,405451.5,2020-01-05 08:00:00
1578225600000,2.6775,2.7698,2.6736,2.7533,1635122.71,2020-01-05 12:00:00
1578240000000,2.7533,2.7759,2.7338,2.7463,915738.81,2020-01-05 16:00:00
1578254400000,2.7476,2.7493,2.6633,2.6865,827656.27,2020-01-05 20:00:00
1578268800000,2.6845,2.7691,2.6786,2.7654,1473747.95,2020-01-06 00:00:00
1578283200000,2.7653,2.79,2.744,2.7502,998032.99,2020-01-06 04:00:00
1578297600000,2.7502,2.8139,2.7488,2.7862,1411701.54,2020-01-06 08:00:00
1578312000000,2.7859,2.8201,2.7293,2.7653,1775696.1,2020-01-06 12:00:00
1578326400000,2.7641,2.8106,2.7546,2.8051,984274.6,2020-01-06 16:00:00
1578340800000,2.8044,2.8602,2.8012,2.8506,1316536.26,2020-01-06 20:00:00
1578355200000,2.8506,2.889,2.8286,2.8312,1515910.91,2020-01-07 00:00:00
1578369600000,2.831,2.8375,2.8054,2.8287,975993.9,2020-01-07 04:00:00
1578384000000,2.8286,2.843,2.8,2.8186,596356.38,2020-01-07 08:00:00
1578398400000,2.8175,2.8188,2.7537,2.7782,1813412.84,2020-01-07 12:00:00
1578412800000,2.7779,2.8873,2.7656,2.8517,2853632.23,2020-01-07 16:00:00
1578427200000,2.8502,2.8669,2.8086,2.8459,980167.43,2020-01-07 20:00:00
1578441600000,2.846,2.9692,2.8443,2.8945,3359859.34,2020-01-08 00:00:00
1578456000000,2.8945,2.9132,2.8769,2.8834,980275.1,2020-01-08 04:00:00
1578470400000,2.8828,2.9146,2.8763,2.8956,1016380.97,2020-01-08 08:00:00
1578484800000,2.8965,2.9033,2.8076,2.8316,2952831.56,2020-01-08 12:00:00
1578499200000,2.831,2.8427,2.7093,2.7346,3020219.02,2020-01-08 16:00:00
1578513600000,2.7337,2.7982,2.7265,2.7751,1081533.38,2020-01-08 20:00:00
1578528000000,2.7759,2.7992,2.7396,2.756,1037193.34,2020-01-09 00:00:00
1578542400000,2.7557,2.7679,2.7377,2.7527,736182.49,2020-01-09 04:00:00
1578556800000,2.7512,2.7602,2.7263,2.7322,708069.99,2020-01-09 08:00:00
1578571200000,2.7316,2.7493,2.7147,2.733,618977.35,2020-01-09 12:00:00
1578585600000,2.7331,2.7561,2.6925,2.7455,977756.92,2020-01-09 16:00:00
1578600000000,2.7445,2.7663,2.7133,2.7432,974227.89,2020-01-09 20:00:00
1578614400000,2.7433,2.7598,2.7267,2.7339,343902.84,2020-01-10 00:00:00
1578628800000,2.7324,2.7339,2.7012,2.7333,635548.73,2020-01-10 04:00:00
1578643200000,2.7336,2.7626,2.65,2.7549,2018815.41,2020-01-10 08:00:00
1578657600000,2.7551,2.9187,2.7488,2.8892,3059914.03,2020-01-10 12:00:00
1578672000000,2.8888,2.9642,2.8454,2.9558,3253955.06,2020-01-10 16:00:00
1578686400000,2.9558,3.0054,2.9023,2.9866,1490331.74,2020-01-10 20:00:00
1578700800000,2.9873,3.0266,2.9465,2.9661,1452828.51,2020-01-11 00:00:00
1578715200000,2.9665,3.0486,2.9351,3.0091,1215275.76,2020-01-11 04:00:00
1578729600000,3.0074,3.0563,2.9581,2.9846,1261594.2,2020-01-11 08:00:00
1578744000000,2.985,3.058,2.969,3.0423,857357.61,2020-01-11 12:00:00
1578758400000,3.0401,3.1199,3.0086,3.1096,1386563.41,2020-01-11 16:00:00
1578772800000,3.11,3.13,2.9744,2.9901,1589514.78,2020-01-11 20:00:00
1578787200000,2.9893,3.0561,2.9335,3.0346,1441203.18,2020-01-12 00:00:00
1578801600000,3.0345,3.087,3.0127,3.0711,769626.83,2020-01-12 04:00:00
1578816000000,3.0704,3.0868,3.0281,3.0448,837703.15,2020-01-12 08:00:00
1578830400000,3.0466,3.2012,3.0435,3.1748,2297061.53,2020-01-12 12:00:00
1578844800000,3.1755,3.2081,3.1358,3.1551,1428323.12,2020-01-12 16:00:00
1578859200000,3.1552,3.216,3.1543,3.2107,637638.99,2020-01-12 20:00:00
1578873600000,3.2086,3.2106,3.0737,3.1,1755283.33,2020-01-13 00:00:00
1578888000000,3.0989,3.1168,3.0664,3.0966,839574.84,2020-01-13 04:00:00
1578902400000,3.0968,3.1548,3.0753,3.1195,1455724.23,2020-01-13 08:00:00
1578916800000,3.12,3.1238,3.0691,3.0814,610948.47,2020-01-13 12:00:00
1578931200000,3.0809,3.1328,3.0717,3.1173,762134.44,2020-01-13 16:00:00
1578945600000,3.1176,3.1475,3.103,3.1049,405669.82,2020-01-13 20:00:00
1578960000000,3.1048,3.3095,3.1036,3.2954,3111321.59,2020-01-14 00:00:00
1578974400000,3.2959,3.33,3.2623,3.2784,1363751.75,2020-01-14 04:00:00
1578988800000,3.2782,3.3212,3.2426,3.2957,1064960.16,2020-01-14 08:00:00
1579003200000,3.2956,3.4709,3.2701,3.4233,4771588.59,2020-01-14 12:00:00
1579017600000,3.4227,4.08,3.2848,3.7642,11604211.0,2020-01-14 16:00:00
1579032000000,3.7642,3.901,3.7058,3.81,2914369.32,2020-01-14 20:00:00
1579046400000,3.81,3.9499,3.7318,3.7404,4779783.84,2020-01-15 00:00:00
1579060800000,3.7367,3.7533,3.57,3.6527,3389580.24,2020-01-15 04:00:00
1579075200000,3.6523,3.85,3.6332,3.7615,2284957.46,2020-01-15 08:00:00
1579089600000,3.7616,3.9097,3.6621,3.6997,3498167.27,2020-01-15 12:00:00
1579104000000,3.7007,3.7927,3.61,3.7174,2536206.39,2020-01-15 16:00:00
1579118400000,3.7174,3.85,3.7067,3.7675,1535994.2,2020-01-15 20:00:00
1579132800000,3.7695,3.7989,3.5243,3.5891,3452073.27,2020-01-16 00:00:00
1579147200000,3.5883,3.6577,3.58,3.6178,1363096.96,2020-01-16 04:00:00
1579161600000,3.6188,3.6773,3.5819,3.6714,1564036.05,2020-01-16 08:00:00
1579176000000,3.6743,3.7322,3.6086,3.6759,1775082.5,2020-01-16 12:00:00
1579190400000,3.6774,3.9527,3.6315,3.7961,4522594.11,2020-01-16 16:00:00
1579204800000,3.7962,3.89,3.7884,3.8376,2047890.38,2020-01-16 20:00:00
1579219200000,3.8374,3.9422,3.7622,3.8746,2751888.03,2020-01-17 00:00:00
1579233600000,3.8758,3.996,3.849,3.9793,3766704.68,2020-01-17 04:00:00
1579248000000,3.9772,4.0606,3.9186,3.939,3335764.58,2020-01-17 08:00:00
1579262400000,3.9389,3.9485,3.7402,3.873,3087243.82,2020-01-17 12:00:00
1579276800000,3.8735,4.0786,3.7712,3.8215,4798939.66,2020-01-17 16:00:00
1579291200000,3.8263,4.0482,3.7944,3.9038,1962118.06,2020-01-17 20:00:00
1579305600000,3.9042,4.0086,3.8833,3.9454,2185162.33,2020-01-18 00:00:00
1579320000000,3.9436,3.9436,3.7037,3.7847,2601229.58,2020-01-18 04:00:00
1579334400000,3.7847,3.9095,3.7631,3.8291,1749487.17,2020-01-18 08:00:00
1579348800000,3.8296,3.9787,3.7841,3.8407,2751597.24,2020-01-18 12:00:00
1579363200000,3.8389,3.9175,3.7535,3.8167,2297184.11,2020-01-18 16:00:00
1579377600000,3.8168,3.8848,3.7967,3.8049,991340.62,2020-01-18 20:00:00
1579392000000,3.8062,3.9414,3.77,3.8628,2521589.82,2020-01-19 00:00:00
1579406400000,3.8621,3.9072,3.8306,3.8656,820431.95,2020-01-19 04:00:00
1579420800000,3.8656,3.9154,3.51,3.62,3451238.31,2020-01-19 08:00:00
1579435200000,3.62,3.62,3.508,3.586,2479586.66,2020-01-19 12:00:00
1579449600000,3.5825,3.6337,3.4219,3.5307,1515027.05,2020-01-19 16:00:00
1579464000000,3.5288,3.6173,3.4855,3.6115,1451787.65,2020-01-19 20:00:00
