time,open,high,low,close,vol,time_stamp
1577966400000,4.414,4.4346,4.3693,4.3872,168828.98,2020-01-02 12:00:00
1577980800000,4.3856,4.397,4.229,4.2488,555285.1,2020-01-02 16:00:00
1577995200000,4.2445,4.2704,4.168,4.2283,299587.26,2020-01-02 20:00:00
1578009600000,4.2329,4.286,4.1791,4.2539,367970.14,2020-01-03 00:00:00
1578024000000,4.2555,4.4172,4.2485,4.3827,584150.4,2020-01-03 04:00:00
1578038400000,4.3793,4.4782,4.3545,4.4393,471076.75,2020-01-03 08:00:00
1578052800000,4.4407,4.5,4.3862,4.4354,347591.12,2020-01-03 12:00:00
1578067200000,4.4438,4.5931,4.4176,4.593,648917.32,2020-01-03 16:00:00
1578081600000,4.593,4.6299,4.5193,4.5768,300875.99,2020-01-03 20:00:00
1578096000000,4.5769,4.6004,4.5207,4.5755,109039.77,2020-01-04 00:00:00
1578110400000,4.5725,4.7235,4.5612,4.6963,334669.2,2020-01-04 04:00:00
1578124800000,4.693,4.6932,4.608,4.653,334663.71,2020-01-04 08:00:00
1578139200000,4.6562,4.6598,4.5558,4.6275,336797.86,2020-01-04 12:00:00
1578153600000,4.6279,4.7126,4.6204,4.6434,360956.77,2020-01-04 16:00:00
1578168000000,4.6472,4.7842,4.6267,4.7598,203337.22,2020-01-04 20:00:00
1578182400000,4.7587,4.9187,4.7325,4.8818,875977.36,2020-01-05 00:00:00
1578196800000,4.8818,4.9075,4.8301,4.8711,196811.71,2020-01-05 04:00:00
1578211200000,4.8711,4.8948,4.8137,4.8807,263257.2,2020-01-05 08:00:00
1578225600000,4.8838,4.9955,4.881,4.9511,501182.8,2020-01-05 12:00:00
1578240000000,4.9508,5.0052,4.911,4.9421,333972.97,2020-01-05 16:00:00
1578254400000,4.9404,4.9438,4.7954,4.8784,277604.9,2020-01-05 20:00:00
1578268800000,4.8783,5.1559,4.8739,5.0998,749426.6,2020-01-06 00:00:00
1578283200000,5.1002,5.1125,5.0455,5.0634,103496.52,2020-01-06 04:00:00
1578297600000,5.0605,5.0923,4.9579,4.9852,352475.39,2020-01-06 08:00:00
1578312000000,4.9837,5.0225,4.8605,4.861,520894.57,2020-01-06 12:00:00
1578326400000,4.8661,4.9485,4.8411,4.9101,412543.8,2020-01-06 16:00:00
1578340800000,4.9073,5.0654,4.9062,5.0333,305560.91,2020-01-06 20:00:00
1578355200000,5.0306,5.079,4.8706,4.8742,563427.55,2020-01-07 00:00:00
1578369600000,4.8717,4.92,4.8265,4.8924,254031.1,2020-01-07 04:00:00
1578384000000,4.8947,4.9209,4.8475,4.8762,132691.78,2020-01-07 08:00:00
1578398400000,4.8762,4.8859,4.712,4.7603,425486.84,2020-01-07 12:00:00
1578412800000,4.7603,4.95,4.7312,4.8449,946344.33,2020-01-07 16:00:00
1578427200000,4.8449,4.9337,4.7821,4.8344,258890.73,2020-01-07 20:00:00
1578441600000,4.8352,4.9613,4.8009,4.857,677920.96,2020-01-08 00:00:00
1578456000000,4.856,5.0589,4.85,4.8941,425795.47,2020-01-08 04:00:00
1578470400000,4.8975,4.9786,4.8675,4.8959,163056.83,2020-01-08 08:00:00
1578484800000,4.898,4.9324,4.8,4.8473,252349.57,2020-01-08 12:00:00
1578499200000,4.8467,4.9554,4.6938,4.8999,708671.01,2020-01-08 16:00:00
1578513600000,4.9006,5.0,4.8866,4.9521,205636.84,2020-01-08 20:00:00
1578528000000,4.952,5.1625,4.9191,5.0699,622452.31,2020-01-09 00:00:00
1578542400000,5.0725,5.1143,5.0501,5.0898,127741.73,2020-01-09 04:00:00
1578556800000,5.0913,5.0969,4.95,4.9924,487490.41,2020-01-09 08:00:00
1578571200000,4.989,5.021,4.9595,5.0016,173925.96,2020-01-09 12:00:00
1578585600000,5.0052,5.1219,4.8724,5.1055,511020.25,2020-01-09 16:00:00
1578600000000,5.1126,5.21,5.0028,5.1848,481730.38,2020-01-09 20:00:00
1578614400000,5.1866,5.2067,5.0777,5.0888,299915.91,2020-01-10 00:00:00
1578628800000,5.0926,5.108,4.981,5.0426,413240.89,2020-01-10 04:00:00
1578643200000,5.039,5.1428,4.9102,5.122,760969.89,2020-01-10 08:00:00
1578657600000,5.12,5.298,5.078,5.2303,1381295.82,2020-01-10 12:00:00
