time,open,high,low,close,vol,time_stamp
1531915200000,497.88,501.0,488.5,493.99,41440.29999,2018-07-18 12:00:00
1531929600000,493.96,499.5,481.0,483.35,43549.1916,2018-07-18 16:00:00
1531944000000,483.72,483.73,468.01,479.41,44013.87815,2018-07-18 20:00:00
1531958400000,479.4,479.49,469.02,474.27,28944.66429,2018-07-19 00:00:00
1531972800000,474.12,478.69,473.58,476.39,25091.84439,2018-07-19 04:00:00
1531987200000,476.26,481.17,475.0,479.89,24047.45304,2018-07-19 08:00:00
1532001600000,480.27,484.15,465.79,468.43,42054.32623,2018-07-19 12:00:00
1532016000000,468.43,472.89,462.57,467.85,31890.05024,2018-07-19 16:00:00
1532030400000,467.46,478.18,466.0,468.57,19279.72886,2018-07-19 20:00:00
1532044800000,468.7,469.01,458.59,466.59,27308.75312,2018-07-20 00:00:00
1532059200000,466.59,466.98,451.93,459.76,29571.97266,2018-07-20 04:00:00
1532073600000,459.76,469.48,459.0,465.16,29610.34505,2018-07-20 08:00:00
1532088000000,465.42,466.18,457.18,458.24,22069.72564,2018-07-20 12:00:00
1532102400000,457.92,471.02,444.51,445.71,38197.60252,2018-07-20 16:00:00
1532116800000,445.51,450.33,440.0,449.04,14114.98345,2018-07-20 20:00:00
1532131200000,449.04,455.53,441.18,454.7,15976.72858,2018-07-21 00:00:00
1532145600000,454.7,464.51,452.38,459.6,13955.74768,2018-07-21 04:00:00
1532160000000,459.6,463.54,450.28,457.05,13281.26615,2018-07-21 08:00:00
1532174400000,457.05,467.43,454.99,466.2,10924.40475,2018-07-21 12:00:00
1532188800000,466.0,468.97,461.79,465.98,12770.41941,2018-07-21 16:00:00
1532203200000,465.98,468.97,460.23,460.23,7351.0741,2018-07-21 20:00:00
1532217600000,460.23,467.26,455.48,460.67,9707.76641,2018-07-22 00:00:00
1532232000000,460.84,464.44,459.6,461.1,6353.41092,2018-07-22 04:00:00
1532246400000,461.1,464.96,460.77,463.9,7916.33544,2018-07-22 08:00:00
1532260800000,463.89,472.2,462.96,468.61,16658.20894,2018-07-22 12:00:00
