time,open,high,low,close,vol,time_stamp
1599206400000,43.15,49.0,40.901,42.103,7573.056,2020-09-04 08:00:00
1599220800000,42.199,42.5,34.5,38.98,19611.396,2020-09-04 12:00:00
1599235200000,38.601,43.209,35.97,40.637,5591.179,2020-09-04 16:00:00
1599249600000,40.637,44.918,40.0,42.167,3438.524,2020-09-04 20:00:00
1599264000000,42.0,43.998,40.419,41.92,5093.043,2020-09-05 00:00:00
1599278400000,41.92,42.8,37.669,38.546,7045.242,2020-09-05 04:00:00
1599292800000,38.505,38.505,30.515,34.339,22235.324,2020-09-05 08:00:00
1599307200000,34.364,42.8,30.894,37.095,23049.416,2020-09-05 12:00:00
1599321600000,37.095,37.851,29.32,30.892,21293.581,2020-09-05 16:00:00
1599336000000,30.893,35.0,30.004,32.49,10237.806,2020-09-05 20:00:00
1599350400000,32.558,35.0,30.04,31.803,10659.094,2020-09-06 00:00:00
1599364800000,31.858,33.5,30.201,33.3,10031.379,2020-09-06 04:00:00
1599379200000,33.51,39.8,32.12,37.375,17351.917,2020-09-06 08:00:00
1599393600000,37.442,39.594,34.568,36.109,14146.987,2020-09-06 12:00:00
1599408000000,35.97,37.0,34.802,36.723,5025.058,2020-09-06 16:00:00
1599422400000,36.886,39.0,35.9,38.037,6196.219,2020-09-06 20:00:00
1599436800000,37.898,38.378,35.325,35.783,7080.995,2020-09-07 00:00:00
1599451200000,35.771,36.164,33.0,34.297,11224.634,2020-09-07 04:00:00
1599465600000,34.212,35.35,32.2,32.314,9994.352,2020-09-07 08:00:00
1599480000000,32.394,34.42,30.5,34.023,14677.043,2020-09-07 12:00:00
1599494400000,34.024,34.395,32.5,33.104,6018.009,2020-09-07 16:00:00
1599508800000,33.316,36.997,32.521,35.203,7717.327,2020-09-07 20:00:00
1599523200000,35.304,36.172,33.258,34.272,7136.73,2020-09-08 00:00:00
1599537600000,34.206,34.743,31.44,33.092,12224.276,2020-09-08 04:00:00
1599552000000,33.092,33.576,31.0,31.036,17482.228,2020-09-08 08:00:00
1599566400000,31.001,33.637,31.0,32.208,15294.721,2020-09-08 12:00:00
1599580800000,32.287,33.875,31.417,31.606,7175.811,2020-09-08 16:00:00
1599595200000,31.782,31.782,30.27,31.337,7679.66,2020-09-08 20:00:00
1599609600000,31.3,31.826,30.168,30.789,9115.207,2020-09-09 00:00:00
1599624000000,30.852,31.496,30.411,31.242,5617.603,2020-09-09 04:00:00
1599638400000,31.246,33.8,31.004,32.453,12481.698,2020-09-09 08:00:00
1599652800000,32.384,35.442,31.94,34.844,17332.942,2020-09-09 12:00:00
1599667200000,34.979,37.0,33.8,35.0,13825.809,2020-09-09 16:00:00
1599681600000,35.0,35.448,33.53,33.806,9012.718,2020-09-09 20:00:00
1599696000000,33.863,36.5,33.863,35.808,9898.88,2020-09-10 00:00:00
1599710400000,35.807,36.346,34.2,34.344,6503.924,2020-09-10 04:00:00
1599724800000,34.254,34.721,33.105,33.958,7669.861,2020-09-10 08:00:00
1599739200000,33.973,35.783,33.107,33.902,11875.43,2020-09-10 12:00:00
1599753600000,33.89,34.0,31.757,32.54,13999.821,2020-09-10 16:00:00
1599768000000,32.532,33.19,32.038,33.102,4871.86,2020-09-10 20:00:00
1599782400000,33.018,33.018,30.708,31.519,18837.532,2020-09-11 00:00:00
1599796800000,31.511,32.015,31.0,31.495,7873.995,2020-09-11 04:00:00
1599811200000,31.584,32.649,30.796,30.914,14279.488,2020-09-11 08:00:00
1599825600000,31.005,32.828,30.8,32.089,9818.292,2020-09-11 12:00:00
1599840000000,32.124,32.469,31.0,31.818,9966.242,2020-09-11 16:00:00
1599854400000,31.894,32.5,30.708,31.769,6514.138,2020-09-11 20:00:00
1599868800000,31.776,32.316,31.0,31.373,9777.621,2020-09-12 00:00:00
1599883200000,31.306,32.349,31.078,32.237,6737.188,2020-09-12 04:00:00
1599897600000,32.325,33.99,31.22,33.774,10549.938,2020-09-12 08:00:00
1599912000000,33.736,33.77,31.62,33.014,14730.609,2020-09-12 12:00:00
1599926400000,32.966,36.999,32.694,35.7,23587.707,2020-09-12 16:00:00
1599940800000,35.735,36.535,34.887,35.159,9065.813,2020-09-12 20:00:00
1599955200000,35.159,39.5,34.5,38.533,28181.429,2020-09-13 00:00:00
1599969600000,38.644,42.2,37.377,39.555,32258.432,2020-09-13 04:00:00
1599984000000,39.646,39.726,35.707,36.151,21630.975,2020-09-13 08:00:00
1599998400000,36.138,41.26,35.759,37.004,36174.501,2020-09-13 12:00:00
1600012800000,37.062,39.3,36.053,37.637,20857.978,2020-09-13 16:00:00
1600027200000,37.651,41.0,37.057,39.328,21332.629,2020-09-13 20:00:00
1600041600000,39.33,43.431,38.058,41.794,38235.862,2020-09-14 00:00:00
